album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Abandon Ship,6,19u20B0E3KO1copzKVSJxi,Begin Again,spotify:track:19u20B0E3KO1copzKVSJxi,0.000219,0.636,0.968,0.586,0.0853,-3.408,0.0596,127.986,0.553,41,Knife Party
Abandon Ship,1,02dERQknHehlysI2XCIfBV,Reconnect,spotify:track:02dERQknHehlysI2XCIfBV,0.0166,0.366,0.976,0.0117,0.229,-3.388,0.0749,179.941,0.36,32,Knife Party
Abandon Ship,2,51JVX9LcPPpHedq6FfnCAG,Resistance,spotify:track:51JVX9LcPPpHedq6FfnCAG,0.000638,0.515,0.998,0.873,0.329,-2.913,0.0894,128.997,0.0806,34,Knife Party
Abandon Ship,3,1ltFgxgeQCd8z6BPRmcNxb,Boss Mode,spotify:track:1ltFgxgeQCd8z6BPRmcNxb,0.00174,0.542,0.978,0.651,0.0255,-2.404,0.121,176.046,0.313,51,Knife Party
Abandon Ship,4,1DkETKf1HkXwPDqdGaMThr,EDM Trend Machine,spotify:track:1DkETKf1HkXwPDqdGaMThr,0.00106,0.627,0.959,0.336,0.326,-3.474,0.0419,124.017,0.162,37,Knife Party
Abandon Ship,5,2NvBw1uhQZjyXsjVnABkOu,404,spotify:track:2NvBw1uhQZjyXsjVnABkOu,0.000214,0.671,0.97,0.87,0.284,-3.399,0.119,128.078,0.0397,38,Knife Party
Abandon Ship,7,6FDYzyjteGpimiBnO06ikI,Give It Up,spotify:track:6FDYzyjteGpimiBnO06ikI,0.000691,0.553,0.97,0.219,0.0313,-2.909,0.0641,174.009,0.648,48,Knife Party
Abandon Ship,8,1nxrXvhQWCVtALs6HI6WgK,D.I.M.H.,spotify:track:1nxrXvhQWCVtALs6HI6WgK,0.000838,0.672,0.971,0.639,0.0208,-3.006,0.0499,128,0.516,31,Knife Party
Abandon Ship,9,1WauKDSHENbuXhza3yCWw6,Micropenis,spotify:track:1WauKDSHENbuXhza3yCWw6,0.000691,0.638,0.995,0.55,0.44,-3.635,0.0989,127.992,0.131,29,Knife Party
Abandon Ship,10,49ucOm37d6flQyUrcwS0l7,Superstar,spotify:track:49ucOm37d6flQyUrcwS0l7,0.000604,0.663,0.962,0.00375,0.229,-2.336,0.0849,128.005,0.462,33,Knife Party
Abandon Ship,11,7fKXU1wgOu7T3Pa7svU0Ik,Red Dawn,spotify:track:7fKXU1wgOu7T3Pa7svU0Ik,0.0002,0.5,0.978,0.858,0.106,-3.716,0.0393,127.983,0.287,32,Knife Party
Abandon Ship,12,7eZVuAZMBYZvqVfFXmz41y,Kaleidoscope,spotify:track:7eZVuAZMBYZvqVfFXmz41y,0.000136,0.522,0.919,0.879,0.185,-4.231,0.0448,123.995,0.0648,30,Knife Party
