album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Back For Everything,1,63gfBuiVoBne4Xhvb5H7d5,Let Me Know,spotify:track:63gfBuiVoBne4Xhvb5H7d5,0.18,0.573,0.81,0,0.414,-4.368,0.404,176.984,0.278,71,Kodak Black
Back For Everything,2,07l80vtpJz1t1y4woqdzal,Back For Everything,spotify:track:07l80vtpJz1t1y4woqdzal,0.0777,0.839,0.7,0,0.127,-3.776,0.297,86.03,0.797,68,Kodak Black
Back For Everything,3,1jadydWtmjFcdlGOi0G6ci,Grinding All Season,spotify:track:1jadydWtmjFcdlGOi0G6ci,0.0336,0.759,0.596,0,0.319,-6.88,0.339,146.087,0.657,67,Kodak Black
Back For Everything,4,4s0nTw1JVoH0xV3bksuh6C,Smackers,spotify:track:4s0nTw1JVoH0xV3bksuh6C,0.0865,0.903,0.407,0,0.091,-6.023,0.485,116.986,0.805,68,Kodak Black
Back For Everything,5,3SgWgfBoO5JCJnpCwKd9DM,On Everything,spotify:track:3SgWgfBoO5JCJnpCwKd9DM,0.117,0.703,0.665,0,0.0719,-5.709,0.335,130.051,0.72,67,Kodak Black
Back For Everything,6,5vZqcDWLyN1GE7GibqcI3x,Purple Stamp,spotify:track:5vZqcDWLyN1GE7GibqcI3x,0.11,0.821,0.704,0,0.173,-5.684,0.346,138.036,0.916,66,Kodak Black
Back For Everything,7,4AH2lSWLVoMvbOHvHxa4i4,Midas Touch,spotify:track:4AH2lSWLVoMvbOHvHxa4i4,0.181,0.488,0.743,0,0.107,-2.81,0.391,148.013,0.465,65,Kodak Black
Back For Everything,8,4sNYF3T8nOhhqV5IBqrWke,Sink My Ship,spotify:track:4sNYF3T8nOhhqV5IBqrWke,0.254,0.813,0.385,0,0.101,-7.064,0.348,137.129,0.3,66,Kodak Black
Back For Everything,9,4N20NYwhJRArlzEhdCKXka,Usain Boo,spotify:track:4N20NYwhJRArlzEhdCKXka,0.0733,0.782,0.669,0,0.111,-4.58,0.213,143.992,0.598,75,Kodak Black
Back For Everything,10,0hMm6YHAdfsSDrJ8nG6eNW,Vulnerable (Free Cool),spotify:track:0hMm6YHAdfsSDrJ8nG6eNW,0.061,0.668,0.622,0,0.132,-3.241,0.242,81.817,0.319,65,Kodak Black
