album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
All Over The Place (Deluxe),17,5NJvGS9Hw208ONHPpa0VCY,Little Bit Of Fun (feat. Anne-Marie),spotify:track:5NJvGS9Hw208ONHPpa0VCY,0.21,0.822,0.84,0,0.0794,-5.036,0.113,105.974,0.815,49,KSI
All Over The Place (Deluxe),18,71MckCPHdzU05Huo9Rmtvr,Know You (feat. S-X & A1 x J1),spotify:track:71MckCPHdzU05Huo9Rmtvr,0.0573,0.535,0.699,0,0.13,-5.576,0.285,99.771,0.222,53,KSI
All Over The Place (Deluxe),19,0KrAnwQiB6Iiw0dqG9j7jh,Smoke (feat. Nevve),spotify:track:0KrAnwQiB6Iiw0dqG9j7jh,0.163,0.574,0.765,0,0.0698,-7.687,0.0954,147.565,0.461,48,KSI
All Over The Place (Deluxe),20,68FZH9MM7AJfL4ErkAFNp0,Jimmy Neutron,spotify:track:68FZH9MM7AJfL4ErkAFNp0,0.194,0.519,0.78,0.000278,0.338,-5.386,0.287,138.375,0.324,46,KSI
All Over The Place (Deluxe),21,750vtNtNiQVl80E4baoJjd,Lose,spotify:track:750vtNtNiQVl80E4baoJjd,0.0341,0.682,0.721,0,0.381,-4.633,0.0284,101.067,0.248,65,KSI
All Over The Place (Platinum VIP Edition),1,4g6zpIxbj9jb8ewGrV1kCE,The Moment,spotify:track:4g6zpIxbj9jb8ewGrV1kCE,0.139,0.609,0.688,0,0.321,-6.254,0.227,133.714,0.562,62,KSI
All Over The Place (Platinum VIP Edition),2,5qR6mlCWqzHMi1b1S8TrBB,Number 2 (feat. Future & 21 Savage),spotify:track:5qR6mlCWqzHMi1b1S8TrBB,0.0287,0.727,0.637,1.30E-05,0.0928,-5.433,0.187,159.848,0.421,60,KSI
All Over The Place (Platinum VIP Edition),3,1FhmdSGBoEqFLW16PlZOiZ,Patience (feat. YUNGBLUD & Polo G),spotify:track:1FhmdSGBoEqFLW16PlZOiZ,0.00251,0.616,0.741,0,0.307,-4.272,0.0426,122.012,0.431,61,KSI
All Over The Place (Platinum VIP Edition),4,06QA8Xuohn6vAX1CQiY030,You,spotify:track:06QA8Xuohn6vAX1CQiY030,0.357,0.805,0.783,0.0475,0.107,-6.256,0.0717,112.029,0.645,55,KSI
All Over The Place (Platinum VIP Edition),5,1vpNasXh7LBGUYuR5kAi1a,Don't Play,spotify:track:1vpNasXh7LBGUYuR5kAi1a,0.0889,0.695,0.784,0,0.0843,-6.564,0.0402,128.031,0.52,50,KSI
All Over The Place (Platinum VIP Edition),7,4xdElB9O7YfpISMghyMUsV,Gang Gang (feat. JAY1 & Deno),spotify:track:4xdElB9O7YfpISMghyMUsV,0.206,0.752,0.828,0.000286,0.0861,-5.335,0.098,107.003,0.621,67,KSI
