album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Golden Hour,1,2lN4uUYkGymwAL5hY6sSAd,The Truth,spotify:track:2lN4uUYkGymwAL5hY6sSAd,0.166,0.629,0.539,0,0.189,-7.006,0.063,109.885,0.316,56,Kygo
Golden Hour,2,1sgDyuLooyvEML4oHspNza,Lose Somebody,spotify:track:1sgDyuLooyvEML4oHspNza,0.344,0.58,0.586,0,0.0755,-6.883,0.0357,147.988,0.507,78,Kygo
Golden Hour,3,4B6xQy8i7cVzKT8kPIhBY5,Feels Like Forever,spotify:track:4B6xQy8i7cVzKT8kPIhBY5,0.414,0.643,0.719,0,0.0744,-5.535,0.11,119.973,0.394,61,Kygo
Golden Hour,4,2nx0EIlIKMnMgWnj40O0HQ,Freedom,spotify:track:2nx0EIlIKMnMgWnj40O0HQ,0.127,0.512,0.635,0,0.0866,-6.591,0.114,111.596,0.38,65,Kygo
Golden Hour,5,745bEQatiiXDtBe1AdQY2P,Beautiful,spotify:track:745bEQatiiXDtBe1AdQY2P,0.0349,0.614,0.709,0,0.0904,-5.742,0.0428,123.843,0.269,62,Kygo
Golden Hour,6,6LMTqDK4uVR8XsCzel1nkH,To Die For,spotify:track:6LMTqDK4uVR8XsCzel1nkH,0.306,0.535,0.431,0,0.101,-8.071,0.0374,129.797,0.0954,59,Kygo
Golden Hour,7,78ldtCaBRJVp2i91B715L0,Broken Glass,spotify:track:78ldtCaBRJVp2i91B715L0,0.372,0.526,0.633,0,0.129,-7.002,0.134,171.044,0.272,67,Kygo
Golden Hour,8,52eycxprLhK3lPcRLbQiVk,How Would I Know,spotify:track:52eycxprLhK3lPcRLbQiVk,0.538,0.514,0.539,0.00233,0.108,-9.332,0.105,123.7,0.153,58,Kygo
Golden Hour,9,7hd0ZLywUE3GZWNPXKBRGE,Could You Love Me,spotify:track:7hd0ZLywUE3GZWNPXKBRGE,0.164,0.693,0.739,1.66E-06,0.0906,-6.682,0.0388,99.976,0.675,60,Kygo
Golden Hour,10,1kKYjjfNYxE0YYgLa7vgVY,Higher Love,spotify:track:1kKYjjfNYxE0YYgLa7vgVY,0.0151,0.693,0.678,5.71E-06,0.101,-7.159,0.0324,103.952,0.404,74,Kygo
Golden Hour,11,1tuXOJYN6CkgubpifHEm96,I'll Wait,spotify:track:1tuXOJYN6CkgubpifHEm96,0.15,0.611,0.649,1.53E-05,0.105,-6.968,0.058,123.002,0.353,63,Kygo
Golden Hour,12,1SXO3ChF6Wc9oEBaZpDYee,Don't Give Up on Love,spotify:track:1SXO3ChF6Wc9oEBaZpDYee,0.376,0.679,0.511,0,0.251,-8.289,0.0729,90.99,0.451,58,Kygo
Golden Hour,13,5vDjcNbN4m9fxWcrpR64Wu,Say You Will,spotify:track:5vDjcNbN4m9fxWcrpR64Wu,0.304,0.593,0.43,0,0.0896,-8.977,0.0431,122.09,0.0955,58,Kygo
Golden Hour,14,4gGIqmBDfECUFBOSYOoW3a,Follow,spotify:track:4gGIqmBDfECUFBOSYOoW3a,0.356,0.63,0.826,6.98E-06,0.136,-4.798,0.0449,116.039,0.239,57,Kygo
Golden Hour,15,4dyrqiXUcK29hzrL2elqO3,Like It Is,spotify:track:4dyrqiXUcK29hzrL2elqO3,0.123,0.789,0.727,9.59E-06,0.222,-6.772,0.126,104.947,0.343,62,Kygo
Golden Hour,16,73h6Ma5QhBFrshEN2CTevS,Someday,spotify:track:73h6Ma5QhBFrshEN2CTevS,0.174,0.612,0.686,0,0.141,-6.838,0.12,122.115,0.327,62,Kygo
Golden Hour,17,4Ufg9X9VocHbzKxXGhCOie,Hurting,spotify:track:4Ufg9X9VocHbzKxXGhCOie,0.265,0.655,0.431,1.22E-06,0.0922,-9.631,0.0493,99.954,0.292,57,Kygo
Golden Hour,18,1SQbUQ8w21CxAhvkZvHN0u,Only Us,spotify:track:1SQbUQ8w21CxAhvkZvHN0u,0.646,0.424,0.402,5.11E-06,0.104,-10.652,0.0617,82.002,0.199,60,Kygo
Kids in Love (Remixes),1,19SEn5eUuuixwxFPNtrq7D,This Town (feat. Sasha Alex Sloan & Gucci Mane) - Gucci Mane Edit,spotify:track:19SEn5eUuuixwxFPNtrq7D,0.506,0.736,0.463,4.44E-06,0.0998,-7.764,0.0697,148.024,0.532,48,Kygo
Kids in Love (Remixes),2,2ezQ7Qe2itIl6HvCbyqZXX,Never Let You Go (feat. John Newman) - Jack Wins Remix,spotify:track:2ezQ7Qe2itIl6HvCbyqZXX,0.0075,0.667,0.841,1.45E-05,0.7,-6.98,0.104,124.968,0.441,40,Kygo
Kids in Love (Remixes),3,0hsEwB7RvpWOJYZnAF4j4E,Never Let You Go (feat. John Newman) - Acoustic Version,spotify:track:0hsEwB7RvpWOJYZnAF4j4E,0.925,0.481,0.351,0.00735,0.112,-8.416,0.0421,125.13,0.189,45,Kygo
Kids in Love (Remixes),4,63x2ylSiGxGU7dG54upqI4,Riding Shotgun (feat. Bonnie McKee) - Ryan Riback Remix,spotify:track:63x2ylSiGxGU7dG54upqI4,0.0101,0.719,0.743,1.82E-05,0.0371,-6.077,0.169,102.016,0.542,40,Kygo
Kids in Love (Remixes),5,76c4KOymiPUkWEeIIc0DQr,Stranger Things (feat. OneRepublic) - Alan Walker Remix,spotify:track:76c4KOymiPUkWEeIIc0DQr,0.146,0.659,0.742,0,0.217,-4.624,0.0283,106.947,0.729,67,Kygo
Kids in Love (Remixes),6,0zhBS3T33cnJUwfoOEmlCL,Kids in Love (feat. The Night Game) - The Him Remix,spotify:track:0zhBS3T33cnJUwfoOEmlCL,0.104,0.532,0.723,9.28E-06,0.114,-4.691,0.0449,125.071,0.181,40,Kygo
Kids in Love (Remixes),7,2S27SBEp55GmAkxdMozBhX,Kids in Love (feat. The Night Game) - Alok Remix,spotify:track:2S27SBEp55GmAkxdMozBhX,0.0406,0.671,0.854,0.000278,0.0952,-5.95,0.0325,121.995,0.233,35,Kygo
Kids in Love (Remixes),8,0b683lyejYRh6CBWJQgExw,Kids in Love (feat. The Night Game) - Acoustic Version,spotify:track:0b683lyejYRh6CBWJQgExw,0.752,0.398,0.466,0.00311,0.135,-6.685,0.0345,120.194,0.166,37,Kygo
Kids in Love (Remixes),9,28WJb0ZNVvOL7AMVx1e9zP,Permanent - Sam Feldt Remix,spotify:track:28WJb0ZNVvOL7AMVx1e9zP,0.0172,0.686,0.804,0,0.295,-6.488,0.0458,125.012,0.362,50,Kygo
Kids in Love,1,6sonAwZ8ruHZVzdAwDYsfk,Never Let You Go (feat. John Newman),spotify:track:6sonAwZ8ruHZVzdAwDYsfk,0.0741,0.735,0.747,0,0.103,-4.959,0.0837,123.025,0.555,60,Kygo
Kids in Love,2,4ODnJrz0C3AJ4DFv8YQhJ8,Sunrise (feat. Jason Walker),spotify:track:4ODnJrz0C3AJ4DFv8YQhJ8,0.211,0.636,0.6,0,0.141,-6.964,0.0288,100.051,0.476,67,Kygo
Kids in Love,3,52Lqdrj2yYAeFSTS2M24Si,Riding Shotgun (feat. Bonnie McKee),spotify:track:52Lqdrj2yYAeFSTS2M24Si,0.117,0.817,0.854,1.07E-05,0.0413,-4.744,0.117,102,0.622,57,Kygo
Kids in Love,4,4sJqSKPc5fZ5OZ8JiVI44N,Stranger Things (feat. OneRepublic),spotify:track:4sJqSKPc5fZ5OZ8JiVI44N,0.234,0.604,0.661,0,0.0951,-5.914,0.0375,107.016,0.506,65,Kygo
Kids in Love,5,7gleE2w0CsjsWCs184n522,With You (feat. Wrabel),spotify:track:7gleE2w0CsjsWCs184n522,0.424,0.618,0.805,0.00796,0.332,-4.731,0.0463,101.022,0.335,52,Kygo
