album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Love For Sale (Deluxe),1,5i6SVeYn0jb3yMp9fsQGto,It's De-Lovely,spotify:track:5i6SVeYn0jb3yMp9fsQGto,0.726,0.596,0.471,0,0.0158,-5.722,0.138,93.103,0.431,50,Lady Gaga
Love For Sale (Deluxe),2,0ZzE3KupbceBjr17DMhWAo,Night And Day,spotify:track:0ZzE3KupbceBjr17DMhWAo,0.61,0.399,0.384,0,0.486,-6.981,0.0286,102.31,0.339,49,Lady Gaga
Love For Sale (Deluxe),3,4biVNJdcVpAljZjpiO9B4Z,Love For Sale,spotify:track:4biVNJdcVpAljZjpiO9B4Z,0.71,0.588,0.493,0,0.0797,-7.331,0.104,104.1,0.518,53,Lady Gaga
Love For Sale (Deluxe),4,7fGcPsneoxIweHKdc14vlw,Do I Love You,spotify:track:7fGcPsneoxIweHKdc14vlw,0.888,0.263,0.286,2.56E-06,0.34,-7.986,0.0295,61.842,0.18,49,Lady Gaga
Love For Sale (Deluxe),5,6jz5HzDmPuQ24U7u7KfKGw,I've Got You Under My Skin,spotify:track:6jz5HzDmPuQ24U7u7KfKGw,0.804,0.646,0.478,0,0.311,-6.57,0.0349,129.443,0.715,57,Lady Gaga
Love For Sale (Deluxe),6,1Z2el1XLsdJwt6Kefb2F5p,I Concentrate On You,spotify:track:1Z2el1XLsdJwt6Kefb2F5p,0.539,0.552,0.58,3.30E-06,0.335,-7.307,0.0339,129.544,0.593,46,Lady Gaga
Love For Sale (Deluxe),7,6tANJIaIQAFhMxgnafAZd2,I Get A Kick Out Of You,spotify:track:6tANJIaIQAFhMxgnafAZd2,0.811,0.462,0.452,0,0.0741,-6.492,0.0511,78.911,0.537,59,Lady Gaga
Love For Sale (Deluxe),8,3cvdaHJUFir8IQhHO0XD0j,So In Love,spotify:track:3cvdaHJUFir8IQhHO0XD0j,0.778,0.431,0.396,5.21E-05,0.267,-9.999,0.0284,123.262,0.375,53,Lady Gaga
Love For Sale (Deluxe),9,0dImZ1ZhnS1xfhYVkPPeqE,Let's Do It,spotify:track:0dImZ1ZhnS1xfhYVkPPeqE,0.746,0.496,0.455,0,0.0792,-6.746,0.0514,130.009,0.426,48,Lady Gaga
Love For Sale (Deluxe),10,7kjzAKTVd9umvnChTkzTNd,Dream Dancing,spotify:track:7kjzAKTVd9umvnChTkzTNd,0.695,0.452,0.447,1.38E-06,0.207,-7.37,0.031,132.049,0.31,45,Lady Gaga
Love For Sale (Deluxe),11,0Kdtya9rpac1Da89XBZ52O,Just One Of Those Things,spotify:track:0Kdtya9rpac1Da89XBZ52O,0.813,0.352,0.567,8.90E-06,0.3,-6.945,0.0438,202.623,0.78,44,Lady Gaga
Love For Sale (Deluxe),12,5ueoGQzXQDQazPcPq5UvOQ,You're The Top,spotify:track:5ueoGQzXQDQazPcPq5UvOQ,0.42,0.573,0.579,0,0.129,-5.845,0.173,90.767,0.776,45,Lady Gaga
Dawn Of Chromatica,1,050s0Msd1WXkSdG8UjFDEa,Alice - LSDXOXO Remix,spotify:track:050s0Msd1WXkSdG8UjFDEa,0.121,0.908,0.808,0.0688,0.147,-5.424,0.0671,122.948,0.751,50,Lady Gaga
Dawn Of Chromatica,2,1Qt19fIi2rcthO6PV30TtE,Stupid Love - COUCOU CHLOE Remix,spotify:track:1Qt19fIi2rcthO6PV30TtE,0.00275,0.772,0.817,0.75,0.158,-5.729,0.146,128.047,0.462,54,Lady Gaga
Dawn Of Chromatica,3,5XDghj1KSe2rTWnc5D6mIk,Rain On Me (with Ariana Grande) - Arca Remix,spotify:track:5XDghj1KSe2rTWnc5D6mIk,0.334,0.644,0.637,0.0002,0.341,-8.004,0.0734,122.998,0.306,53,Lady Gaga
