album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Blue Banisters,1,4brdb8L2Cy3e9AN8IfV9l8,Text Book,spotify:track:4brdb8L2Cy3e9AN8IfV9l8,0.824,0.424,0.318,0.000542,0.114,-9.915,0.0427,119.396,0.102,64,Lana Del Rey
Blue Banisters,2,4U9ACZETPOqGuJkWtjkjLF,Blue Banisters,spotify:track:4U9ACZETPOqGuJkWtjkjLF,0.937,0.373,0.114,4.73E-05,0.104,-13.171,0.041,90.945,0.172,64,Lana Del Rey
Blue Banisters,3,3EZTyh1wJEmreJH1aULPCj,Arcadia,spotify:track:3EZTyh1wJEmreJH1aULPCj,0.97,0.323,0.106,5.94E-05,0.108,-10.374,0.0323,91.455,0.158,64,Lana Del Rey
Blue Banisters,4,5rmIMPXAlfidbd9f2AfwlQ,Interlude - The Trio,spotify:track:5rmIMPXAlfidbd9f2AfwlQ,0.000689,0.376,0.493,0.901,0.153,-14.03,0.0372,102.845,0.119,62,Lana Del Rey
Blue Banisters,5,2LQGoKFKkZ9yk3UeYFj2xo,Black Bathing Suit,spotify:track:2LQGoKFKkZ9yk3UeYFj2xo,0.852,0.418,0.377,4.61E-05,0.374,-11.612,0.0738,113.936,0.283,66,Lana Del Rey
Blue Banisters,6,1RPsOAaHaRu8JlVdeaciuL,If You Lie Down With Me,spotify:track:1RPsOAaHaRu8JlVdeaciuL,0.913,0.641,0.346,3.99E-05,0.104,-9.508,0.036,122.101,0.187,71,Lana Del Rey
Blue Banisters,7,5uPpzqixdzAMXprr4P5aT5,Beautiful,spotify:track:5uPpzqixdzAMXprr4P5aT5,0.96,0.552,0.202,0.00154,0.225,-10.685,0.043,78.021,0.237,62,Lana Del Rey
Blue Banisters,8,5yrAkKml7mtzmPPbjB2qTC,Violets for Roses,spotify:track:5yrAkKml7mtzmPPbjB2qTC,0.922,0.513,0.21,0,0.123,-10.472,0.0301,88.021,0.14,64,Lana Del Rey
Blue Banisters,9,7iqQz931tn59mK6IZ3knRx,Dealer,spotify:track:7iqQz931tn59mK6IZ3knRx,0.318,0.602,0.59,0.000166,0.104,-6.346,0.0279,130.08,0.381,80,Lana Del Rey
Blue Banisters,10,4y9vLiQ9mQb6XNEtc4K6ou,Thunder,spotify:track:4y9vLiQ9mQb6XNEtc4K6ou,0.674,0.483,0.475,0.00167,0.115,-8.442,0.0291,73.862,0.237,67,Lana Del Rey
Blue Banisters,11,7fvTXmlzhOUE7WUD6aJC4N,Wildflower Wildfire,spotify:track:7fvTXmlzhOUE7WUD6aJC4N,0.873,0.547,0.205,0.0502,0.113,-10.021,0.0277,105.745,0.222,62,Lana Del Rey
Blue Banisters,12,3qydJy5jc1UslvHkm3Hrve,Nectar Of The Gods,spotify:track:3qydJy5jc1UslvHkm3Hrve,0.888,0.447,0.165,1.40E-06,0.177,-9.275,0.0342,101.758,0.122,62,Lana Del Rey
