album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
~how i'm feeling~,1,4VM8y5Tx6UBxzfuLvYrhFf,Drugs & The Internet,spotify:track:4VM8y5Tx6UBxzfuLvYrhFf,0.361,0.437,0.551,8.65E-05,0.333,-7.044,0.143,88.941,0.245,62,Lauv
~how i'm feeling~,2,09PGubKAMryhOWv1LHpCYz,"fuck, i'm lonely (with Anne-Marie)",spotify:track:09PGubKAMryhOWv1LHpCYz,0.46,0.809,0.547,0,0.0543,-7.304,0.0609,95.012,0.717,76,Lauv
~how i'm feeling~,3,5qhHm4dN4L2dhRb2TfzGPw,Lonely Eyes,spotify:track:5qhHm4dN4L2dhRb2TfzGPw,0.0418,0.586,0.499,0,0.0994,-7.005,0.0267,95.012,0.369,63,Lauv
~how i'm feeling~,4,5ikx3xVoCAoEMh47AYmZNe,Sims,spotify:track:5ikx3xVoCAoEMh47AYmZNe,0.563,0.544,0.373,0,0.0635,-9.136,0.405,98.423,0.519,55,Lauv
~how i'm feeling~,5,6gEC3iDuOlcHatGCCcvpO6,Believed,spotify:track:6gEC3iDuOlcHatGCCcvpO6,0.0758,0.796,0.519,0,0.444,-8.09,0.0511,149.929,0.492,54,Lauv
~how i'm feeling~,6,5N6lOKp69X4aa61FGvoBTU,Billy,spotify:track:5N6lOKp69X4aa61FGvoBTU,0.0455,0.785,0.324,0,0.088,-8.75,0.369,176.808,0.427,54,Lauv
~how i'm feeling~,7,0s26En1JoJhVj32vizElpA,Feelings,spotify:track:0s26En1JoJhVj32vizElpA,0.0578,0.7,0.392,0,0.0802,-8.911,0.033,103.044,0.25,75,Lauv
~how i'm feeling~,8,6Rf3dWdNQs5LTqFOiavqQr,Canada (feat. Alessia Cara),spotify:track:6Rf3dWdNQs5LTqFOiavqQr,0.626,0.635,0.262,0,0.145,-12.782,0.0391,93.237,0.352,65,Lauv
~how i'm feeling~,9,0PxJmAlyKcRdd1r9FvDbTn,For Now,spotify:track:0PxJmAlyKcRdd1r9FvDbTn,0.783,0.523,0.226,7.05E-06,0.113,-12.186,0.0417,83.497,0.111,60,Lauv
~how i'm feeling~,10,3uc8AGNL0KbvISIrjnfRvN,Mean It,spotify:track:3uc8AGNL0KbvISIrjnfRvN,0.0407,0.746,0.45,0,0.172,-8.543,0.0873,95.998,0.336,75,Lauv
~how i'm feeling~,11,1CJvFjaXKz2yuQWzICeIRo,Tell My Mama,spotify:track:1CJvFjaXKz2yuQWzICeIRo,0.19,0.88,0.498,0,0.108,-7.033,0.0524,139.972,0.489,54,Lauv
~how i'm feeling~,12,4sRryr1aCDIbVdj2LnBwsR,Sweatpants,spotify:track:4sRryr1aCDIbVdj2LnBwsR,0.0476,0.72,0.496,0,0.154,-8.437,0.0835,159.97,0.746,54,Lauv
~how i'm feeling~,13,2qG81jL9UIP54uS8gYyP4k,Who (feat. BTS),spotify:track:2qG81jL9UIP54uS8gYyP4k,0.546,0.632,0.339,0,0.104,-7.983,0.0337,141.642,0.0969,80,Lauv
