album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
MONTERO,1,1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),spotify:track:1SC5rEoYDGUK4NfG82494W,0.293,0.593,0.503,0,0.405,-6.725,0.22,178.781,0.71,90,Lil Nas X
MONTERO,2,3grVoZ10bm2jUGpo7BxpuF,DEAD RIGHT NOW,spotify:track:3grVoZ10bm2jUGpo7BxpuF,0.101,0.685,0.717,1.87E-05,0.266,-6.456,0.0411,127.963,0.549,72,Lil Nas X
MONTERO,3,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,0.0221,0.741,0.691,0,0.0476,-7.395,0.0672,150.087,0.892,91,Lil Nas X
MONTERO,4,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,0.546,96,Lil Nas X
MONTERO,5,1BMu5TWvalAGpi5jlhFEBb,THE ART OF REALIZATION,spotify:track:1BMu5TWvalAGpi5jlhFEBb,0.905,0.519,0.464,0,0.448,-18.957,0.56,109.744,0.287,17,Lil Nas X
MONTERO,6,6bpq1jGkVz66Q3LYeoXdjZ,SCOOP (feat. Doja Cat),spotify:track:6bpq1jGkVz66Q3LYeoXdjZ,0.0427,0.841,0.527,1.54E-06,0.12,-8.116,0.149,163.975,0.582,79,Lil Nas X
MONTERO,7,3JR2RztQcOjUQGQSybxDIO,ONE OF ME (feat. Elton John),spotify:track:3JR2RztQcOjUQGQSybxDIO,0.202,0.708,0.598,0,0.183,-4.969,0.0617,144.09,0.561,68,Lil Nas X
MONTERO,8,6th8IdY4lYeM0QlSQJhhkp,LOST IN THE CITADEL,spotify:track:6th8IdY4lYeM0QlSQJhhkp,0.0963,0.768,0.764,1.03E-05,0.114,-5.82,0.0295,92.965,0.472,69,Lil Nas X
MONTERO,9,7zQirOExB0VR8yWUOqYeio,DOLLA SIGN SLIME (feat. Megan Thee Stallion),spotify:track:7zQirOExB0VR8yWUOqYeio,0.0504,0.923,0.533,0,0.102,-6.016,0.262,133.991,0.587,74,Lil Nas X
MONTERO,10,5S4PZ7AuYlYiVIVik3wHUf,TALES OF DOMINICA,spotify:track:5S4PZ7AuYlYiVIVik3wHUf,0.629,0.742,0.734,0.00314,0.0834,-5.582,0.0407,114.952,0.541,74,Lil Nas X
MONTERO,11,6btdl1Vl6Ta5lUwUSOFW2H,SUN GOES DOWN,spotify:track:6btdl1Vl6Ta5lUwUSOFW2H,0.0792,0.549,0.643,1.21E-05,0.107,-6.808,0.0543,174.041,0.123,71,Lil Nas X
MONTERO,12,3e6ebtUCZ0tZL1J7wvM8Xi,VOID,spotify:track:3e6ebtUCZ0tZL1J7wvM8Xi,0.626,0.609,0.438,0.00011,0.103,-8.486,0.0311,139.875,0.176,66,Lil Nas X
MONTERO,13,4vsJWPwWPS27gRM4oLjBNO,DONT WANT IT,spotify:track:4vsJWPwWPS27gRM4oLjBNO,0.12,0.549,0.7,0,0.133,-6.07,0.0392,82.604,0.212,71,Lil Nas X
MONTERO,14,6D3t4w54PgLNGQ48R7th7R,LIFE AFTER SALEM,spotify:track:6D3t4w54PgLNGQ48R7th7R,0.0141,0.392,0.579,4.87E-05,0.101,-5.284,0.0354,143.664,0.253,65,Lil Nas X
MONTERO,15,6isTQfKXhNO3EyJd9mSxx8,AM I DREAMING (feat. Miley Cyrus),spotify:track:6isTQfKXhNO3EyJd9mSxx8,0.77,0.629,0.445,2.92E-06,0.351,-6.999,0.0258,94.103,0.209,72,Lil Nas X
MONTERO,3,6ghSrUkregPX4oQofspoKN,INDUSTRY BABY,spotify:track:6ghSrUkregPX4oQofspoKN,0.0235,0.74,0.703,0,0.0485,-7.419,0.07,150.013,0.902,42,Lil Nas X
