album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
We Love You Tecca 2 (Deluxe),9,55NK88jpjIZkLRmVU3imEF,"CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat. Trippie Redd)",spotify:track:55NK88jpjIZkLRmVU3imEF,0.0644,0.585,0.765,0,0.148,-5.575,0.0589,145.155,0.18,45,Lil Tecca
We Love You Tecca 2 (Deluxe),21,3FM5S4mL0yn1vRP4yYTZ6k,HOLD ON,spotify:track:3FM5S4mL0yn1vRP4yYTZ6k,0.0479,0.61,0.662,0,0.142,-7.541,0.338,146.755,0.832,45,Lil Tecca
We Love You Tecca 2 (Deluxe),22,34hvDbZkPIYC7C45oNdwW8,TRANSYNPHONY,spotify:track:34hvDbZkPIYC7C45oNdwW8,0.491,0.502,0.363,0,0.0934,-11.164,0.482,76.436,0.398,46,Lil Tecca
We Love You Tecca 2 (Deluxe),23,6pq1cvSNT9nuhvRPJ6UPE4,VIRGO,spotify:track:6pq1cvSNT9nuhvRPJ6UPE4,0.0565,0.68,0.69,0,0.303,-5.78,0.27,77.511,0.618,51,Lil Tecca
We Love You Tecca 2 (Deluxe),24,5hzuO0DOsv3sJD2oCxk7Uy,GRAMMY (Freestyle),spotify:track:5hzuO0DOsv3sJD2oCxk7Uy,0.0531,0.539,0.564,0,0.0911,-7.534,0.232,179.897,0.329,54,Lil Tecca
We Love You Tecca 2 (Deluxe),25,4Whbjw2RncZLcNSDQbFWVY,SHOW ME UP,spotify:track:4Whbjw2RncZLcNSDQbFWVY,0.155,0.674,0.453,1.21E-06,0.0933,-10.293,0.0612,128.107,0.22,64,Lil Tecca
We Love You Tecca 2,1,668vMRYpYfpLsOvWc73umT,MONEY ON ME,spotify:track:668vMRYpYfpLsOvWc73umT,0.0492,0.41,0.399,0,0.115,-10.47,0.186,89.806,0.309,63,Lil Tecca
We Love You Tecca 2,2,4s6vwFgPdCtidpEw8KuQT6,REPEAT IT (with Gunna),spotify:track:4s6vwFgPdCtidpEw8KuQT6,0.0567,0.743,0.687,0,0.062,-7.613,0.309,108.685,0.582,74,Lil Tecca
We Love You Tecca 2,3,0soNGRgFn7aq1T4LXtFDMb,NEVER LEFT,spotify:track:0soNGRgFn7aq1T4LXtFDMb,0.022,0.81,0.658,0,0.309,-6.92,0.329,82.532,0.433,72,Lil Tecca
We Love You Tecca 2,4,7J34pk34Aw4U5J7cL5XO98,CAUTION,spotify:track:7J34pk34Aw4U5J7cL5XO98,0.085,0.829,0.621,0,0.114,-7.299,0.295,92.05,0.266,57,Lil Tecca
We Love You Tecca 2,5,45bXTH6SuR2MKjypu4ksNz,SEASIDE (feat. iann dior),spotify:track:45bXTH6SuR2MKjypu4ksNz,0.0281,0.689,0.668,0,0.0882,-7.598,0.289,164.877,0.652,63,Lil Tecca
