album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Between Us (Deluxe Version),3,7reG3QYhefsJNpcVJq4BZr,No,spotify:track:7reG3QYhefsJNpcVJq4BZr,0.165,0.793,0.842,0,0.107,-3.563,0.0804,120.008,0.747,70,Little Mix
Between Us (Deluxe Version),5,0wV6EO4zqkt6zhgZ1Ru6TX,Love (Sweet Love),spotify:track:0wV6EO4zqkt6zhgZ1Ru6TX,0.0166,0.696,0.914,0,0.183,-2.907,0.0536,108.032,0.85,57,Little Mix
Between Us (Deluxe Version),22,6204fAbKexxmfoAPv5YAow,Heartbreak Anthem (feat. David Guetta & Little Mix),spotify:track:6204fAbKexxmfoAPv5YAow,0.218,0.596,0.785,0,0.0576,-4.885,0.0993,124.117,0.473,50,Little Mix
Between Us (Deluxe Version),23,6ptYX4fzpvSW7dLK2lFUjs,Kiss My (Uh Oh),spotify:track:6ptYX4fzpvSW7dLK2lFUjs,0.0153,0.638,0.878,0.000246,0.324,-3.64,0.0487,103.942,0.481,48,Little Mix
Between Us (Deluxe Version),24,6NmigMZ7Yb0BLgc20LW7ui,Cut You Off,spotify:track:6NmigMZ7Yb0BLgc20LW7ui,0.0432,0.71,0.757,0,0.0513,-3.845,0.123,115.042,0.648,62,Little Mix
Between Us (Deluxe Version),25,2Tb4Us0GhAuCpEsqOdTmmy,Trash,spotify:track:2Tb4Us0GhAuCpEsqOdTmmy,0.135,0.617,0.761,0,0.263,-5.392,0.0591,160.08,0.528,60,Little Mix
Between Us (The Experience),1,0y2ldxXFpWpzyhZmaCXbqK,No - Galantis Remix,spotify:track:0y2ldxXFpWpzyhZmaCXbqK,0.192,0.777,0.795,0,0.0418,-3.684,0.0401,122.037,0.889,50,Little Mix
Between Us (The Mixers Edition),4,1UxRk7ySL6EpSA0fuByeg0,Between Us,spotify:track:1UxRk7ySL6EpSA0fuByeg0,0.0942,0.505,0.728,0,0.0982,-3.492,0.0416,92.062,0.239,59,Little Mix
Between Us (The Mixers Edition),12,4oXV7uPMrMNSZfLMYtiqIX,Confetti (feat. Saweetie),spotify:track:4oXV7uPMrMNSZfLMYtiqIX,0.178,0.733,0.643,0,0.0609,-6.45,0.053,107.088,0.485,62,Little Mix
Between Us (The Mixers Edition),28,6mkPKZqPIdyYdFePOwLXqQ,Think About Us (feat. Ty Dolla $ign),spotify:track:6mkPKZqPIdyYdFePOwLXqQ,0.0845,0.512,0.795,0,0.102,-3.714,0.146,175.989,0.432,58,Little Mix
Confetti (Expanded Edition),14,7KCCopaD1mMje4uczVU6W4,No Time For Tears,spotify:track:7KCCopaD1mMje4uczVU6W4,0.0266,0.507,0.88,1.36E-05,0.106,-3.034,0.2,125.142,0.381,41,Little Mix
Confetti (Expanded Edition),15,2RCZhvj9bhe4f14caGBsYu,Bounce Back,spotify:track:2RCZhvj9bhe4f14caGBsYu,0.0263,0.781,0.854,0.000211,0.344,-4.118,0.0745,103.021,0.41,62,Little Mix
Confetti (Expanded Edition),16,632gXr9GJAsy7UBd7Dg7G4,One I've Been Missing,spotify:track:632gXr9GJAsy7UBd7Dg7G4,0.104,0.535,0.646,0,0.0818,-4.377,0.0294,97.963,0.37,53,Little Mix
Confetti (Expanded Edition),17,23nUC66IuCOSQdfqpdzIFM,Break Up Song - Nathan Dawe Remix,spotify:track:23nUC66IuCOSQdfqpdzIFM,0.542,0.634,0.784,0,0.181,-4.951,0.0445,110.036,0.471,42,Little Mix
Confetti (Expanded Edition),18,1pcscaV1UUZxe6cRdxRaSp,Break Up Song - Steve Void Remix,spotify:track:1pcscaV1UUZxe6cRdxRaSp,0.296,0.768,0.758,0,0.591,-4.419,0.167,109.99,0.546,57,Little Mix
Confetti (Expanded Edition),19,2lRQueFXzh6ufI6JAGwb44,Break Up Song - Acoustic Version,spotify:track:2lRQueFXzh6ufI6JAGwb44,0.327,0.504,0.418,0,0.138,-5.79,0.03,89.832,0.444,44,Little Mix
Confetti (Expanded Edition),20,2aD7oj0rHuz3480mOoQsIO,Holiday - MNEK Remix,spotify:track:2aD7oj0rHuz3480mOoQsIO,0.11,0.749,0.853,9.76E-06,0.327,-3.634,0.222,108.11,0.623,45,Little Mix
Confetti (Expanded Edition),21,6u6kzaQFbGXv0NpxGcaygH,Holiday - 220 KID Remix,spotify:track:6u6kzaQFbGXv0NpxGcaygH,0.0938,0.61,0.909,0,0.054,-2.087,0.18,122.085,0.866,34,Little Mix
Confetti (Expanded Edition),22,3tcp3TuUmiVjQznPgrsTN3,Holiday - Frank Walker Remix,spotify:track:3tcp3TuUmiVjQznPgrsTN3,0.106,0.556,0.751,0,0.307,-4.611,0.0419,113.922,0.359,50,Little Mix
Confetti (Expanded Edition),23,6Gbwkfr6MGvhA5WuIzT9Qw,Holiday - Acoustic Version,spotify:track:6Gbwkfr6MGvhA5WuIzT9Qw,0.425,0.633,0.595,0,0.287,-6.251,0.0302,106.005,0.784,35,Little Mix
Confetti (Expanded Edition),24,37tIjf3LEdIfYRu9nl69bV,Sweet Melody - PS1 Remix,spotify:track:37tIjf3LEdIfYRu9nl69bV,0.033,0.637,0.856,0,0.318,-6.392,0.039,121.972,0.474,44,Little Mix
Confetti (Expanded Edition),25,3Zlk11o2c1P0tIQCKnrniu,Sweet Melody - Alle Farben Remix,spotify:track:3Zlk11o2c1P0tIQCKnrniu,0.00575,0.656,0.79,0.000135,0.387,-6.971,0.0808,122.03,0.618,40,Little Mix
Confetti (Expanded Edition),26,1odVyhTzaIQDhB5EnS4nAY,Sweet Melody - Acoustic Version,spotify:track:1odVyhTzaIQDhB5EnS4nAY,0.00803,0.7,0.689,0,0.318,-4.238,0.0364,120.022,0.569,42,Little Mix
Confetti,1,5HArmECc1y0lCHKVKDKXa4,Break Up Song,spotify:track:5HArmECc1y0lCHKVKDKXa4,0.00388,0.631,0.75,0,0.286,-5.416,0.0394,90.019,0.593,65,Little Mix
Confetti,2,5428XgSLRJfpMRN3r6YXob,Holiday,spotify:track:5428XgSLRJfpMRN3r6YXob,0.0875,0.691,0.68,0,0.0618,-6.007,0.185,106.106,0.676,67,Little Mix
Confetti,3,76Tuo484SLohJakHLnGI3B,Sweet Melody,spotify:track:76Tuo484SLohJakHLnGI3B,0.0739,0.448,0.824,0,0.113,-4.249,0.057,119.965,0.419,75,Little Mix
Confetti,4,5zQ00D9j9MkQbsd9qmenBa,Confetti,spotify:track:5zQ00D9j9MkQbsd9qmenBa,0.128,0.75,0.527,0,0.0721,-6.631,0.0458,107.075,0.377,65,Little Mix
Confetti,5,4efdhHdTAS3sYJnI0mjHDc,Happiness,spotify:track:4efdhHdTAS3sYJnI0mjHDc,0.0484,0.642,0.77,2.70E-06,0.0934,-6.289,0.0377,125.932,0.491,59,Little Mix
Confetti,6,5WDIq9E5f5ryHeIs8FwKcl,Not a Pop Song,spotify:track:5WDIq9E5f5ryHeIs8FwKcl,0.279,0.624,0.651,0,0.0782,-4.715,0.0372,139.115,0.355,60,Little Mix
Confetti,7,6DLWgN2TOxdsOXmtLBZAe0,Nothing But My Feelings,spotify:track:6DLWgN2TOxdsOXmtLBZAe0,0.145,0.542,0.659,0,0.0611,-4.465,0.0542,79.437,0.569,49,Little Mix
Confetti,8,15rrQmSEBXtkR6ylXs1NMY,Gloves Up,spotify:track:15rrQmSEBXtkR6ylXs1NMY,0.00277,0.549,0.791,0.000478,0.105,-4.915,0.0898,169.916,0.305,54,Little Mix
Confetti,9,3I8rRolUKTTFnqQ0EXFMtv,A Mess (Happy 4 U),spotify:track:3I8rRolUKTTFnqQ0EXFMtv,0.0633,0.643,0.732,0,0.0825,-6.076,0.0709,104.053,0.542,53,Little Mix
Confetti,10,3Ms30cFnM7su9lCdwgnexR,My Love Won't Let You Down,spotify:track:3Ms30cFnM7su9lCdwgnexR,0.814,0.411,0.377,0,0.147,-5.807,0.0351,135.181,0.447,51,Little Mix
Confetti,11,157MAS9dxMKcYTvISq6hie,Rendezvous,spotify:track:157MAS9dxMKcYTvISq6hie,0.0324,0.688,0.841,0,0.106,-4.503,0.0463,130.041,0.561,52,Little Mix
Confetti,12,0KqyuMJ8KqOMY3QV81D8se,If You Want My Love,spotify:track:0KqyuMJ8KqOMY3QV81D8se,0.0567,0.307,0.666,0,0.0677,-4.682,0.0613,202.636,0.209,51,Little Mix
Confetti,13,2fEO0ZzHNp82CfZ6BxVqso,Breathe,spotify:track:2fEO0ZzHNp82CfZ6BxVqso,0.173,0.352,0.702,0,0.241,-5.103,0.0742,169.751,0.308,51,Little Mix
LM5 (Deluxe),1,7tl4f3AQwC1ZfHSEhMOWdu,The National Manthem,spotify:track:7tl4f3AQwC1ZfHSEhMOWdu,0.775,0.407,0.105,0,0.0904,-10.886,0.0567,146.688,0.32,21,Little Mix
LM5 (Deluxe),2,222B3aljXx6fFwKmFjuBED,Woman Like Me (feat. Nicki Minaj),spotify:track:222B3aljXx6fFwKmFjuBED,0.177,0.754,0.854,0,0.0808,-3.449,0.0608,75.002,0.8,75,Little Mix
LM5 (Deluxe),3,5ecQ5IpXRvNgnsAuw40dOq,Think About Us,spotify:track:5ecQ5IpXRvNgnsAuw40dOq,0.0709,0.477,0.791,0,0.112,-3.331,0.12,175.869,0.603,61,Little Mix
LM5 (Deluxe),4,6XkEw1h2Hq4fGnSm0JuSIs,Strip (feat. Sharaya J),spotify:track:6XkEw1h2Hq4fGnSm0JuSIs,0.0729,0.677,0.542,0,0.213,-7.01,0.341,123.751,0.46,60,Little Mix
LM5 (Deluxe),5,3xZ9W1VCQYMV7Vq8UV2lAq,Monster In Me,spotify:track:3xZ9W1VCQYMV7Vq8UV2lAq,0.645,0.529,0.646,0,0.134,-4.371,0.0822,145.568,0.405,55,Little Mix
LM5 (Deluxe),6,1nIfDGW6LmzWwrx1cAX5ts,Joan of Arc,spotify:track:1nIfDGW6LmzWwrx1cAX5ts,0.00211,0.814,0.627,0.00124,0.0607,-3.294,0.0499,100.019,0.603,59,Little Mix
LM5 (Deluxe),7,5yFi22xR77stmM6Xshg7IH,Love a Girl Right,spotify:track:5yFi22xR77stmM6Xshg7IH,0.0214,0.624,0.669,0,0.103,-5.011,0.0892,99.959,0.502,49,Little Mix
LM5 (Deluxe),8,2D3QYCDI7WrbSMbcIRRBdm,American Boy,spotify:track:2D3QYCDI7WrbSMbcIRRBdm,0.114,0.632,0.862,0,0.226,-4.218,0.0954,77.024,0.783,55,Little Mix
LM5 (Deluxe),9,3Mvd9KPeMf2YQa1MiQGKmV,Told You So,spotify:track:3Mvd9KPeMf2YQa1MiQGKmV,0.36,0.666,0.432,0,0.0703,-5.335,0.0375,97.035,0.592,56,Little Mix
LM5 (Deluxe),10,7IOuCLt770D8v0u3SVaDeI,Wasabi,spotify:track:7IOuCLt770D8v0u3SVaDeI,0.00451,0.847,0.656,0.000854,0.143,-4.976,0.115,114.001,0.234,72,Little Mix
LM5 (Deluxe),11,7KfHeaOXXwaUZAYHIRgWIi,More Than Words (feat. Kamille),spotify:track:7KfHeaOXXwaUZAYHIRgWIi,0.143,0.619,0.565,0,0.109,-5.706,0.0602,134.515,0.336,54,Little Mix
LM5 (Deluxe),12,1IKzLByg2KGGUlvCDQKVJv,Motivate,spotify:track:1IKzLByg2KGGUlvCDQKVJv,0.179,0.652,0.79,2.06E-06,0.0595,-5.122,0.0675,145.992,0.616,53,Little Mix
LM5 (Deluxe),13,3j6w635W6AKCxt98kZ3RIv,Notice,spotify:track:3j6w635W6AKCxt98kZ3RIv,0.351,0.445,0.595,0,0.115,-4.477,0.0699,131.032,0.409,53,Little Mix
LM5 (Deluxe),14,1HiNWMc7vmFVM5mdwrNKnO,The Cure,spotify:track:1HiNWMc7vmFVM5mdwrNKnO,0.274,0.605,0.748,0,0.103,-5.043,0.0527,96.043,0.219,58,Little Mix
LM5 (Deluxe),15,6hSBGp2QEP8ogJQqF60UYD,Forget You Not,spotify:track:6hSBGp2QEP8ogJQqF60UYD,0.335,0.727,0.756,0,0.214,-4.507,0.0429,104.995,0.69,51,Little Mix
LM5 (Deluxe),16,3QKI38J8BZcTTF1HusbUKh,Woman's World,spotify:track:3QKI38J8BZcTTF1HusbUKh,0.144,0.456,0.671,0,0.121,-5.159,0.0567,163.828,0.164,56,Little Mix
LM5 (Deluxe),17,0AHtRtFc0bZvnijTuKhfoX,The Cure (Stripped),spotify:track:0AHtRtFc0bZvnijTuKhfoX,0.772,0.74,0.356,0,0.0693,-7.062,0.266,92.017,0.625,50,Little Mix
LM5 (Deluxe),18,2La7zH38lJ7MOkPZyMXgn8,Only You,spotify:track:2La7zH38lJ7MOkPZyMXgn8,0.0854,0.629,0.742,0,0.0966,-4.774,0.115,108.033,0.252,50,Little Mix
Glory Days (Expanded Edition),1,0ErK6K0kYr0Ow2RkPMhmMs,Shout Out to My Ex,spotify:track:0ErK6K0kYr0Ow2RkPMhmMs,0.0242,0.773,0.747,8.99E-06,0.109,-4.061,0.0885,126.014,0.801,81,Little Mix
Glory Days (Expanded Edition),2,3TdXFHsGYGYEYP6Kg3he9W,Touch (feat. Kid Ink),spotify:track:3TdXFHsGYGYEYP6Kg3he9W,0.0448,0.641,0.752,0,0.494,-3.929,0.109,101.797,0.547,59,Little Mix
Glory Days (Expanded Edition),3,5YH1A3YttSay4lgAR75tk3,Reggaetón Lento (Remix),spotify:track:5YH1A3YttSay4lgAR75tk3,0.158,0.624,0.909,0,0.0972,-3.079,0.0745,93.982,0.65,56,Little Mix
Glory Days (Expanded Edition),4,33dY25vtBFUZ6m948fb3eK,F.U.,spotify:track:33dY25vtBFUZ6m948fb3eK,0.577,0.62,0.808,0,0.0971,-3.555,0.0481,97.011,0.475,57,Little Mix
Glory Days (Expanded Edition),5,4QVFtAswXqPoAWRLo5yu8a,Power (feat. Stormzy),spotify:track:4QVFtAswXqPoAWRLo5yu8a,0.0345,0.586,0.865,5.70E-06,0.165,-4.092,0.319,172.912,0.468,67,Little Mix
