album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Bobby Tarantino III,1,3J7DDL3rGkwlIm4UkIyZcQ,introll,spotify:track:3J7DDL3rGkwlIm4UkIyZcQ,0.0867,0.768,0.503,0.0333,0.104,-9.929,0.552,162.055,0.528,54,Logic
Bobby Tarantino III,2,4lHBn99hzTKCqmEGoZaZcL,Vaccine,spotify:track:4lHBn99hzTKCqmEGoZaZcL,0.043,0.785,0.612,0,0.108,-4.068,0.0521,149.922,0.583,62,Logic
Bobby Tarantino III,3,6XOY1Y6mZmkzoa9NDfozt3,Get Up,spotify:track:6XOY1Y6mZmkzoa9NDfozt3,0.267,0.692,0.662,0.0214,0.112,-7.694,0.033,153.085,0.722,57,Logic
Bobby Tarantino III,4,26xfrX9phl1NNsz1H5TJJn,My Way,spotify:track:26xfrX9phl1NNsz1H5TJJn,0.0186,0.608,0.667,0,0.119,-5.751,0.0399,184.021,0.15,56,Logic
Bobby Tarantino III,5,3GnKQbsTncWdliHNgqg0Av,Call Me,spotify:track:3GnKQbsTncWdliHNgqg0Av,0.271,0.714,0.621,0.00393,0.0783,-10.566,0.244,154.178,0.627,56,Logic
Bobby Tarantino III,6,4FC0MkDV5elZUcHDXZm1nj,Inside (feat. Cynthia Erivo),spotify:track:4FC0MkDV5elZUcHDXZm1nj,0.168,0.39,0.479,5.82E-06,0.111,-7.362,0.0563,88.365,0.15,56,Logic
Bobby Tarantino III,7,0OUZoXhXP1XbJnaez0jSJ4,Flawless,spotify:track:0OUZoXhXP1XbJnaez0jSJ4,0.334,0.742,0.654,1.18E-06,0.108,-6.992,0.2,137.054,0.558,61,Logic
Bobby Tarantino III,8,0aROixALIghwvjNG4iD8pI,Stupid Skit,spotify:track:0aROixALIghwvjNG4iD8pI,0.189,0.838,0.694,0.000129,0.131,-6.234,0.176,77.037,0.783,49,Logic
Bobby Tarantino III,9,08dXaiP8qdpvQqGKv5rUqE,Theme For The People,spotify:track:08dXaiP8qdpvQqGKv5rUqE,0.618,0.793,0.908,0,0.105,-4.021,0.058,138.055,0.836,57,Logic
Bobby Tarantino III,10,0p0b3Sq6hHoWLjQwND3etN,God Might Judge,spotify:track:0p0b3Sq6hHoWLjQwND3etN,0.0725,0.517,0.82,0,0.362,-3.868,0.138,93.032,0.483,58,Logic
Bobby Tarantino III,11,2wRHD4n81GyhlVMxYJ0nks,See You Space Cowboy...,spotify:track:2wRHD4n81GyhlVMxYJ0nks,0.0172,0.507,0.817,1.39E-06,0.108,-5.264,0.276,93.994,0.522,60,Logic
Bobby Tarantino III,12,4ADNavlMOA9rx9hKw51PCW,untitled,spotify:track:4ADNavlMOA9rx9hKw51PCW,0.252,0.726,0.674,0.000163,0.0991,-4.683,0.213,93.14,0.323,59,Logic
YS Collection Vol. 1,1,1IY46WkIINigH71KTv7Uv2,All I Do,spotify:track:1IY46WkIINigH71KTv7Uv2,0.0578,0.68,0.756,0,0.349,-7.154,0.19,170.927,0.805,63,Logic
YS Collection Vol. 1,2,52SUwNCzqElrCJQHxBsq5a,One (feat. Frank Sinatra),spotify:track:52SUwNCzqElrCJQHxBsq5a,0.169,0.519,0.823,0,0.129,-5.85,0.0827,82.58,0.329,53,Logic
YS Collection Vol. 1,3,50phXS6hmTMpmQbfds8Bvr,The Come Up,spotify:track:50phXS6hmTMpmQbfds8Bvr,0.147,0.759,0.497,0,0.147,-5.068,0.145,87.037,0.281,55,Logic
YS Collection Vol. 1,4,34xbyF0mABlqub5fj5RkC0,We Get High,spotify:track:34xbyF0mABlqub5fj5RkC0,0.212,0.76,0.766,0.0001,0.256,-5.537,0.061,119.012,0.583,55,Logic
YS Collection Vol. 1,5,5AgROGBWg39Ln0GK3YFSmz,Relaxation,spotify:track:5AgROGBWg39Ln0GK3YFSmz,0.0282,0.744,0.734,0,0.0745,-6.989,0.294,97.878,0.907,52,Logic
YS Collection Vol. 1,6,4j9O2n3czrw000jY8ouJZ8,Numbers,spotify:track:4j9O2n3czrw000jY8ouJZ8,0.0247,0.641,0.768,0,0.208,-6.351,0.0997,80.019,0.501,54,Logic
YS Collection Vol. 1,7,0C1T6YOwB7MMzspV0UbKKA,5 A.M.,spotify:track:0C1T6YOwB7MMzspV0UbKKA,0.205,0.72,0.677,0,0.0966,-4.592,0.162,174.072,0.389,66,Logic
YS Collection Vol. 1,8,1qblTZmnYTluKZoNha5HXk,Ballin,spotify:track:1qblTZmnYTluKZoNha5HXk,0.0541,0.747,0.865,0,0.0979,-5.957,0.215,150.609,0.693,53,Logic
YS Collection Vol. 1,9,5U6HACLkmJFWvC75pnxPdw,Man Of The Year,spotify:track:5U6HACLkmJFWvC75pnxPdw,0.148,0.611,0.737,0.00193,0.106,-6.401,0.0381,156.024,0.492,59,Logic
YS Collection Vol. 1,10,45x4tULmYHSJelP4vRH0Lk,Just Another Day,spotify:track:45x4tULmYHSJelP4vRH0Lk,0.0624,0.697,0.645,0,0.0795,-8.415,0.211,81.992,0.15,48,Logic
YS Collection Vol. 1,11,3iVFBmRZtDXdp8tFGpK0Et,Dead Presidents lll,spotify:track:3iVFBmRZtDXdp8tFGpK0Et,0.227,0.609,0.912,0,0.359,-4.917,0.344,86.407,0.895,52,Logic
