album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Ludaversal (Deluxe),1,77zeaNi0MfXEga1W3Sozbt,Ludaversal Intro,spotify:track:77zeaNi0MfXEga1W3Sozbt,0.0596,0.768,0.823,0,0.339,-6.333,0.0978,135.967,0.406,37,Ludacris
Ludaversal (Deluxe),2,2cyrYMg4rxY8WNct3lVBm8,Grass Is Always Greener,spotify:track:2cyrYMg4rxY8WNct3lVBm8,0.0847,0.662,0.805,0,0.387,-7.043,0.326,94.929,0.614,40,Ludacris
Ludaversal (Deluxe),3,1SzUjM4OtrcNMeDnL0aYDw,Call Ya Bluff,spotify:track:1SzUjM4OtrcNMeDnL0aYDw,0.0225,0.847,0.616,0,0.449,-8.138,0.251,121.992,0.718,45,Ludacris
Ludaversal (Deluxe),4,6QkRTkarDVgHf2WGGcmU5g,Lyrical Healing,spotify:track:6QkRTkarDVgHf2WGGcmU5g,0.125,0.516,0.654,0,0.196,-9.746,0.364,83.193,0.715,31,Ludacris
Ludaversal (Deluxe),5,1bMk013HdX3XLG2RNdkswq,Beast Mode,spotify:track:1bMk013HdX3XLG2RNdkswq,0.00104,0.487,0.808,0,0.395,-6.559,0.321,150.555,0.512,39,Ludacris
Ludaversal (Deluxe),6,4A0yY8WvpCHCqBMA2MEA78,Viagra Skit,spotify:track:4A0yY8WvpCHCqBMA2MEA78,0.991,0.718,0.396,0.000286,0.436,-15.506,0.943,118.222,0.732,26,Ludacris
Ludaversal (Deluxe),7,4XVTowqnqfY3EkuwF8gFFd,Get Lit,spotify:track:4XVTowqnqfY3EkuwF8gFFd,0.0273,0.621,0.84,0,0.181,-7.11,0.268,144.37,0.778,34,Ludacris
Ludaversal (Deluxe),8,5D2z4dXeboBD1nVe9egUMx,Come And See Me Interlude,spotify:track:5D2z4dXeboBD1nVe9egUMx,0.0236,0.586,0.71,0,0.183,-8.642,0.322,75.493,0.575,27,Ludacris
Ludaversal (Deluxe),9,7gbg7kCLB7UmruRaxNAju5,Come And See Me,spotify:track:7gbg7kCLB7UmruRaxNAju5,0.00744,0.876,0.486,0,0.232,-8.864,0.245,132.051,0.174,38,Ludacris
Ludaversal (Deluxe),10,3aeSTu6ejN2BU8YywEcHWO,Good Lovin,spotify:track:3aeSTu6ejN2BU8YywEcHWO,0.294,0.619,0.754,3.48E-06,0.109,-5.231,0.232,83.464,0.589,59,Ludacris
Ludaversal (Deluxe),11,1w9BpVr1IUekRxTxB68bsT,Ocean Skies,spotify:track:1w9BpVr1IUekRxTxB68bsT,0.0381,0.427,0.748,0,0.351,-6.866,0.193,149.238,0.386,32,Ludacris
Ludaversal (Deluxe),12,26vpFR1AiqH1Ex3K17xGfQ,Not Long,spotify:track:26vpFR1AiqH1Ex3K17xGfQ,0.0119,0.538,0.798,0,0.0781,-6.909,0.121,169.516,0.631,31,Ludacris
Ludaversal (Deluxe),13,4qQePxheRSXNd2lqlvgGYd,Charge It To The Rap Game,spotify:track:4qQePxheRSXNd2lqlvgGYd,0.0853,0.612,0.695,0,0.618,-9.28,0.388,78.115,0.515,29,Ludacris
Ludaversal (Deluxe),14,2vGSSmNDkMLbyQn7SCbynf,This Has Been My World,spotify:track:2vGSSmNDkMLbyQn7SCbynf,0.00632,0.464,0.809,0,0.199,-6.201,0.0794,91.146,0.0655,28,Ludacris
Ludaversal (Deluxe),15,1ndhF2ZkkFKw68ix0eFllO,Money,spotify:track:1ndhF2ZkkFKw68ix0eFllO,0.0467,0.55,0.886,0,0.196,-5.829,0.281,76.863,0.582,30,Ludacris
Ludaversal (Deluxe),16,2HcwlrhmvhlNNwoGvZz2Nw,Problems,spotify:track:2HcwlrhmvhlNNwoGvZz2Nw,0.0263,0.708,0.748,0,0.338,-4.929,0.0523,127.985,0.0404,33,Ludacris
Ludaversal (Deluxe),17,7CDZhFtOXWYtLFD7pHQKcL,In My Life,spotify:track:7CDZhFtOXWYtLFD7pHQKcL,0.0082,0.358,0.92,0,0.168,-4.583,0.241,149.796,0.614,27,Ludacris
Ludaversal (Deluxe),18,3d81kNr1Ge6gTTeOXnKxV0,Burning Bridges,spotify:track:3d81kNr1Ge6gTTeOXnKxV0,0.135,0.512,0.939,0,0.177,-5.303,0.351,159.914,0.466,36,Ludacris
The Conjure Mixtape: A Hustler's Spirit,2,72nemulMS9rPeqZEmGtOye,Wasted,spotify:track:72nemulMS9rPeqZEmGtOye,0.0536,0.624,0.598,0,0.218,-7.944,0.357,154.836,0.574,18,Ludacris
The Conjure Mixtape: A Hustler's Spirit,3,6AmL1mgZFQSCVR2zP4N73P,O Lets Do It,spotify:track:6AmL1mgZFQSCVR2zP4N73P,0.0573,0.867,0.465,0,0.354,-8.972,0.419,129.94,0.378,19,Ludacris
The Conjure Mixtape: A Hustler's Spirit,4,6BVU5yXfSe7ypq9YXg1aag,Patna Dem,spotify:track:6BVU5yXfSe7ypq9YXg1aag,0.0964,0.725,0.882,0,0.0855,-6.787,0.241,141.982,0.775,22,Ludacris
The Conjure Mixtape: A Hustler's Spirit,5,7IuR9PUcOadVcoxcV93w68,Conjure Commercial,spotify:track:7IuR9PUcOadVcoxcV93w68,0.581,0.723,0.273,0,0.258,-11.971,0.938,104.233,0.972,14,Ludacris
The Conjure Mixtape: A Hustler's Spirit,6,6U54nHml0lkGVrFoIQRxTC,All The Way Turned Up,spotify:track:6U54nHml0lkGVrFoIQRxTC,0.00462,0.648,0.916,0,0.251,-4.156,0.0839,132.059,0.781,21,Ludacris
The Conjure Mixtape: A Hustler's Spirit,7,1IOJtyQGV7LVy9N6xfmlS3,Born An Og,spotify:track:1IOJtyQGV7LVy9N6xfmlS3,0.274,0.562,0.799,0,0.149,-4.739,0.122,138.915,0.291,17,Ludacris
The Conjure Mixtape: A Hustler's Spirit,8,1r08jwkaxAHmxckV6UCDxJ,"Atlanta,GA",spotify:track:1r08jwkaxAHmxckV6UCDxJ,0.108,0.574,0.872,0,0.303,-3.376,0.226,147.936,0.636,16,Ludacris
The Conjure Mixtape: A Hustler's Spirit,9,0Pgu1Wlp6wPmpf3qaiziI2,Conjure Commercial 2,spotify:track:0Pgu1Wlp6wPmpf3qaiziI2,0.544,0.773,0.315,0,0.306,-12.106,0.897,96.025,0.761,12,Ludacris
The Conjure Mixtape: A Hustler's Spirit,10,61kiUUQIw1Y1EI2cqUO3qM,Everybody Wit Me,spotify:track:61kiUUQIw1Y1EI2cqUO3qM,0.0864,0.886,0.65,0,0.208,-7.515,0.0895,122.781,0.182,18,Ludacris
