album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
3 (The Purple Album),1,5vph4KmP15IRBLRPPsLnRo,Not A Damn Thing Changed,spotify:track:5vph4KmP15IRBLRPPsLnRo,0.238,0.8,0.709,0,0.119,-5.834,0.0381,127.438,0.388,48,Lukas Graham
3 (The Purple Album),3,6ZZcEpdRmcgYX1rgBW7m7z,You’re Not The Only One (Redemption Song),spotify:track:6ZZcEpdRmcgYX1rgBW7m7z,0.293,0.653,0.419,0,0.111,-7.486,0.0414,98.983,0.366,44,Lukas Graham
3 (The Purple Album),1,6TWoOOvqyMHBUuHpNS5Rre,Not a Damn Thing Changed,spotify:track:6TWoOOvqyMHBUuHpNS5Rre,0.238,0.8,0.709,0,0.119,-5.834,0.0381,127.438,0.388,48,Lukas Graham
3 (The Purple Album),2,6iuKYlSk5PxQ3P8O4OrLcj,Lullaby,spotify:track:6iuKYlSk5PxQ3P8O4OrLcj,0.077,0.658,0.493,0,0.108,-7.702,0.0303,139.829,0.524,48,Lukas Graham
3 (The Purple Album),3,2GUMnvJq9GUWH5d9XRgTeP,You're Not the Only One (Redemption Song),spotify:track:2GUMnvJq9GUWH5d9XRgTeP,0.293,0.653,0.419,0,0.111,-7.486,0.0414,98.983,0.366,49,Lukas Graham
3 (The Purple Album),4,0OCRwXbQRdOZ1OtB4Imsp1,Love Someone,spotify:track:0OCRwXbQRdOZ1OtB4Imsp1,0.172,0.538,0.409,0,0.11,-6.581,0.0505,171.838,0.265,75,Lukas Graham
3 (The Purple Album),5,1xRn1GOSJCqf0HxFEB200o,Promise,spotify:track:1xRn1GOSJCqf0HxFEB200o,0.398,0.767,0.508,0,0.136,-5.016,0.0457,95.97,0.687,46,Lukas Graham
3 (The Purple Album),6,5VSlplWVGj9b3HBUJ7Gsnz,Stick Around,spotify:track:5VSlplWVGj9b3HBUJ7Gsnz,0.478,0.369,0.45,6.97E-06,0.111,-7.737,0.0411,185.961,0.126,47,Lukas Graham
3 (The Purple Album),7,7LKZfLbyXHEph3t9Svfk0i,Unhappy,spotify:track:7LKZfLbyXHEph3t9Svfk0i,0.0522,0.793,0.697,1.45E-06,0.262,-6.43,0.115,87.985,0.554,45,Lukas Graham
3 (The Purple Album),8,5ssuMBqBwZbxN8BCIX5sLo,Everything That Isn't Me,spotify:track:5ssuMBqBwZbxN8BCIX5sLo,0.626,0.702,0.413,3.96E-05,0.103,-8.538,0.0961,75.832,0.263,46,Lukas Graham
