album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Humble Quest,1,08TCIO6LpgC11UdayeOxWB,Circles Around This Town,spotify:track:08TCIO6LpgC11UdayeOxWB,0.015,0.591,0.814,0,0.117,-4.986,0.0468,149.9,0.815,60,Maren Morris
Humble Quest,2,6onpcMnD3eVbTq1B5th05E,The Furthest Thing,spotify:track:6onpcMnD3eVbTq1B5th05E,0.906,0.413,0.375,7.20E-06,0.167,-10.306,0.042,81.969,0.26,60,Maren Morris
Humble Quest,3,4tKtMWS8LZRvWhzuHKRIdr,I Can't Love You Anymore,spotify:track:4tKtMWS8LZRvWhzuHKRIdr,0.217,0.342,0.591,0,0.16,-5.115,0.0452,175.673,0.399,60,Maren Morris
Humble Quest,4,2kxytjpDPwjZGqVLH8eWkr,Humble Quest,spotify:track:2kxytjpDPwjZGqVLH8eWkr,0.0721,0.623,0.727,0.000318,0.117,-6.585,0.037,113.902,0.349,69,Maren Morris
Humble Quest,5,2QgLakrVOFqkpR2lmMQ6FT,Background Music,spotify:track:2QgLakrVOFqkpR2lmMQ6FT,0.405,0.269,0.41,2.21E-06,0.122,-7.521,0.0321,171.262,0.119,59,Maren Morris
Humble Quest,6,7LrF8C77PkYtm4D8JpuKnJ,Nervous,spotify:track:7LrF8C77PkYtm4D8JpuKnJ,0.00459,0.414,0.69,0,0.0761,-6.917,0.0355,171.981,0.186,59,Maren Morris
Humble Quest,7,4ejvP7O6FCYyq47Q1lcpVr,Tall Guys,spotify:track:4ejvP7O6FCYyq47Q1lcpVr,0.0847,0.541,0.632,9.38E-06,0.173,-5.46,0.12,157.912,0.685,59,Maren Morris
Humble Quest,8,2nijz65bLAu51eZLFQ0naN,Detour,spotify:track:2nijz65bLAu51eZLFQ0naN,0.458,0.558,0.49,0.00721,0.108,-7.97,0.0306,104.018,0.205,59,Maren Morris
Humble Quest,9,5RtZ4ebQFkCa6TGQjQshdd,Hummingbird,spotify:track:5RtZ4ebQFkCa6TGQjQshdd,0.842,0.402,0.132,0,0.12,-10.466,0.0308,106.591,0.137,58,Maren Morris
Humble Quest,10,5HVc3YeNKDFomPhXBKE90U,Good Friends,spotify:track:5HVc3YeNKDFomPhXBKE90U,0.45,0.628,0.517,1.27E-06,0.104,-7.031,0.0596,79.029,0.295,58,Maren Morris
Humble Quest,11,18XfGxp5SjAqXa2qf14e8i,What Would This World Do?,spotify:track:18XfGxp5SjAqXa2qf14e8i,0.848,0.474,0.299,0,0.112,-7.075,0.0384,126.309,0.253,57,Maren Morris
GIRL,1,0pGXe7umwkcCm01Ipoxp0U,GIRL,spotify:track:0pGXe7umwkcCm01Ipoxp0U,0.0677,0.44,0.793,0,0.0788,-3.95,0.0501,143.603,0.447,66,Maren Morris
GIRL,2,4c10Mtlt9dPeKvP61sicAs,The Feels,spotify:track:4c10Mtlt9dPeKvP61sicAs,0.109,0.694,0.788,0,0.0647,-5.33,0.0631,96.982,0.903,57,Maren Morris
GIRL,3,0tEPv5fuzMhtm6NM5GvQiF,All My Favorite People (feat. Brothers Osborne),spotify:track:0tEPv5fuzMhtm6NM5GvQiF,0.0327,0.422,0.919,0.000605,0.33,-4,0.0639,83.867,0.553,63,Maren Morris
GIRL,4,59C9WyONT72bKyaystIzjq,A Song for Everything,spotify:track:59C9WyONT72bKyaystIzjq,0.159,0.578,0.569,0,0.105,-7.863,0.0357,100.037,0.187,53,Maren Morris
GIRL,5,4w23TYG2uP8R7pBpBexj9c,Common (feat. Brandi Carlile),spotify:track:4w23TYG2uP8R7pBpBexj9c,0.591,0.508,0.736,0,0.0811,-5.332,0.0726,104.692,0.372,50,Maren Morris
GIRL,6,1LKQ83wyv2ziWa37q3LjOP,Flavor,spotify:track:1LKQ83wyv2ziWa37q3LjOP,0.0755,0.284,0.875,0,0.153,-4.939,0.123,81.332,0.502,45,Maren Morris
GIRL,7,1XfDYxQ8o7yZN7lbKECwHE,Make Out With Me,spotify:track:1XfDYxQ8o7yZN7lbKECwHE,0.715,0.351,0.65,0,0.351,-6.47,0.0795,66.745,0.645,56,Maren Morris
GIRL,8,5Bkqvo5RSfCE4f3gWQbHBw,Gold Love,spotify:track:5Bkqvo5RSfCE4f3gWQbHBw,0.0403,0.663,0.74,0,0.147,-6.405,0.0381,92.01,0.559,48,Maren Morris
GIRL,9,4noLkCgGpRBVjvQM6NQGjW,Great Ones,spotify:track:4noLkCgGpRBVjvQM6NQGjW,0.0925,0.583,0.834,0,0.0773,-5.372,0.0481,145.022,0.571,47,Maren Morris
GIRL,10,5XpCtro93VCZcfZHHoPh0I,RSVP,spotify:track:5XpCtro93VCZcfZHHoPh0I,0.262,0.686,0.574,0,0.193,-7.243,0.0737,124.976,0.374,47,Maren Morris
GIRL,11,4Yy1VOdLAX7MuKQOcivV4O,To Hell & Back,spotify:track:4Yy1VOdLAX7MuKQOcivV4O,0.148,0.463,0.71,0.000192,0.123,-7.051,0.0859,78.144,0.441,63,Maren Morris
GIRL,12,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ,0.278,0.612,0.57,0,0.0963,-6.642,0.0347,77.004,0.334,80,Maren Morris
GIRL,13,71K52AGlhXq9wAEl7lE5Yv,Good Woman,spotify:track:71K52AGlhXq9wAEl7lE5Yv,0.0942,0.346,0.436,5.57E-06,0.104,-6.933,0.0287,131.718,0.281,50,Maren Morris
GIRL,14,5Lz0cxt1NhOZZyo7fpMz31,Shade,spotify:track:5Lz0cxt1NhOZZyo7fpMz31,0.0814,0.513,0.571,6.92E-05,0.292,-7.477,0.0442,139.954,0.369,45,Maren Morris
GIRL,15,0B0Kv1dO7clBuDwZMO0dxP,Just for Now,spotify:track:0B0Kv1dO7clBuDwZMO0dxP,0.116,0.555,0.636,0,0.167,-5.097,0.034,137.732,0.603,52,Maren Morris
GIRL,16,1qYasLtXkp2bXcxyGIxb53,Takes Two,spotify:track:1qYasLtXkp2bXcxyGIxb53,0.0017,0.609,0.645,1.41E-05,0.121,-5.604,0.0289,95.988,0.709,44,Maren Morris
HERO (Deluxe Edition),1,41e2LhE1nFYh41vIteVA5u,Sugar,spotify:track:41e2LhE1nFYh41vIteVA5u,0.19,0.565,0.755,0,0.0807,-4.775,0.0785,75.456,0.681,48,Maren Morris
HERO (Deluxe Edition),2,4H0vNUFcHPz5lytcLjwqkr,Rich,spotify:track:4H0vNUFcHPz5lytcLjwqkr,0.0445,0.565,0.855,0,0.32,-4.189,0.0557,74.98,0.852,65,Maren Morris
HERO (Deluxe Edition),3,1LM5zQv5pBKPyO7rm7Uz6U,My Church,spotify:track:1LM5zQv5pBKPyO7rm7Uz6U,0.243,0.517,0.743,3.36E-06,0.107,-4.336,0.0363,76.979,0.664,72,Maren Morris
HERO (Deluxe Edition),4,09iyGiljLWRYXdRazFkdtJ,I Could Use a Love Song,spotify:track:09iyGiljLWRYXdRazFkdtJ,0.214,0.638,0.634,0,0.0866,-6.474,0.0468,92.097,0.473,70,Maren Morris
HERO (Deluxe Edition),5,58spuRyMUsjKHQHEGwLC99,80s Mercedes,spotify:track:58spuRyMUsjKHQHEGwLC99,0.0665,0.485,0.834,0,0.28,-5.413,0.0715,90.933,0.659,66,Maren Morris
HERO (Deluxe Edition),6,5zpZxvuwfG7IXZ2s6iT8CN,Drunk Girls Don't Cry,spotify:track:5zpZxvuwfG7IXZ2s6iT8CN,0.111,0.457,0.773,0,0.861,-5.647,0.194,180.061,0.752,49,Maren Morris
HERO (Deluxe Edition),7,0ZUCKcWdFABozlSmojDyLZ,How It's Done,spotify:track:0ZUCKcWdFABozlSmojDyLZ,0.226,0.511,0.661,0,0.376,-6.12,0.0711,143.438,0.517,45,Maren Morris
HERO (Deluxe Edition),8,47hVzpTqHP5qnVHVrqWKsD,Just Another Thing,spotify:track:47hVzpTqHP5qnVHVrqWKsD,0.213,0.594,0.599,0,0.143,-5.852,0.0343,98.959,0.797,46,Maren Morris
HERO (Deluxe Edition),9,0CqvhN7ChNjQf4tHp5rKTv,I Wish I Was,spotify:track:0CqvhN7ChNjQf4tHp5rKTv,0.71,0.645,0.62,0,0.106,-6.978,0.0433,84.984,0.714,54,Maren Morris
HERO (Deluxe Edition),10,6LWNBtLLJjDMgdijzoiizZ,Second Wind,spotify:track:6LWNBtLLJjDMgdijzoiizZ,0.226,0.481,0.795,0,0.162,-4.873,0.0902,159.821,0.59,48,Maren Morris
HERO (Deluxe Edition),11,7BGilQ0KLnoEt00t4ShtSK,Once,spotify:track:7BGilQ0KLnoEt00t4ShtSK,0.018,0.45,0.555,0,0.104,-6.247,0.038,117.093,0.217,49,Maren Morris
HERO (Deluxe Edition),12,1C9Pf4MPHdv0FtEGkHz8F4,Bummin' Cigarettes,spotify:track:1C9Pf4MPHdv0FtEGkHz8F4,0.366,0.542,0.566,5.14E-06,0.0979,-5.99,0.0561,153.479,0.408,47,Maren Morris
HERO (Deluxe Edition),13,1GJmy3G4DzQ4QsN25657NS,Company You Keep,spotify:track:1GJmy3G4DzQ4QsN25657NS,0.0783,0.625,0.811,0,0.3,-4.295,0.0468,90.95,0.777,45,Maren Morris
HERO (Deluxe Edition),14,3lsJh2SgDAlL4f5nUW3jv7,Space,spotify:track:3lsJh2SgDAlL4f5nUW3jv7,0.471,0.374,0.413,0,0.111,-7.084,0.0297,193.547,0.199,50,Maren Morris
