album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),5,2alKwBhztH0cUAn0AxLznT,Let it Snow! Let it Snow! Let it Snow! (Outro),spotify:track:2alKwBhztH0cUAn0AxLznT,0.0125,0,0.247,0.457,0.317,-9.002,0,0,0,0,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),17,3V6NSyxAE8U903hNDXbCe9,"""Little Mimi's"" Theme",spotify:track:3V6NSyxAE8U903hNDXbCe9,0.986,0.495,0.0417,0.953,0.115,-20.539,0.066,94.808,0,0,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),1,0n0Mnuof8X9hjQgq6G7XmL,"Overture ""Little Mariah's"" Theme",spotify:track:0n0Mnuof8X9hjQgq6G7XmL,0.982,0,0.0364,0.912,0.103,-19.56,0,0,0,0,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),2,7sNjm4dhGxofcgJBw0wep4,Sleigh Ride,spotify:track:7sNjm4dhGxofcgJBw0wep4,0.148,0.471,0.896,0,0.703,-3.884,0.11,184.119,0.654,39,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),3,3ocyrv3qU0Zi7lTd29miJR,Hark! The Herald Angels Sing (Interlude),spotify:track:3ocyrv3qU0Zi7lTd29miJR,0.481,0.0905,0.617,0,0.338,-2.94,0.0404,163.362,0,1,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),4,3Pd2Rmoy7P5Sq1I7mU552I,When Christmas Comes - Magical Christmas Mix,spotify:track:3Pd2Rmoy7P5Sq1I7mU552I,0.342,0.651,0.535,0,0.645,-5.407,0.0306,77.017,0.592,30,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),6,26xOt6GDBoeUcSmObpLVzL,Peanuts...All I Want (Interlude),spotify:track:26xOt6GDBoeUcSmObpLVzL,0.878,0.59,0.271,0.0481,0.206,-18.069,0.0358,95.416,0.372,30,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),7,3fiS9SDksKIT5YrNk9VoZz,Christmas Time Is Here,spotify:track:3fiS9SDksKIT5YrNk9VoZz,0.731,0.312,0.403,0,0.131,-10.182,0.0315,121.926,0.155,29,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),8,7pSoRbHvsWWysBdX251mCu,Santa Claus is Comin' to Town (Intro),spotify:track:7pSoRbHvsWWysBdX251mCu,0.888,0.0881,0.359,0.927,0.143,-12.044,0.0381,166.061,0.0364,0,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),9,2VkuxjlbnbaBiWYpdBGVol,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),spotify:track:2VkuxjlbnbaBiWYpdBGVol,0.0339,0.648,0.938,1.28E-06,0.0564,-3.298,0.115,78.496,0.849,44,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),10,6OkevUybUFp70w4PhGdo63,Here Comes Santa Claus (Right Down Santa Claus Lane) / House Top Celebration (feat. Snoop Dogg & Jermaine Dupri),spotify:track:6OkevUybUFp70w4PhGdo63,0.0292,0.72,0.844,0,0.403,-4.619,0.0837,108.896,0.531,30,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),11,5d5B4PO7p1iMgCDYbROvnc,Sugar Plum Fairy - Magical Christmas Mix,spotify:track:5d5B4PO7p1iMgCDYbROvnc,0.495,0.686,0.372,0.776,0.194,-12.403,0.0539,123.952,0.301,29,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),12,349Y5nyvhujCsTrXKpd08f,Christmas Time Is In The Air Again - Magical Christmas Mix,spotify:track:349Y5nyvhujCsTrXKpd08f,0.753,0.296,0.356,0,0.325,-8.078,0.0312,82.785,0.128,27,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),13,003xNaWRMtF3NKEj32kycd,O Holy Night - Magical Christmas Mix,spotify:track:003xNaWRMtF3NKEj32kycd,0.141,0.35,0.587,0.000273,0.283,-5.603,0.0344,173.709,0.0918,28,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),14,3uyiHLPvmbeM6cblRl7Mec,Joy To The World - Magical Christmas Mix,spotify:track:3uyiHLPvmbeM6cblRl7Mec,0.0554,0.581,0.814,0,0.165,-3.872,0.0533,117.996,0.173,27,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),15,4mXLoKYUAUWsp3g1jwrifH,Silent Night - Magical Christmas Mix,spotify:track:4mXLoKYUAUWsp3g1jwrifH,0.616,0.148,0.469,0.000154,0.147,-7.843,0.0361,176.146,0.116,26,Mariah Carey
Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),16,4HldxXdg8tlzNrC5s45Smb,All I Want For Christmas Is You - Magical Christmas Mix,spotify:track:4HldxXdg8tlzNrC5s45Smb,0.0137,0.483,0.749,0,0.399,-4.818,0.0361,150.001,0.182,30,Mariah Carey
The Rarities,1,10A03OyuWyErmqSxsMGX96,Here We Go Around Again - 1990,spotify:track:10A03OyuWyErmqSxsMGX96,0.144,0.785,0.824,0,0.0424,-4.203,0.0365,113.501,0.841,42,Mariah Carey
The Rarities,2,4y7X5M3kB8GJjWmngmGYY4,Can You Hear Me - 1991,spotify:track:4y7X5M3kB8GJjWmngmGYY4,0.853,0.361,0.233,1.16E-05,0.0784,-8.53,0.029,102.723,0.184,36,Mariah Carey
The Rarities,3,4t99ozH6ai7AGBDAWcZ3hw,Do You Think of Me - 1993,spotify:track:4t99ozH6ai7AGBDAWcZ3hw,0.63,0.576,0.692,3.56E-06,0.0973,-6.92,0.0749,142.093,0.452,38,Mariah Carey
The Rarities,4,1MqdN16RJUhAa1pjx31ESL,Everything Fades Away - 1993,spotify:track:1MqdN16RJUhAa1pjx31ESL,0.731,0.534,0.399,6.39E-05,0.0612,-11.062,0.0304,77.998,0.189,42,Mariah Carey
The Rarities,5,7zgEjKKBdV4SEX6X6n891W,All I Live For - 1993,spotify:track:7zgEjKKBdV4SEX6X6n891W,0.0257,0.656,0.82,6.11E-06,0.0596,-5.168,0.0433,98.981,0.669,38,Mariah Carey
The Rarities,6,6eOZrCUM5K99o1fwedYHEh,One Night - 1995,spotify:track:6eOZrCUM5K99o1fwedYHEh,0.102,0.531,0.645,0,0.328,-6.106,0.0557,189.843,0.725,35,Mariah Carey
The Rarities,7,0pP8AKh6THoetm7phmIebu,Slipping Away - 1996,spotify:track:0pP8AKh6THoetm7phmIebu,0.454,0.398,0.752,0,0.0685,-5.868,0.121,80.505,0.634,42,Mariah Carey
The Rarities,8,68qDHNKELdAHbRw3rrHS2G,Out Here On My Own - 2000,spotify:track:68qDHNKELdAHbRw3rrHS2G,0.821,0.348,0.172,0,0.071,-11.12,0.0315,133.904,0.244,43,Mariah Carey
The Rarities,9,0g7ri4rS3G1Bu76aBvWMtE,"Loverboy - Firecracker - Original Version, 2001",spotify:track:0g7ri4rS3G1Bu76aBvWMtE,0.118,0.705,0.768,0,0.512,-5.133,0.153,102.517,0.664,43,Mariah Carey
