album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Shockwave,6,501gxDdV93Da0xzOu21Rqi,Bad Bitches,spotify:track:501gxDdV93Da0xzOu21Rqi,0.00033,0.819,0.814,0.328,0.0644,-3.44,0.0382,125.965,0.464,26,Marshmello
Shockwave,7,40TncdsvBdfl5K8YEPIViP,Back in Time,spotify:track:40TncdsvBdfl5K8YEPIViP,0.0108,0.783,0.824,0.000795,0.0748,-4.558,0.0598,139.998,0.413,11,Marshmello
Shockwave,8,5Tqfni8Eizd4Ilnw8owjbF,Hitta,spotify:track:5Tqfni8Eizd4Ilnw8owjbF,0.017,0.732,0.956,6.99E-06,0.357,-2.775,0.0708,145.103,0.375,28,Marshmello
Shockwave,5,5VGOUUiAmP5MouYfeYjIQL,Vibr8,spotify:track:5VGOUUiAmP5MouYfeYjIQL,0.005,0.508,0.915,0.336,0.0892,-3.396,0.0689,114.644,0.171,30,Marshmello
Shockwave,1,2N85JtbjMKeqNUgz7PqHFD,Fairytale,spotify:track:2N85JtbjMKeqNUgz7PqHFD,0.000253,0.56,0.919,0.957,0.346,-4.344,0.0325,144.964,0.568,53,Marshmello
Shockwave,2,1bW2JNdrpTOUew8G7UeUhP,Supernovacane,spotify:track:1bW2JNdrpTOUew8G7UeUhP,0.000845,0.514,0.926,0.0345,0.0891,-3.188,0.0317,151.921,0.556,54,Marshmello
Shockwave,3,0ckNlWYwtIlbl44kQefHuo,Jiggle It,spotify:track:0ckNlWYwtIlbl44kQefHuo,0.00107,0.622,0.81,0.806,0.16,-4.355,0.0457,169.96,0.637,54,Marshmello
Shockwave,4,4WrPZ198RawgV8uMVwkYWU,Back It Up,spotify:track:4WrPZ198RawgV8uMVwkYWU,0.00663,0.754,0.865,0.000114,0.361,-3.696,0.0478,134.952,0.411,44,Marshmello
Shockwave,5,4YT2CvoawmCGIHkMccm6qk,VIBR8,spotify:track:4YT2CvoawmCGIHkMccm6qk,0.005,0.508,0.915,0.336,0.0892,-3.396,0.0689,114.644,0.171,58,Marshmello
Shockwave,6,2OYfxjLnQuPo7Co1WH0Z1S,Bad Bitches (feat. Megan Thee Stallion),spotify:track:2OYfxjLnQuPo7Co1WH0Z1S,0.00033,0.819,0.814,0.328,0.0644,-3.44,0.0382,125.965,0.464,55,Marshmello
Shockwave,7,23YTJTopRwkkeX6QGsEaKc,Back In Time,spotify:track:23YTJTopRwkkeX6QGsEaKc,0.0108,0.783,0.824,0.000795,0.0748,-4.558,0.0598,139.998,0.413,53,Marshmello
Shockwave,8,244AoGCbxOWUhaRzTR7Spz,Hitta (feat. Juicy J),spotify:track:244AoGCbxOWUhaRzTR7Spz,0.017,0.732,0.956,6.99E-06,0.357,-2.775,0.0708,145.103,0.375,61,Marshmello
Shockwave,9,3LuKDSqL4z1BL8HjSwxh5b,House Party,spotify:track:3LuKDSqL4z1BL8HjSwxh5b,0.0331,0.726,0.876,0.00569,0.0658,-4.204,0.16,75.026,0.569,55,Marshmello
Shockwave,10,6Q7mn0KjoCZGYeuWR8pAmZ,Candy Kid,spotify:track:6Q7mn0KjoCZGYeuWR8pAmZ,3.78E-05,0.61,0.979,0.584,0.114,-3.459,0.0627,150.053,0.423,44,Marshmello
Shockwave,11,4cLFnU75cTHlBOMrUJcRHr,Pushin Stacks,spotify:track:4cLFnU75cTHlBOMrUJcRHr,0.000655,0.622,0.902,0.523,0.22,-4.539,0.117,140.024,0.496,43,Marshmello
Shockwave,12,3sOGVdj5VPY6C2XImtlzj7,Shockwave,spotify:track:3sOGVdj5VPY6C2XImtlzj7,0.0231,0.577,0.875,4.69E-06,0.111,-2.897,0.0681,164.009,0.411,67,Marshmello
Joytime III,1,7DyYqU6pn8blguCw3S377E,Down,spotify:track:7DyYqU6pn8blguCw3S377E,0.0014,0.677,0.947,0.0688,0.0712,-3.814,0.0538,142.008,0.798,49,Marshmello
Joytime III,2,41MlSJxqdr60xsfYocAgRA,Run it Up,spotify:track:41MlSJxqdr60xsfYocAgRA,0.0084,0.422,0.875,1.07E-06,0.396,-3.3,0.296,71.761,0.594,49,Marshmello
Joytime III,3,4srEnH4a9pgerTW1qSGluW,Put Yo Hands Up,spotify:track:4srEnH4a9pgerTW1qSGluW,0.00149,0.583,0.932,0.633,0.0815,-2.485,0.0871,150.034,0.244,48,Marshmello
Joytime III,4,4PjUYYuloevuVVj3uq3tVk,Let's Get Down,spotify:track:4PjUYYuloevuVVj3uq3tVk,0.0224,0.747,0.793,0.533,0.341,-2.998,0.111,145.012,0.669,44,Marshmello
Joytime III,5,1EwZrwFcKH1CKsxgHborBR,Sad Songs,spotify:track:1EwZrwFcKH1CKsxgHborBR,0.0277,0.641,0.837,0,0.152,-2.947,0.182,150.047,0.82,49,Marshmello
Joytime III,6,58Xx6ZPFsi6bqkFFZe0GD0,Set Me Free,spotify:track:58Xx6ZPFsi6bqkFFZe0GD0,0.000437,0.918,0.723,0.141,0.124,-4.099,0.0653,126.046,0.393,42,Marshmello
Joytime III,7,4pCaBJPDbw1HFzwsQZlIgb,Room to Fall,spotify:track:4pCaBJPDbw1HFzwsQZlIgb,0.0037,0.531,0.845,1.58E-05,0.275,-5.362,0.164,175.898,0.537,50,Marshmello
Joytime III,8,3tld41qK6W6xBMea9WIhLC,Angklung Life,spotify:track:3tld41qK6W6xBMea9WIhLC,0.0274,0.729,0.982,0.106,0.278,-3.028,0.0634,126.024,0.404,40,Marshmello
Joytime III,9,2W9QUD9YJ4SERyzu25IwbU,Earthquake,spotify:track:2W9QUD9YJ4SERyzu25IwbU,0.0162,0.453,0.968,5.94E-05,0.153,-4.734,0.104,75.102,0.432,46,Marshmello
Joytime III,10,6VEUzJzGo16QRnFvUpv4pQ,Falling To Pieces,spotify:track:6VEUzJzGo16QRnFvUpv4pQ,5.12E-05,0.607,0.875,0.00318,0.445,-2.686,0.0476,146.188,0.131,47,Marshmello
Joytime III,11,5JfWqjclLkOUanKF8NHpOK,Here We Go Again,spotify:track:5JfWqjclLkOUanKF8NHpOK,0.0832,0.738,0.867,0.828,0.263,-3.033,0.127,147.016,0.443,44,Marshmello
Joytime III,12,35rozLoS6QLE8HX8qswM3k,Rescue Me,spotify:track:35rozLoS6QLE8HX8qswM3k,0.00803,0.433,0.905,0,0.337,-2.171,0.101,148.149,0.375,63,Marshmello
