album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Greatest Hits Vol. 1,1,1TQTYsynFasqExckACAoWb,21,spotify:track:1TQTYsynFasqExckACAoWb,0.331,0.631,0.719,3.65E-05,0.0527,-6.435,0.19,128.029,0.629,59,Martin Garrix
Greatest Hits Vol. 1,2,4AW58EZBHvROkEXFMqAx3N,La La La,spotify:track:4AW58EZBHvROkEXFMqAx3N,0.119,0.709,0.883,5.72E-05,0.283,-2.74,0.153,152.114,0.631,54,Martin Garrix
Greatest Hits Vol. 1,3,1lt7cGXUVit8XYPO7rTvsa,Pogo,spotify:track:1lt7cGXUVit8XYPO7rTvsa,0.284,0.659,0.861,0,0.593,-2.706,0.215,126.446,0.556,54,Martin Garrix
Greatest Hits Vol. 1,4,6G8ca7SrQtbNGGau3w0M5Y,No Angel,spotify:track:6G8ca7SrQtbNGGau3w0M5Y,0.393,0.678,0.624,0,0.157,-7.235,0.323,157.039,0.54,50,Martin Garrix
Greatest Hits Vol. 1,5,03wMGPA6NlFsEqitZcuaG2,Lovin' Every Minute,spotify:track:03wMGPA6NlFsEqitZcuaG2,0.17,0.718,0.574,3.08E-06,0.126,-7.312,0.0902,129.974,0.673,58,Martin Garrix
Greatest Hits Vol. 1,6,45Vpdt9PsJUTyJ22qZGdSE,Mona Lisa,spotify:track:45Vpdt9PsJUTyJ22qZGdSE,0.073,0.734,0.867,0,0.13,-3.419,0.0918,144.989,0.659,48,Martin Garrix
Greatest Hits Vol. 1,7,54wwPeMzHmfx1IpfN0tllr,Own the Night,spotify:track:54wwPeMzHmfx1IpfN0tllr,0.145,0.638,0.757,0,0.0701,-4.519,0.0807,147.006,0.384,53,Martin Garrix
Greatest Hits Vol. 1,8,4qv2m0hQwaVF5ss13PXrQK,Followers,spotify:track:4qv2m0hQwaVF5ss13PXrQK,0.194,0.561,0.811,6.13E-05,0.309,-4.167,0.0403,145.04,0.34,57,Martin Garrix
Greatest Hits Vol. 1,9,3dUMK9vaUdv5FEU7qWk9fk,Human,spotify:track:3dUMK9vaUdv5FEU7qWk9fk,0.296,0.618,0.68,0,0.123,-7.056,0.0723,144.863,0.479,47,Martin Garrix
Greatest Hits Vol. 1,10,2feInq27tdLWwC8FEyRZOc,All I Need,spotify:track:2feInq27tdLWwC8FEyRZOc,0.243,0.704,0.697,2.17E-06,0.0712,-4.866,0.0807,146.978,0.477,51,Martin Garrix
Greatest Hits Vol. 1,11,4vP1DbZq2mVdP5y3lI886c,Time Machine,spotify:track:4vP1DbZq2mVdP5y3lI886c,0.649,0.671,0.746,0,0.318,-4.963,0.346,167.908,0.507,56,Martin Garrix
Greatest Hits Vol. 1,12,1lr0D0fAFWwmMckhKnUaeU,Going Home,spotify:track:1lr0D0fAFWwmMckhKnUaeU,0.299,0.404,0.746,4.33E-05,0.645,-6.415,0.0863,95.059,0.127,49,Martin Garrix
The Martin Garrix Experience,1,40OMBMYRk5IQL6xCzGM0JA,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),spotify:track:40OMBMYRk5IQL6xCzGM0JA,0.179,0.661,0.723,1.23E-05,0.14,-6.976,0.0566,113.778,0.316,35,Martin Garrix
The Martin Garrix Experience,2,6FgizSVbAupclpzFX0SMxE,No Sleep (feat. Bonn),spotify:track:6FgizSVbAupclpzFX0SMxE,0.125,0.444,0.634,0,0.121,-6.385,0.0325,128.155,0.326,29,Martin Garrix
The Martin Garrix Experience,3,5PDbPtIrQmmAJS1pmX9q6s,High On Life (feat. Bonn),spotify:track:5PDbPtIrQmmAJS1pmX9q6s,0.0126,0.389,0.486,0,0.112,-6.43,0.0331,127.066,0.354,33,Martin Garrix
The Martin Garrix Experience,4,0VWUhOUNIVOfUoBaq7xqMo,In the Name of Love,spotify:track:0VWUhOUNIVOfUoBaq7xqMo,0.109,0.501,0.519,0,0.454,-5.88,0.0409,133.99,0.168,43,Martin Garrix
The Martin Garrix Experience,5,1NifqGsH6YVq4iMLCFXqvX,There for You,spotify:track:1NifqGsH6YVq4iMLCFXqvX,0.133,0.554,0.645,0,0.21,-7.563,0.0665,105.513,0.142,32,Martin Garrix
The Martin Garrix Experience,6,2ctdq6NahGvNr8XmhE3dLE,Ocean (feat. Khalid),spotify:track:2ctdq6NahGvNr8XmhE3dLE,0.574,0.531,0.689,0.000111,0.089,-7.232,0.0408,139.856,0.248,25,Martin Garrix
The Martin Garrix Experience,7,0ebb3iFD2tMmvYUOalHsXt,Scared to Be Lonely,spotify:track:0ebb3iFD2tMmvYUOalHsXt,0.0959,0.571,0.529,0,0.293,-7.776,0.0651,137.7,0.205,15,Martin Garrix
The Martin Garrix Experience,8,3gGavdhVbPFspo8dZMh1CX,Waiting For Tomorrow (feat. Mike Shinoda),spotify:track:3gGavdhVbPFspo8dZMh1CX,0.00731,0.507,0.887,0,0.562,-4.084,0.141,128.015,0.336,19,Martin Garrix
The Martin Garrix Experience,9,4K0t6WlVTP8pNc7d0CpFwV,So Far Away (feat. Jamie Scott & Romy Dya),spotify:track:4K0t6WlVTP8pNc7d0CpFwV,0.435,0.526,0.52,0,0.197,-7.985,0.0569,149.119,0.13,24,Martin Garrix
The Martin Garrix Experience,10,0jBZWXFBKeZ5DsBPYNbMFe,Together,spotify:track:0jBZWXFBKeZ5DsBPYNbMFe,0.0732,0.509,0.729,2.73E-05,0.233,-4.773,0.0343,127.871,0.196,23,Martin Garrix
The Martin Garrix Experience,11,6ttfSXE8TXbFtFI7zNtaGE,Forever,spotify:track:6ttfSXE8TXbFtFI7zNtaGE,0.0277,0.45,0.898,0.0616,0.166,-3.604,0.0395,127.983,0.22,19,Martin Garrix
The Martin Garrix Experience,12,2JjUMr9zcZoKIs4KqMlRUK,Mistaken (feat. Alex Aris),spotify:track:2JjUMr9zcZoKIs4KqMlRUK,0.0573,0.424,0.694,0.000937,0.133,-4.912,0.0386,128.034,0.0801,20,Martin Garrix
The Martin Garrix Experience,13,6UToJxI03J3cqNXrN5vtYb,Byte,spotify:track:6UToJxI03J3cqNXrN5vtYb,0.000636,0.597,0.931,0.821,0.0593,-4.026,0.0329,128.031,0.267,23,Martin Garrix
The Martin Garrix Experience,14,2s00kIWrL8TIsYWz67P7ff,Burn Out (feat. Dewain Whitmore),spotify:track:2s00kIWrL8TIsYWz67P7ff,0.0156,0.594,0.722,0,0.0667,-5.751,0.0398,127.877,0.407,23,Martin Garrix
The Martin Garrix Experience,15,0YyYFGOeJCBBiZTyrJRf7U,Pizza,spotify:track:0YyYFGOeJCBBiZTyrJRf7U,0.000408,0.381,0.712,0.589,0.183,-6.9,0.0355,127.967,0.0378,20,Martin Garrix
The Martin Garrix Experience,16,7rhUrlumdBjAXuILAP0TsU,Breach (Walk Alone),spotify:track:7rhUrlumdBjAXuILAP0TsU,0.0388,0.738,0.953,0.0146,0.214,-4.781,0.216,128.069,0.483,20,Martin Garrix
The Martin Garrix Experience,17,0keucI8PwDetFuSl1h3ZEE,Latency,spotify:track:0keucI8PwDetFuSl1h3ZEE,0.0328,0.66,0.937,0.0683,0.497,-1.098,0.18,128.112,0.449,15,Martin Garrix
