album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Astronomical,1,02TIH4i9rMnEBSnFOY5fhK,Astronomical,spotify:track:02TIH4i9rMnEBSnFOY5fhK,0.209,0.608,0.669,0,0.103,-6.089,0.0425,132.038,0.0698,44,Masked Wolf
Astronomical,2,0Sk9TEM8xGTv8sklnzURk9,Just Names,spotify:track:0Sk9TEM8xGTv8sklnzURk9,0.13,0.799,0.537,0.000196,0.157,-8.781,0.133,134.988,0.311,42,Masked Wolf
Astronomical,3,62Wv4hnAk5ichfSckOSnQK,Gravity Glidin,spotify:track:62Wv4hnAk5ichfSckOSnQK,0.0436,0.714,0.641,4.92E-06,0.113,-7.994,0.0807,180.175,0.418,62,Masked Wolf
Astronomical,4,45Ps9b9nzFGDb6ZSQF6x8l,Razor's Edge (feat. X Ambassadors),spotify:track:45Ps9b9nzFGDb6ZSQF6x8l,0.356,0.641,0.787,0,0.27,-6.607,0.087,145.164,0.666,48,Masked Wolf
Astronomical,5,1jV9TBI37OJYtsbOYnBg3S,Say So,spotify:track:1jV9TBI37OJYtsbOYnBg3S,0.0932,0.778,0.606,0,0.05,-6.849,0.0359,107.987,0.601,61,Masked Wolf
Astronomical,6,4v3zCF3aKIHND73348kQuN,Bop,spotify:track:4v3zCF3aKIHND73348kQuN,0.0421,0.712,0.761,1.27E-05,0.279,-6.263,0.0339,95.01,0.412,47,Masked Wolf
Astronomical,7,0MHnZASEUpmNBFBHv8u9wn,Where's Wally,spotify:track:0MHnZASEUpmNBFBHv8u9wn,0.319,0.747,0.727,2.05E-05,0.0533,-6.999,0.246,142.067,0.792,39,Masked Wolf
Astronomical,8,3rNXl995RhTn865K5WKgkS,Ain't Gonna Change,spotify:track:3rNXl995RhTn865K5WKgkS,0.311,0.878,0.641,0,0.14,-6.592,0.0658,127.974,0.179,37,Masked Wolf
Astronomical,9,2kuk7yrOcOjEjOhcrJ31Hy,Pandemonium,spotify:track:2kuk7yrOcOjEjOhcrJ31Hy,0.0313,0.645,0.824,2.07E-05,0.345,-5.14,0.162,173.994,0.851,50,Masked Wolf
Astronomical,10,7qE6W5zPwA0pn963onkQcA,Paper Planes,spotify:track:7qE6W5zPwA0pn963onkQcA,0.154,0.774,0.574,0,0.107,-8.045,0.0877,81.961,0.435,44,Masked Wolf
Astronomical,11,40sbXOBvAchwRjlIMgU3rE,Interstellar,spotify:track:40sbXOBvAchwRjlIMgU3rE,0.0743,0.617,0.74,0,0.368,-6.57,0.0456,120.002,0.307,40,Masked Wolf
Astronomical,12,6sU3esxRN6YVJQtxXJee55,Tightrope (feat. NICOLOSI),spotify:track:6sU3esxRN6YVJQtxXJee55,0.248,0.758,0.593,4.45E-06,0.103,-9.258,0.17,83.067,0.689,37,Masked Wolf
Astronomical,13,4uATwDANeEBJXEhL26UFoD,Work,spotify:track:4uATwDANeEBJXEhL26UFoD,0.169,0.748,0.661,0,0.195,-8.532,0.0872,141.946,0.227,42,Masked Wolf
Astronomical,14,6rJ73y1kcjB6rtnaGMjvdY,Galaxy Garden,spotify:track:6rJ73y1kcjB6rtnaGMjvdY,0.0714,0.74,0.618,0,0.23,-8.041,0.19,145.997,0.693,41,Masked Wolf
Astronomical,15,1e9Xm5OvZ6Kpp7RBzjpfWG,Reflections,spotify:track:1e9Xm5OvZ6Kpp7RBzjpfWG,0.014,0.817,0.654,0,0.0989,-5.884,0.211,94.01,0.317,35,Masked Wolf
Astronomical,16,3cbY0DlAA5NEVq5J3lsusj,Thief In The Night (feat. Kevin Gates),spotify:track:3cbY0DlAA5NEVq5J3lsusj,0.164,0.822,0.467,0,0.311,-9.129,0.349,144.916,0.283,48,Masked Wolf
Astronomical,17,6E90gq0KO6FYZVOXx8kCcC,Astronaut In The Ocean,spotify:track:6E90gq0KO6FYZVOXx8kCcC,0.175,0.778,0.695,0,0.15,-6.865,0.0913,149.996,0.472,78,Masked Wolf
