album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Plastic Hearts,1,37PJvlIfYWqEX6fgjHlnTf,WTF Do I Know,spotify:track:37PJvlIfYWqEX6fgjHlnTf,0.00255,0.564,0.849,0,0.269,-2.619,0.248,157.905,0.634,71,Miley Cyrus
Plastic Hearts,2,6qCsKKS7Ol63SJW3LOIX5R,Plastic Hearts,spotify:track:6qCsKKS7Ol63SJW3LOIX5R,0.0511,0.551,0.756,0,0.0765,-4.948,0.0652,175.984,0.618,77,Miley Cyrus
Plastic Hearts,3,1daDRI9ahBonbWD8YcxOIB,Angels Like You,spotify:track:1daDRI9ahBonbWD8YcxOIB,0.0981,0.672,0.642,0,0.1,-4.035,0.0313,121.981,0.494,81,Miley Cyrus
Plastic Hearts,4,2Oycxb8QbPkpHTo8ZrmG0B,Prisoner (feat. Dua Lipa),spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,0.0103,0.781,0.67,0,0.0761,-3.912,0.0452,127.99,0.595,80,Miley Cyrus
Plastic Hearts,5,4v8jmsVox8VwU5js3JHOJZ,Gimme What I Want,spotify:track:4v8jmsVox8VwU5js3JHOJZ,0.0428,0.659,0.765,0,0.0783,-5.392,0.0591,89.983,0.41,69,Miley Cyrus
Plastic Hearts,6,4U34WsyOvppOMnRfq7DuOy,Night Crawling (feat. Billy Idol),spotify:track:4U34WsyOvppOMnRfq7DuOy,0.0378,0.638,0.918,0.00805,0.0948,-4.368,0.0382,134.022,0.668,69,Miley Cyrus
Plastic Hearts,7,4i2qxFEVVUi8yOYoxB8TCX,Midnight Sky,spotify:track:4i2qxFEVVUi8yOYoxB8TCX,0.00161,0.699,0.805,0.00177,0.249,-5.535,0.0345,109.976,0.232,77,Miley Cyrus
Plastic Hearts,8,2LseyBkPJv7r7wCt2yMEgX,High,spotify:track:2LseyBkPJv7r7wCt2yMEgX,0.00481,0.474,0.54,1.03E-05,0.299,-6.862,0.035,72.995,0.239,67,Miley Cyrus
Plastic Hearts,9,0rFcav2bUNH6NC9576Viiu,Hate Me,spotify:track:0rFcav2bUNH6NC9576Viiu,0.0244,0.652,0.597,0.00103,0.238,-6.536,0.0286,90.022,0.333,66,Miley Cyrus
Plastic Hearts,10,47KegqqrzpKw0jdHFWqtNb,Bad Karma (feat. Joan Jett),spotify:track:47KegqqrzpKw0jdHFWqtNb,0.0301,0.82,0.568,0.0092,0.169,-6.963,0.0538,113.941,0.478,65,Miley Cyrus
Plastic Hearts,11,1M7qLcfozANPcMKfgMEHOt,Never Be Me,spotify:track:1M7qLcfozANPcMKfgMEHOt,0.0578,0.475,0.565,4.84E-05,0.341,-7.853,0.0378,165.091,0.154,70,Miley Cyrus
Plastic Hearts,12,68qkDbsvprJRG5xw2R02dy,Golden G String,spotify:track:68qkDbsvprJRG5xw2R02dy,0.348,0.537,0.506,0,0.0786,-6.139,0.0334,105.292,0.112,63,Miley Cyrus
Plastic Hearts,13,1Tip6R4swhC7E6hgILBjrE,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),spotify:track:1Tip6R4swhC7E6hgILBjrE,0.0291,0.681,0.737,7.16E-06,0.0856,-5.246,0.0384,109.95,0.278,70,Miley Cyrus
Plastic Hearts,14,5GK1GYXH16RdfmltogHhAk,Heart Of Glass (Live from the iHeart Festival),spotify:track:5GK1GYXH16RdfmltogHhAk,0.000335,0.58,0.908,4.84E-05,0.087,-5.303,0.0341,115.016,0.427,73,Miley Cyrus
Plastic Hearts,15,0olaaJrCBTMJJvqPdvNpsx,Zombie (Live from the NIVA Save Our Stages Festival),spotify:track:0olaaJrCBTMJJvqPdvNpsx,0.000206,0.407,0.872,0.0451,0.127,-5.001,0.0354,164,0.323,66,Miley Cyrus
Younger Now,1,2fGxYYMQbVqgIdaqfz2OwA,Younger Now,spotify:track:2fGxYYMQbVqgIdaqfz2OwA,0.00129,0.548,0.873,4.55E-05,0.138,-4.881,0.0618,121.918,0.328,61,Miley Cyrus
