album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Language,1,6QbCAeT8s6mVzrJP2tvtOx,Background,spotify:track:6QbCAeT8s6mVzrJP2tvtOx,0.134,0.641,0.538,0,0.156,-7.411,0.266,136.882,0.357,20,MNEK
Language,2,6FKSabhxmRfpAsn6NJMfms,Correct,spotify:track:6FKSabhxmRfpAsn6NJMfms,0.0902,0.652,0.859,0,0.822,-4.295,0.055,137.104,0.767,27,MNEK
Language,3,6TYyyYYfOYGAvCJQQVrY8y,Tongue,spotify:track:6TYyyYYfOYGAvCJQQVrY8y,0.0363,0.681,0.912,0,0.514,-5.616,0.205,106.416,0.46,39,MNEK
Language,4,0sNDEtZhITaIen9oOkDMp8,Gibberish - Interlude,spotify:track:0sNDEtZhITaIen9oOkDMp8,0.655,0.685,0.345,0,0.382,-19.617,0.895,65.084,0.623,0,MNEK
Language,5,2ClPhnTuoffoj3CkDxEdGi,Phone,spotify:track:2ClPhnTuoffoj3CkDxEdGi,0.256,0.822,0.458,0,0.148,-4.656,0.0735,105.968,0.788,36,MNEK
Language,6,1NJ5x24XteXbd2NJw0o6hi,Colour,spotify:track:1NJ5x24XteXbd2NJw0o6hi,0.502,0.698,0.684,0,0.114,-4.486,0.0864,100.901,0.64,31,MNEK
Language,7,7vXnqJKU3ljgaBNa4Kjt7p,Body,spotify:track:7vXnqJKU3ljgaBNa4Kjt7p,0.07,0.601,0.67,0,0.455,-5.889,0.0336,146.052,0.208,27,MNEK
Language,8,5cbZFJlt0U08sKS6r0LFQo,Honeymoon Phaze,spotify:track:5cbZFJlt0U08sKS6r0LFQo,0.0455,0.413,0.746,0,0.687,-4.751,0.0506,75.051,0.251,23,MNEK
Language,9,1bTLwukwqTcPN7SzeFNO5X,Language,spotify:track:1bTLwukwqTcPN7SzeFNO5X,0.656,0.226,0.32,0,0.646,-12.431,0.0324,83.473,0.332,17,MNEK
Language,10,65sA0SEBGpcTadBiIWvfKB,Hearsay - Interlude,spotify:track:65sA0SEBGpcTadBiIWvfKB,0.93,0.548,0.316,0,0.783,-21.618,0.762,163.998,0.914,0,MNEK
Language,11,0jIUiSTrJuDxjkf7ddAEYy,Girlfriend,spotify:track:0jIUiSTrJuDxjkf7ddAEYy,0.144,0.74,0.7,0,0.129,-5.229,0.0709,133.016,0.781,42,MNEK
Language,12,3u8mSMVk5l74Nq6eHI0thL,Paradise,spotify:track:3u8mSMVk5l74Nq6eHI0thL,0.0264,0.545,0.649,0,0.115,-5.527,0.041,130.965,0.414,36,MNEK
Language,13,2vzvAby7IKudoBV12P4s0A,Crazy World,spotify:track:2vzvAby7IKudoBV12P4s0A,0.189,0.592,0.893,0,0.642,-3.533,0.0967,133.988,0.597,21,MNEK
Language,14,0dnBbRsly9KvuxI8x6FJqT,Be - Interlude,spotify:track:0dnBbRsly9KvuxI8x6FJqT,0.986,0.531,0.227,1.79E-06,0.106,-18.256,0.036,64.142,0.505,0,MNEK
Language,15,5Aqm5mngMoGTU8fIvNJYbT,Free,spotify:track:5Aqm5mngMoGTU8fIvNJYbT,0.0342,0.358,0.487,0,0.329,-5.805,0.0393,133.479,0.187,20,MNEK
Language,16,0OJ0C98JnN0PSJxlZ6VJJT,Touched By You,spotify:track:0OJ0C98JnN0PSJxlZ6VJJT,0.755,0.316,0.389,0,0.293,-6.11,0.0306,103.453,0.172,24,MNEK
