album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
CLOUDS (THE MIXTAPE),1,1mvI5pGoh84IiFSbWxEkGH,CLOUDS,spotify:track:1mvI5pGoh84IiFSbWxEkGH,0.373,0.788,0.652,0,0.755,-3.931,0.405,128.108,0.812,71,NF
CLOUDS (THE MIXTAPE),2,27a0ydWvFCt4jgl9m61lS1,THAT'S A JOKE,spotify:track:27a0ydWvFCt4jgl9m61lS1,0.599,0.788,0.933,0,0.685,-2.664,0.298,139.016,0.6,70,NF
CLOUDS (THE MIXTAPE),3,7tTRFVlFzk6yTnoMcParmi,JUST LIKE YOU,spotify:track:7tTRFVlFzk6yTnoMcParmi,0.489,0.775,0.757,0,0.28,-4.607,0.228,140.044,0.541,75,NF
CLOUDS (THE MIXTAPE),4,7HiIy4QaA5ud7ZuuyBysKk,STORY,spotify:track:7HiIy4QaA5ud7ZuuyBysKk,0.645,0.528,0.854,0,0.617,-3.94,0.532,179.835,0.512,68,NF
CLOUDS (THE MIXTAPE),5,1YEXlV81t42IuXMnL600rg,PRIDEFUL,spotify:track:1YEXlV81t42IuXMnL600rg,0.0413,0.625,0.715,0,0.102,-4.539,0.0942,84.794,0.0377,65,NF
CLOUDS (THE MIXTAPE),6,1PTVGdcYyLFnJKVOkaxQWj,LOST,spotify:track:1PTVGdcYyLFnJKVOkaxQWj,0.352,0.637,0.912,0,0.0657,-3.123,0.308,116.919,0.451,67,NF
CLOUDS (THE MIXTAPE),7,7ipUYshiPzzUs9EdeOsBFO,LAYERS,spotify:track:7ipUYshiPzzUs9EdeOsBFO,0.213,0.659,0.689,0,0.0791,-5.129,0.449,124.934,0.61,66,NF
CLOUDS (THE MIXTAPE),8,2hRlHXzOf14ArYmOPeAXsa,DRIFTING,spotify:track:2hRlHXzOf14ArYmOPeAXsa,0.405,0.692,0.721,0,0.0773,-3.244,0.389,168.084,0.496,70,NF
CLOUDS (THE MIXTAPE),9,2FSVMyqLldC36p0deIYvI9,TRUST,spotify:track:2FSVMyqLldC36p0deIYvI9,0.138,0.746,0.884,0,0.146,-3.348,0.33,140.1,0.664,70,NF
CLOUDS (THE MIXTAPE),10,6ziQdexOHyC2gkZ1iNoi1w,PAID MY DUES,spotify:track:6ziQdexOHyC2gkZ1iNoi1w,0.136,0.812,0.784,0,0.109,-4.208,0.249,145.995,0.381,69,NF
CLOUDS (THE MIXTAPE),11,4eL4EOrlxrKK9TmyVjueXd,CLOUDS - Edit,spotify:track:4eL4EOrlxrKK9TmyVjueXd,0.354,0.832,0.693,0,0.637,-3.667,0.339,128.041,0.861,60,NF
The Search,1,3oLe5ZILASG8vU5dxIMfLY,The Search,spotify:track:3oLe5ZILASG8vU5dxIMfLY,0.598,0.789,0.789,0,0.099,-4.813,0.298,119.95,0.37,78,NF
The Search,2,3EtyEzMpfKSaoVhPunvbRV,Leave Me Alone,spotify:track:3EtyEzMpfKSaoVhPunvbRV,0.249,0.722,0.741,0,0.151,-3.72,0.19,162.11,0.46,72,NF
The Search,3,4cBlIM5AjnQ74f52Dv7T5K,Change,spotify:track:4cBlIM5AjnQ74f52Dv7T5K,0.438,0.784,0.753,0,0.167,-4.099,0.213,116.959,0.532,71,NF
The Search,4,0aQA9DP54h37OevE7hRc2a,My Stress,spotify:track:0aQA9DP54h37OevE7hRc2a,0.24,0.653,0.796,0,0.108,-4.05,0.245,160.026,0.405,69,NF
The Search,5,1SDtZ69uALD5zW8k9S8hTf,Nate,spotify:track:1SDtZ69uALD5zW8k9S8hTf,0.661,0.481,0.852,0,0.365,-4.109,0.441,84.799,0.537,66,NF
The Search,6,6MxMqCgqmekcr0VwSU7AVH,Time,spotify:track:6MxMqCgqmekcr0VwSU7AVH,0.138,0.677,0.688,0,0.114,-4.058,0.0633,98.049,0.198,76,NF
The Search,7,2uEuo87JC9tc1dzmPUtOxj,Returns,spotify:track:2uEuo87JC9tc1dzmPUtOxj,0.406,0.653,0.828,0,0.11,-4.502,0.312,75.684,0.709,65,NF
The Search,8,5rLyYxZNzca00ENADO9m54,When I Grow Up,spotify:track:5rLyYxZNzca00ENADO9m54,0.32,0.817,0.814,0,0.152,-3.985,0.185,109.994,0.247,77,NF
The Search,9,5lehoWkVPujeOAwb8BO0uK,Only,spotify:track:5lehoWkVPujeOAwb8BO0uK,0.208,0.868,0.654,0,0.187,-4.832,0.0766,138.02,0.299,68,NF
The Search,10,2PqSOrlabozEH6KXs7BvQr,Let Me Go,spotify:track:2PqSOrlabozEH6KXs7BvQr,0.456,0.554,0.337,6.18E-06,0.115,-9.503,0.197,173.877,0.137,66,NF
