album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Beam Me Up Scotty,1,1TZv3bujNaYz646eezRE91,Seeing Green (with Drake & Lil Wayne),spotify:track:1TZv3bujNaYz646eezRE91,0.0853,0.573,0.867,0,0.38,-2.876,0.168,74.861,0.231,72,Nicki Minaj
Beam Me Up Scotty,2,28PeqNMnFfVQnXvXmyf88G,Fractions,spotify:track:28PeqNMnFfVQnXvXmyf88G,0.011,0.924,0.523,0,0.17,-6.362,0.132,131.892,0.144,63,Nicki Minaj
Beam Me Up Scotty,3,2nxy7TbWDWOBm2bseZJX2A,Crocodile Teeth (with Skillibeng) - Remix,spotify:track:2nxy7TbWDWOBm2bseZJX2A,0.195,0.635,0.634,0.000107,0.198,-8.91,0.356,107.008,0.224,59,Nicki Minaj
Beam Me Up Scotty,4,5dOcS75jq0kLKbvCY9P2Ex,Chi-Raq (with G Herbo),spotify:track:5dOcS75jq0kLKbvCY9P2Ex,0.328,0.762,0.439,4.00E-05,0.107,-14.007,0.419,145.818,0.354,58,Nicki Minaj
Beam Me Up Scotty,5,7eLCcnhpYGH3Y6Pqrk68Gz,Boss Ass Bitch (with PTAF) - Remix,spotify:track:7eLCcnhpYGH3Y6Pqrk68Gz,0.032,0.657,0.611,0,0.469,-7.899,0.491,140.151,0.408,66,Nicki Minaj
Beam Me Up Scotty,6,0n377bTr2jXfQVs4fnjmRU,Intro,spotify:track:0n377bTr2jXfQVs4fnjmRU,0.67,0.571,0.21,0,0.393,-23.569,0.895,102.612,0.492,42,Nicki Minaj
Beam Me Up Scotty,7,1uYxHHZBRliM9cNzCxq93g,Itty Bitty Piggy,spotify:track:1uYxHHZBRliM9cNzCxq93g,0.12,0.761,0.722,0,0.0649,-4.343,0.391,92.45,0.798,66,Nicki Minaj
Beam Me Up Scotty,8,2bRE4HKlZQDHkiVcDr58aZ,I Get Crazy (feat. Lil Wayne),spotify:track:2bRE4HKlZQDHkiVcDr58aZ,0.0836,0.796,0.807,0,0.76,-5.524,0.325,99.614,0.532,58,Nicki Minaj
Beam Me Up Scotty,9,2aYDLsHweKpcPcdmivH8G9,Kill Da DJ,spotify:track:2aYDLsHweKpcPcdmivH8G9,0.0543,0.677,0.802,0,0.343,-4.909,0.363,93.289,0.746,48,Nicki Minaj
Beam Me Up Scotty,10,4UI1MqLR8B1PIfU09jFvYG,Nicki Minaj Speaks,spotify:track:4UI1MqLR8B1PIfU09jFvYG,0.711,0.789,0.196,0,0.25,-22.138,0.899,50.287,0.927,3,Nicki Minaj
Beam Me Up Scotty,11,4FCvf3FGTFIlsZmP3yoBLH,Slumber Party (feat. Gucci Mane),spotify:track:4FCvf3FGTFIlsZmP3yoBLH,0.312,0.883,0.829,0,0.348,-3.581,0.381,140.382,0.711,46,Nicki Minaj
Beam Me Up Scotty,12,1KVvVwHnGz3TPTVxQ86JDm,"Shopaholic (feat. Gucci Mane, Bobby V, & F1Jo)",spotify:track:1KVvVwHnGz3TPTVxQ86JDm,0.174,0.814,0.71,0,0.337,-3.383,0.296,133.069,0.627,44,Nicki Minaj
Beam Me Up Scotty,13,6ZrhD4XUvgjaRXh7TD6otO,Gotta Go Hard (feat. Lil Wayne),spotify:track:6ZrhD4XUvgjaRXh7TD6otO,0.0588,0.594,0.917,0,0.559,-3.489,0.0931,130.088,0.416,48,Nicki Minaj
Beam Me Up Scotty,14,527H9PG4cjnjK8kCj1py49,Nicki Minaj Speaks #2,spotify:track:527H9PG4cjnjK8kCj1py49,0.753,0.627,0.222,0,0.84,-17.328,0.487,47.468,0.61,39,Nicki Minaj
Beam Me Up Scotty,15,6DzTaNNwdUXiJI1l0u6wNe,Best I Ever Had Remix,spotify:track:6DzTaNNwdUXiJI1l0u6wNe,0.232,0.4,0.874,0,0.16,-2.698,0.281,160.794,0.647,66,Nicki Minaj
Beam Me Up Scotty,16,5ROuFdNB1Z4xSSyxZDS8Mj,Keys Under Palm Trees,spotify:track:5ROuFdNB1Z4xSSyxZDS8Mj,0.622,0.585,0.73,0,0.329,-6.429,0.371,82.326,0.497,46,Nicki Minaj
Beam Me Up Scotty,17,60VxBi9kb7iZPmO8ZJhOMs,Silly,spotify:track:60VxBi9kb7iZPmO8ZJhOMs,0.188,0.881,0.722,0,0.0614,-5.417,0.399,76.777,0.724,44,Nicki Minaj
Beam Me Up Scotty,18,6FNM5vRBjIgBRMmF9X3F0j,Easy (feat. Gucci Mane & Rocko),spotify:track:6FNM5vRBjIgBRMmF9X3F0j,0.229,0.712,0.803,0,0.39,-3.564,0.25,158.961,0.749,46,Nicki Minaj
Beam Me Up Scotty,19,6JnbUwMdQxRYKRs9qc71tP,Nicki Minaj Speaks #3,spotify:track:6JnbUwMdQxRYKRs9qc71tP,0.571,0.601,0.385,0,0.19,-16.612,0.765,94.972,0.643,38,Nicki Minaj
Beam Me Up Scotty,20,4LQ3t2vRKyXKY6KuXigamC,Envy,spotify:track:4LQ3t2vRKyXKY6KuXigamC,0.207,0.815,0.836,0,0.468,-3.012,0.212,121.586,0.678,47,Nicki Minaj
Beam Me Up Scotty,21,73Ic14n7njhCBrbg7H49MW,Can Anybody Hear Me?,spotify:track:73Ic14n7njhCBrbg7H49MW,0.236,0.533,0.744,0,0.53,-5.373,0.332,85.752,0.199,44,Nicki Minaj
Beam Me Up Scotty,22,0YSF6FTvgX5zHfioEm65dQ,Still I Rise,spotify:track:0YSF6FTvgX5zHfioEm65dQ,0.181,0.668,0.747,0,0.577,-3.676,0.294,145.689,0.592,47,Nicki Minaj
Beam Me Up Scotty,23,0f381U8m0oFfGKeIhEJk9J,Beam Me Up Scotty,spotify:track:0f381U8m0oFfGKeIhEJk9J,0.000337,0.691,0.622,0.00103,0.256,-8.544,0.168,96.122,0.604,51,Nicki Minaj
Queen (Deluxe),14,3GhtfEbz9yxPa1VpMMppZ8,2 Lit 2 Late Interlude,spotify:track:3GhtfEbz9yxPa1VpMMppZ8,0.144,0.765,0.357,0,0.126,-7.024,0.102,100.725,0.126,46,Nicki Minaj
Queen (Deluxe),20,6supMAknraGpJrN5qqYfV8,Good Form (feat. Lil Wayne) - Remix,spotify:track:6supMAknraGpJrN5qqYfV8,0.0533,0.898,0.733,0.000115,0.102,-4.75,0.178,96.51,0.295,70,Nicki Minaj
Queen,20,6fL1QD79W0ZojaSesowF9h,FEFE,spotify:track:6fL1QD79W0ZojaSesowF9h,0.0929,0.93,0.382,0,0.136,-9.141,0.408,125.979,0.377,49,Nicki Minaj
Queen,1,3LHYmz86DxGInsRp3wiiW5,Ganja Burn,spotify:track:3LHYmz86DxGInsRp3wiiW5,0.161,0.755,0.902,0.00199,0.137,-2.835,0.0631,108.991,0.76,55,Nicki Minaj
Queen,2,38TgLPNHsPzgqri5G4SPun,Majesty (with Labrinth & feat. Eminem),spotify:track:38TgLPNHsPzgqri5G4SPun,0.314,0.81,0.73,0,0.105,-5.209,0.223,157.004,0.568,64,Nicki Minaj
Queen,3,6Poyf51k7W3NKnsGwAI90B,Barbie Dreams,spotify:track:6Poyf51k7W3NKnsGwAI90B,0.313,0.85,0.787,0,0.194,-4.134,0.338,87.983,0.7,68,Nicki Minaj
Queen,4,2D1MK9oaxy7axXggy3iVbp,Rich Sex (feat. Lil Wayne),spotify:track:2D1MK9oaxy7axXggy3iVbp,0.0517,0.879,0.635,0,0.0786,-5.098,0.259,146.97,0.568,60,Nicki Minaj
Queen,5,1hHbmfNfXIwHyHCYO8ae3I,Hard White,spotify:track:1hHbmfNfXIwHyHCYO8ae3I,0.08,0.763,0.736,0.0272,0.145,-3.403,0.212,173.952,0.273,52,Nicki Minaj
Queen,6,3L4GsGLgxpHieVQH86H8bv,Bed (feat. Ariana Grande),spotify:track:3L4GsGLgxpHieVQH86H8bv,0.0342,0.757,0.73,5.87E-05,0.136,-6.304,0.185,90.013,0.452,68,Nicki Minaj
Queen,7,5vAEnWrHxLv78uwZrAJcX6,Thought I Knew You (feat. The Weeknd),spotify:track:5vAEnWrHxLv78uwZrAJcX6,0.0373,0.77,0.715,0.0018,0.0959,-5.92,0.045,150.027,0.468,52,Nicki Minaj
Queen,8,3yRtCntPrFnfYgiqn1He2o,Run & Hide,spotify:track:3yRtCntPrFnfYgiqn1He2o,0.0886,0.806,0.416,0.198,0.11,-8.032,0.478,173.886,0.317,45,Nicki Minaj
Queen,9,03It1uO69CjGWP3yyVe465,Chun Swae (feat. Swae Lee),spotify:track:03It1uO69CjGWP3yyVe465,0.0654,0.851,0.421,0.00141,0.136,-8.022,0.0644,140.992,0.21,65,Nicki Minaj
Queen,10,1e4rwBPVI32vZtTJu7mJ4J,Chun-Li,spotify:track:1e4rwBPVI32vZtTJu7mJ4J,0.278,0.686,0.73,4.76E-05,0.106,-5.077,0.374,128.943,0.474,73,Nicki Minaj
Queen,11,7CKR3FcBqSsGcgce0ECe1z,LLC,spotify:track:7CKR3FcBqSsGcgce0ECe1z,0.0524,0.836,0.756,0.0291,0.0606,-5.441,0.124,153.989,0.803,57,Nicki Minaj
Queen,12,19Fcrc0nJiwMKom00gS9SW,Good Form,spotify:track:19Fcrc0nJiwMKom00gS9SW,0.113,0.88,0.775,0.00264,0.0943,-5.133,0.0953,96.503,0.284,66,Nicki Minaj
Queen,13,3gTp4KG5WhiXUV3Q7OGBnD,Nip Tuck,spotify:track:3gTp4KG5WhiXUV3Q7OGBnD,0.0149,0.845,0.618,0,0.196,-7.086,0.2,119.944,0.366,46,Nicki Minaj
Queen,15,2PiPXo7l8Vozdt9QZk1Lvw,Come See About Me,spotify:track:2PiPXo7l8Vozdt9QZk1Lvw,0.316,0.506,0.611,4.65E-05,0.136,-5.498,0.0866,78.694,0.372,46,Nicki Minaj
Queen,16,3ig3X70suAwUn4oDnQaMru,Sir (feat. Future),spotify:track:3ig3X70suAwUn4oDnQaMru,0.343,0.697,0.493,0.00015,0.206,-7.57,0.152,142.982,0.146,50,Nicki Minaj
Queen,17,1DfASEEKVByFKTgCArlkS5,Miami,spotify:track:1DfASEEKVByFKTgCArlkS5,0.217,0.878,0.54,0.00186,0.562,-7.084,0.411,157.015,0.729,47,Nicki Minaj
Queen,18,5NjcvFJsahRqqSvNvTVJX4,Coco Chanel (feat. Foxy Brown),spotify:track:5NjcvFJsahRqqSvNvTVJX4,0.132,0.756,0.881,0.000528,0.63,-4.115,0.159,121.292,0.596,52,Nicki Minaj
Queen,19,2OsWux5YbFZcC1MSTkUh3G,Inspirations Outro,spotify:track:2OsWux5YbFZcC1MSTkUh3G,0.036,0.743,0.923,0.0355,0.271,-4.708,0.152,90.995,0.404,43,Nicki Minaj
The Pinkprint (Deluxe Edition),18,5lHahTxTKxsQbE4YJlJDWB,Shanghai,spotify:track:5lHahTxTKxsQbE4YJlJDWB,0.172,0.678,0.566,0.000657,0.0537,-7.569,0.321,139.979,0.422,57,Nicki Minaj
The Pinkprint (Deluxe Edition),20,7e44z4wOjkllaD8eulUeMd,Truffle Butter,spotify:track:7e44z4wOjkllaD8eulUeMd,0.0579,0.89,0.667,2.97E-05,0.108,-6.862,0.0521,105.099,0.522,69,Nicki Minaj
The Pinkprint (Deluxe Edition),21,2TycrcFStEfEs2vfFGtvza,Mona Lisa,spotify:track:2TycrcFStEfEs2vfFGtvza,0.912,0.625,0.435,0.00473,0.0742,-10.241,0.0324,93.922,0.344,39,Nicki Minaj
The Pinkprint (Deluxe Edition),22,1DTvFaODnUMWXuLHS2Qa09,Put You In A Room,spotify:track:1DTvFaODnUMWXuLHS2Qa09,0.101,0.68,0.612,0.00598,0.586,-7.173,0.0979,129.927,0.439,39,Nicki Minaj
The Pinkprint (Deluxe Edition),23,0CmNeAmnIYQVy2C9acsNBk,Wamables,spotify:track:0CmNeAmnIYQVy2C9acsNBk,0.492,0.934,0.284,0,0.111,-12.466,0.412,96.022,0.203,43,Nicki Minaj
The Pinkprint (International Deluxe Explicit),12,5eqiMMbaeUZ32Q7sS00H35,Anaconda,spotify:track:5eqiMMbaeUZ32Q7sS00H35,0.0668,0.964,0.605,7.78E-06,0.214,-6.223,0.179,129.994,0.646,71,Nicki Minaj
The Pinkprint (International Deluxe Explicit),15,1yQunV0upd4Eyu3rcOerD9,Bed Of Lies,spotify:track:1yQunV0upd4Eyu3rcOerD9,0.251,0.716,0.67,0,0.109,-5.779,0.194,86.01,0.124,59,Nicki Minaj
The Pinkprint (International Deluxe Explicit),16,70CYAL35X3T73qVStJNpZ2,Grand Piano,spotify:track:70CYAL35X3T73qVStJNpZ2,0.889,0.33,0.21,1.10E-05,0.0784,-10.808,0.0307,128.157,0.135,58,Nicki Minaj
The Pinkprint (Deluxe),1,0MVUm3Nied9ocRAkDjRWvP,All Things Go,spotify:track:0MVUm3Nied9ocRAkDjRWvP,0.0718,0.751,0.463,1.60E-05,0.105,-10.966,0.281,124.009,0.276,51,Nicki Minaj
The Pinkprint (Deluxe),2,1g3WXUEJ53HXHSTgVXDX4u,I Lied,spotify:track:1g3WXUEJ53HXHSTgVXDX4u,0.384,0.624,0.388,0.000285,0.109,-8.712,0.0881,133.972,0.387,48,Nicki Minaj
The Pinkprint (Deluxe),3,4OgSKgxZqty3qQMtKU44Ah,The Crying Game,spotify:track:4OgSKgxZqty3qQMtKU44Ah,0.0686,0.6,0.505,0.0263,0.147,-8.092,0.0667,81.461,0.184,48,Nicki Minaj
The Pinkprint (Deluxe),5,5fyIGoaaKelzdyW8ELhYJZ,Feeling Myself,spotify:track:5fyIGoaaKelzdyW8ELhYJZ,0.437,0.564,0.703,0.00927,0.358,-5.459,0.269,139.045,0.477,71,Nicki Minaj
The Pinkprint (Deluxe),6,4MRT0dDbhqFKl67WzhUbSw,Only,spotify:track:4MRT0dDbhqFKl67WzhUbSw,0.405,0.573,0.495,0,0.0969,-7.245,0.592,179.196,0.255,76,Nicki Minaj
The Pinkprint (Deluxe),7,6cJ7CoT1gJ89Xy7NJXIInt,Want Some More,spotify:track:6cJ7CoT1gJ89Xy7NJXIInt,0.129,0.842,0.466,0.000582,0.187,-7.231,0.0518,124.922,0.214,56,Nicki Minaj
The Pinkprint (Deluxe),8,6HzZALdO9vjjQhyzWe9ns5,Four Door Aventador,spotify:track:6HzZALdO9vjjQhyzWe9ns5,0.48,0.681,0.657,0,0.295,-7.767,0.337,83.87,0.639,45,Nicki Minaj
