album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Octopus,1,1pBJwnn2vyd9pAkDNNLjS6,Air,spotify:track:1pBJwnn2vyd9pAkDNNLjS6,0.883,0.581,0.16,0.606,0.116,-17.971,0.0345,125.948,0.174,9,Oliver Heldens
Octopus,2,0KYI7uZanFOHYkvkNE2NAi,Ocean Avenue,spotify:track:0KYI7uZanFOHYkvkNE2NAi,0.586,0.437,0.405,0.871,0.115,-15.125,0.0431,138.407,0.236,7,Oliver Heldens
Octopus,3,2PO5HnsJRdyX7GoRzAtL3x,Dovescape,spotify:track:2PO5HnsJRdyX7GoRzAtL3x,0.834,0.394,0.245,0.906,0.105,-16.621,0.0416,83.734,0.228,5,Oliver Heldens
Octopus,4,3sbsNQNiuQF977xRgFnyGd,Blue Tips,spotify:track:3sbsNQNiuQF977xRgFnyGd,0.688,0.67,0.116,0.488,0.172,-17.898,0.196,115.308,0.262,4,Oliver Heldens
Octopus,5,23t2748DvBxkJK6EiSgJrw,Octopus,spotify:track:23t2748DvBxkJK6EiSgJrw,0.77,0.539,0.364,0.762,0.0943,-14.319,0.0486,127.851,0.351,4,Oliver Heldens
Octopus,6,2URiGsYaublfDouBHsyYSg,Iceland,spotify:track:2URiGsYaublfDouBHsyYSg,0.965,0.239,0.0405,0.726,0.119,-24.247,0.0403,174.624,0.167,3,Oliver Heldens
Octopus,7,1TESGz0QYJLXYfeTqxy1AS,VGO,spotify:track:1TESGz0QYJLXYfeTqxy1AS,0.802,0.439,0.244,0.671,0.144,-14.738,0.0443,176.662,0.272,3,Oliver Heldens
Octopus,8,1b8lJqjISH9GwIKgMawGg6,Dancin' Structure,spotify:track:1b8lJqjISH9GwIKgMawGg6,0.931,0.409,0.0959,0.215,0.112,-21.878,0.0456,116.732,0.0395,3,Oliver Heldens
Octopus,9,6yj9W5dkXREoJ4FtfQgpmJ,Cripple X,spotify:track:6yj9W5dkXREoJ4FtfQgpmJ,0.563,0.417,0.347,0.687,0.0936,-14.258,0.0386,100.808,0.352,3,Oliver Heldens
Octopus,10,6LrHCGbTP7eoGJzfHlbMQR,Peace in the End,spotify:track:6LrHCGbTP7eoGJzfHlbMQR,0.951,0.397,0.0558,0.077,0.132,-23.269,0.0441,136.262,0.207,2,Oliver Heldens
