album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
One Night In Malibu,1,2B4u4howohJ8kbkWcbuAUM,Horizon - from One Night In Malibu,spotify:track:2B4u4howohJ8kbkWcbuAUM,0.861,0.438,0.152,0.0689,0.105,-23.868,0.0768,132.146,0.138,53,One Republic
One Night In Malibu,2,2gPWnjEtKZaCcEXRlH9yT4,Distance - from One Night In Malibu,spotify:track:2gPWnjEtKZaCcEXRlH9yT4,0.151,0.558,0.665,5.75E-05,0.098,-9.693,0.0395,150.928,0.639,55,One Republic
One Night In Malibu,3,5ngFtRMAHVwCczceA9tUQD,Take Care Of You - from One Night In Malibu,spotify:track:5ngFtRMAHVwCczceA9tUQD,0.0703,0.579,0.594,1.49E-05,0.12,-9.817,0.0358,98.05,0.307,54,One Republic
One Night In Malibu,4,0qdpBSgdFsOPGv9QLxEjdu,Good Life - from One Night In Malibu,spotify:track:0qdpBSgdFsOPGv9QLxEjdu,0.0176,0.686,0.663,0,0.0713,-8.751,0.0415,94.991,0.599,56,One Republic
One Night In Malibu,5,5tzvqXAnA3WfPd1PcZgxSX,Rescue Me - from One Night In Malibu,spotify:track:5tzvqXAnA3WfPd1PcZgxSX,0.616,0.695,0.554,0.000192,0.099,-9.819,0.0449,120.996,0.395,52,One Republic
One Night In Malibu,6,18kUq9I5PGlJcB36dMhcOy,Secrets - from One Night In Malibu,spotify:track:18kUq9I5PGlJcB36dMhcOy,0.114,0.606,0.731,6.51E-05,0.0906,-8.769,0.0378,147.896,0.348,53,One Republic
One Night In Malibu,7,0LoY54m9XFnSaSxeQZEI00,Wanted - from One Night In Malibu,spotify:track:0LoY54m9XFnSaSxeQZEI00,0.226,0.678,0.528,0,0.0695,-11.071,0.0779,145.833,0.676,50,One Republic
One Night In Malibu,8,27tjAlOAJbhdEMLXhFqnxj,Lose Somebody - from One Night In Malibu,spotify:track:27tjAlOAJbhdEMLXhFqnxj,0.774,0.589,0.437,0,0.0922,-10.377,0.0352,147.846,0.659,52,One Republic
One Night In Malibu,9,5mmxExsbydcTmXfs2fSDBk,Better Days - from One Night In Malibu,spotify:track:5mmxExsbydcTmXfs2fSDBk,0.571,0.367,0.462,0.000128,0.0624,-11.359,0.0401,177.826,0.12,49,One Republic
One Night In Malibu,10,3v5dEeN8mrw8XFq3wnGL1H,Run - From One Night In Malibu,spotify:track:3v5dEeN8mrw8XFq3wnGL1H,0.449,0.778,0.626,1.55E-05,0.0848,-10.126,0.0478,117.005,0.67,60,One Republic
One Night In Malibu,11,6Eid9fMZCjDm65gotziFAh,I Lived - from One Night In Malibu,spotify:track:6Eid9fMZCjDm65gotziFAh,0.136,0.371,0.41,0.000114,0.0923,-10.632,0.0368,119.969,0.151,51,One Republic
One Night In Malibu,12,0Fh0kfS6IBEilmHaiDNahG,Someday - from One Night In Malibu,spotify:track:0Fh0kfS6IBEilmHaiDNahG,0.0957,0.567,0.559,0.000121,0.154,-10.302,0.0339,120.903,0.199,51,One Republic
One Night In Malibu,13,5ID6Vqa2LDhrezdhNzQFbX,Ships + Tides - from One Night In Malibu,spotify:track:5ID6Vqa2LDhrezdhNzQFbX,0.815,0.261,0.186,0.00235,0.101,-13.463,0.0305,138.221,0.11,51,One Republic
One Night In Malibu,14,2yt0Pcxf88XnbMOQVLu0MV,Apologize - from One Night In Malibu,spotify:track:2yt0Pcxf88XnbMOQVLu0MV,0.083,0.686,0.504,0.00193,0.136,-10.063,0.0268,118.008,0.167,50,One Republic
One Night In Malibu,15,35zUCwNjhCK9Azdt9TRlYU,Love Runs Out - from One Night In Malibu,spotify:track:35zUCwNjhCK9Azdt9TRlYU,0.0627,0.678,0.836,0.000186,0.117,-7.633,0.0309,120.033,0.786,50,One Republic
One Night In Malibu,16,5JaPbIWYgYoA5Hhl5FdujT,Counting Stars - from One Night In Malibu,spotify:track:5JaPbIWYgYoA5Hhl5FdujT,0.0667,0.662,0.644,2.60E-06,0.0796,-9.454,0.0395,121.993,0.475,51,One Republic
One Night In Malibu,17,6bodwiB48M5lD9cIOOwF0i,Wild Life - from One Night In Malibu,spotify:track:6bodwiB48M5lD9cIOOwF0i,0.0069,0.547,0.736,0.0172,0.131,-10.484,0.0309,115.982,0.166,48,One Republic
Human (Deluxe),1,6KL88T4Ma4ABXqzgUoEwkd,Run,spotify:track:6KL88T4Ma4ABXqzgUoEwkd,0.321,0.682,0.72,0,0.205,-8.176,0.0382,116.988,0.649,78,One Republic
Human (Deluxe),2,2l3gQ8Zv1KlGqyE6B4ntPC,Distance,spotify:track:2l3gQ8Zv1KlGqyE6B4ntPC,0.112,0.611,0.766,7.13E-06,0.195,-5.686,0.0634,150.956,0.713,56,One Republic
Human (Deluxe),3,6aDsgHPZsMztSbZernzlF8,Someday,spotify:track:6aDsgHPZsMztSbZernzlF8,0.0311,0.576,0.679,0,0.323,-7.237,0.034,121.005,0.213,82,One Republic
Human (Deluxe),4,2IpeTEPICyB66jjg2hU4Vg,Didn't I,spotify:track:2IpeTEPICyB66jjg2hU4Vg,0.0186,0.611,0.61,0,0.125,-6.745,0.0314,123.943,0.242,58,One Republic
Human (Deluxe),5,37LNNQNbL1YLyutBG6aWRx,Rescue Me,spotify:track:37LNNQNbL1YLyutBG6aWRx,0.157,0.761,0.606,0,0.574,-7.742,0.0424,121.038,0.646,69,One Republic
Human (Deluxe),6,4VhR9r9zgzikeruUScgj8A,Savior,spotify:track:4VhR9r9zgzikeruUScgj8A,0.016,0.59,0.583,8.49E-05,0.0703,-6.985,0.0309,92.995,0.234,53,One Republic
Human (Deluxe),7,2ExaKO7GhafvrUHOjWxjgC,Take Care Of You,spotify:track:2ExaKO7GhafvrUHOjWxjgC,0.00788,0.461,0.704,8.88E-06,0.148,-6.451,0.0377,98.539,0.25,53,One Republic
Human (Deluxe),8,73xYQWRzImNfVHhz0x9ETV,Forgot About You,spotify:track:73xYQWRzImNfVHhz0x9ETV,0.318,0.793,0.627,0,0.0696,-5.689,0.0528,142.91,0.544,52,One Republic
Human (Deluxe),9,2z8S9ARUXOXWT9h0PdF4yP,Somebody To Love,spotify:track:2z8S9ARUXOXWT9h0PdF4yP,0.0158,0.401,0.503,0,0.134,-8.084,0.0439,118.486,0.236,56,One Republic
Human (Deluxe),10,3fT6xqEkC1jm4mHjOyXbKw,Wanted,spotify:track:3fT6xqEkC1jm4mHjOyXbKw,0.165,0.665,0.539,0,0.0912,-6.613,0.0699,145.828,0.666,57,One Republic
Human (Deluxe),11,7lISY14A9I1w3m7to2kWv1,Take It Out On Me,spotify:track:7lISY14A9I1w3m7to2kWv1,0.81,0.437,0.314,0,0.116,-8.007,0.0372,119.888,0.13,51,One Republic
Human (Deluxe),12,2SLxgJ2YFohfd8KwuJZTUE,Better Days,spotify:track:2SLxgJ2YFohfd8KwuJZTUE,0.255,0.618,0.725,0,0.424,-4.952,0.0479,88.982,0.242,61,One Republic
Human (Deluxe),13,4zD9RBG51Lj8bnQwolLnyu,Wild Life,spotify:track:4zD9RBG51Lj8bnQwolLnyu,0.00711,0.479,0.762,0.011,0.0965,-7.86,0.0378,115.956,0.0519,50,One Republic
Human (Deluxe),14,0GUncXNah8KoaErnDd7H1L,Ships + Tides,spotify:track:0GUncXNah8KoaErnDd7H1L,0.768,0.242,0.354,0.0234,0.117,-8.783,0.0299,135.852,0.183,53,One Republic
Human (Deluxe),15,5CJQMw0y824OWaQJSlszY5,Someday - Acoustic,spotify:track:5CJQMw0y824OWaQJSlszY5,0.565,0.575,0.494,0,0.156,-7.487,0.0297,120.998,0.207,52,One Republic
Human (Deluxe),16,5JAQXve1J0iUpslwMI3J7C,Lose Somebody,spotify:track:5JAQXve1J0iUpslwMI3J7C,0.347,0.582,0.589,0,0.0755,-6.871,0.0355,147.992,0.495,0,One Republic
CLOUDS (Music From The Disney+ Original Movie),1,5GWOpEPh1YAu1c25EENFlF,Galaxies,spotify:track:5GWOpEPh1YAu1c25EENFlF,0.869,0.513,0.277,0,0.0621,-10.587,0.0296,135.926,0.132,40,One Republic
CLOUDS (Music From The Disney+ Original Movie),2,3KKUAEaehogQNQUSIlZxF1,Sexy And I Know It,spotify:track:3KKUAEaehogQNQUSIlZxF1,0.795,0.583,0.269,0,0.0938,-9.823,0.0882,106.921,0.5,37,One Republic
