album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Libertad 548,1,7q9W8JUW9re6kPndJjXwfL,Winning,spotify:track:7q9W8JUW9re6kPndJjXwfL,0.0754,0.844,0.613,1.07E-05,0.321,-5.357,0.224,172.037,0.45,41,Pitbull
Libertad 548,2,7mwoTHCLbucY3b1a6Ude1V,No Lo Trates,spotify:track:7mwoTHCLbucY3b1a6Ude1V,0.0569,0.834,0.808,0.00052,0.222,-2.597,0.0542,104.026,0.829,59,Pitbull
Libertad 548,3,3WWcN465rY8xdIQvYq0bpB,3 to Tango,spotify:track:3WWcN465rY8xdIQvYq0bpB,0.0539,0.724,0.833,1.10E-06,0.601,-4.225,0.142,96.955,0.521,45,Pitbull
Libertad 548,4,3sEwjqGhrzXISCF51vWfBZ,Moviéndolo,spotify:track:3sEwjqGhrzXISCF51vWfBZ,0.367,0.685,0.922,0,0.204,-3.751,0.295,160.148,0.63,38,Pitbull
Libertad 548,5,0YmVJtuU559DTzpxCVurpz,Happy Mama Day,spotify:track:0YmVJtuU559DTzpxCVurpz,0.00999,0.663,0.919,3.05E-06,0.325,-2.845,0.0673,109.999,0.647,35,Pitbull
Libertad 548,6,0ftlxPXNSjPNEvEGbBnMa7,Get Ready,spotify:track:0ftlxPXNSjPNEvEGbBnMa7,0.000441,0.588,0.978,0,0.389,-4.669,0.227,127.997,0.593,53,Pitbull
Libertad 548,7,3h4XzxkbhXPaQ2OYLBuLFB,Cinco De Mayo,spotify:track:3h4XzxkbhXPaQ2OYLBuLFB,0.014,0.735,0.866,0,0.0863,-4.15,0.0715,131.958,0.416,44,Pitbull
Libertad 548,8,0ILXn8bzzMVLq9VkXX0ChG,Mala,spotify:track:0ILXn8bzzMVLq9VkXX0ChG,0.0308,0.82,0.757,0,0.275,-3.883,0.0528,95.006,0.659,43,Pitbull
Libertad 548,9,6iLyEBNStoAemStXqGY7qP,Mueve La Cintura,spotify:track:6iLyEBNStoAemStXqGY7qP,0.0133,0.735,0.86,1.76E-05,0.0644,-4.524,0.0416,101.897,0.396,50,Pitbull
Libertad 548,10,0OGDredxd4n2ai4IJjfLNH,Me Quedaré Contigo,spotify:track:0OGDredxd4n2ai4IJjfLNH,0.0593,0.671,0.918,0,0.206,-3.588,0.0774,92.132,0.712,58,Pitbull
Libertad 548,11,5adattgAW8QDqyuOK2OjnE,Se La Vi,spotify:track:5adattgAW8QDqyuOK2OjnE,0.0818,0.756,0.831,0,0.0524,-4.437,0.0897,100.094,0.755,34,Pitbull
Libertad 548,12,75NPXq6LKU5UjIHBU7dhja,Tell Me Again,spotify:track:75NPXq6LKU5UjIHBU7dhja,0.0133,0.454,0.726,0,0.109,-3.398,0.289,186.225,0.328,35,Pitbull
Libertad 548,13,3sNROuAoYvVfN2VwcOiT2a,No Se Lleva Nada,spotify:track:3sNROuAoYvVfN2VwcOiT2a,0.204,0.833,0.856,0,0.235,-4.435,0.0454,135.057,0.976,33,Pitbull
Libertad 548,14,5IUC0MrNR1rcjVQD7iVJ73,Ocupado,spotify:track:5IUC0MrNR1rcjVQD7iVJ73,0.0818,0.879,0.716,1.37E-06,0.693,-3.247,0.348,111.09,0.689,35,Pitbull
