album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Hollywood's Bleeding,1,7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,spotify:track:7sWRlDoTDX8geTR8zzr2vt,0.331,0.405,0.646,0,0.103,-3.206,0.0476,130.218,0.17,78,Post Malone
Hollywood's Bleeding,2,05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,spotify:track:05mDaV9Vb3wrzjF6OPZnhq,0.0545,0.617,0.684,0,0.104,-3.618,0.0439,132.113,0.295,74,Post Malone
Hollywood's Bleeding,3,0Xek5rqai2jcOWCYWJfVCF,Enemies (feat. DaBaby),spotify:track:0Xek5rqai2jcOWCYWJfVCF,0.0588,0.542,0.674,0,0.0955,-4.169,0.21,76.388,0.667,78,Post Malone
Hollywood's Bleeding,4,1YscJ7yVTlFxW3eF6pv5ba,Allergic,spotify:track:1YscJ7yVTlFxW3eF6pv5ba,0.154,0.665,0.741,3.02E-05,0.345,-3.694,0.0787,144.968,0.57,69,Post Malone
Hollywood's Bleeding,5,2J0NXdHr6MYvKDSxB7k3V2,A Thousand Bad Times,spotify:track:2J0NXdHr6MYvKDSxB7k3V2,0.105,0.632,0.732,1.15E-05,0.111,-3.498,0.092,159,0.317,71,Post Malone
Hollywood's Bleeding,6,21jGcNKet2qwijlDFuPiPb,Circles,spotify:track:21jGcNKet2qwijlDFuPiPb,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,0.553,90,Post Malone
Hollywood's Bleeding,7,2C6WXnmZ66tHhHlnvwePiK,Die For Me (feat. Future & Halsey),spotify:track:2C6WXnmZ66tHhHlnvwePiK,0.19,0.614,0.66,0,0.211,-2.848,0.0441,145.01,0.452,74,Post Malone
Hollywood's Bleeding,8,12Fkyg9lpmaz2zmKOfw2Y2,On The Road (feat. Meek Mill & Lil Baby),spotify:track:12Fkyg9lpmaz2zmKOfw2Y2,0.0589,0.442,0.737,0,0.102,-5.046,0.109,112.93,0.21,73,Post Malone
Hollywood's Bleeding,9,7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),spotify:track:7CZyCXKG6d5ALeq41sLzbw,0.0906,0.499,0.8,0,0.147,-2.665,0.0502,139.919,0.272,79,Post Malone
Hollywood's Bleeding,10,1ckLp8lCl8LipXI0ypX72m,I'm Gonna Be,spotify:track:1ckLp8lCl8LipXI0ypX72m,0.703,0.746,0.559,0,0.148,-4.008,0.0316,117.943,0.368,72,Post Malone
Hollywood's Bleeding,11,5KE9b4x7Zj2A8XtbkqhqTe,Staring At The Sun (feat. SZA),spotify:track:5KE9b4x7Zj2A8XtbkqhqTe,0.25,0.724,0.772,0,0.308,-4.389,0.184,95.074,0.347,70,Post Malone
