album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
The Wave,1,1dmmZ4gkN8U6fYT8cOqAPE,Eyes Closed,spotify:track:1dmmZ4gkN8U6fYT8cOqAPE,0.0319,0.416,0.7,0.896,0.0771,-8.528,0.0375,141.934,0.1,33,R3HAB
The Wave,2,5bIRQuUgZqBSODQrJiMKEw,The Wave,spotify:track:5bIRQuUgZqBSODQrJiMKEw,0.214,0.747,0.407,0,0.042,-7.466,0.0347,79.988,0.398,38,R3HAB
The Wave,3,1Lqh2RUDCEtf689GKUCjfV,Radio Silence,spotify:track:1Lqh2RUDCEtf689GKUCjfV,0.025,0.603,0.723,0,0.0824,-5.89,0.0454,114.975,0.382,34,R3HAB
The Wave,4,6WRTNDVblJW6Dstku4aHix,Cherry Blossom,spotify:track:6WRTNDVblJW6Dstku4aHix,0.109,0.67,0.458,0.328,0.197,-9.853,0.0366,87.994,0.314,34,R3HAB
The Wave,5,6nwTFMOX67WyTNCDCy9e5O,Hold On Tight,spotify:track:6nwTFMOX67WyTNCDCy9e5O,0.454,0.415,0.647,0,0.179,-7.131,0.0389,86.707,0.538,35,R3HAB
The Wave,6,04hn1YmoiaSCAdq595SsIu,How You've Been,spotify:track:04hn1YmoiaSCAdq595SsIu,0.0899,0.638,0.742,0,0.0727,-6.665,0.0446,114.149,0.121,32,R3HAB
The Wave,7,2eVtXtc1RLR3XXWMDmgezo,Ain't That Why,spotify:track:2eVtXtc1RLR3XXWMDmgezo,0.391,0.596,0.61,0,0.168,-5.106,0.0492,139.761,0.336,33,R3HAB
The Wave,8,1CPUilWsYY4I5nzXuTN8Gj,Rumors,spotify:track:1CPUilWsYY4I5nzXuTN8Gj,0.44,0.666,0.496,0,0.186,-6.061,0.176,141.182,0.633,48,R3HAB
The Wave,9,1Tbs2u4jU6gdVGRsk31dce,Tell Me It's Ok,spotify:track:1Tbs2u4jU6gdVGRsk31dce,0.365,0.735,0.564,4.94E-05,0.167,-5.775,0.0717,127.948,0.21,30,R3HAB
The Wave,10,67ERfxHkUp2TPlVU9dAjox,Whiplash,spotify:track:67ERfxHkUp2TPlVU9dAjox,0.303,0.685,0.316,0.000119,0.129,-8.74,0.0438,138.082,0.214,29,R3HAB
The Wave,12,1YaYoB7J5uQYadrY2tAh9J,We Do (feat. Miranda Glory),spotify:track:1YaYoB7J5uQYadrY2tAh9J,0.241,0.416,0.557,0,0.105,-5.629,0.0879,70.634,0.31,30,R3HAB
The Wave,13,4p7fb6fjHMcyEebumewT2p,Back to You,spotify:track:4p7fb6fjHMcyEebumewT2p,0.109,0.629,0.573,0,0.212,-5.139,0.0277,93.009,0.169,28,R3HAB
The Wave,14,3o3uJyzkWSICWdEA4Og2Tz,Good Intentions (feat. Lourdiz),spotify:track:3o3uJyzkWSICWdEA4Og2Tz,0.318,0.492,0.652,0,0.0789,-6.401,0.0487,96.112,0.198,30,R3HAB
The Wave,15,4BLEnHP1FInl1u3xAbgI4n,Lullaby,spotify:track:4BLEnHP1FInl1u3xAbgI4n,0.0267,0.626,0.8,0.000133,0.0623,-3.988,0.035,127.965,0.26,61,R3HAB
The Wave,16,2nzpyRpQbh3TVdxU9A0ScV,Belle,spotify:track:2nzpyRpQbh3TVdxU9A0ScV,0.0481,0.591,0.703,0.32,0.107,-8.916,0.0618,114.96,0.0338,26,R3HAB
The Wave,8,4hIhoGN4UTZdNpHn5PbvoC,Rumors (with Sofia Carson),spotify:track:4hIhoGN4UTZdNpHn5PbvoC,0.44,0.712,0.496,0,0.186,-6.061,0.124,141.212,0.638,23,R3HAB
The Wave,9,4akhMha97o3MdofdJgj0xc,Tell Me It's OK,spotify:track:4akhMha97o3MdofdJgj0xc,0.363,0.735,0.564,4.69E-05,0.167,-5.775,0.0712,127.947,0.217,21,R3HAB
