album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
ANTI (Deluxe),1,6t90Z9XkdsHD8xMxro6KRP,Consideration,spotify:track:6t90Z9XkdsHD8xMxro6KRP,0.0392,0.883,0.584,4.39E-06,0.0869,-2.102,0.0465,144.975,0.784,73,Rihanna
ANTI (Deluxe),2,6K4Co1NQyOnoFEJMkZHkln,James Joint,spotify:track:6K4Co1NQyOnoFEJMkZHkln,0.66,0.399,0.203,0.000163,0.27,-11.649,0.0298,134.202,0.405,65,Rihanna
ANTI (Deluxe),3,0UHB9METy4VCXNgkcGqHqS,Kiss It Better,spotify:track:0UHB9METy4VCXNgkcGqHqS,0.272,0.619,0.806,0,0.0671,-4.8,0.0483,95,0.877,75,Rihanna
ANTI (Deluxe),4,72TFWvU3wUYdUuxejTTIzt,Work,spotify:track:72TFWvU3wUYdUuxejTTIzt,0.0752,0.725,0.534,0,0.0919,-6.238,0.0946,91.974,0.558,81,Rihanna
ANTI (Deluxe),5,4mCf3vQf7z0Yseo0RxAi3V,Desperado,spotify:track:4mCf3vQf7z0Yseo0RxAi3V,0.323,0.685,0.61,0,0.102,-5.221,0.0439,94.384,0.323,78,Rihanna
ANTI (Deluxe),6,3HQcsqRjRdruUjkbDSgmVF,Woo,spotify:track:3HQcsqRjRdruUjkbDSgmVF,0.0546,0.42,0.466,0.00389,0.298,-5.298,0.0326,115.004,0.185,63,Rihanna
ANTI (Deluxe),7,4pAl7FkDMNBsjykPXo91B3,Needed Me,spotify:track:4pAl7FkDMNBsjykPXo91B3,0.11,0.671,0.314,0,0.0825,-8.091,0.244,110.898,0.296,84,Rihanna
ANTI (Deluxe),8,7eDYNlBwRMeFOZHOZ95dZ1,"Yeah, I Said It",spotify:track:7eDYNlBwRMeFOZHOZ95dZ1,0.547,0.509,0.38,1.21E-06,0.36,-7.479,0.158,127.88,0.249,71,Rihanna
ANTI (Deluxe),9,6RtzmszGXs32TRhv5zTKNM,Same Ol’ Mistakes,spotify:track:6RtzmszGXs32TRhv5zTKNM,0.199,0.44,0.803,0.00282,0.0591,-5.415,0.0443,151.777,0.501,68,Rihanna
ANTI (Deluxe),10,7Jd5LgnSRQElW6FsTWVPzE,Never Ending,spotify:track:7Jd5LgnSRQElW6FsTWVPzE,0.751,0.53,0.391,6.97E-05,0.187,-9.096,0.0286,82.215,0.521,61,Rihanna
ANTI (Deluxe),11,5oO3drDxtziYU2H1X23ZIp,Love On The Brain,spotify:track:5oO3drDxtziYU2H1X23ZIp,0.0717,0.509,0.637,1.08E-05,0.0789,-4.83,0.0471,172.006,0.378,85,Rihanna
ANTI (Deluxe),12,1KnJwhZU3DIBe54Q4HPpIl,Higher,spotify:track:1KnJwhZU3DIBe54Q4HPpIl,0.112,0.292,0.567,1.01E-06,0.119,-4.191,0.0416,153.199,0.392,67,Rihanna
ANTI (Deluxe),13,6D2tzc8kRnZb7P1lNwMBLH,Close To You,spotify:track:6D2tzc8kRnZb7P1lNwMBLH,0.895,0.494,0.17,0,0.139,-11.368,0.0337,80.098,0.145,68,Rihanna
ANTI (Deluxe),14,5LJz7kmFhLqB53tmVWxig5,Goodnight Gotham,spotify:track:5LJz7kmFhLqB53tmVWxig5,0.00686,0.418,0.672,2.14E-06,0.277,-5.989,0.0429,82.134,0.353,58,Rihanna
ANTI (Deluxe),15,4UTizOdGljPIIbXtoXycAd,Pose,spotify:track:4UTizOdGljPIIbXtoXycAd,0.181,0.685,0.852,0.00135,0.147,-3.153,0.0846,145.918,0.77,57,Rihanna
