album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Moments in Between (Deluxe Special Edition),2,7L5JWXg2lkOgvTbauwUe5X,Holiday Interlude,spotify:track:7L5JWXg2lkOgvTbauwUe5X,0.995,0.479,0.0496,0.794,0.315,-27.629,0.0512,86.006,0.106,37,Ruth B.
Moments in Between (Deluxe Special Edition),12,4DQX6dkWk6pcwBbP3kUrbd,Dandelions NY Rooftop Session Live,spotify:track:4DQX6dkWk6pcwBbP3kUrbd,0.566,0.641,0.663,0,0.369,-5.677,0.0401,116.841,0.214,48,Ruth B.
Moments in Between (Deluxe Special Edition),13,7C3MRae9fGSIRuH1OrjDc3,Spaceship Acoustic NY Rooftop Session Live,spotify:track:7C3MRae9fGSIRuH1OrjDc3,0.91,0.533,0.271,0,0.111,-8.598,0.0333,103.915,0.412,38,Ruth B.
Moments in Between (Deluxe Special Edition),14,1SDnid3hos6lliGcAcHb3Z,Dirty Nikes - Lupe Fiasco Remix,spotify:track:1SDnid3hos6lliGcAcHb3Z,0.429,0.782,0.343,0.000229,0.104,-10.439,0.219,70.015,0.384,31,Ruth B.
Moments in Between (Deluxe Special Edition),15,2hERNPlnQCG6oxSEiBcljX,Situation - smle Remix,spotify:track:2hERNPlnQCG6oxSEiBcljX,0.233,0.702,0.632,0,0.125,-6.208,0.301,100.277,0.792,31,Ruth B.
Moments in Between,1,3XWkg2bxaX2ryyCdpMME9I,Princess Peach,spotify:track:3XWkg2bxaX2ryyCdpMME9I,0.629,0.578,0.504,0.000414,0.183,-7.023,0.0288,122.856,0.417,49,Ruth B.
Moments in Between,3,2MvCNuqYkd7lmMS34hXqwJ,Holiday,spotify:track:2MvCNuqYkd7lmMS34hXqwJ,0.662,0.691,0.58,0,0.115,-6,0.0315,93.909,0.734,41,Ruth B.
Moments in Between,4,6Vr0pzwD8ecdfUJUCKE6hJ,Situation,spotify:track:6Vr0pzwD8ecdfUJUCKE6hJ,0.748,0.686,0.589,0.0205,0.0965,-8.009,0.134,159.991,0.372,47,Ruth B.
Moments in Between,5,0RfBLmmqsSP1pir9zu46d4,Sweet Chamomile,spotify:track:0RfBLmmqsSP1pir9zu46d4,0.449,0.62,0.644,3.15E-05,0.0885,-6.931,0.033,117.957,0.317,48,Ruth B.
Moments in Between,6,1dAbOcVTAm73m6jW26Xxw0,Favourite,spotify:track:1dAbOcVTAm73m6jW26Xxw0,0.817,0.547,0.307,0.00127,0.113,-9.406,0.0269,92.102,0.2,43,Ruth B.
Moments in Between,7,4M3wJczMgJmUsSg1Hy4p5D,Spaceship,spotify:track:4M3wJczMgJmUsSg1Hy4p5D,0.473,0.408,0.35,3.56E-05,0.155,-10.649,0.0453,161.748,0.209,55,Ruth B.
Moments in Between,8,0kAfgasXZ1WEAAoicQXFxh,Die Fast,spotify:track:0kAfgasXZ1WEAAoicQXFxh,0.556,0.745,0.361,0,0.0904,-8.826,0.312,180.095,0.557,36,Ruth B.
Moments in Between,9,2wjkqe0TNPljHEBXknWviW,Dirty Nikes,spotify:track:2wjkqe0TNPljHEBXknWviW,0.675,0.784,0.271,0.00828,0.108,-9.786,0.058,70.002,0.317,45,Ruth B.
Moments in Between,10,3o3vE9j97QRcfAmB12rUKn,Moments in Between,spotify:track:3o3vE9j97QRcfAmB12rUKn,0.707,0.752,0.48,0,0.103,-5.409,0.0525,141.84,0.514,38,Ruth B.
Moments in Between,11,2IlD8BfBGHniWuwUY5DODv,Share,spotify:track:2IlD8BfBGHniWuwUY5DODv,0.946,0.306,0.152,7.29E-05,0.153,-13.865,0.0337,76.887,0.194,39,Ruth B.
Safe Haven,1,0IsAEXwuy46qn0bbJYdWIH,Mixed Signals,spotify:track:0IsAEXwuy46qn0bbJYdWIH,0.934,0.613,0.24,0,0.106,-8.323,0.0448,120.158,0.275,62,Ruth B.
Safe Haven,2,2eAvDnpXP5W0cVtiI0PUxV,Dandelions,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,0.0157,0.609,0.692,0,0.0864,-2.958,0.0259,116.959,0.454,94,Ruth B.
Safe Haven,3,78AP3gmgDUVkWukDcLmCM7,Unrighteous,spotify:track:78AP3gmgDUVkWukDcLmCM7,0.906,0.66,0.155,0,0.106,-9.66,0.0466,142.213,0.453,50,Ruth B.
Safe Haven,4,4sxssJY6nbqDHnsgZPkRZW,Superficial Love - Single Version,spotify:track:4sxssJY6nbqDHnsgZPkRZW,0.359,0.599,0.866,0,0.107,-2.808,0.0629,147.934,0.391,67,Ruth B.
Safe Haven,5,359ofvoEja4de0XjzUL3D5,If This is Love,spotify:track:359ofvoEja4de0XjzUL3D5,0.592,0.279,0.454,0,0.124,-4.393,0.0339,178.596,0.212,63,Ruth B.
Safe Haven,6,0zMzyHAeMvwq5CRstru1Fp,Lost Boy,spotify:track:0zMzyHAeMvwq5CRstru1Fp,0.963,0.586,0.128,0,0.0858,-9.297,0.0496,123.498,0.371,73,Ruth B.
Safe Haven,7,082dvln9geqoUZx79tQJ0I,Young,spotify:track:082dvln9geqoUZx79tQJ0I,0.132,0.598,0.76,0.0039,0.0955,-4.463,0.0345,146.099,0.472,46,Ruth B.
Safe Haven,8,21dpBHPTV7ythCHBI6Slcw,If By Chance,spotify:track:21dpBHPTV7ythCHBI6Slcw,0.881,0.405,0.279,0,0.0933,-8.099,0.0334,119.85,0.256,76,Ruth B.
Safe Haven,9,6UEsGMsL6vD77jqvjsmCOh,World War 3,spotify:track:6UEsGMsL6vD77jqvjsmCOh,0.646,0.576,0.611,0,0.287,-5.275,0.0452,138.073,0.256,49,Ruth B.
Safe Haven,10,7N1y972qiXJsqHkY17mrPA,Safe Haven,spotify:track:7N1y972qiXJsqHkY17mrPA,0.205,0.647,0.476,1.60E-06,0.093,-5.848,0.0367,77.537,0.459,49,Ruth B.
Safe Haven,11,1XcXLeFN4JNpUTeGnUPCWj,In My Dreams,spotify:track:1XcXLeFN4JNpUTeGnUPCWj,0.857,0.484,0.284,0,0.104,-8.155,0.0315,82.255,0.196,52,Ruth B.
Safe Haven,12,6W8YvRrLmwB7phA6hmi55d,First Time,spotify:track:6W8YvRrLmwB7phA6hmi55d,0.177,0.539,0.724,8.27E-06,0.0899,-3.367,0.0252,183.982,0.68,53,Ruth B.
