album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
CLOUDS (Music From The Disney+ Original Movie),1,5GWOpEPh1YAu1c25EENFlF,Galaxies,spotify:track:5GWOpEPh1YAu1c25EENFlF,0.869,0.513,0.277,0,0.0621,-10.587,0.0296,135.926,0.132,40,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),2,3KKUAEaehogQNQUSIlZxF1,Sexy And I Know It,spotify:track:3KKUAEaehogQNQUSIlZxF1,0.795,0.583,0.269,0,0.0938,-9.823,0.0882,106.921,0.5,37,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),3,6b2WZQaW8BWRCY7AMHaMP1,Blueberries,spotify:track:6b2WZQaW8BWRCY7AMHaMP1,0.823,0.602,0.363,0,0.091,-8.393,0.0362,177.954,0.483,46,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),4,0nCfCedKIf6EjWFt55AXum,Clouds (with Sabrina Carpenter),spotify:track:0nCfCedKIf6EjWFt55AXum,0.571,0.583,0.633,0.000816,0.156,-7.662,0.0279,95.037,0.379,60,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),5,1ERCrZMVMSpqDW4zmr4sRc,afterthoughts,spotify:track:1ERCrZMVMSpqDW4zmr4sRc,0.86,0.51,0.229,3.03E-05,0.118,-11.394,0.0352,93.309,0.107,57,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),6,3tlYKGhlexHCt8Ac5pYG49,Fix Me Up (with Sabrina Carpenter),spotify:track:3tlYKGhlexHCt8Ac5pYG49,0.731,0.396,0.418,9.46E-06,0.164,-8.504,0.0294,126.083,0.142,56,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),7,60FOYIclKOq7bdwY5z5GRw,My Little Dancer,spotify:track:60FOYIclKOq7bdwY5z5GRw,0.907,0.558,0.178,0,0.132,-12.816,0.0396,79.53,0.373,44,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),8,0v0o4Otymd018Md9coeR4i,How To Go To Confession,spotify:track:0v0o4Otymd018Md9coeR4i,0.482,0.278,0.552,0.000174,0.101,-6.305,0.0518,161.958,0.193,48,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),9,5l3HdNxHfzukubdqakV6hL,Clouds Score Suite,spotify:track:5l3HdNxHfzukubdqakV6hL,0.873,0.383,0.238,0.917,0.0716,-13.231,0.0288,102.042,0.0369,35,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),10,4Ad8uVajbb6QpUNQSmuswp,Purple Pink,spotify:track:4Ad8uVajbb6QpUNQSmuswp,0.686,0.752,0.336,0.000133,0.11,-13.032,0.0377,95.996,0.521,36,Sabrina Carpenter
CLOUDS (Music From The Disney+ Original Movie),11,0Om29oA0R3YPxVuf8Okowh,Star Hopping - Film Version,spotify:track:0Om29oA0R3YPxVuf8Okowh,0.809,0.48,0.282,0,0.112,-10.37,0.0824,199.724,0.498,33,Sabrina Carpenter
