album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Dear Evan Hansen (Original Motion Picture Soundtrack),1,0Grpt3Up0Kaj7PljmT7inL,Waving Through A Window - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:0Grpt3Up0Kaj7PljmT7inL,0.244,0.499,0.731,0,0.0938,-6.452,0.0525,145.001,0.463,57,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),2,4F0FjRSJxEhEg2O2X7xAik,For Forever - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:4F0FjRSJxEhEg2O2X7xAik,0.332,0.357,0.339,1.01E-05,0.0936,-8.854,0.048,91.602,0.211,52,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),3,7Fuj7RyGJYSJ7HgO5E2tJv,Sincerely Me - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:7Fuj7RyGJYSJ7HgO5E2tJv,0.00797,0.631,0.703,0,0.161,-5.799,0.0927,97.984,0.572,51,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),4,2hp0ZBtEDA2Wn3C1fvJSf9,Requiem - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:2hp0ZBtEDA2Wn3C1fvJSf9,0.554,0.337,0.373,0,0.0796,-7.996,0.0331,82.093,0.254,51,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),5,7bKq8MLzpWlaO1RXPkEm95,If I Could Tell Her - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:7bKq8MLzpWlaO1RXPkEm95,0.587,0.533,0.301,0,0.0972,-10.239,0.0426,96.194,0.528,49,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),6,1ouS2oUJOnxH9TaQxpNpUO,The Anonymous Ones - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1ouS2oUJOnxH9TaQxpNpUO,0.463,0.513,0.332,1.03E-05,0.109,-9.51,0.0714,103.839,0.182,51,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),7,3AYMFpcQeHCjnTAb8XKeVu,You Will Be Found - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:3AYMFpcQeHCjnTAb8XKeVu,0.0612,0.261,0.533,0,0.0962,-7.688,0.0512,78.247,0.224,51,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),8,34IKm7af3AY1m36bnlNH5k,Only Us - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:34IKm7af3AY1m36bnlNH5k,0.71,0.358,0.339,0,0.094,-8.387,0.0326,136.79,0.333,50,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),9,6oKvPUNfMLB8tPCZxQztGR,Words Fail - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:6oKvPUNfMLB8tPCZxQztGR,0.873,0.388,0.172,0,0.0943,-10.779,0.0429,109.07,0.256,47,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),10,1MdFRRORSskeNMHJsYv9cu,So Big / So Small - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1MdFRRORSskeNMHJsYv9cu,0.795,0.408,0.124,2.70E-05,0.116,-14.495,0.0458,90.884,0.257,43,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),11,5V0BIjKnVh2acWHuf5evww,A Little Closer - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:5V0BIjKnVh2acWHuf5evww,0.81,0.296,0.183,0.00165,0.105,-14.855,0.0393,81.32,0.217,50,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),12,6i14jVQ6cq2BxYWlYYgzyD,You Will Be Found (Sam Smith & Summer Walker Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:6i14jVQ6cq2BxYWlYYgzyD,0.477,0.397,0.413,0,0.0835,-7.701,0.0342,77.864,0.492,50,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),13,1UiIBbs0Pl8rAtz294SZoR,The Anonymous Ones (SZA Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1UiIBbs0Pl8rAtz294SZoR,0.316,0.663,0.458,4.40E-06,0.114,-8.419,0.036,99.971,0.217,51,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),14,4SaukjSrlHLaSwZ5K6OHhe,Only Us (Carrie Underwood & Dan + Shay Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:4SaukjSrlHLaSwZ5K6OHhe,0.722,0.365,0.401,0,0.0952,-7.331,0.0303,138.365,0.3,44,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),15,3tcquFqOHmSIDmhW4rH2Pn,A Little Closer (FINNEAS Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:3tcquFqOHmSIDmhW4rH2Pn,0.932,0.373,0.144,4.51E-05,0.0924,-17.085,0.0372,140.384,0.157,57,Sam Smith
Dear Evan Hansen (Original Motion Picture Soundtrack),16,1oTJvM9gyW1uY7Bb0tOZyk,Waving Through A Window (Tori Kelly Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1oTJvM9gyW1uY7Bb0tOZyk,0.274,0.708,0.426,0,0.0982,-7.909,0.057,130.025,0.536,48,Sam Smith
Love Goes: Live at Abbey Road Studios,1,2EYFOgfPkmLW3peGU8AYwg,Diamonds - Live At Abbey Road Studios,spotify:track:2EYFOgfPkmLW3peGU8AYwg,0.56,0.694,0.598,0,0.0743,-7.484,0.0593,103.902,0.485,46,Sam Smith
Love Goes: Live at Abbey Road Studios,2,3MVBoHYBVPuHNZRp6Qqjs0,Dancing With A Stranger - Live At Abbey Road Studios,spotify:track:3MVBoHYBVPuHNZRp6Qqjs0,0.527,0.688,0.493,0,0.34,-8.994,0.0433,102.915,0.345,46,Sam Smith
Love Goes: Live at Abbey Road Studios,3,3v07s9Qz0N11u7PAAAs5GS,Promises - Live At Abbey Road Studios,spotify:track:3v07s9Qz0N11u7PAAAs5GS,0.163,0.725,0.586,0.00381,0.0663,-10.11,0.0486,122.966,0.44,45,Sam Smith
Love Goes: Live at Abbey Road Studios,4,2jxtcz4S5vSJAZmG1U5soa,Too Good At Goodbyes - Live At Abbey Road Studios,spotify:track:2jxtcz4S5vSJAZmG1U5soa,0.666,0.678,0.426,0,0.134,-7.007,0.0393,91.857,0.559,46,Sam Smith
Love Goes: Live at Abbey Road Studios,5,4CUa8nVas9FJejpZcsQVdD,Lay Me Down - Live At Abbey Road Studios,spotify:track:4CUa8nVas9FJejpZcsQVdD,0.937,0.379,0.0829,0,0.113,-11.694,0.0368,76.563,0.324,46,Sam Smith
Love Goes: Live at Abbey Road Studios,6,57Y8QOuSrM9hGpRARGPY1P,My Oasis - Live At Abbey Road Studios,spotify:track:57Y8QOuSrM9hGpRARGPY1P,0.833,0.479,0.354,0.00162,0.422,-11.043,0.0474,143.887,0.175,44,Sam Smith
Love Goes: Live at Abbey Road Studios,7,2EI5lZg5rjvmlpQG45L0lU,Time After Time - Live At Abbey Road Studios,spotify:track:2EI5lZg5rjvmlpQG45L0lU,0.571,0.595,0.459,0.000165,0.101,-9.413,0.0461,129.661,0.272,60,Sam Smith
Love Goes: Live at Abbey Road Studios,8,57rpsmtlyHpWupFEFk1S7e,How Do You Sleep? - Live At Abbey Road Studios,spotify:track:57rpsmtlyHpWupFEFk1S7e,0.162,0.48,0.482,2.07E-06,0.0971,-8.28,0.16,166.023,0.156,45,Sam Smith
Love Goes: Live at Abbey Road Studios,9,5dmadF5vmPO5ehgPDWg68b,For the Lover That I Lost - Live At Abbey Road Studios,spotify:track:5dmadF5vmPO5ehgPDWg68b,0.863,0.519,0.275,0,0.32,-10.288,0.0495,135.619,0.549,45,Sam Smith
Love Goes: Live at Abbey Road Studios,10,2GvW8QspjqmryBZR4yW1gC,Kids Again - Live At Abbey Road Studios,spotify:track:2GvW8QspjqmryBZR4yW1gC,0.713,0.681,0.518,4.85E-05,0.137,-7.475,0.0279,128.102,0.594,43,Sam Smith
Love Goes: Live at Abbey Road Studios,11,7H0lXhqkJjHCPnxK8mVpaC,Love Goes - Live At Abbey Road Studios,spotify:track:7H0lXhqkJjHCPnxK8mVpaC,0.918,0.456,0.154,0.00132,0.121,-12.464,0.0382,72.591,0.203,45,Sam Smith
Love Goes: Live at Abbey Road Studios,12,36qZjKWeSbXkTeTA8tM4De,Stay With Me - Live At Abbey Road Studios,spotify:track:36qZjKWeSbXkTeTA8tM4De,0.919,0.295,0.132,2.91E-05,0.116,-10.636,0.0355,136.085,0.15,44,Sam Smith
Love Goes,1,1VCD7bvSOjhJYBcOzQguik,Young,spotify:track:1VCD7bvSOjhJYBcOzQguik,0.651,0.657,0.19,0,0.328,-9.046,0.367,118.421,0.406,62,Sam Smith
Love Goes,2,1hJIbOjWpid6LtnozHmzRS,Diamonds,spotify:track:1hJIbOjWpid6LtnozHmzRS,0.161,0.637,0.666,0,0.108,-6.773,0.0494,104.02,0.529,74,Sam Smith
Love Goes,4,1F2K8y7e7STRGCySkEpBtT,My Oasis (feat. Burna Boy),spotify:track:1F2K8y7e7STRGCySkEpBtT,0.569,0.691,0.474,0.000626,0.099,-8.742,0.0583,143.783,0.381,64,Sam Smith
Love Goes,5,1nedyHXLtbomGOaa7BOwYl,So Serious,spotify:track:1nedyHXLtbomGOaa7BOwYl,0.312,0.568,0.519,0,0.0858,-6.232,0.041,91.892,0.38,61,Sam Smith
Love Goes,9,5wHRQRy339ghP31x0hUWcQ,Forgive Myself,spotify:track:5wHRQRy339ghP31x0hUWcQ,0.917,0.758,0.155,0,0.116,-10.252,0.0447,122.026,0.207,59,Sam Smith
Love Goes,10,5aRlRDvXRuP81qEzKTXQvM,Love Goes (feat. Labrinth),spotify:track:5aRlRDvXRuP81qEzKTXQvM,0.812,0.459,0.232,0.0582,0.154,-12.434,0.0768,145.137,0.204,63,Sam Smith
Love Goes,1,3xgT3xIlFGqZjYW9QlhJWp,Dancing With A Stranger (with Normani),spotify:track:3xgT3xIlFGqZjYW9QlhJWp,0.447,0.741,0.52,1.97E-06,0.222,-7.513,0.0656,102.998,0.347,75,Sam Smith
Love Goes,2,34pRqzRiFcIuyRMuuEayzY,How Do You Sleep?,spotify:track:34pRqzRiFcIuyRMuuEayzY,0.154,0.561,0.685,0,0.077,-4.891,0.0835,165.944,0.363,70,Sam Smith
Love Goes,3,66ZD4DFAmJe3Y9jv2NXqgI,To Die For,spotify:track:66ZD4DFAmJe3Y9jv2NXqgI,0.832,0.461,0.362,2.85E-06,0.098,-7.87,0.0762,171.604,0.309,63,Sam Smith
Love Goes,4,6GJNINiIzgBRz1OWNpfU9c,I'm Ready (with Demi Lovato),spotify:track:6GJNINiIzgBRz1OWNpfU9c,0.00418,0.501,0.664,2.54E-05,0.284,-6.339,0.0402,155.072,0.125,58,Sam Smith
Love Goes,5,7t3Xdbufg7q2onVsR8RBdY,Fire On Fire,spotify:track:7t3Xdbufg7q2onVsR8RBdY,0.476,0.584,0.408,0,0.18,-7.356,0.0461,115.129,0.333,79,Sam Smith
