album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
"Love You Like A Love Song, Come & Get It, and More",1,0fRfvwr9zufri1Oh7Ux8fF,Love You Like A Love Song,spotify:track:0fRfvwr9zufri1Oh7Ux8fF,0.075,0.858,0.678,0,0.0741,-3.87,0.0469,117.009,0.926,51,Selena Gomez
"Love You Like A Love Song, Come & Get It, and More",3,4n8jPTf8wgI99ryFmbnDPc,The Heart Wants What It Wants,spotify:track:4n8jPTf8wgI99ryFmbnDPc,0.0536,0.617,0.792,0,0.142,-4.873,0.0379,83.067,0.631,68,Selena Gomez
"Love You Like A Love Song, Come & Get It, and More",4,3SpDRvVYLuPsfyhB5bkpfF,Who Says,spotify:track:3SpDRvVYLuPsfyhB5bkpfF,0.0691,0.683,0.926,0,0.201,-2.914,0.046,101.013,0.769,45,Selena Gomez
"Love You Like A Love Song, Come & Get It, and More",5,3E9EC2h4ddtvCBKqUjxmha,A Year Without Rain,spotify:track:3E9EC2h4ddtvCBKqUjxmha,0.0129,0.629,0.802,2.66E-05,0.0893,-5.26,0.0465,119.977,0.407,43,Selena Gomez
"Love You Like A Love Song, Come & Get It, and More",6,0jW64ZqPKfdosRmzQUDr2n,More,spotify:track:0jW64ZqPKfdosRmzQUDr2n,0.00278,0.559,0.903,3.15E-06,0.367,-3.813,0.0657,136.093,0.709,39,Selena Gomez
"Love You Like A Love Song, Come & Get It, and More",8,2PMB9WWqAVhYcbMMjbG1He,Naturally,spotify:track:2PMB9WWqAVhYcbMMjbG1He,0.0165,0.608,0.907,1.28E-06,0.0546,-5.396,0.0513,132.626,0.879,42,Selena Gomez
Rare (Deluxe),4,3ZCBSFcZSRM9Z48ew28Zrf,Souvenir,spotify:track:3ZCBSFcZSRM9Z48ew28Zrf,0.207,0.841,0.479,1.16E-05,0.122,-5.837,0.0376,112.968,0.454,68,Selena Gomez
Rare (Deluxe),6,1z1ztKUrDr09ZSMDnN3QIG,She,spotify:track:1z1ztKUrDr09ZSMDnN3QIG,0.277,0.783,0.695,1.60E-05,0.0672,-6.686,0.0481,101.969,0.723,59,Selena Gomez
Rare (Deluxe),17,4mt7C6wYeTUWDDk7xKym9w,Feel Me,spotify:track:4mt7C6wYeTUWDDk7xKym9w,0.44,0.71,0.808,0.000773,0.0734,-6.703,0.0433,99.989,0.392,68,Selena Gomez
Rare (Deluxe),1,4QnC1bIaMSfDQvF4XDhV5M,Boyfriend,spotify:track:4QnC1bIaMSfDQvF4XDhV5M,0.218,0.811,0.512,0.0262,0.0768,-6.381,0.17,92.046,0.346,63,Selena Gomez
Rare,1,7HMmFQsKsljwTw8bS7lu19,Rare,spotify:track:7HMmFQsKsljwTw8bS7lu19,0.208,0.838,0.545,8.01E-05,0.103,-6.713,0.0706,114.998,0.631,69,Selena Gomez
Rare,2,5sK3o66yupTNIK6gWgzGjf,Dance Again,spotify:track:5sK3o66yupTNIK6gWgzGjf,0.0447,0.784,0.552,0,0.192,-7.261,0.0871,111.984,0.465,59,Selena Gomez
Rare,3,7eOkHIcaoUhngxxypM5Ajr,Look At Her Now,spotify:track:7eOkHIcaoUhngxxypM5Ajr,0.114,0.753,0.564,0.0273,0.359,-7.908,0.252,77.342,0.55,70,Selena Gomez
Rare,4,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,0.556,0.488,0.343,0,0.21,-8.985,0.0436,102.819,0.0978,85,Selena Gomez
Rare,5,11Ey4yJVeWEsA73KjACkVY,Ring,spotify:track:11Ey4yJVeWEsA73KjACkVY,0.565,0.873,0.51,3.13E-06,0.0738,-5.35,0.0661,110.953,0.871,59,Selena Gomez
Rare,6,11OwAR3GlBj9E35Cznf7Lj,Vulnerable,spotify:track:11OwAR3GlBj9E35Cznf7Lj,0.132,0.695,0.573,0.000137,0.156,-8.882,0.167,100.031,0.38,59,Selena Gomez
Rare,7,63mdJr3NMY3wReOkNE6c6W,People You Know,spotify:track:63mdJr3NMY3wReOkNE6c6W,0.0881,0.695,0.62,5.43E-05,0.111,-8.082,0.0521,150.032,0.62,61,Selena Gomez
Rare,8,0uFForNKQPvgSCnxlZIhQy,Let Me Get Me,spotify:track:0uFForNKQPvgSCnxlZIhQy,0.249,0.826,0.571,1.66E-05,0.215,-9.263,0.0426,121.06,0.475,54,Selena Gomez
Rare,9,2C0hTkdEoikhKzDCJl32QZ,Crowded Room (feat. 6LACK),spotify:track:2C0hTkdEoikhKzDCJl32QZ,0.764,0.724,0.415,2.51E-06,0.103,-8.408,0.0518,89.999,0.328,60,Selena Gomez
Rare,10,59iGOjPSOcPLGl3vqEStUp,Kinda Crazy,spotify:track:59iGOjPSOcPLGl3vqEStUp,0.484,0.691,0.446,0.00495,0.183,-10.304,0.0472,93.03,0.534,53,Selena Gomez
Rare,11,64kfyGcf5dvbw92Vv4THCj,Fun,spotify:track:64kfyGcf5dvbw92Vv4THCj,0.076,0.863,0.419,4.92E-05,0.151,-10.144,0.437,113.866,0.523,50,Selena Gomez
