album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Laundry Service: Washed and Dried (Expanded Edition),14,4IXwdtnrNq5fPQRqAuJwam,"Whenever, Wherever - Sahara Mix",spotify:track:4IXwdtnrNq5fPQRqAuJwam,0.247,0.793,0.772,0.00177,0.0645,-7.749,0.101,112.015,0.821,38,Shakira
Laundry Service: Washed and Dried (Expanded Edition),15,1YRBm74ixDPdDd3iJUextF,Underneath Your Clothes - Acoustic Live Vox,spotify:track:1YRBm74ixDPdDd3iJUextF,0.64,0.533,0.414,0,0.716,-8.951,0.0388,80.299,0.363,38,Shakira
Laundry Service: Washed and Dried (Expanded Edition),16,73ZUaFZdd5aii31xpyk3Az,Objection (Tango) - Afro-Punk Version,spotify:track:73ZUaFZdd5aii31xpyk3Az,0.0102,0.587,0.8,0.00036,0.0576,-6.198,0.177,179.529,0.734,40,Shakira
Laundry Service: Washed and Dried (Expanded Edition),17,59QI3gSnv576kHyV4Jqt36,"Whenever, Wherever - Pepsi Super Bowl LIV Halftime Show Remix",spotify:track:59QI3gSnv576kHyV4Jqt36,0.049,0.781,0.861,0,0.209,-6.893,0.0411,111.011,0.711,51,Shakira
Shakira In Concert: El Dorado World Tour,1,7u08BrKirWMZoFLGjPGXYe,Estoy Aquí/Dónde Estás Corazón Medley - El Dorado World Tour Live,spotify:track:7u08BrKirWMZoFLGjPGXYe,0.00522,0.474,0.849,0.00162,0.96,-5.86,0.0447,120.058,0.478,42,Shakira
Shakira In Concert: El Dorado World Tour,2,5YLtMey9oPxdo0wecwyv21,She Wolf - El Dorado World Tour Live,spotify:track:5YLtMey9oPxdo0wecwyv21,0.0325,0.609,0.957,0.00875,0.974,-5.282,0.185,122.049,0.525,41,Shakira
Shakira In Concert: El Dorado World Tour,3,3b3tgk6rXZHfTzOzsfTTk0,Si Te Vas - El Dorado World Tour Live,spotify:track:3b3tgk6rXZHfTzOzsfTTk0,0.0146,0.503,0.97,1.11E-05,0.0319,-3.69,0.0931,112.047,0.54,40,Shakira
Shakira In Concert: El Dorado World Tour,4,29TFS9xQcyDFJtBem8jMwI,Nada - El Dorado World Tour Live,spotify:track:29TFS9xQcyDFJtBem8jMwI,0.0462,0.275,0.729,8.70E-05,0.642,-6.286,0.0333,86.111,0.419,38,Shakira
Shakira In Concert: El Dorado World Tour,5,6w007TZFxbvuuJKHvsnEOq,Perro Fiel/El Perdón Medley (feat. Nicky Jam) - El Dorado World Tour Live,spotify:track:6w007TZFxbvuuJKHvsnEOq,0.0741,0.667,0.871,7.16E-05,0.811,-6.382,0.0743,91.997,0.72,43,Shakira
Shakira In Concert: El Dorado World Tour,6,1lCzTOCamrWDIkzwZLWyCq,Underneath Your Clothes - El Dorado World Tour Live,spotify:track:1lCzTOCamrWDIkzwZLWyCq,0.206,0.529,0.87,0.000161,0.695,-5.456,0.0676,88.003,0.453,37,Shakira
