album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Wonder (Deluxe),15,0fwxmtpxpMmEMphmJbCAEx,The Christmas Song (Shawn Mendes & Camila Cabello),spotify:track:0fwxmtpxpMmEMphmJbCAEx,0.888,0.341,0.181,0,0.137,-12.073,0.0366,83.608,0.212,53,Shawn Mendes
Wonder (Deluxe),17,5Qm1n9Xa2kPlHuDJ3I4MHP,Wonder - Acoustic,spotify:track:5Qm1n9Xa2kPlHuDJ3I4MHP,0.528,0.479,0.4,1.53E-06,0.0759,-6.857,0.032,139.358,0.243,55,Shawn Mendes
Wonder (Deluxe),18,6V7E9bDZaKUfFcfiScXaCc,Wonder - Surf Mesa Remix,spotify:track:6V7E9bDZaKUfFcfiScXaCc,0.00857,0.574,0.721,0,0.106,-4.363,0.158,127.959,0.189,51,Shawn Mendes
Wonder (Deluxe),19,4V9QfQ60zTI0K9b47q5xhD,Intro - Live From The Wonder Residencies,spotify:track:4V9QfQ60zTI0K9b47q5xhD,0.56,0.496,0.287,6.98E-06,0.326,-10.734,0.0344,76.317,0.534,41,Shawn Mendes
Wonder (Deluxe),20,15O0R9fSfee5265f4HJtc8,Wonder - Live From The Wonder Residencies,spotify:track:15O0R9fSfee5265f4HJtc8,0.0283,0.386,0.582,8.65E-06,0.0658,-6.376,0.0545,139.794,0.189,42,Shawn Mendes
Wonder (Deluxe),21,0Op5C10jE2bgzg1HlH3EWD,Dream - Live From The Wonder Residencies,spotify:track:0Op5C10jE2bgzg1HlH3EWD,0.175,0.454,0.557,0.0187,0.0754,-7.344,0.0286,139.856,0.218,42,Shawn Mendes
Wonder (Deluxe),22,56J9mRiY3Dyb22XaJ4qSTR,Song For No One - Live From The Wonder Residencies,spotify:track:56J9mRiY3Dyb22XaJ4qSTR,0.209,0.324,0.381,1.79E-05,0.115,-8.421,0.0323,102.58,0.172,42,Shawn Mendes
Wonder (Deluxe),23,0UCPNZvlmEin3nKUm0rUEX,Always Been You - Live From The Wonder Residencies,spotify:track:0UCPNZvlmEin3nKUm0rUEX,0.134,0.285,0.403,3.01E-06,0.092,-8.182,0.0377,93.919,0.157,42,Shawn Mendes
Wonder (Deluxe),24,02DjXXbHJpQZhBq7zNPLBW,Look Up At The Stars - Live From The Wonder Residencies,spotify:track:02DjXXbHJpQZhBq7zNPLBW,0.0453,0.349,0.549,7.24E-06,0.0994,-7.361,0.0353,167.843,0.22,43,Shawn Mendes
Wonder (Holiday Deluxe),16,1MpmApLaUCZiWPH7gLOepR,Can’t Take My Eyes Off You - BBC Live Version,spotify:track:1MpmApLaUCZiWPH7gLOepR,0.248,0.377,0.298,0,0.181,-8.687,0.0492,71.1,0.197,52,Shawn Mendes
Wonder,1,138oQeapLds5IeJrdRfeUd,Intro,spotify:track:138oQeapLds5IeJrdRfeUd,0.933,0.498,0.199,0.000573,0.493,-11.011,0.0353,76.046,0.47,59,Shawn Mendes
Wonder,2,6ZuahEctZD6w75peme58hm,Wonder,spotify:track:6ZuahEctZD6w75peme58hm,0.136,0.442,0.631,2.29E-05,0.133,-5.096,0.05,139.774,0.129,77,Shawn Mendes
Wonder,3,7nuQ1LgM6l5FLaJmlODoqj,Higher,spotify:track:7nuQ1LgM6l5FLaJmlODoqj,0.0167,0.748,0.783,1.58E-05,0.314,-4.419,0.0558,120.049,0.935,62,Shawn Mendes
Wonder,4,385VOmGbguaPG57TgoW8Lh,24 Hours,spotify:track:385VOmGbguaPG57TgoW8Lh,0.488,0.351,0.368,0.00603,0.124,-8.132,0.0557,84.224,0.362,61,Shawn Mendes
Wonder,5,5LZtB6nxvjIhUoElp3Zqk0,Teach Me How To Love,spotify:track:5LZtB6nxvjIhUoElp3Zqk0,0.0505,0.592,0.885,2.38E-06,0.0843,-4.944,0.0807,98.991,0.731,71,Shawn Mendes
Wonder,6,6KVxMOxlSYpC5nrvyWhYhx,Call My Friends,spotify:track:6KVxMOxlSYpC5nrvyWhYhx,0.0512,0.53,0.79,1.07E-06,0.122,-5.031,0.0344,146.09,0.438,59,Shawn Mendes
Wonder,7,0bZFa5DZcx9HWx25m2Nd19,Dream,spotify:track:0bZFa5DZcx9HWx25m2Nd19,0.539,0.492,0.672,0.000212,0.116,-6.779,0.0366,140.027,0.229,60,Shawn Mendes
Wonder,8,2LUOkrWpTz1q5QeZY5jAHi,Song For No One,spotify:track:2LUOkrWpTz1q5QeZY5jAHi,0.0867,0.328,0.393,9.54E-05,0.104,-5.164,0.0285,96.241,0.237,57,Shawn Mendes
Wonder,9,1HbA4N1MiOsPthALesGFR1,Monster (Shawn Mendes & Justin Bieber),spotify:track:1HbA4N1MiOsPthALesGFR1,0.0593,0.64,0.392,0,0.0839,-7.246,0.0574,145.838,0.502,75,Shawn Mendes
Wonder,10,5ld8E3DVBXCCWQ54yrkWVp,305,spotify:track:5ld8E3DVBXCCWQ54yrkWVp,0.205,0.562,0.869,0.0293,0.122,-5.38,0.058,164.936,0.928,65,Shawn Mendes
Wonder,11,56KDoLjFIm7Yc7fX1XgpNw,Always Been You,spotify:track:56KDoLjFIm7Yc7fX1XgpNw,0.229,0.37,0.39,0,0.0823,-6.958,0.0419,124.802,0.309,61,Shawn Mendes
Wonder,12,5jpNBhgAk5OmfB0W5i5NaO,Piece Of You,spotify:track:5jpNBhgAk5OmfB0W5i5NaO,0.0147,0.757,0.628,0,0.05,-3.944,0.077,100.004,0.609,60,Shawn Mendes
Wonder,13,0UauNGiFTVXTsgvVz6LBMf,Look Up At The Stars,spotify:track:0UauNGiFTVXTsgvVz6LBMf,0.0576,0.359,0.585,0,0.194,-4.722,0.0374,168.026,0.447,62,Shawn Mendes
Wonder,14,2GwberkV36NoC5snp51cLC,Can’t Imagine,spotify:track:2GwberkV36NoC5snp51cLC,0.849,0.412,0.162,2.16E-06,0.354,-14.356,0.146,179.63,0.375,56,Shawn Mendes
Shawn Mendes (Deluxe),1,6v3KW9xbzN5yKLt9YKDYA2,Señorita,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,0.548,0,0.0828,-6.049,0.029,116.967,0.749,83,Shawn Mendes
Shawn Mendes (Deluxe),3,2bT1PH7Cw3J9p3t7nlXCdh,If I Can't Have You,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,0.487,0.691,0.823,0,0.134,-4.197,0.0623,123.935,0.87,76,Shawn Mendes
Shawn Mendes,1,2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH,0.0573,0.622,0.712,0,0.13,-7.321,0.066,140.025,0.487,79,Shawn Mendes
Shawn Mendes,2,5EYBryPOgIEPB7r5QIy6eG,Fallin' All In You,spotify:track:5EYBryPOgIEPB7r5QIy6eG,0.405,0.853,0.476,0,0.111,-6.696,0.0361,92.038,0.796,77,Shawn Mendes
Shawn Mendes,3,376Gg7Oxo5C5jUWDWpVXeI,Where Were You In The Morning?,spotify:track:376Gg7Oxo5C5jUWDWpVXeI,0.554,0.716,0.519,0,0.0993,-7.472,0.0554,87.963,0.466,66,Shawn Mendes
Shawn Mendes,4,5wxurz8J6YlyQRNnGN8zXS,Nervous,spotify:track:5wxurz8J6YlyQRNnGN8zXS,0.0404,0.841,0.623,0,0.126,-6.76,0.0776,121.983,0.744,65,Shawn Mendes
Shawn Mendes,5,2IssBpPtHcViZL5vYQNHhA,Like To Be You (feat. Julia Michaels),spotify:track:2IssBpPtHcViZL5vYQNHhA,0.812,0.737,0.451,0,0.108,-9.405,0.229,153.766,0.664,65,Shawn Mendes
Shawn Mendes,6,79esEXlqqmq0GPz0xQSZTV,Lost In Japan,spotify:track:79esEXlqqmq0GPz0xQSZTV,0.255,0.713,0.738,0,0.106,-6.784,0.374,105.027,0.425,76,Shawn Mendes
Shawn Mendes,7,4BH9zDv1Ys6kw0j3lU1hTx,Particular Taste,spotify:track:4BH9zDv1Ys6kw0j3lU1hTx,0.0365,0.968,0.352,0.000103,0.0677,-7.122,0.121,111.968,0.599,60,Shawn Mendes
Shawn Mendes,8,1RRZSm4akqNyMOsPUhw4cb,Because I Had You,spotify:track:1RRZSm4akqNyMOsPUhw4cb,0.331,0.559,0.337,0,0.311,-9.751,0.404,203.231,0.705,64,Shawn Mendes
Shawn Mendes,9,3XeqINnregzwBJNg7RyyH4,Why,spotify:track:3XeqINnregzwBJNg7RyyH4,0.648,0.689,0.416,1.64E-06,0.0637,-9.247,0.0494,127.031,0.248,63,Shawn Mendes
Shawn Mendes,10,1h0yImRPIVAjhhHeNVlTuC,Youth (feat. Khalid),spotify:track:1h0yImRPIVAjhhHeNVlTuC,0.56,0.534,0.596,0,0.133,-6.653,0.117,100.121,0.324,70,Shawn Mendes
Shawn Mendes,11,6D8FZWtCQRtQUVT3mpjrZs,Queen,spotify:track:6D8FZWtCQRtQUVT3mpjrZs,0.197,0.878,0.688,0,0.0872,-7.254,0.11,131.02,0.917,59,Shawn Mendes
Shawn Mendes,12,6nat4Z7iRKWVk1qngQqI0Q,Perfectly Wrong,spotify:track:6nat4Z7iRKWVk1qngQqI0Q,0.872,0.361,0.311,0,0.0987,-11.748,0.0369,89.362,0.323,71,Shawn Mendes
Shawn Mendes,13,5gW3kI83886nVV9apaFLWu,Mutual,spotify:track:5gW3kI83886nVV9apaFLWu,0.254,0.919,0.478,0,0.134,-6.697,0.156,115.03,0.799,62,Shawn Mendes
Shawn Mendes,14,6bNcbh4SxQDU0BHa4Dj3wx,When You're Ready,spotify:track:6bNcbh4SxQDU0BHa4Dj3wx,0.792,0.485,0.476,0,0.113,-8.887,0.128,171.479,0.601,62,Shawn Mendes
MTV Unplugged,1,14Zkkd1eYP3pcNPwLAZikf,There's Nothing Holdin' Me Back - MTV Unplugged,spotify:track:14Zkkd1eYP3pcNPwLAZikf,0.172,0.698,0.699,0,0.952,-6.926,0.0458,122.009,0.701,48,Shawn Mendes
