album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Everyday Is Christmas (Snowman Deluxe Edition),14,2zYRpVWbex2NsJ9AXhkkTy,Pin Drop,spotify:track:2zYRpVWbex2NsJ9AXhkkTy,0.544,0.381,0.418,0.000349,0.352,-5.63,0.0347,123.359,0.0868,38,Sia
Everyday Is Christmas (Snowman Deluxe Edition),15,2ScrK8ptkddDk998DLu9sr,Santa Visits Everyone,spotify:track:2ScrK8ptkddDk998DLu9sr,0.0402,0.514,0.887,0.000143,0.258,-3.791,0.0577,141.936,0.492,46,Sia
Everyday Is Christmas (Snowman Deluxe Edition),16,0St81AuSgzPN6aDhb7KXs7,Snowman - Slowed Down & Snowed In Remix,spotify:track:0St81AuSgzPN6aDhb7KXs7,0.269,0.405,0.573,0,0.0996,-6.305,0.0547,187.07,0.401,41,Sia
Music (Songs From And Inspired By The Motion Picture),15,22ryI5wBJBvCFf0EjwG3Du,1+1 (feat. Amir) - Banx & Ranx Remix,spotify:track:22ryI5wBJBvCFf0EjwG3Du,0.0362,0.77,0.725,0,0.0699,-4.556,0.0468,110.048,0.463,56,Sia
Music (Songs From And Inspired By The Motion Picture),1,7CE9vL4mbtF1ZdzkYDUbgL,Together,spotify:track:7CE9vL4mbtF1ZdzkYDUbgL,0.0146,0.523,0.873,0.0539,0.0929,-5.523,0.0843,180.006,0.214,59,Sia
Music (Songs From And Inspired By The Motion Picture),2,4wWrwl1T0Wa94ophzTgBdT,Hey Boy,spotify:track:4wWrwl1T0Wa94ophzTgBdT,0.0544,0.572,0.623,0,0.0865,-4.828,0.176,185.812,0.594,48,Sia
Music (Songs From And Inspired By The Motion Picture),3,0Ts6bcB1AQYkt28yZXk1qQ,Saved My Life,spotify:track:0Ts6bcB1AQYkt28yZXk1qQ,0.213,0.682,0.503,0,0.0944,-5.934,0.0417,113.988,0.382,50,Sia
Music (Songs From And Inspired By The Motion Picture),4,0XwSUpdrF7nR7hVxbDs7mb,Floating Through Space,spotify:track:0XwSUpdrF7nR7hVxbDs7mb,0.00172,0.575,0.844,0,0.114,-4.89,0.072,104.914,0.277,70,Sia
Music (Songs From And Inspired By The Motion Picture),5,6IEz7AX56qZ2PDH4cCEVpq,Eye To Eye,spotify:track:6IEz7AX56qZ2PDH4cCEVpq,0.000897,0.581,0.839,0.00483,0.199,-3.642,0.0306,92.01,0.413,47,Sia
Music (Songs From And Inspired By The Motion Picture),6,4XCQTLPs84Ct8kzOQ6Wiqs,Music,spotify:track:4XCQTLPs84Ct8kzOQ6Wiqs,0.76,0.367,0.332,1.76E-06,0.0719,-10.847,0.0334,93.92,0.147,44,Sia
Music (Songs From And Inspired By The Motion Picture),7,71Taskl2O73XfpQtJciJCD,1+1,spotify:track:71Taskl2O73XfpQtJciJCD,0.12,0.862,0.641,1.04E-05,0.336,-4.109,0.0442,109.998,0.674,66,Sia
Music (Songs From And Inspired By The Motion Picture),8,7FPJ3rncDYvcdgW11PhTMw,Courage to Change,spotify:track:7FPJ3rncDYvcdgW11PhTMw,0.0927,0.307,0.606,0,0.357,-5.567,0.0347,78.828,0.11,61,Sia
Music (Songs From And Inspired By The Motion Picture),9,1riVlpXulpdZ5jTGIKTQM0,Play Dumb,spotify:track:1riVlpXulpdZ5jTGIKTQM0,0.103,0.69,0.684,0.0142,0.381,-5.293,0.102,168.067,0.462,44,Sia
Music (Songs From And Inspired By The Motion Picture),10,7da0TNcFMyUE9a3UNzZ6BE,Beautiful Things Can Happen,spotify:track:7da0TNcFMyUE9a3UNzZ6BE,0.505,0.352,0.348,0,0.103,-10.399,0.0411,119.293,0.101,43,Sia
Music (Songs From And Inspired By The Motion Picture),11,6iZEk6JVdmbNPLhtaCGeIa,Lie To Me,spotify:track:6iZEk6JVdmbNPLhtaCGeIa,0.0825,0.504,0.75,0.000476,0.195,-3.999,0.0471,174.042,0.462,43,Sia
Music (Songs From And Inspired By The Motion Picture),12,5DWZX4piXraq1IOr2a4sBL,Oblivion (feat. Labrinth),spotify:track:5DWZX4piXraq1IOr2a4sBL,0.337,0.57,0.482,0,0.0661,-6.245,0.0434,75.523,0.334,46,Sia
Music (Songs From And Inspired By The Motion Picture),13,0eMtK0mVNQZtHKXYH2axiS,Miracle,spotify:track:0eMtK0mVNQZtHKXYH2axiS,0.0645,0.651,0.67,0.0276,0.129,-4.365,0.0344,159.918,0.525,49,Sia
Music (Songs From And Inspired By The Motion Picture),14,3Aef6wubZNIs5ZY3yOZLY4,Hey Boy (feat. Burna Boy) - Bonus Track,spotify:track:3Aef6wubZNIs5ZY3yOZLY4,0.0457,0.607,0.599,1.15E-06,0.617,-4.743,0.238,185.957,0.794,46,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",1,2mMQFumTaHcwMZsiNE57Um,"Welcome to the Wonderful World of (feat. Sia, Diplo, and Labrinth)",spotify:track:2mMQFumTaHcwMZsiNE57Um,0.0799,0.499,0.324,0,0.352,-7.944,0.0641,119.266,0.397,54,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",2,6k71NlTnn41Vk7RJX7CSbY,"Angel in Your Eyes (feat. Sia, Diplo, and Labrinth)",spotify:track:6k71NlTnn41Vk7RJX7CSbY,0.0288,0.607,0.616,0.0439,0.138,-6.925,0.0581,184.111,0.698,56,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",3,4xigPf2sigSPmuFH3qCelB,"Genius (feat. Sia, Diplo, and Labrinth)",spotify:track:4xigPf2sigSPmuFH3qCelB,0.0799,0.603,0.615,6.72E-05,0.117,-4.931,0.165,158.657,0.561,81,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",4,100eDEmpWV5YGVCqHI0leU,"Audio (feat. Sia, Diplo, and Labrinth)",spotify:track:100eDEmpWV5YGVCqHI0leU,0.209,0.568,0.701,1.06E-06,0.0769,-4.566,0.0426,89.969,0.353,72,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",5,4lJNen4SMTIJMahALc3DcB,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",spotify:track:4lJNen4SMTIJMahALc3DcB,0.0077,0.69,0.714,7.23E-05,0.191,-5.948,0.0338,112.009,0.489,77,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",6,0HCDvbGNsigLpkzCDwpKVr,"Mountains (feat. Sia, Diplo, and Labrinth)",spotify:track:0HCDvbGNsigLpkzCDwpKVr,0.39,0.625,0.601,0.0348,0.0894,-7.766,0.0285,85.967,0.195,62,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",7,6Dma0t0hOe6Bd6u5YRKF3n,"No New Friends (feat. Sia, Diplo, and Labrinth)",spotify:track:6Dma0t0hOe6Bd6u5YRKF3n,0.0632,0.725,0.703,0.000251,0.14,-4.641,0.0466,106.032,0.638,67,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",8,2VDTgXwf3F6kcpX4HI0BKy,"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",spotify:track:2VDTgXwf3F6kcpX4HI0BKy,0.034,0.585,0.525,2.60E-05,0.139,-5.915,0.0817,167.811,0.533,61,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",9,3j4lctlzJqDLNZjTLmc9CV,"It's Time (feat. Sia, Diplo, and Labrinth)",spotify:track:3j4lctlzJqDLNZjTLmc9CV,0.934,0.398,0.245,0,0.134,-9.215,0.0351,87.079,0.249,56,Sia
"LABRINTH, SIA & DIPLO PRESENT... LSD",10,4TlbZgqxhJ6uN3tpVyjw90,"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix",spotify:track:4TlbZgqxhJ6uN3tpVyjw90,0.0147,0.655,0.764,8.88E-05,0.0511,-3.381,0.193,159.017,0.707,61,Sia
Everyday Is Christmas (Deluxe Edition),1,1N1ZpYUJc9fwrqk53FGgWv,Santa's Coming for Us,spotify:track:1N1ZpYUJc9fwrqk53FGgWv,0.0215,0.547,0.814,0,0.0475,-6.191,0.12,92.986,0.724,60,Sia
Everyday Is Christmas (Deluxe Edition),2,4KevTcBXEIYxXVyPE78XXm,Candy Cane Lane,spotify:track:4KevTcBXEIYxXVyPE78XXm,0.00366,0.589,0.91,4.87E-05,0.0843,-4.206,0.0623,130.017,0.394,54,Sia
Everyday Is Christmas (Deluxe Edition),3,7uoFMmxln0GPXQ0AcCBXRq,Snowman,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,0.483,0.716,0.512,0,0.0928,-6.257,0.0331,104.957,0.326,82,Sia
Everyday Is Christmas (Deluxe Edition),4,0DbGG3nbq1R3TNLkKTx6aZ,Snowflake,spotify:track:0DbGG3nbq1R3TNLkKTx6aZ,0.438,0.586,0.359,0,0.0988,-8.553,0.0298,134.351,0.186,48,Sia
Everyday Is Christmas (Deluxe Edition),5,22Vt9E25fsRcQdcUjNTUQr,Ho Ho Ho,spotify:track:22Vt9E25fsRcQdcUjNTUQr,0.0338,0.716,0.742,0,0.105,-5.103,0.0407,129.014,0.879,53,Sia
Everyday Is Christmas (Deluxe Edition),6,5Uj1LL6HaSFYlfyC6o42ZC,Puppies Are Forever,spotify:track:5Uj1LL6HaSFYlfyC6o42ZC,0.0241,0.462,0.944,0,0.134,-3.588,0.141,169.926,0.679,45,Sia
Everyday Is Christmas (Deluxe Edition),7,0ApkFFU362NocXTexqWPYn,Sunshine,spotify:track:0ApkFFU362NocXTexqWPYn,0.0881,0.357,0.831,0,0.0629,-3.99,0.0586,137.864,0.607,46,Sia
Everyday Is Christmas (Deluxe Edition),8,6HFKeEGEJGI0rIyg2r0iLo,Underneath the Mistletoe,spotify:track:6HFKeEGEJGI0rIyg2r0iLo,0.0134,0.601,0.688,0,0.115,-5.51,0.0322,123.945,0.507,50,Sia
Everyday Is Christmas (Deluxe Edition),9,30DnQCN64v8xBpGZpLgb6l,Everyday Is Christmas,spotify:track:30DnQCN64v8xBpGZpLgb6l,0.039,0.553,0.512,6.30E-06,0.103,-6.216,0.0285,148.074,0.205,51,Sia
Everyday Is Christmas (Deluxe Edition),10,1KuPjp2SyimuFq2Hh62Tym,Underneath the Christmas Lights,spotify:track:1KuPjp2SyimuFq2Hh62Tym,0.981,0.362,0.173,2.92E-05,0.105,-9.902,0.0377,115.347,0.184,44,Sia
Everyday Is Christmas (Deluxe Edition),11,7nMwW8hKct1yCCOpaNmMaY,Round and Round,spotify:track:7nMwW8hKct1yCCOpaNmMaY,0.0499,0.791,0.91,0.00419,0.0703,-3.105,0.0752,119.947,0.964,40,Sia
Everyday Is Christmas (Deluxe Edition),12,3msZWSvVMIybnhN29nK2KM,Sing for My Life,spotify:track:3msZWSvVMIybnhN29nK2KM,0.552,0.554,0.484,1.21E-06,0.159,-5.387,0.0289,124.149,0.185,44,Sia
Everyday Is Christmas (Deluxe Edition),13,3lhTIJepO4zHFK7sllezGz,My Old Santa Claus,spotify:track:3lhTIJepO4zHFK7sllezGz,0.0168,0.621,0.885,0,0.0702,-4.124,0.154,122,0.697,43,Sia
This Is Acting (Deluxe Version),1,6MowG7MRVgPfGlCMsXKMJ2,Bird Set Free,spotify:track:6MowG7MRVgPfGlCMsXKMJ2,0.0115,0.438,0.805,0.000667,0.133,-4.284,0.0728,150.174,0.31,70,Sia
This Is Acting (Deluxe Version),2,25R5Tdr4K7ENb6umHzdCXn,Alive,spotify:track:25R5Tdr4K7ENb6umHzdCXn,0.254,0.508,0.762,0.000122,0.108,-4.217,0.0489,99.963,0.444,67,Sia
This Is Acting (Deluxe Version),3,1CGFyZ5fSRo0DhIJOLdHVM,One Million Bullets,spotify:track:1CGFyZ5fSRo0DhIJOLdHVM,0.102,0.365,0.717,0,0.467,-4.113,0.0521,171.827,0.204,52,Sia
This Is Acting (Deluxe Version),4,73Mfgc0HTZeNCoNrDI46sJ,Move Your Body,spotify:track:73Mfgc0HTZeNCoNrDI46sJ,0.00117,0.617,0.842,0.261,0.131,-4.062,0.034,127.955,0.36,62,Sia
