album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Pacifico (Deluxe),17,2z7VITS30dBexE91V5QXWv,Sheesh!,spotify:track:2z7VITS30dBexE91V5QXWv,0.161,0.743,0.832,0,0.0925,-3.937,0.0611,149.951,0.801,70,Surfaces
Pacifico (Deluxe),18,32DspJXRL1U3c9RwOhRJZE,C'est La Vie,spotify:track:32DspJXRL1U3c9RwOhRJZE,0.18,0.761,0.566,0,0.207,-7.923,0.0397,108.01,0.631,67,Surfaces
Pacifico (Deluxe),19,6dULBLBeroWeZfri4UW5pt,June,spotify:track:6dULBLBeroWeZfri4UW5pt,0.604,0.781,0.429,0.00062,0.125,-10.03,0.0503,119.061,0.732,51,Surfaces
Pacifico (Deluxe),20,5yfVHH3NFF6AqzTsqD6iY3,Famous,spotify:track:5yfVHH3NFF6AqzTsqD6iY3,0.00478,0.733,0.647,6.32E-05,0.159,-8.421,0.0352,90.996,0.224,50,Surfaces
Pacifico,1,0uMLamqeuFuhSNuKNca6bO,Climb,spotify:track:0uMLamqeuFuhSNuKNca6bO,0.0637,0.156,0.279,0.296,0.135,-15.216,0.0365,86.72,0.257,51,Surfaces
Pacifico,2,56prLoLLC34LxxujcfgHJo,Hideaway,spotify:track:56prLoLLC34LxxujcfgHJo,0.209,0.685,0.623,0.000262,0.273,-5.301,0.0972,171.914,0.351,55,Surfaces
Pacifico,3,4V33aS5qju2ujbQt8JKi6P,Let Me Know,spotify:track:4V33aS5qju2ujbQt8JKi6P,0.0259,0.834,0.725,0,0.122,-6.455,0.0366,129.927,0.844,66,Surfaces
Pacifico,4,25M0gwmuVuIAcPMIZpoxwm,Yours,spotify:track:25M0gwmuVuIAcPMIZpoxwm,0.0616,0.706,0.475,0.000164,0.113,-8.965,0.166,167.891,0.799,49,Surfaces
Pacifico,5,3eiWhlpnP5nUydQtv63Ne6,On Time,spotify:track:3eiWhlpnP5nUydQtv63Ne6,0.012,0.829,0.571,0,0.0535,-4.698,0.0949,75.016,0.808,55,Surfaces
Pacifico,6,70SG1W2JdJXfLpCZTfL2Ka,So Far Away,spotify:track:70SG1W2JdJXfLpCZTfL2Ka,0.149,0.714,0.68,6.27E-06,0.098,-5.321,0.132,160.021,0.672,53,Surfaces
Pacifico,7,0KfNomDfIkM7suIHb105Oi,Wave of You,spotify:track:0KfNomDfIkM7suIHb105Oi,0.057,0.695,0.656,0,0.267,-6.038,0.0489,90.986,0.346,72,Surfaces
Pacifico,8,6yaHNq6KeMIDGTKFSyArzF,Feels The Same,spotify:track:6yaHNq6KeMIDGTKFSyArzF,0.3,0.549,0.466,0.000394,0.144,-9.786,0.0528,147.075,0.448,49,Surfaces
Pacifico,9,5iDQLitTMCAHe1NlLRReLh,Next Thing (Loverboy),spotify:track:5iDQLitTMCAHe1NlLRReLh,0.558,0.719,0.415,0,0.293,-8.983,0.0902,160.02,0.463,49,Surfaces
Pacifico,10,16frIpnyUb9poRwQxQTmaC,Come With Me,spotify:track:16frIpnyUb9poRwQxQTmaC,0.16,0.876,0.565,0.0284,0.114,-6.569,0.0333,111.936,0.931,79,Surfaces
Pacifico,11,5E9WsIwlsGCXnBhSjVxxl4,Let It Ride,spotify:track:5E9WsIwlsGCXnBhSjVxxl4,0.267,0.685,0.598,0.0123,0.137,-5.902,0.0369,150.013,0.536,48,Surfaces
Pacifico,12,6KmuJ88ScOkaGOaLMu2rFQ,Time Zones,spotify:track:6KmuJ88ScOkaGOaLMu2rFQ,0.0371,0.719,0.615,0.000114,0.161,-6.53,0.0406,98.971,0.245,53,Surfaces
Pacifico,13,5cWazZYvOFx8plzP6iLkBp,With You,spotify:track:5cWazZYvOFx8plzP6iLkBp,0.0456,0.889,0.393,7.35E-05,0.183,-8.896,0.0412,119.995,0.359,52,Surfaces
Pacifico,14,698iH7qFTxRfeCK5Spfcuj,Malibu Interlude,spotify:track:698iH7qFTxRfeCK5Spfcuj,0.264,0.76,0.615,0.00972,0.234,-6.899,0.0499,127.452,0.836,46,Surfaces
Pacifico,15,51Y4iioygr0cdsQdcl7oLJ,Come Around,spotify:track:51Y4iioygr0cdsQdcl7oLJ,0.351,0.618,0.598,0.000159,0.563,-5.127,0.0467,117.053,0.368,47,Surfaces
Pacifico,16,50P6FeyhMYLDGqq3JBO03K,Pacifico,spotify:track:50P6FeyhMYLDGqq3JBO03K,0.427,0.699,0.472,2.98E-06,0.0997,-8.389,0.0968,139.956,0.306,49,Surfaces
Sunday Best,2,5u5GLNja4eaQk9Eti69ZzX,Learn To Fly,spotify:track:5u5GLNja4eaQk9Eti69ZzX,0.554,0.569,0.536,0,0.0655,-6.137,0.0819,173.695,0.656,27,Surfaces
Sunday Best,3,7CCtQE65XpAk7gVVlI43qV,Sail Away,spotify:track:7CCtQE65XpAk7gVVlI43qV,0.0197,0.855,0.582,0,0.0489,-5.813,0.0388,93.996,0.63,13,Surfaces
Sunday Best,11,3zSjRcCRo8n8maywvIpxY7,Sunday Best - Live,spotify:track:3zSjRcCRo8n8maywvIpxY7,0.248,0.766,0.71,0,0.335,-4.261,0.0428,111.971,0.453,11,Surfaces
Horizons,1,2S9QFgoKlvTyDc0oLt4cA2,Rising,spotify:track:2S9QFgoKlvTyDc0oLt4cA2,0.0463,0.695,0.616,0.537,0.0959,-7.422,0.0496,120.041,0.203,41,Surfaces
Horizons,2,5Pgq1Gfeth2CuUhyCXwlfC,Take It Easy,spotify:track:5Pgq1Gfeth2CuUhyCXwlfC,0.236,0.765,0.689,7.39E-06,0.114,-5.616,0.0456,144.958,0.497,67,Surfaces
Horizons,3,5vu5o6RUJ2YiXv3LaPDYIF,Good Day,spotify:track:5vu5o6RUJ2YiXv3LaPDYIF,0.557,0.906,0.541,1.90E-06,0.116,-6.947,0.0415,124.998,0.788,63,Surfaces
Horizons,4,64WOIeuPwh6klNry6EOVUX,Lazy,spotify:track:64WOIeuPwh6klNry6EOVUX,0.195,0.778,0.467,0,0.0859,-10.05,0.0473,130.008,0.494,49,Surfaces
Horizons,5,6fpIcWxRGGqa681gUHJonh,Bloom,spotify:track:6fpIcWxRGGqa681gUHJonh,0.242,0.872,0.561,8.01E-06,0.0452,-6.673,0.0328,114.94,0.68,58,Surfaces
Horizons,6,6amgTQrn3KDLFxTG2AhWUA,Sunny Side Up,spotify:track:6amgTQrn3KDLFxTG2AhWUA,0.428,0.849,0.493,0,0.0808,-8.044,0.0532,124.948,0.511,59,Surfaces
Horizons,7,4NI2IajOHu1b55CdhCLLzd,Sky Interlude,spotify:track:4NI2IajOHu1b55CdhCLLzd,0.312,0.746,0.575,0.479,0.576,-8.935,0.0432,125.037,0.727,41,Surfaces
Horizons,8,293UQC5uDSGaCg0Wpgtp3G,Remedy,spotify:track:293UQC5uDSGaCg0Wpgtp3G,0.772,0.867,0.538,0.00414,0.359,-6.971,0.0328,128.028,0.727,55,Surfaces
Horizons,9,6rDIa6Tbtiqc0f5mX2CK5t,Dancing With Nobody,spotify:track:6rDIa6Tbtiqc0f5mX2CK5t,0.211,0.669,0.75,0.00175,0.36,-6.547,0.0861,165.022,0.555,47,Surfaces
Horizons,10,6RV868nXxTyhzhremU2aup,All Around,spotify:track:6RV868nXxTyhzhremU2aup,0.334,0.78,0.594,0,0.168,-6.136,0.0398,90.513,0.448,45,Surfaces
Horizons,11,0NjSiGW8b5HYFfjdCbZzbg,Horizons,spotify:track:0NjSiGW8b5HYFfjdCbZzbg,0.411,0.797,0.63,0,0.136,-6.492,0.0284,112.003,0.59,52,Surfaces
Horizons,12,1o18Q8p5JfjVhDxTZwfGKu,Keep It Gold,spotify:track:1o18Q8p5JfjVhDxTZwfGKu,0.0507,0.786,0.674,0,0.286,-6.694,0.0399,104.998,0.637,63,Surfaces
Where the Light Is,1,0gGjmexCgQhTgXXLOFjWs0,Beautiful Day,spotify:track:0gGjmexCgQhTgXXLOFjWs0,0.112,0.771,0.56,0.0766,0.36,-4.379,0.0415,92.009,0.357,54,Surfaces
Where the Light Is,2,4xgtWOWGwxehDX8S21di2K,Shine On Top,spotify:track:4xgtWOWGwxehDX8S21di2K,0.137,0.808,0.754,0,0.14,-4.99,0.171,82.547,0.966,60,Surfaces
Where the Light Is,3,2gcqMtNq5MEwWNbc7AxVPw,Heaven Falls / Fall On Me,spotify:track:2gcqMtNq5MEwWNbc7AxVPw,0.297,0.525,0.415,0.00242,0.0795,-5.473,0.136,85.191,0.721,54,Surfaces
Where the Light Is,4,4O7caZhpneiM52gAlCsTpq,This View,spotify:track:4O7caZhpneiM52gAlCsTpq,0.0936,0.812,0.769,0,0.0621,-5.581,0.0442,133.023,0.782,63,Surfaces
Where the Light Is,5,3o30X8AntmyFOmUedcfUXt,Grace,spotify:track:3o30X8AntmyFOmUedcfUXt,0.025,0.397,0.728,0,0.236,-4.47,0.0983,95.03,0.549,61,Surfaces
Where the Light Is,6,0XMm8PGspTUJvLIjM47Gyb,Outside Interlude,spotify:track:0XMm8PGspTUJvLIjM47Gyb,0.0616,0.68,0.933,0.891,0.562,-6.147,0.32,81.507,0.606,43,Surfaces
Where the Light Is,7,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,0.183,0.878,0.525,0,0.0714,-6.832,0.0578,112.022,0.694,83,Surfaces
Where the Light Is,8,7JVqkghLS7npSCHqeHWzKW,Where The Light Is,spotify:track:7JVqkghLS7npSCHqeHWzKW,0.148,0.636,0.591,0.00124,0.106,-6.666,0.196,156.132,0.437,58,Surfaces
