album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Madden NFL 22 Soundtrack,1,659c0YL8r0hZtXkHqwOQio,How I'm Feelin (with Shenseea),spotify:track:659c0YL8r0hZtXkHqwOQio,0.0628,0.94,0.634,3.94E-05,0.217,-6.765,0.108,107.01,0.303,47,Swae Lee
Madden NFL 22 Soundtrack,2,75KIE2AtdE5wnLPXvvlZKN,Mime,spotify:track:75KIE2AtdE5wnLPXvvlZKN,0.00833,0.886,0.599,0,0.0571,-6.008,0.279,150.078,0.459,48,Swae Lee
Madden NFL 22 Soundtrack,3,5KWwD9LzZa6ruNYGNqAqoN,Ball Is Life (feat. Jack Harlow),spotify:track:5KWwD9LzZa6ruNYGNqAqoN,0.114,0.79,0.606,0,0.127,-5.69,0.228,136.005,0.288,58,Swae Lee
Madden NFL 22 Soundtrack,4,4YjVIHnEZHzTRwP7eFNXEm,Blitz (feat. Tripstar),spotify:track:4YjVIHnEZHzTRwP7eFNXEm,0.0844,0.801,0.739,0,0.13,-5.297,0.197,94.989,0.567,46,Swae Lee
Madden NFL 22 Soundtrack,5,5b7Ry44gTWXNNMtHuvna5K,8,spotify:track:5b7Ry44gTWXNNMtHuvna5K,0.0125,0.926,0.475,0.0567,0.172,-10.69,0.283,110.051,0.504,43,Swae Lee
Madden NFL 22 Soundtrack,6,1q0jS20WymGaQCFpZsBZvV,Count Me In,spotify:track:1q0jS20WymGaQCFpZsBZvV,0.162,0.854,0.509,0,0.0802,-6.333,0.333,164.971,0.897,50,Swae Lee
Madden NFL 22 Soundtrack,7,7F8lfymr6VixvjdRCB4d65,Oh No - Madden Version,spotify:track:7F8lfymr6VixvjdRCB4d65,0.0952,0.803,0.629,1.78E-06,0.352,-9.168,0.0947,86.01,0.426,43,Swae Lee
Madden NFL 22 Soundtrack,8,4PyuYgDt2TnGGqcGhGSY70,Down Ready Set,spotify:track:4PyuYgDt2TnGGqcGhGSY70,0.013,0.779,0.833,0,0.256,-4.512,0.0279,95.994,0.44,48,Swae Lee
Madden NFL 22 Soundtrack,9,3kipCqly93spo4pTRFzeQi,Ambassel,spotify:track:3kipCqly93spo4pTRFzeQi,0.0333,0.889,0.837,0,0.104,-3.885,0.308,150.026,0.647,55,Swae Lee
Madden NFL 22 Soundtrack,10,1Gbr3gTYWJgrPcPclAtbxC,Number One,spotify:track:1Gbr3gTYWJgrPcPclAtbxC,0.161,0.636,0.618,0,0.0904,-8.23,0.396,168.904,0.31,51,Swae Lee
Madden NFL 22 Soundtrack,11,6FEZiDyB0HrrJYqAsu6gy1,Back In A Minute,spotify:track:6FEZiDyB0HrrJYqAsu6gy1,0.0101,0.87,0.724,0.000388,0.224,-4.7,0.286,164.004,0.638,38,Swae Lee
SR3MM,1,4669wTPqp7Xwz2H7v4QKi1,Up In My Cocina - From SR3MM,spotify:track:4669wTPqp7Xwz2H7v4QKi1,0.0129,0.898,0.751,0,0.363,-4.646,0.148,129.972,0.462,45,Swae Lee
SR3MM,2,1oUudyBYVGMIC8JXeIsFzq,CLOSE (feat. Travis Scott) - From SR3MM,spotify:track:1oUudyBYVGMIC8JXeIsFzq,0.104,0.691,0.736,0,0.111,-4.993,0.0321,140.034,0.0395,64,Swae Lee
SR3MM,3,6nI74KsH94IN0J2vp5shdT,Bedtime Stories (feat. The Weeknd) - From SR3MM,spotify:track:6nI74KsH94IN0J2vp5shdT,0.0544,0.803,0.64,4.77E-05,0.342,-4.527,0.0279,131.986,0.038,57,Swae Lee
