album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Until Now,1,0VffaI2jwQknRrxpECYHsF,Greyhound,spotify:track:0VffaI2jwQknRrxpECYHsF,0.00666,0.723,0.806,0.876,0.276,-4.989,0.0521,124.976,0.539,68,Swedish House Mafia
Until Now,2,2w2GduKshRATrsoGJ3MZuc,Here We Go,spotify:track:2w2GduKshRATrsoGJ3MZuc,1.85E-05,0.605,0.965,0.87,0.0669,-3.882,0.0473,128.015,0.182,43,Swedish House Mafia
Until Now,3,3hZm2MqVqCLDoxGblUSvxj,Calling (Lose My Mind),spotify:track:3hZm2MqVqCLDoxGblUSvxj,0.0479,0.648,0.561,0.156,0.0781,-7.004,0.0503,124.999,0.102,50,Swedish House Mafia
Until Now,4,14epucTZd8dLIYipdByNZS,Antidote - Extended,spotify:track:14epucTZd8dLIYipdByNZS,0.000643,0.733,0.821,0.367,0.0617,-6.021,0.0991,128.013,0.63,51,Swedish House Mafia
Until Now,5,2U1bDJAym3cdNe6hhPonDJ,Miami 2 Ibiza - Extended Vocal Mix,spotify:track:2U1bDJAym3cdNe6hhPonDJ,0.000368,0.727,0.842,0.0149,0.088,-6.691,0.0572,125.003,0.58,46,Swedish House Mafia
Until Now,6,3F1OFAb6AKuyvERl4VAJzq,Lights,spotify:track:3F1OFAb6AKuyvERl4VAJzq,0.000215,0.625,0.878,0.927,0.0847,-5.577,0.138,128.035,0.272,39,Swedish House Mafia
Until Now,7,043bfUkTydw0xJ5JjOT91w,Don't You Worry Child,spotify:track:043bfUkTydw0xJ5JjOT91w,0.0144,0.632,0.88,0.0021,0.118,-4.051,0.0463,129.007,0.338,73,Swedish House Mafia
Until Now,8,5J8m6w5VmswbMBYUAFf44t,Every Teardrop Is A Waterfall (Coldplay Vs. Swedish House Mafia),spotify:track:5J8m6w5VmswbMBYUAFf44t,0.000635,0.631,0.871,0.00775,0.545,-5.703,0.0585,125.022,0.293,54,Swedish House Mafia
Until Now,9,5EJcVJZBl6HTfSf6z4dC78,One (Your Name),spotify:track:5EJcVJZBl6HTfSf6z4dC78,0.00761,0.842,0.657,0.103,0.0579,-6.707,0.0811,125.023,0.211,53,Swedish House Mafia
Until Now,10,1zIEwDU2IZyHjy17ssOvyr,Save The World,spotify:track:1zIEwDU2IZyHjy17ssOvyr,0.00355,0.654,0.737,0.000273,0.0807,-6.435,0.108,127.001,0.223,54,Swedish House Mafia
