album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
The Lost Remixes,1,7hfwOqGi9sw56WqnkDYWKe,"T-Pain Beatboxing - Live at the Roxy Theater, Los Angeles, CA -2008",spotify:track:7hfwOqGi9sw56WqnkDYWKe,0.176,0.81,0.986,0.0707,0.401,-13.015,0.465,76.497,0.0356,24,T-Pain
The Lost Remixes,2,4pNlxC6xJ3PEJdf6EgS7Ke,"I'm N Luv (Wit A Stripper) 2 (feat. Pimp C, Too $hort, MJG, Twista & Paul Wall) - Tha Remix",spotify:track:4pNlxC6xJ3PEJdf6EgS7Ke,0.00356,0.775,0.502,2.57E-06,0.424,-9.347,0.19,144.931,0.422,52,T-Pain
The Lost Remixes,3,1QKCkqD09Rnhd8VGNZjOJ7,I'm N Luv (Wit A Stripper) - iSoul Clear Heels Remix,spotify:track:1QKCkqD09Rnhd8VGNZjOJ7,0.000114,0.718,0.725,0.077,0.0575,-7.72,0.0373,131.997,0.849,23,T-Pain
The Lost Remixes,4,0OEE3Hs7L30hJfoqkMduAL,I'm N Luv (Wit A Stripper) - South Rakkas Reggaton Mix - No Rap,spotify:track:0OEE3Hs7L30hJfoqkMduAL,0.0187,0.631,0.797,0,0.441,-4.773,0.0453,161.96,0.552,23,T-Pain
The Lost Remixes,5,3Nbi8bvxsESMeqEj9RYH69,"I'm Sprung - Live at the Roxy Theater, Los Angeles, CA -2008",spotify:track:3Nbi8bvxsESMeqEj9RYH69,0.494,0.614,0.631,0,0.21,-5.764,0.253,100.456,0.573,21,T-Pain
The Lost Remixes,6,2HPWW76mT5xOhrojFXvHUI,I'm Sprung 2 (feat. Beenie Man) - Tony Kelly Dancehall Remix,spotify:track:2HPWW76mT5xOhrojFXvHUI,0.014,0.77,0.697,0.000146,0.255,-5.953,0.0671,100.021,0.429,31,T-Pain
The Lost Remixes,7,1tqz07PbXWP425pgurkdae,I'm Sprung (feat. Swishahouse) - Chopped & Screwed Remix,spotify:track:1tqz07PbXWP425pgurkdae,0.288,0.57,0.569,0,0.379,-5.941,0.171,78.099,0.358,21,T-Pain
The Lost Remixes,8,0Odi4faIZ4z4KV2SrDsLjV,I'm Sprung (feat. YoungBloodZ & Trick Daddy) - Remix Edit,spotify:track:0Odi4faIZ4z4KV2SrDsLjV,0.0738,0.721,0.569,0,0.197,-7.239,0.274,99.96,0.406,27,T-Pain
The Lost Remixes,9,4U7SFvdf8UiUWBh1HWeRhf,I'm Sprung 2 (feat. Anthony Acid) - Dance Remix,spotify:track:4U7SFvdf8UiUWBh1HWeRhf,0.039,0.642,0.882,0.154,0.593,-5.274,0.032,117.024,0.653,18,T-Pain
The Lost Remixes,10,33SqfPL9H7jj5UPrek8B8k,Studio Luv (feat. Lil' Wayne) - Remix,spotify:track:33SqfPL9H7jj5UPrek8B8k,0.015,0.714,0.524,0,0.111,-8.361,0.0731,130.162,0.208,30,T-Pain
The Lost Remixes,11,73xNQMCDdudo2XtLTNvofr,"Who The F*** Is That - Live at the Roxy Theater, Los Angeles, CA -2008",spotify:track:73xNQMCDdudo2XtLTNvofr,0.125,0.801,0.588,0,0.0887,-6.08,0.248,82.092,0.504,18,T-Pain
The Lost Remixes,12,5YLgI37kFoXwW15HSBvJKI,"Buy U A Drank (Shawty Snappin') / Bartender Medley - Live at the Roxy Theater, Los Angeles, CA -2008",spotify:track:5YLgI37kFoXwW15HSBvJKI,0.39,0.459,0.468,0,0.46,-7.956,0.395,83.74,0.485,20,T-Pain
The Lost Remixes,14,5z72NZC2GaDbhzOuYyjLEL,Buy U A Drank (Shawty Snappin') (feat. Yung Joc) - Acappella,spotify:track:5z72NZC2GaDbhzOuYyjLEL,0.565,0.692,0.201,0,0.338,-12.256,0.0639,79.746,0.834,32,T-Pain
The Lost Remixes,15,5ZEWc4J0LPqIiJJy00d4AI,Church (feat. Teddy Verseti) - Future Presidents Remix,spotify:track:5ZEWc4J0LPqIiJJy00d4AI,0.0101,0.675,0.9,0,0.153,-6.925,0.222,79.998,0.867,24,T-Pain
The Lost Remixes,17,6t61lKHpCqoQ07igw9RDjL,Can't Believe It (feat. Lil' Wayne) - FP Remix,spotify:track:6t61lKHpCqoQ07igw9RDjL,0.0157,0.841,0.822,0,0.0538,-5.226,0.064,115.008,0.894,22,T-Pain
The Lost Remixes,18,7gxiUzbx6WM5G0MJT7VrOl,"Can't Believe It - Live at the Roxy Theater, Los Angeles, CA -2008",spotify:track:7gxiUzbx6WM5G0MJT7VrOl,0.419,0.442,0.492,0,0.171,-6.77,0.0476,87.64,0.348,16,T-Pain
1UP,1,0ChAO0F7bhPyHAdIs0M4jH,1UP,spotify:track:0ChAO0F7bhPyHAdIs0M4jH,0.0236,0.705,0.584,0,0.176,-6.397,0.396,71.666,0.35,33,T-Pain
1UP,2,3KOd8LPLNf1HPHD52nS84r,RIP to the Parking Lot,spotify:track:3KOd8LPLNf1HPHD52nS84r,0.0227,0.769,0.558,0,0.0803,-6.526,0.344,179.993,0.771,45,T-Pain
1UP,3,2RE0buQspbHvnsPPjwIqzw,U Up,spotify:track:2RE0buQspbHvnsPPjwIqzw,0.0076,0.647,0.484,0,0.438,-10.316,0.301,85.366,0.154,36,T-Pain
1UP,4,4RgzVDC5iwrj2AjeUYX7Sc,Getcha Roll On,spotify:track:4RgzVDC5iwrj2AjeUYX7Sc,0.0359,0.722,0.595,0,0.276,-7.482,0.4,171.167,0.655,51,T-Pain
1UP,5,6abMgwWiFPPWSNDH5otJPd,Be Your X,spotify:track:6abMgwWiFPPWSNDH5otJPd,0.0158,0.591,0.298,0,0.113,-12.147,0.437,79.621,0.259,31,T-Pain
1UP,6,23fcO2RYZHDtL63KGNIuD5,It's My Dog Birthday,spotify:track:23fcO2RYZHDtL63KGNIuD5,0.000582,0.604,0.577,0,0.102,-7.647,0.243,120.033,0.315,35,T-Pain
1UP,7,0RlzTrkxuTcKRuxk8H7zU8,We All We Got,spotify:track:0RlzTrkxuTcKRuxk8H7zU8,0.00857,0.774,0.607,0,0.0742,-8.51,0.275,82.525,0.651,30,T-Pain
1UP,8,6pmNpQN3tP0ygHbxJbd5iB,Keep This from Me,spotify:track:6pmNpQN3tP0ygHbxJbd5iB,0.0871,0.51,0.626,0,0.263,-6.15,0.332,80.795,0.516,32,T-Pain
1UP,9,2QWYjg7Okzf4NY5Ahx4gTx,A Million Times,spotify:track:2QWYjg7Okzf4NY5Ahx4gTx,0.0761,0.738,0.519,0,0.092,-5.403,0.185,96.061,0.61,45,T-Pain
1UP,10,3MnUxbQST8dCwluSIgrW53,All I Want,spotify:track:3MnUxbQST8dCwluSIgrW53,0.186,0.514,0.613,0,0.284,-6.506,0.212,111.913,0.439,35,T-Pain
1UP,11,1K0d8nVv7yI5s8JtWXmopS,Here It Comes,spotify:track:1K0d8nVv7yI5s8JtWXmopS,0.0332,0.716,0.597,0,0.163,-7.774,0.0547,140.03,0.306,43,T-Pain
1UP,12,5gZEBWwtCjJH2nkNv4u5ZG,Goat Talk,spotify:track:5gZEBWwtCjJH2nkNv4u5ZG,0.00212,0.729,0.545,0,0.252,-7.963,0.348,173.992,0.48,51,T-Pain
"Everything Must Go, Vol. 2",1,29lGiRxqiYsxHH11x0Iq03,Turn Around,spotify:track:29lGiRxqiYsxHH11x0Iq03,0.0967,0.483,0.763,0,0.283,-3.837,0.357,94.93,0.573,33,T-Pain
"Everything Must Go, Vol. 2",2,6DuA72ysN8BLpkLTXLj0yZ,Fall Off,spotify:track:6DuA72ysN8BLpkLTXLj0yZ,0.139,0.583,0.552,0,0.135,-7.439,0.069,79.984,0.296,24,T-Pain
"Everything Must Go, Vol. 2",3,1uqKk6VAexXptfrqvkYnnw,Let's Go out (Boogaloo),spotify:track:1uqKk6VAexXptfrqvkYnnw,0.191,0.681,0.497,0.0147,0.0928,-11.582,0.0771,119.764,0.233,23,T-Pain
"Everything Must Go, Vol. 2",4,5rQVH9yyTB0oKatA7vJK8B,Bottom Bih,spotify:track:5rQVH9yyTB0oKatA7vJK8B,0.0803,0.682,0.396,0,0.192,-12.375,0.154,151.915,0.348,22,T-Pain
"Everything Must Go, Vol. 2",5,7wZFTdbOSP1tOVPUPAKcjv,Darkskin Debarge,spotify:track:7wZFTdbOSP1tOVPUPAKcjv,0.202,0.658,0.569,1.32E-06,0.112,-7.494,0.282,190.195,0.485,27,T-Pain
"Everything Must Go, Vol. 2",6,13Xsqyppwjaf66t7iHitCI,Go Head,spotify:track:13Xsqyppwjaf66t7iHitCI,0.0732,0.576,0.589,0,0.0947,-8.72,0.45,139.976,0.239,24,T-Pain
