album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
World War Joy (Japan Edition),1,1z12ytybd2liMXldGrit6d,The Reaper (feat. Amy Shark),spotify:track:1z12ytybd2liMXldGrit6d,0.135,0.633,0.564,0,0.201,-7.789,0.0701,164.008,0.648,18,The Chainsmokers
World War Joy (Japan Edition),3,7M2BekPoY7o3XpEZGdHVA1,See The Way (feat. Sabrina Claudio),spotify:track:7M2BekPoY7o3XpEZGdHVA1,0.129,0.558,0.456,0,0.189,-8.118,0.0945,94.851,0.566,20,The Chainsmokers
World War Joy (Japan Edition),4,0fOiTY8wUM6u4GLGOFKvZs,P.S. I Hope You're Happy (feat. blink-182),spotify:track:0fOiTY8wUM6u4GLGOFKvZs,0.00883,0.583,0.802,0,0.0615,-4.312,0.0367,100.054,0.649,22,The Chainsmokers
World War Joy (Japan Edition),6,20OHzqdcaEj1678EyTT6qm,Takeaway (feat. Lennon Stella),spotify:track:20OHzqdcaEj1678EyTT6qm,0.126,0.528,0.511,0,0.101,-8.144,0.0324,100.1,0.351,21,The Chainsmokers
World War Joy (Japan Edition),7,5mLCE4b2u3JRMhTKeFUUtu,Call You Mine (feat. Bebe Rexha),spotify:track:5mLCE4b2u3JRMhTKeFUUtu,0.204,0.585,0.696,0,0.344,-5.6,0.0307,104.01,0.522,18,The Chainsmokers
World War Joy (Japan Edition),8,7cPh3OSgtv6YRiYzlfxZV9,Do You Mean (feat. Ty Dolla $ign & bülow),spotify:track:7cPh3OSgtv6YRiYzlfxZV9,0.129,0.356,0.661,0,0.114,-9.818,0.0633,99.951,0.551,17,The Chainsmokers
World War Joy (Japan Edition),11,5PYnqtWbSBJTJFl4Ui55HE,Closer - Tokyo Remix,spotify:track:5PYnqtWbSBJTJFl4Ui55HE,0.308,0.723,0.539,0,0.109,-5.149,0.0391,95.001,0.635,52,The Chainsmokers
World War Joy (Japan Edition),12,3kCWVUEhV2PxA8i3UGHAdU,Takeaway (feat. Lennon Stella) - Sondr Remix,spotify:track:3kCWVUEhV2PxA8i3UGHAdU,0.0575,0.683,0.896,0,0.234,-4.847,0.108,120.954,0.391,15,The Chainsmokers
World War Joy (Japan Edition),13,08B6S2wp6qaxbO4pO3Ynef,Push My Luck - TWINSICK Remix,spotify:track:08B6S2wp6qaxbO4pO3Ynef,0.0434,0.596,0.906,0,0.261,-3.197,0.0753,96.03,0.635,16,The Chainsmokers
World War Joy (Japan Edition),14,6OgE9ye8S2swLLw1F5rfUO,Call You Mine (feat. Bebe Rexha) - Keanu Silva Remix,spotify:track:6OgE9ye8S2swLLw1F5rfUO,0.031,0.718,0.921,1.52E-05,0.207,-3.796,0.102,121.967,0.297,17,The Chainsmokers
World War Joy (Japan Edition),15,6UqBIqF059doN7mFsWIahe,Who Do You Love - R3HAB Remix,spotify:track:6UqBIqF059doN7mFsWIahe,0.232,0.525,0.7,0,0.299,-6.848,0.0469,142.018,0.358,20,The Chainsmokers
World War Joy,1,0g8Dq6OpSmWengqtLrVr77,The Reaper,spotify:track:0g8Dq6OpSmWengqtLrVr77,0.135,0.633,0.564,0,0.201,-7.789,0.0701,164.008,0.648,62,The Chainsmokers
World War Joy,2,3TKpJrY9q49Mj1JOsM9zGL,Family,spotify:track:3TKpJrY9q49Mj1JOsM9zGL,0.426,0.584,0.607,0,0.101,-6.605,0.0356,117.817,0.374,68,The Chainsmokers
World War Joy,3,6VWz99969QmNc2gWo21ktl,See The Way,spotify:track:6VWz99969QmNc2gWo21ktl,0.129,0.558,0.456,0,0.189,-8.118,0.0945,94.851,0.566,56,The Chainsmokers
World War Joy,4,5GemR0Lr9CEUJVH14mAsDO,P.S. I Hope You're Happy,spotify:track:5GemR0Lr9CEUJVH14mAsDO,0.00883,0.583,0.802,0,0.0615,-4.312,0.0367,100.054,0.649,58,The Chainsmokers
World War Joy,5,4h8Pmw3RELdsanPjssyJoB,Push My Luck,spotify:track:4h8Pmw3RELdsanPjssyJoB,0.293,0.563,0.645,0,0.202,-6.422,0.0428,89.976,0.523,64,The Chainsmokers
World War Joy,6,3g0mEQx3NTanacLseoP0Gw,Takeaway,spotify:track:3g0mEQx3NTanacLseoP0Gw,0.126,0.528,0.511,0,0.101,-8.144,0.0324,100.1,0.351,80,The Chainsmokers
World War Joy,7,2oejEp50ZzPuQTQ6v54Evp,Call You Mine,spotify:track:2oejEp50ZzPuQTQ6v54Evp,0.204,0.585,0.696,0,0.344,-5.6,0.0307,104.01,0.522,79,The Chainsmokers
World War Joy,8,5vDCp6yZAikAoJ6NOEEFdp,Do You Mean,spotify:track:5vDCp6yZAikAoJ6NOEEFdp,0.129,0.356,0.661,0,0.114,-9.818,0.0633,99.951,0.551,61,The Chainsmokers
World War Joy,9,2PgMUAn2bBpm8gz6yAXvVL,Kills You Slowly,spotify:track:2PgMUAn2bBpm8gz6yAXvVL,0.0636,0.696,0.439,0,0.127,-8.77,0.055,149.923,0.229,59,The Chainsmokers
World War Joy,10,2fVHrSxsQbJUuj9MW9zG1e,Who Do You Love,spotify:track:2fVHrSxsQbJUuj9MW9zG1e,0.0101,0.51,0.846,0,0.208,-4.595,0.0461,139.927,0.475,77,The Chainsmokers
Sick Boy (Special Edition),1,5ZXvAaLvJRgZ5QjcqBUErr,This Feeling (feat. Kelsea Ballerini),spotify:track:5ZXvAaLvJRgZ5QjcqBUErr,0.0558,0.575,0.571,0,0.0912,-7.906,0.0439,105.049,0.449,22,The Chainsmokers
Sick Boy (Special Edition),3,2FYpbLHMJ81Qa4J6WBtzA2,Hope (feat. Winona Oak),spotify:track:2FYpbLHMJ81Qa4J6WBtzA2,0.488,0.773,0.699,3.60E-06,0.0814,-5.982,0.0958,104.941,0.513,16,The Chainsmokers
