album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Sunsets & Full Moons,1,6CS7hNTlgl3uKLiBm7LGb1,Something Unreal,spotify:track:6CS7hNTlgl3uKLiBm7LGb1,0.00259,0.572,0.775,1.01E-05,0.139,-4.828,0.0587,133.914,0.501,48,The Script
Sunsets & Full Moons,2,600oiqLkQIJ85HvQGIQWvO,The Last Time,spotify:track:600oiqLkQIJ85HvQGIQWvO,0.0486,0.521,0.746,0,0.236,-3.421,0.0349,132.014,0.15,64,The Script
Sunsets & Full Moons,3,7ybTXgmWoVFV33te4kVlUR,Run Through Walls,spotify:track:7ybTXgmWoVFV33te4kVlUR,0.226,0.337,0.66,0,0.744,-3.644,0.0324,158.864,0.49,63,The Script
Sunsets & Full Moons,4,0lvHNgiu7Wr817eZOdcboQ,If You Don't Love Yourself,spotify:track:0lvHNgiu7Wr817eZOdcboQ,0.0261,0.555,0.779,6.64E-06,0.119,-6.021,0.0287,99.966,0.616,50,The Script
Sunsets & Full Moons,5,4tgP8QJD8zEqhPAL8YMXcO,Hurt People Hurt People,spotify:track:4tgP8QJD8zEqhPAL8YMXcO,0.0038,0.395,0.741,0,0.212,-4.543,0.0436,97.3,0.389,41,The Script
Sunsets & Full Moons,6,6QZN4gD7ezuPKX2TNOw28u,Same Time,spotify:track:6QZN4gD7ezuPKX2TNOw28u,0.405,0.625,0.565,0,0.0871,-7.528,0.0524,104.817,0.389,48,The Script
Sunsets & Full Moons,7,2oxwlcZPlaZ3piXiCegbRl,Underdog,spotify:track:2oxwlcZPlaZ3piXiCegbRl,0.0677,0.692,0.729,0,0.124,-6.696,0.124,89.958,0.395,53,The Script
Sunsets & Full Moons,8,0dfIhlK55degCrUnr9zUli,The Hurt Game,spotify:track:0dfIhlK55degCrUnr9zUli,0.00886,0.497,0.654,0,0.129,-5.982,0.0321,150.099,0.181,42,The Script
Sunsets & Full Moons,9,0SgMHT66IGNpH2CDejXI8h,Hot Summer Nights,spotify:track:0SgMHT66IGNpH2CDejXI8h,0.112,0.673,0.657,0,0.102,-6.279,0.0589,95.034,0.297,49,The Script
Freedom Child,1,7mIFzHyC5luAXh0jIMj6XY,No Man is an Island,spotify:track:7mIFzHyC5luAXh0jIMj6XY,0.00446,0.651,0.693,1.32E-05,0.124,-6.828,0.0543,144.953,0.548,51,The Script
Freedom Child,2,2QWP8NYYplOqEFBYGCcq0S,Rain,spotify:track:2QWP8NYYplOqEFBYGCcq0S,0.241,0.689,0.586,0,0.356,-7.61,0.107,93.02,0.611,66,The Script
Freedom Child,3,3WTUNLFtzWaDwfFfZJZ9d8,Arms Open,spotify:track:3WTUNLFtzWaDwfFfZJZ9d8,0.488,0.513,0.554,0.000259,0.111,-5.638,0.0372,175.958,0.722,57,The Script
Freedom Child,4,3njZlgsB9MI6DVTg8wDPsg,Rock the World,spotify:track:3njZlgsB9MI6DVTg8wDPsg,0.0038,0.641,0.604,0,0.106,-6.771,0.0276,130.94,0.285,50,The Script
Freedom Child,5,3WFeGpklHvro9Um4uYWyBZ,Mad Love,spotify:track:3WFeGpklHvro9Um4uYWyBZ,0.006,0.831,0.681,0.164,0.13,-7.535,0.0713,87.995,0.493,42,The Script
