album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
"Cherry Blossom (Extended, Pt. 2)",12,2hB2Yay5HY2ANGJnFgO1bH,Married In Vegas - Acoustic,spotify:track:2hB2Yay5HY2ANGJnFgO1bH,0.609,0.505,0.42,3.28E-05,0.0872,-7.238,0.0292,96.782,0.31,30,The Vamps
"Cherry Blossom (Extended, Pt. 2)",14,3sf3aAJnHDlb7xJeRBsPZ9,Glory Days - Acoustic,spotify:track:3sf3aAJnHDlb7xJeRBsPZ9,0.867,0.734,0.516,4.22E-06,0.0829,-6.342,0.0444,98.951,0.133,31,The Vamps
"Cherry Blossom (Extended, Pt. 2)",16,5iFE0zYOokYGgTLKwVWwy9,Chemicals - Acoustic,spotify:track:5iFE0zYOokYGgTLKwVWwy9,0.628,0.751,0.415,0,0.123,-8.191,0.0571,80.027,0.57,32,The Vamps
"Cherry Blossom (Extended, Pt. 2)",17,1KVsJiKlLKBs9JdtCJ4PWU,Treading Water - Acoustic,spotify:track:1KVsJiKlLKBs9JdtCJ4PWU,0.912,0.473,0.442,0,0.146,-5.562,0.0471,79.692,0.421,33,The Vamps
"Cherry Blossom (Extended, Pt. 2)",15,4ArOchMBMKfCPpjGYb0TdB,Would You - Acoustic,spotify:track:4ArOchMBMKfCPpjGYb0TdB,0.336,0.553,0.438,3.04E-05,0.129,-7.906,0.0407,102.951,0.523,35,The Vamps
"Cherry Blossom (Extended, Pt. 1)",13,2klhxEzrkBNPEQWX9Q5kop,Better - Acoustic,spotify:track:2klhxEzrkBNPEQWX9Q5kop,0.687,0.722,0.4,0,0.0988,-8.132,0.0402,95.928,0.464,31,The Vamps
Cherry Blossom,2,0eyUwoxA7smpxxZNobP5IE,Glory Days,spotify:track:0eyUwoxA7smpxxZNobP5IE,0.325,0.657,0.743,0,0.227,-3.753,0.0405,108.036,0.44,49,The Vamps
Cherry Blossom,3,1uANN3gRrtjSUd4qegchpK,Better,spotify:track:1uANN3gRrtjSUd4qegchpK,0.214,0.762,0.876,4.37E-06,0.102,-4.372,0.145,102.013,0.82,55,The Vamps
Cherry Blossom,4,0vqSBTfsm9ExINnYp8tNA8,Married In Vegas,spotify:track:0vqSBTfsm9ExINnYp8tNA8,0.000671,0.667,0.759,0,0.0329,-4.059,0.0513,104.041,0.711,52,The Vamps
Cherry Blossom,5,0jS8J4DPuFXEJo26DwIVGJ,Chemicals,spotify:track:0jS8J4DPuFXEJo26DwIVGJ,0.0423,0.695,0.668,0,0.12,-4.406,0.25,159.93,0.696,47,The Vamps
