album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Dawn FM (Alternate World),17,2OAfIt4rf4GFIceIUB8U6L,Take My Breath (Remix) (feat. Agents of Time),spotify:track:2OAfIt4rf4GFIceIUB8U6L,0.0402,0.649,0.835,0.575,0.112,-8.611,0.0464,124.999,0.457,66,The Weeknd
Dawn FM (Alternate World),18,7aAsStiuC4Zw8vIbvRWtq7,Sacrifice (Remix) (feat. Swedish House Mafia),spotify:track:7aAsStiuC4Zw8vIbvRWtq7,0.0312,0.774,0.742,5.03E-05,0.0907,-7.391,0.0784,122.028,0.677,70,The Weeknd
Dawn FM (Alternate World),19,3PHx91cSFc4vNVP7TpICVt,Moth To A Flame (with The Weeknd),spotify:track:3PHx91cSFc4vNVP7TpICVt,0.00279,0.542,0.659,0,0.105,-7.289,0.0389,120.122,0.109,65,The Weeknd
Dawn FM (Alternate World),14,3p4vCURtBamNMXHar4fv04,I Heard You're Married (feat. Lil Wayne),spotify:track:3p4vCURtBamNMXHar4fv04,0.103,0.736,0.848,0,0.299,-5.494,0.171,109.946,0.784,21,The Weeknd
Dawn FM,1,6krYS8KtmNAYyb5uTZiYW4,Dawn FM,spotify:track:6krYS8KtmNAYyb5uTZiYW4,0.674,0.28,0.478,5.85E-05,0.483,-8.755,0.037,111.65,0.0807,75,The Weeknd
Dawn FM,2,3KyKxJ4P3pVCgaZwaq2rUC,Gasoline,spotify:track:3KyKxJ4P3pVCgaZwaq2rUC,0.000582,0.728,0.741,0.00206,0.33,-7.075,0.0473,123.006,0.31,82,The Weeknd
Dawn FM,3,2Ghp894n1laIf2w98VeAOJ,How Do I Make You Love Me?,spotify:track:2Ghp894n1laIf2w98VeAOJ,0.0203,0.805,0.498,2.37E-05,0.085,-7.927,0.0737,121.006,0.636,81,The Weeknd
Dawn FM,4,2vgUijXOTRMnWXDtvgMp2b,Take My Breath,spotify:track:2vgUijXOTRMnWXDtvgMp2b,0.0128,0.698,0.769,0.00166,0.238,-7.154,0.0368,121.02,0.354,81,The Weeknd
Dawn FM,5,1nH2PkJL1XoUq8oE6tBZoU,Sacrifice,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,0.0296,0.735,0.795,3.18E-05,0.0678,-6.523,0.113,122,0.905,91,The Weeknd
Dawn FM,6,759ndr57jb0URg4j9YSWml,A Tale By Quincy,spotify:track:759ndr57jb0URg4j9YSWml,0.679,0.447,0.513,2.98E-05,0.096,-8.67,0.127,67.289,0.572,74,The Weeknd
Dawn FM,7,2SLwbpExuoBDZBpjfefCtV,Out of Time,spotify:track:2SLwbpExuoBDZBpjfefCtV,0.255,0.65,0.76,0,0.339,-4.422,0.0446,93.057,0.838,86,The Weeknd
Dawn FM,8,1NhjYYcYTRywc0di98xHxf,"Here We Go… Again (feat. Tyler, the Creator)",spotify:track:1NhjYYcYTRywc0di98xHxf,0.345,0.469,0.623,0,0.588,-4.432,0.0302,134.943,0.198,80,The Weeknd
Dawn FM,9,1E5Xu8dur0fAjSP1VpVhAZ,Best Friends,spotify:track:1E5Xu8dur0fAjSP1VpVhAZ,0.436,0.737,0.564,0,0.351,-7.045,0.105,90,0.528,80,The Weeknd
Dawn FM,10,0mL82sxCRjrs3br407IdJh,Is There Someone Else?,spotify:track:0mL82sxCRjrs3br407IdJh,0.0388,0.702,0.586,7.27E-05,0.156,-7.83,0.0313,134.951,0.608,86,The Weeknd
Dawn FM,11,6zzdyvVWjGrQBraSvuqJPY,Starry Eyes,spotify:track:6zzdyvVWjGrQBraSvuqJPY,0.465,0.309,0.418,7.58E-05,0.295,-8.622,0.031,134.23,0.146,77,The Weeknd
Dawn FM,12,3vJcz8exedHCjQ9ed95NqU,Every Angel is Terrifying,spotify:track:3vJcz8exedHCjQ9ed95NqU,0.109,0.447,0.959,2.75E-05,0.0498,-5.59,0.348,118.167,0.46,73,The Weeknd
Dawn FM,13,6a4GH1gljLL7VvmO9u5O92,Don’t Break My Heart,spotify:track:6a4GH1gljLL7VvmO9u5O92,0.31,0.767,0.618,0,0.179,-7.163,0.032,121.959,0.243,77,The Weeknd
Dawn FM,14,5XbA7TAqsD0fj0dGBrbb0D,I Heard You’re Married (feat. Lil Wayne),spotify:track:5XbA7TAqsD0fj0dGBrbb0D,0.103,0.736,0.848,0,0.299,-5.494,0.171,109.946,0.784,79,The Weeknd
