album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
The London Sessions,1,6mIrY9axk9DkBCk4eHXL6c,God Is A Dancer,spotify:track:6mIrY9axk9DkBCk4eHXL6c,0.0241,0.773,0.747,6.08E-06,0.342,-3.908,0.082,119.962,0.833,42,Tiesto
The London Sessions,3,6GpoUPegO1TBbZCoE7FxZ7,Ride,spotify:track:6GpoUPegO1TBbZCoE7FxZ7,0.0397,0.734,0.855,0.000278,0.105,-4.438,0.0412,117.009,0.223,39,Tiesto
The London Sessions,5,4vvnuJlgBeNVwq3TNmLMNX,Jackie Chan,spotify:track:4vvnuJlgBeNVwq3TNmLMNX,0.374,0.747,0.833,0,0.0586,-2.867,0.045,128.008,0.687,70,Tiesto
The London Sessions,6,2etmWkDzfNe7wEsb1UaBrp,Lifestyle,spotify:track:2etmWkDzfNe7wEsb1UaBrp,0.153,0.762,0.797,3.95E-05,0.0931,-7.323,0.068,127.968,0.303,41,Tiesto
The London Sessions,7,05kyh6IkfisfWjZoVkHFTL,On My California,spotify:track:05kyh6IkfisfWjZoVkHFTL,0.0264,0.654,0.849,2.28E-05,0.318,-7.023,0.043,122.046,0.649,38,Tiesto
The London Sessions,9,7ws2bj14L3aKw42CyBVpxm,Round & Round,spotify:track:7ws2bj14L3aKw42CyBVpxm,0.0921,0.717,0.855,1.67E-06,0.0998,-4.808,0.0386,124.938,0.847,43,Tiesto
The London Sessions,10,7sFk2PA3NsrrSsGa4CM3rs,Lose You,spotify:track:7sFk2PA3NsrrSsGa4CM3rs,0.189,0.704,0.899,2.43E-05,0.228,-5.61,0.178,123.028,0.576,64,Tiesto
The London Sessions,11,5RAXb67yhAe5rw5Q9nSPUg,Over You,spotify:track:5RAXb67yhAe5rw5Q9nSPUg,0.0255,0.577,0.887,0,0.28,-4.206,0.0558,122.988,0.806,44,Tiesto
The London Sessions,12,74LTsGNEMUicvEWC4NExCR,What’s It Gonna Be,spotify:track:74LTsGNEMUicvEWC4NExCR,0.178,0.71,0.742,6.41E-05,0.08,-4.699,0.0339,127.969,0.504,38,Tiesto
The London Sessions,13,6uLyhMFTjb3xhmLXKykjTV,Insomnia,spotify:track:6uLyhMFTjb3xhmLXKykjTV,0.0153,0.692,0.87,0.105,0.0401,-5.835,0.0421,122.98,0.394,47,Tiesto
The London Sessions,2,68k26eEoH1e3Rhi811qecM,Nothing Really Matters,spotify:track:68k26eEoH1e3Rhi811qecM,0.00491,0.732,0.847,1.77E-06,0.281,-4.255,0.0426,123.023,0.697,48,Tiesto
The London Sessions,4,0FEk8LwY8h4rAR63ggfhV0,Ritual,spotify:track:0FEk8LwY8h4rAR63ggfhV0,0.157,0.647,0.726,0,0.0844,-4.389,0.0552,114.998,0.769,69,Tiesto
The London Sessions,8,0gwmifwzIBArZYYwUNCuJb,BLUE,spotify:track:0gwmifwzIBArZYYwUNCuJb,0.0179,0.744,0.725,1.00E-05,0.212,-6.056,0.0303,118.035,0.902,55,Tiesto
Together,1,1y0UriJkdMdvlkWpjaI6Vs,My Frequency (feat. RebMoe),spotify:track:1y0UriJkdMdvlkWpjaI6Vs,0.0196,0.733,0.894,5.70E-05,0.619,-4.761,0.124,125.982,0.488,50,Tiesto
Together,2,0XOpvVTsOIdYQ3gyyu9onu,Acordeão,spotify:track:0XOpvVTsOIdYQ3gyyu9onu,0.0457,0.552,0.887,0.0207,0.0903,-3.812,0.147,125.229,0.783,49,Tiesto
Together,3,6oLwA7urPX5GGRXX59TYZ9,Feels So Good (feat. Kelli-Leigh),spotify:track:6oLwA7urPX5GGRXX59TYZ9,0.00756,0.663,0.95,0.49,0.291,-3.297,0.0556,122.986,0.408,35,Tiesto
Together,4,0pMyrECfSI1yq2NXxZyLmA,Halfway There (feat. Lena Leon),spotify:track:0pMyrECfSI1yq2NXxZyLmA,0.000753,0.59,0.888,0.00535,0.817,-4.151,0.0797,128.025,0.0715,53,Tiesto
Together,5,4FpsZqiM5vdrCh8QpCKJQd,Can't Get Enough,spotify:track:4FpsZqiM5vdrCh8QpCKJQd,0.018,0.732,0.817,0.000766,0.478,-4.979,0.147,126.064,0.332,50,Tiesto
Together,6,3Ak6t93rQhbgjSsaNwxwoq,Party Time,spotify:track:3Ak6t93rQhbgjSsaNwxwoq,0.0103,0.635,0.878,0.538,0.338,-4.753,0.07,125.002,0.414,56,Tiesto
Together,7,7txV7LsVsYFUZWKupu7XF5,My Whistle,spotify:track:7txV7LsVsYFUZWKupu7XF5,0.119,0.699,0.919,0.0192,0.357,-3.847,0.271,128.049,0.447,48,Tiesto
Together,8,0MOkTR1nUs2F0Ux05TUqcR,Lose Control,spotify:track:0MOkTR1nUs2F0Ux05TUqcR,0.0357,0.748,0.967,0.528,0.634,-3.592,0.427,129.984,0.282,46,Tiesto
Together,9,6cQgcgInVx1zRQpSCnnBUU,Trouble (feat. Micky Blue),spotify:track:6cQgcgInVx1zRQpSCnnBUU,0.015,0.611,0.875,0.000428,0.113,-3.917,0.0604,128,0.304,46,Tiesto
Together,10,7aFj8SWg3eTkxCQGE82NOs,Can You Feel It,spotify:track:7aFj8SWg3eTkxCQGE82NOs,0.00497,0.625,0.961,0.841,0.626,-3.915,0.205,129.949,0.426,45,Tiesto
Together,11,3q0JDvA9RJMNgZGvKJByyk,Diamonds (feat. Micky Blue),spotify:track:3q0JDvA9RJMNgZGvKJByyk,0.00965,0.561,0.728,0.00162,0.0917,-5.381,0.0408,150.048,0.253,45,Tiesto
"CLUBLIFE, VOL. 5: CHINA",1,4NzeA3GjfKrwjfY2rSSL2f,Harder (feat. Talay Riley) - Harder Intro Edit,spotify:track:4NzeA3GjfKrwjfY2rSSL2f,0.0393,0.601,0.916,1.11E-05,0.158,-3.713,0.31,127.989,0.318,38,Tiesto
"CLUBLIFE, VOL. 5: CHINA",2,3z3kH4Sg3MhusVawon7xYm,Faster Than A Bullet,spotify:track:3z3kH4Sg3MhusVawon7xYm,0.000573,0.651,0.945,0.2,0.132,-2.857,0.273,128.063,0.451,45,Tiesto
"CLUBLIFE, VOL. 5: CHINA",3,2MxMwKtn5vK7urJf4pb4KR,Scream,spotify:track:2MxMwKtn5vK7urJf4pb4KR,0.00175,0.657,0.888,0.0877,0.236,-4.107,0.0871,130.013,0.0622,47,Tiesto
"CLUBLIFE, VOL. 5: CHINA",4,5EAKqGs4gGk0bwQy7igcHJ,Carry You Home (feat. StarGate & Aloe Blacc) - Tiësto's Big Room Mix,spotify:track:5EAKqGs4gGk0bwQy7igcHJ,0.0194,0.61,0.747,4.99E-06,0.557,-4.614,0.0757,127.973,0.28,46,Tiesto
"CLUBLIFE, VOL. 5: CHINA",5,4TLmdQseuUNzppwFUsckB4,No Worries (feat. Natalola) - Tiësto's Big Room Mix,spotify:track:4TLmdQseuUNzppwFUsckB4,0.000563,0.638,0.84,0.000979,0.141,-4.654,0.0298,127.968,0.151,42,Tiesto
"CLUBLIFE, VOL. 5: CHINA",6,4cs99TEADEOcGm5DRRFyOw,BOOM,spotify:track:4cs99TEADEOcGm5DRRFyOw,0.000649,0.563,0.888,0.702,0.272,-3.352,0.0579,122.977,0.131,62,Tiesto
"CLUBLIFE, VOL. 5: CHINA",7,0XAWVdAOpmkKp1zoTu0JzX,C'mon - John Christian Remix,spotify:track:0XAWVdAOpmkKp1zoTu0JzX,0.0015,0.683,0.881,0.946,0.0739,-4.585,0.0572,129.989,0.173,42,Tiesto
"CLUBLIFE, VOL. 5: CHINA",8,56bbA3AsxggZV2QQPVHO3l,Back To The Oldskool,spotify:track:56bbA3AsxggZV2QQPVHO3l,0.00409,0.723,0.955,0.0202,0.0909,-3.384,0.114,128.087,0.16,41,Tiesto
