album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Children Beyond,1,4Cog1TSJc7nVcqA86IBRws,Calling by Tina,spotify:track:4Cog1TSJc7nVcqA86IBRws,0.692,0.401,0.644,0.422,0.133,-7.685,0.0428,167.986,0.107,32,Tina Turner
Children Beyond,2,7KEq86lOihE0l2an8lKHS7,Om Ah Hum,spotify:track:7KEq86lOihE0l2an8lKHS7,0.543,0.362,0.592,0.905,0.0766,-6.139,0.0288,100.006,0.157,33,Tina Turner
Children Beyond,3,6zZoj5RN6t3vxMIpulUmdR,Allah Hu,spotify:track:6zZoj5RN6t3vxMIpulUmdR,0.347,0.614,0.542,0.0014,0.106,-6.009,0.0276,81.089,0.426,28,Tina Turner
Children Beyond,4,1mY7abfCWzILeGyj4bEdPF,Kol Ha' Olam Kulo,spotify:track:1mY7abfCWzILeGyj4bEdPF,0.356,0.472,0.663,0.00273,0.13,-4.237,0.0288,128.114,0.463,25,Tina Turner
Children Beyond,5,2SJYx92lLa2F6fRu1SjslO,Halleluja,spotify:track:2SJYx92lLa2F6fRu1SjslO,0.947,0.368,0.374,0.00195,0.0739,-5.715,0.0285,81.921,0.306,24,Tina Turner
Children Beyond,6,5OJdtN0cTpC35jLeTpIm1k,Sa Ta Na Ma,spotify:track:5OJdtN0cTpC35jLeTpIm1k,0.286,0.489,0.577,0.932,0.333,-6.247,0.0255,98.013,0.229,24,Tina Turner
Children Beyond,7,0BgGiBgSWjSxnnH0AFdRPo,Ganesha Sharanam,spotify:track:0BgGiBgSWjSxnnH0AFdRPo,0.107,0.647,0.896,0.00317,0.305,-5.98,0.0549,152.101,0.851,23,Tina Turner
Children Beyond,8,1uk5yykU7w0K80RWa152tv,Buddham Saranam Gacchami (feat. Nurbu & Nyima),spotify:track:1uk5yykU7w0K80RWa152tv,0.26,0.514,0.678,0.839,0.115,-7.559,0.0387,170.049,0.174,27,Tina Turner
Children Beyond,9,4hVRYEm2KqyFaKcJIhV8cj,Jai Da Da,spotify:track:4hVRYEm2KqyFaKcJIhV8cj,0.299,0.51,0.502,0.277,0.0893,-6.507,0.0275,115.048,0.421,24,Tina Turner
Children Beyond,10,5u1ojiP7cizl2X9hrdrZkq,Sallallah' Ala Muhammad,spotify:track:5u1ojiP7cizl2X9hrdrZkq,0.285,0.539,0.559,0.141,0.0992,-7.485,0.0477,147.97,0.167,21,Tina Turner
Children Beyond,11,2kxocnSlThRzGOkDZRXUMr,Veni Sancte Spiritus,spotify:track:2kxocnSlThRzGOkDZRXUMr,0.926,0.228,0.307,1.15E-06,0.104,-8.148,0.0323,98.745,0.0748,21,Tina Turner
Children Beyond,12,30Uc6thYptafrm2OUaJsvA,Ra Ma Da Sa,spotify:track:30Uc6thYptafrm2OUaJsvA,0.4,0.301,0.314,0.000803,0.102,-6.133,0.0292,183.286,0.0733,21,Tina Turner
Children Beyond,13,3KJxdAap5EagN5qjaUEutL,Sarvesham Svastir Bhavatu,spotify:track:3KJxdAap5EagN5qjaUEutL,0.0638,0.546,0.57,0.0252,0.11,-6.04,0.0295,130.015,0.217,45,Tina Turner
Children Beyond,14,2xCiTMXetSojx2KStK1koN,Unity,spotify:track:2xCiTMXetSojx2KStK1koN,0.773,0.167,0.305,0.833,0.111,-8.319,0.0361,150.535,0.0515,28,Tina Turner
Children Beyond,15,7N0HRcaFXOT5v3zk6DM4T8,Breathing In Breathing Out (feat. Alexandra Keller),spotify:track:7N0HRcaFXOT5v3zk6DM4T8,0.0582,0.395,0.473,7.41E-05,0.105,-6.237,0.028,130.028,0.209,25,Tina Turner
Children Beyond,16,3BpAOG7vq6i4qJCyOz59ga,Breathing In Breathing Out (Instrumental),spotify:track:3BpAOG7vq6i4qJCyOz59ga,0.00861,0.54,0.527,0.465,0.118,-8.349,0.0276,129.997,0.229,19,Tina Turner
Tina Live,1,4AwlNDyxEDTFx1iFpVFTxo,Steamy Windows - Live in Arnhem,spotify:track:4AwlNDyxEDTFx1iFpVFTxo,0.00177,0.44,0.961,0.218,0.987,-3.018,0.0672,141.94,0.34,36,Tina Turner
Tina Live,2,4ZmqtdMKZDpRbbqZTqN1xw,"River Deep, Mountain High - Live in Arnhem",spotify:track:4ZmqtdMKZDpRbbqZTqN1xw,0.16,0.364,0.943,2.87E-06,0.977,-2.941,0.0932,156.342,0.345,42,Tina Turner
Tina Live,3,6EeIbYgPcMLt7g6wiGg06L,What You Get Is What You See - Live in Arnhem,spotify:track:6EeIbYgPcMLt7g6wiGg06L,0.0374,0.431,0.967,8.75E-05,0.938,-3.28,0.0755,162.438,0.614,33,Tina Turner
Tina Live,4,0kgh8n3SzYp6GMHpPL3gvz,Better Be Good to Me - Live in Arnhem,spotify:track:0kgh8n3SzYp6GMHpPL3gvz,0.00733,0.456,0.99,0.0189,0.967,-3.132,0.112,142.055,0.156,32,Tina Turner
Tina Live,5,5s0b3c1FUhcXkqn2r6Lqm5,What's Love Got to Do with It - Live in Arnhem,spotify:track:5s0b3c1FUhcXkqn2r6Lqm5,0.292,0.553,0.95,4.54E-05,0.984,-3.516,0.111,101.183,0.285,44,Tina Turner
Tina Live,6,4oyZsh1Uj6Fk5wthpmyO6B,Private Dancer - Live in Arnhem,spotify:track:4oyZsh1Uj6Fk5wthpmyO6B,0.103,0.491,0.814,0.104,0.988,-4.978,0.042,107.423,0.247,33,Tina Turner
Tina Live,7,3Ows21GyRpbFbrThLJnmZ2,We Don't Need Another Hero (Thunderdome) - Live in Arnhem,spotify:track:3Ows21GyRpbFbrThLJnmZ2,0.0186,0.516,0.922,0.00644,0.985,-3.747,0.0418,100.009,0.337,34,Tina Turner
Tina Live,8,3s8kags8YYC6P8l50BGZn9,Let's Stay Together - Live in Arnhem,spotify:track:3s8kags8YYC6P8l50BGZn9,0.419,0.24,0.862,1.09E-05,0.979,-5.378,0.127,199.781,0.24,30,Tina Turner
Tina Live,9,2gwclWRoK6Qw4W1SlgfyGE,Jumpin' Jack Flash - Live in Arnhem,spotify:track:2gwclWRoK6Qw4W1SlgfyGE,0.0167,0.424,0.973,0.27,0.746,-4.046,0.0974,149.81,0.51,42,Tina Turner
Tina Live,10,3Zhv08moCHflWTjMd72K51,It's Only Rock 'N' Roll (But I Like It) (feat. Lisa Fischer) - Live in Arnhem,spotify:track:3Zhv08moCHflWTjMd72K51,0.0976,0.469,0.978,4.90E-06,0.963,-3.487,0.109,134.486,0.297,31,Tina Turner
Tina Live,11,6tq7Ju7gIbcwlOYgMkPHke,Goldeneye - Live in Arnhem,spotify:track:6tq7Ju7gIbcwlOYgMkPHke,0.00848,0.237,0.745,8.11E-06,0.843,-5.12,0.0402,203.836,0.137,30,Tina Turner
Tina Live,12,2zI35WhpGKTpzfZXkcs6OQ,Addicted to Love - Live in Arnhem,spotify:track:2zI35WhpGKTpzfZXkcs6OQ,0.00631,0.537,0.983,0.00142,0.997,-3.993,0.125,124.003,0.281,35,Tina Turner
Tina Live,13,1JLLDS0KN1ITeYL9ikHKIr,Simply the Best - Live in Arnhem,spotify:track:1JLLDS0KN1ITeYL9ikHKIr,0.0162,0.548,0.96,0.0013,0.937,-4.017,0.0662,117.975,0.165,54,Tina Turner
Tina Live,14,2H8bowPGDu0iOymjuw7J0G,Proud Mary - Live in Arnhem,spotify:track:2H8bowPGDu0iOymjuw7J0G,0.0875,0.254,0.929,4.95E-05,0.787,-4.939,0.243,162,0.203,43,Tina Turner
Tina Live,15,223Y3BYXy404NdxbFjGg6L,Nutbush City Limits - Live in Arnhem,spotify:track:223Y3BYXy404NdxbFjGg6L,0.0367,0.33,0.976,0.00296,0.981,-4.399,0.137,172.374,0.218,33,Tina Turner
Ike & Tina Turner,1,2JN8Hkv1kdZPA0MQsBCvlk,A Fool In Love,spotify:track:2JN8Hkv1kdZPA0MQsBCvlk,0.22,0.677,0.754,6.10E-06,0.285,-8.791,0.0556,116.791,0.853,18,Tina Turner
Ike & Tina Turner,2,7oaeDE4iprFg4dkkw2hS3W,I'm Fed Up,spotify:track:7oaeDE4iprFg4dkkw2hS3W,0.542,0.688,0.639,0.000387,0.143,-7.532,0.0466,121.032,0.853,16,Tina Turner
Ike & Tina Turner,3,2Tzemv10AzzpbBRvKYvyG6,It Sho Ain't Me,spotify:track:2Tzemv10AzzpbBRvKYvyG6,0.61,0.542,0.456,0.000275,0.129,-8.256,0.0243,92.729,0.235,16,Tina Turner
Ike & Tina Turner,4,2yVqo4SF5yV0YOKBLzAi3A,Too Hot To Hold,spotify:track:2yVqo4SF5yV0YOKBLzAi3A,0.29,0.736,0.498,0.00252,0.385,-8.817,0.0525,97.811,0.816,14,Tina Turner
Ike & Tina Turner,5,2NBwQlSuFLJpejTCT5XIaS,So Fine,spotify:track:2NBwQlSuFLJpejTCT5XIaS,0.424,0.624,0.411,1.28E-06,0.1,-10.271,0.0277,104.947,0.488,14,Tina Turner
Ike & Tina Turner,6,00Yglxp0Rr8fE9OFrIQaHe,Shake A Tail Feather,spotify:track:00Yglxp0Rr8fE9OFrIQaHe,0.142,0.537,0.854,2.34E-06,0.0805,-9.687,0.0736,76.749,0.891,17,Tina Turner
Ike & Tina Turner,7,5biVrbTzQzxvn0KhVfVLZD,We Need An Understanding,spotify:track:5biVrbTzQzxvn0KhVfVLZD,0.359,0.709,0.708,0,0.107,-9.551,0.114,75.984,0.967,14,Tina Turner
Ike & Tina Turner,8,6H9GkJAd1zqa28QJrPruSo,I Better Get Ta' Steppin',spotify:track:6H9GkJAd1zqa28QJrPruSo,0.0396,0.51,0.644,0.000144,0.0294,-10.414,0.0954,174.437,0.727,13,Tina Turner
