album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Sunshine Kitty (Paw Prints Edition),1,0T5eWUavIN647AcUFXfZve,sadder badder cooler,spotify:track:0T5eWUavIN647AcUFXfZve,0.131,0.688,0.385,4.51E-05,0.0947,-6.878,0.241,148.012,0.435,52,Tove Lo
Sunshine Kitty (Paw Prints Edition),2,4Nnx7d1MHiNi367p0BJsUv,Bikini Porn,spotify:track:4Nnx7d1MHiNi367p0BJsUv,0.0842,0.918,0.685,2.20E-05,0.0493,-5.748,0.0821,100.995,0.67,49,Tove Lo
Sunshine Kitty (Paw Prints Edition),3,2mDBzk6UySC0y1o4JwoaWd,I'm Coming,spotify:track:2mDBzk6UySC0y1o4JwoaWd,0.00536,0.65,0.625,0.00046,0.119,-10.122,0.0359,118.965,0.293,46,Tove Lo
Sunshine Kitty (Paw Prints Edition),4,1AZgTZAnKhbhIzqKEnKOqu,Passion and Pain Taste the Same When I’m Weak,spotify:track:1AZgTZAnKhbhIzqKEnKOqu,0.742,0.646,0.389,0,0.114,-8.256,0.053,120.478,0.184,39,Tove Lo
Sunshine Kitty (Paw Prints Edition),19,2aLxXQE05ctSEs83tgx3rq,Are U gonna tell her? (feat. MC Zaac) - Heavy Baile Remix,spotify:track:2aLxXQE05ctSEs83tgx3rq,0.186,0.814,0.856,0.00044,0.0992,-2.63,0.0871,134.007,0.802,37,Tove Lo
Sunshine Kitty (Paw Prints Edition),20,33UJi1CPV1InyuPVMENozC,Sweettalk my Heart - Team Salut Remix,spotify:track:33UJi1CPV1InyuPVMENozC,0.0151,0.76,0.714,1.22E-05,0.109,-4.368,0.0448,111.003,0.578,32,Tove Lo
Sunshine Kitty (Paw Prints Edition),21,0pdQcVVe7mB8YQWSriQEqu,Sweettalk my Heart - Live At VEVO,spotify:track:0pdQcVVe7mB8YQWSriQEqu,0.902,0.554,0.295,0,0.148,-6.694,0.0439,132.959,0.191,29,Tove Lo
Sunshine Kitty (Paw Prints Edition),22,24me6LmbmzDSE8UWD4o4LH,Mistaken - Live at VEVO,spotify:track:24me6LmbmzDSE8UWD4o4LH,0.506,0.675,0.566,0,0.0781,-4.969,0.0328,90.044,0.289,29,Tove Lo
Sunshine Kitty,1,0K7Mz9UshzBRfGnW9rHKVD,Gritty Pretty - Intro,spotify:track:0K7Mz9UshzBRfGnW9rHKVD,0.957,0.617,0.256,0.000207,0.148,-14.046,0.135,110.308,0.26,36,Tove Lo
Sunshine Kitty,2,3PUIguYpwKFXmfGD6uU7Jl,Glad He's Gone,spotify:track:3PUIguYpwKFXmfGD6uU7Jl,0.0823,0.795,0.595,0,0.128,-8.073,0.0698,91.025,0.502,59,Tove Lo
Sunshine Kitty,3,1CGQTaQVVfA0CNae8IwPyC,Bad as the Boys (feat. ALMA),spotify:track:1CGQTaQVVfA0CNae8IwPyC,0.0702,0.707,0.818,1.61E-05,0.105,-4.891,0.0391,150.084,0.489,50,Tove Lo
Sunshine Kitty,4,4Cgedth1L3nBdVLU5Z42m1,Sweettalk my Heart,spotify:track:4Cgedth1L3nBdVLU5Z42m1,0.0825,0.79,0.684,0,0.106,-4.372,0.0525,110.984,0.236,54,Tove Lo
Sunshine Kitty,5,3iOK7EbYFLtQyz9jwKIw88,Stay Over,spotify:track:3iOK7EbYFLtQyz9jwKIw88,0.547,0.639,0.552,0,0.0903,-6.916,0.145,151.426,0.487,47,Tove Lo
Sunshine Kitty,6,2qoIbcyKPpe3BKifpAfh53,Are U gonna tell her? (feat. MC Zaac),spotify:track:2qoIbcyKPpe3BKifpAfh53,0.313,0.881,0.71,0.0126,0.116,-6.114,0.0804,117.997,0.817,63,Tove Lo
Sunshine Kitty,7,3SgSBvQAFo1B69THXOmgbE,Jacques (with Jax Jones),spotify:track:3SgSBvQAFo1B69THXOmgbE,0.0681,0.789,0.548,4.68E-05,0.0789,-8.731,0.0746,120.029,0.459,44,Tove Lo
Sunshine Kitty,8,6n2geOyYHOGZtpITVmrWoo,Mateo,spotify:track:6n2geOyYHOGZtpITVmrWoo,0.0268,0.649,0.603,0,0.111,-6.185,0.0664,148.976,0.15,48,Tove Lo
Sunshine Kitty,9,5VnKWH0QvC4u9ridOIFwCC,Come Undone,spotify:track:5VnKWH0QvC4u9ridOIFwCC,0.288,0.58,0.617,0,0.551,-5.828,0.0991,163.865,0.243,47,Tove Lo
Sunshine Kitty,10,0zFComc9VzjCKWm4PSbIJk,Equally Lost (feat. Doja Cat),spotify:track:0zFComc9VzjCKWm4PSbIJk,0.0178,0.654,0.766,2.37E-05,0.28,-5.48,0.127,187.901,0.521,64,Tove Lo
Sunshine Kitty,11,3O6l5P4tTtHl3jN1vtrNlo,Really don’t like u (feat. Kylie Minogue),spotify:track:3O6l5P4tTtHl3jN1vtrNlo,0.215,0.599,0.619,6.11E-05,0.0856,-6.658,0.0736,109.326,0.265,50,Tove Lo
Sunshine Kitty,12,29m7O8gJheZBBD0WYAVPQ9,Shifted,spotify:track:29m7O8gJheZBBD0WYAVPQ9,0.277,0.632,0.668,5.48E-05,0.0843,-6.878,0.424,191.703,0.49,45,Tove Lo
Sunshine Kitty,13,7FWBpcfcsWhlfpcE2xomDr,Mistaken,spotify:track:7FWBpcfcsWhlfpcE2xomDr,0.158,0.657,0.656,0,0.246,-4.285,0.028,93.007,0.272,46,Tove Lo
Sunshine Kitty,14,0ulX0SQ58c1OGrwya6AnRB,Anywhere u go,spotify:track:0ulX0SQ58c1OGrwya6AnRB,0.7,0.598,0.721,0,0.119,-5.563,0.0652,175.981,0.34,47,Tove Lo
BLUE LIPS (lady wood phase II),1,2YKI5E7oHg1VOmrMiTzfl1,LIGHT BEAMS,spotify:track:2YKI5E7oHg1VOmrMiTzfl1,0.64,0.529,0.728,0.0197,0.345,-9.578,0.0378,108.056,0.593,42,Tove Lo
BLUE LIPS (lady wood phase II),2,1TIiWomS4i0Ikaf9EKdcLn,disco tits,spotify:track:1TIiWomS4i0Ikaf9EKdcLn,0.025,0.79,0.728,0.00106,0.172,-6.523,0.0612,110.059,0.333,67,Tove Lo
BLUE LIPS (lady wood phase II),3,6flhrkPIIqB0zU8j2T2yyc,shedontknowbutsheknows,spotify:track:6flhrkPIIqB0zU8j2T2yyc,0.278,0.691,0.762,0,0.25,-6.084,0.226,112.951,0.42,57,Tove Lo
BLUE LIPS (lady wood phase II),4,1GXUd5gJuydAdM0dlQrwbX,shivering gold,spotify:track:1GXUd5gJuydAdM0dlQrwbX,0.349,0.606,0.469,0,0.118,-6.173,0.0576,96.995,0.198,48,Tove Lo
BLUE LIPS (lady wood phase II),5,1N10MdGT4HypP8QA3kmmbQ,dont ask dont tell,spotify:track:1N10MdGT4HypP8QA3kmmbQ,0.907,0.462,0.333,0,0.0588,-9.275,0.0455,97.386,0.394,44,Tove Lo
BLUE LIPS (lady wood phase II),6,1OTF5PuQF9CHvGgxXrOMwM,stranger,spotify:track:1OTF5PuQF9CHvGgxXrOMwM,0.0037,0.541,0.514,0,0.113,-5.734,0.033,109.796,0.247,53,Tove Lo
BLUE LIPS (lady wood phase II),7,2FtyrwcRqA2JQEezLjPZ8r,bitches,spotify:track:2FtyrwcRqA2JQEezLjPZ8r,0.0781,0.477,0.831,5.51E-06,0.0523,-5.219,0.144,165.825,0.818,56,Tove Lo
BLUE LIPS (lady wood phase II),8,5nLinBZPT2EkxTxvvPHgcC,PITCH BLACK,spotify:track:5nLinBZPT2EkxTxvvPHgcC,0.655,0.239,0.26,0.731,0.162,-21.772,0.0668,98.804,0.0368,38,Tove Lo
BLUE LIPS (lady wood phase II),9,45CiDBvF0HNtAHXQFfnSzD,romantics,spotify:track:45CiDBvF0HNtAHXQFfnSzD,0.00462,0.618,0.716,3.73E-06,0.194,-6.46,0.0311,98.017,0.201,51,Tove Lo
BLUE LIPS (lady wood phase II),10,5rUETOajWWAqpjamjDD4cT,cycles,spotify:track:5rUETOajWWAqpjamjDD4cT,0.367,0.584,0.643,0,0.244,-7.092,0.538,104.41,0.447,45,Tove Lo
BLUE LIPS (lady wood phase II),11,6XyWxPJ15ImnfAth52dll1,struggle,spotify:track:6XyWxPJ15ImnfAth52dll1,0.0141,0.447,0.757,0,0.122,-6.572,0.0994,183.76,0.124,47,Tove Lo
BLUE LIPS (lady wood phase II),12,3hxI5beUAhC7wZ96zXOxej,9th of october,spotify:track:3hxI5beUAhC7wZ96zXOxej,0.655,0.426,0.524,0,0.176,-6.624,0.0636,92.816,0.298,42,Tove Lo
BLUE LIPS (lady wood phase II),13,4eTUG3TF3lQuar1lLkN0cG,bad days,spotify:track:4eTUG3TF3lQuar1lLkN0cG,0.471,0.66,0.498,0,0.124,-6.539,0.0322,131.946,0.382,44,Tove Lo
BLUE LIPS (lady wood phase II),14,73kadnv7SduzhApfRUv5C0,hey you got drugs?,spotify:track:73kadnv7SduzhApfRUv5C0,0.301,0.625,0.706,0,0.0735,-4.604,0.0326,123.019,0.273,54,Tove Lo
Lady Wood,1,3OItRxmxxz2bO58PgW1iif,Fairy Dust - Chapter I,spotify:track:3OItRxmxxz2bO58PgW1iif,0.638,0.317,0.131,0.812,0.163,-21.774,0.0472,85.028,0.064,38,Tove Lo
