album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
SURVIVORS GUILT: THE MIXTAPE//,1,3ddHIacxG7n7ZbdOuC2lZd,silence is also an answer//,spotify:track:3ddHIacxG7n7ZbdOuC2lZd,0.00137,0.476,0.886,0.00072,0.137,-4.404,0.0642,150.049,0.251,53,Travis Barker
SURVIVORS GUILT: THE MIXTAPE//,2,3emo5sUq2OwBctNgX0NMEV,estella//,spotify:track:3emo5sUq2OwBctNgX0NMEV,0.000532,0.454,0.837,5.04E-05,0.375,-4.395,0.0734,164.966,0.557,62,Travis Barker
SURVIVORS GUILT: THE MIXTAPE//,3,4WvEYH9o0PYR2LcSmRSCMD,turn back time//,spotify:track:4WvEYH9o0PYR2LcSmRSCMD,0.000801,0.527,0.841,0.384,0.127,-5.75,0.0372,165.056,0.544,52,Travis Barker
SURVIVORS GUILT: THE MIXTAPE//,4,7cOY6vXmsZS85mSCAaa5rF,survivors guilt//,spotify:track:7cOY6vXmsZS85mSCAaa5rF,4.80E-05,0.577,0.86,0.197,0.0644,-5.181,0.0555,95.022,0.38,48,Travis Barker
SURVIVORS GUILT: THE MIXTAPE//,5,4jYd4edE6RjDUm27rHFERQ,hollywood sucks//,spotify:track:4jYd4edE6RjDUm27rHFERQ,0.0016,0.576,0.895,6.97E-06,0.382,-4.672,0.0585,140.019,0.552,59,Travis Barker
SURVIVORS GUILT: THE MIXTAPE//,6,5pC6gP878cBc00t2QfQ6Xl,"inside of heaven's mouth, there is a sweet tooth//",spotify:track:5pC6gP878cBc00t2QfQ6Xl,0.00235,0.379,0.871,0.000283,0.154,-4.753,0.147,164.754,0.237,48,Travis Barker
SURVIVORS GUILT: THE MIXTAPE//,7,1P9VGEZN9L7YbIlsENOtJW,smoke break//,spotify:track:1P9VGEZN9L7YbIlsENOtJW,0.000956,0.402,0.823,0,0.343,-3.994,0.134,170.192,0.314,57,Travis Barker
SURVIVORS GUILT: THE MIXTAPE//,8,6uoJn76oWv1aJVj4473zyY,9-5 (love me)//,spotify:track:6uoJn76oWv1aJVj4473zyY,0.0302,0.392,0.8,0,0.112,-5.123,0.0684,146.1,0.152,50,Travis Barker
Might Not Make It,1,6eD9Y3wojBXEszkxaD8Qqr,Friends,spotify:track:6eD9Y3wojBXEszkxaD8Qqr,0.355,0.741,0.483,2.55E-05,0.12,-7.491,0.42,149.962,0.308,29,Travis Barker
Might Not Make It,2,7AsGB0lHuuPf07kiQURb8M,Paper,spotify:track:7AsGB0lHuuPf07kiQURb8M,0.0692,0.775,0.607,0.00178,0.107,-6.011,0.0519,157.968,0.281,56,Travis Barker
Might Not Make It,3,3vrbsrrfkYGX6TR5ZeBbwU,Big Dripper,spotify:track:3vrbsrrfkYGX6TR5ZeBbwU,0.0714,0.793,0.353,0.000653,0.0958,-14.382,0.271,147.104,0.263,28,Travis Barker
Might Not Make It,4,7zc1cB5y2KzJrLa7kGfv5J,Killer,spotify:track:7zc1cB5y2KzJrLa7kGfv5J,0.152,0.876,0.817,0.0188,0.0917,-5.403,0.148,154.957,0.817,44,Travis Barker
