album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Bloom,1,4NiehSBQthimPzRsVeOgCT,My My My!,spotify:track:4NiehSBQthimPzRsVeOgCT,0.00407,0.701,0.458,0.000151,0.045,-7.749,0.0836,102.967,0.482,71,Troye Sivan
Bloom,2,0oTyoTKEKMdF3rXcOLyEfN,Bloom,spotify:track:0oTyoTKEKMdF3rXcOLyEfN,0.031,0.708,0.701,0,0.392,-5.196,0.0328,120.932,0.504,65,Troye Sivan
Bloom,3,4RoArPM0AsuW3h8hW8xtnr,Lucky Strike,spotify:track:4RoArPM0AsuW3h8hW8xtnr,0.579,0.612,0.694,0,0.0914,-7.363,0.0514,103.031,0.564,63,Troye Sivan
Bloom,4,7iyKbBjb2fmTnTfCjCh7ER,Seventeen,spotify:track:7iyKbBjb2fmTnTfCjCh7ER,0.165,0.612,0.743,4.35E-05,0.319,-7.25,0.0442,118.913,0.347,60,Troye Sivan
Bloom,5,4qAHuJq5T4Q97EQZG47H0P,The Good Side,spotify:track:4qAHuJq5T4Q97EQZG47H0P,0.406,0.426,0.284,0.00335,0.362,-15.492,0.0616,112.039,0.311,65,Troye Sivan
Bloom,6,2NjO87HyT80fsgejd3PLYW,Dance To This (feat. Ariana Grande),spotify:track:2NjO87HyT80fsgejd3PLYW,0.00632,0.736,0.756,0.00577,0.106,-7.099,0.047,117.016,0.712,72,Troye Sivan
Bloom,7,0EftP1nY8Mklt77hAMMMug,Plum,spotify:track:0EftP1nY8Mklt77hAMMMug,0.0123,0.693,0.594,6.25E-05,0.0764,-7.323,0.0469,96.973,0.565,54,Troye Sivan
Bloom,8,4CCe846xVRd9p31gc6dMza,Postcard (feat. Gordi),spotify:track:4CCe846xVRd9p31gc6dMza,0.905,0.43,0.36,0,0.0967,-8.909,0.036,97.852,0.247,55,Troye Sivan
Bloom,9,1Dfzjb9aFxgSFM0vnNTDPr,What A Heavenly Way To Die,spotify:track:1Dfzjb9aFxgSFM0vnNTDPr,0.438,0.715,0.632,0.0859,0.0923,-7.093,0.0348,122.036,0.586,64,Troye Sivan
Bloom,10,6iBPeFlk4DLJ4HfRfZ2J7H,Animal,spotify:track:6iBPeFlk4DLJ4HfRfZ2J7H,0.535,0.335,0.314,0.00517,0.295,-11.155,0.0411,122.446,0.0528,55,Troye Sivan
