album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Scaled And Icy (Livestream Version),12,23JqAII00YnYVHt6i5DTuB,Choker / Stressed Out / Migraine / Morph / Holding On To You - Livestream Version,spotify:track:23JqAII00YnYVHt6i5DTuB,0.0206,0.438,0.755,8.26E-06,0.162,-5.641,0.211,87.338,0.246,56,Twenty One Pilots
Scaled And Icy (Livestream Version),13,6ZZRGyArzvlbml9m913q4W,Mulberry Street - Livestream Version,spotify:track:6ZZRGyArzvlbml9m913q4W,0.012,0.695,0.614,1.29E-05,0.368,-7.787,0.0592,84.998,0.338,52,Twenty One Pilots
Scaled And Icy (Livestream Version),14,5bPBJbixO0yYYvm4bjtRup,Lane Boy / Redecorate / Chlorine - Livestream Version,spotify:track:5bPBJbixO0yYYvm4bjtRup,0.0358,0.473,0.766,4.74E-06,0.074,-6.303,0.254,90.018,0.56,54,Twenty One Pilots
Scaled And Icy (Livestream Version),15,5FE96VMbxbodJP59XMxHhl,Shy Away - Livestream Version,spotify:track:5FE96VMbxbodJP59XMxHhl,0.00138,0.584,0.88,6.16E-05,0.0829,-4.762,0.0564,96.972,0.421,51,Twenty One Pilots
Scaled And Icy (Livestream Version),16,2wOuPlBMtQbvLEmgDlnaoo,The Outside - Livestream Version,spotify:track:2wOuPlBMtQbvLEmgDlnaoo,0.058,0.684,0.619,0.00421,0.335,-7.567,0.0395,101.01,0.374,54,Twenty One Pilots
Scaled And Icy (Livestream Version),17,2N68XdwQ97tF145Ska3g44,Heathens / Trees - Livestream Version,spotify:track:2N68XdwQ97tF145Ska3g44,0.715,0.473,0.346,6.37E-05,0.0746,-8.429,0.0379,99.872,0.154,53,Twenty One Pilots
Scaled And Icy (Livestream Version),18,6aYjxfCm15W0ez6rCa0XZL,Jumpsuit / Heavydirtysoul - Livestream Version,spotify:track:6aYjxfCm15W0ez6rCa0XZL,0.000383,0.634,0.823,0.0808,0.113,-4.701,0.0617,130.008,0.299,53,Twenty One Pilots
Scaled And Icy (Livestream Version),19,4XGmH1PRv5I56MllQinZtD,Saturday / Level of Concern / Ride / Car Radio - Livestream Version,spotify:track:4XGmH1PRv5I56MllQinZtD,0.0342,0.529,0.692,8.35E-05,0.277,-6.307,0.116,118.933,0.261,52,Twenty One Pilots
Scaled And Icy (Livestream Version),20,4Ueyqrz4v0UzqDupbxByqx,Never Take It - Livestream Version,spotify:track:4Ueyqrz4v0UzqDupbxByqx,0.00503,0.779,0.812,0.0065,0.254,-5.055,0.0344,118.008,0.689,49,Twenty One Pilots
Scaled And Icy (Livestream Version),21,1OpJNP2QNZ78TnewxSVybt,Level of Concern,spotify:track:1OpJNP2QNZ78TnewxSVybt,0.323,0.754,0.581,0.000168,0.145,-7.338,0.0433,122.012,0.745,60,Twenty One Pilots
Scaled And Icy,1,3uwYgNxFDfx1GoLB6tLoUn,Good Day,spotify:track:3uwYgNxFDfx1GoLB6tLoUn,0.11,0.684,0.677,0.00975,0.34,-7.355,0.0401,142.048,0.37,67,Twenty One Pilots
Scaled And Icy,2,732E6ibFkQR5lNIPEeiEnx,Choker,spotify:track:732E6ibFkQR5lNIPEeiEnx,0.306,0.7,0.664,1.89E-05,0.249,-8.211,0.0394,142.009,0.585,71,Twenty One Pilots
Scaled And Icy,3,2nG54Y4a3sH9YpfxMolOyi,Shy Away,spotify:track:2nG54Y4a3sH9YpfxMolOyi,0.000818,0.588,0.856,0.0739,0.238,-5.242,0.0316,96.966,0.635,77,Twenty One Pilots
Scaled And Icy,4,0yzj6eBs5a6X6d3P5qaQ5J,The Outside,spotify:track:0yzj6eBs5a6X6d3P5qaQ5J,0.0505,0.785,0.623,0.125,0.0539,-6.923,0.0403,100.991,0.711,73,Twenty One Pilots
Scaled And Icy,5,60dwJ8dnqZ4WrIdiu7LkNR,Saturday,spotify:track:60dwJ8dnqZ4WrIdiu7LkNR,0.00396,0.687,0.89,0.000939,0.0436,-5.99,0.0344,113.06,0.854,75,Twenty One Pilots
Scaled And Icy,6,1edgaGx2x2AQeWtL2OPEMW,Never Take It,spotify:track:1edgaGx2x2AQeWtL2OPEMW,0.00997,0.747,0.733,0.0043,0.0703,-5.724,0.0278,117.973,0.775,65,Twenty One Pilots
Scaled And Icy,7,19kX6hSlYH31js2SL4jgrj,Mulberry Street,spotify:track:19kX6hSlYH31js2SL4jgrj,0.0138,0.674,0.535,0,0.326,-7.114,0.0518,170.188,0.716,69,Twenty One Pilots
Scaled And Icy,8,2jfyY5GIc7wsYVIrCnjblC,Formidable,spotify:track:2jfyY5GIc7wsYVIrCnjblC,0.00983,0.653,0.559,0.000473,0.062,-6.758,0.0276,137.006,0.731,66,Twenty One Pilots
Scaled And Icy,9,2GkmE8BrD00ngyjs2PT9Fp,Bounce Man,spotify:track:2GkmE8BrD00ngyjs2PT9Fp,0.269,0.704,0.696,0.00029,0.326,-6.48,0.0568,141.955,0.577,66,Twenty One Pilots
