album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Legendary (Deluxe Edition),15,60zhY7C4ZU56oPqm59rQcR,Penthouse in Miami,spotify:track:60zhY7C4ZU56oPqm59rQcR,0.432,0.815,0.411,0,0.0862,-7.492,0.376,101.048,0.623,37,Tyga
Legendary (Deluxe Edition),16,6DjL5Pvvn0mTCph5mfRLD9,Love To Fuck,spotify:track:6DjL5Pvvn0mTCph5mfRLD9,0.0489,0.892,0.497,7.33E-06,0.116,-10.23,0.367,84.013,0.597,34,Tyga
Legendary (Deluxe Edition),17,73xXDeBMlC5cdvWoOLWVLo,Dip (feat. Nicki Minaj) (feat. Nicki Minaj),spotify:track:73xXDeBMlC5cdvWoOLWVLo,0.0311,0.885,0.543,0,0.154,-6.338,0.2,99.026,0.43,68,Tyga
Legendary (Deluxe Edition),18,2TDsqJXkavEg70qzHFAWYb,Too Much,spotify:track:2TDsqJXkavEg70qzHFAWYb,0.56,0.773,0.385,0.0039,0.112,-10.089,0.0498,104,0.322,36,Tyga
Legendary (Deluxe Edition),19,0zMLFuBbOuKw8jnnniHqJ7,Slidin (feat. Ty Dolla $ign & Takeoff),spotify:track:0zMLFuBbOuKw8jnnniHqJ7,0.169,0.8,0.308,0,0.0898,-12.356,0.436,169.826,0.752,37,Tyga
Legendary (Deluxe Edition),20,3dEYzZTFrmOFtUm1jv2Lwz,Bop,spotify:track:3dEYzZTFrmOFtUm1jv2Lwz,0.0506,0.936,0.59,0,0.0696,-6.499,0.231,103.113,0.504,49,Tyga
Legendary (Deluxe Edition),21,0aJ2hFC6e9Z00Lx9RIRNcT,SWISH,spotify:track:0aJ2hFC6e9Z00Lx9RIRNcT,0.0831,0.884,0.541,0,0.118,-5.608,0.221,105.009,0.274,68,Tyga
Legendary (Deluxe Edition),22,3hyKSdJDcYJQgRp3kMrfcs,Floss In The Bank,spotify:track:3hyKSdJDcYJQgRp3kMrfcs,0.105,0.863,0.77,0,0.0499,-3.832,0.104,103.932,0.798,52,Tyga
Legendary (Deluxe Edition),23,188QBQWQFRJtLX7VfU38Ci,Girls Have Fun (feat. G-Eazy & Rich The Kid),spotify:track:188QBQWQFRJtLX7VfU38Ci,0.00586,0.888,0.74,0,0.218,-5.363,0.238,100.003,0.664,64,Tyga
Legendary,1,0CR60XwKbzgohE3I6NMjlR,Too Many,spotify:track:0CR60XwKbzgohE3I6NMjlR,0.0488,0.794,0.661,0,0.214,-4.188,0.263,99.977,0.359,59,Tyga
