album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
"""A""",1,2BwmbZnTS8RCH8upxgwmsy,Stay At Home (feat. Future),spotify:track:2BwmbZnTS8RCH8upxgwmsy,0.014,0.817,0.489,1.83E-05,0.106,-8.652,0.0968,140.998,0.357,44,Usher
"""A""",2,5qfnQ0gOh7bL41HmMT2hJD,ATA,spotify:track:5qfnQ0gOh7bL41HmMT2hJD,0.015,0.717,0.496,0,0.139,-6.263,0.045,140.003,0.302,43,Usher
"""A""",3,3DlGY66fukwF71OYNLylxc,Peace Sign,spotify:track:3DlGY66fukwF71OYNLylxc,0.14,0.796,0.535,0,0.192,-7.783,0.0453,119.937,0.347,55,Usher
"""A""",4,43O1LuFW6QIJ20RSV8gC4g,You Decide,spotify:track:43O1LuFW6QIJ20RSV8gC4g,0.205,0.746,0.534,0,0.119,-6.326,0.0403,139.938,0.381,48,Usher
"""A""",5,3eKNhLFP3smSZTsyXFZchJ,Birthday,spotify:track:3eKNhLFP3smSZTsyXFZchJ,0.0187,0.827,0.701,0,0.138,-6.403,0.0994,144.985,0.825,39,Usher
"""A""",6,1zNhB8ijPdsRsW4IJAj9ml,She Ain't Tell Ya,spotify:track:1zNhB8ijPdsRsW4IJAj9ml,0.1,0.567,0.519,0,0.107,-7.32,0.365,154.197,0.237,39,Usher
"""A""",7,0J6rYo0Fw0OkrMx1KHOvtx,Say What U Want,spotify:track:0J6rYo0Fw0OkrMx1KHOvtx,0.152,0.491,0.4,0,0.618,-10.396,0.157,58.358,0.212,40,Usher
"""A""",8,3rvEfZJr85MYk2hgiOtfoF,Gift Shop (feat. Gunna),spotify:track:3rvEfZJr85MYk2hgiOtfoF,0.0606,0.848,0.662,0,0.078,-6.596,0.0935,127.015,0.35,37,Usher
Hard II Love,1,2xXWUv1kpqGwckDDyKJEZC,Need U,spotify:track:2xXWUv1kpqGwckDDyKJEZC,0.643,0.337,0.481,0,0.435,-9.36,0.0544,96.72,0.118,32,Usher
Hard II Love,2,36YfkagRBn8XI6pKOjbTuV,Missin U,spotify:track:36YfkagRBn8XI6pKOjbTuV,0.113,0.735,0.589,0,0.166,-6.586,0.0593,116.974,0.249,39,Usher
Hard II Love,3,1CDBn2Lm7E63XKQDsdCq6O,No Limit (feat. Young Thug),spotify:track:1CDBn2Lm7E63XKQDsdCq6O,0.0799,0.717,0.523,0,0.206,-6.506,0.0611,127.047,0.282,64,Usher
Hard II Love,4,5j2qgdGCcIyrZ906oZlXcA,Bump,spotify:track:5j2qgdGCcIyrZ906oZlXcA,0.384,0.72,0.582,0,0.128,-6.638,0.0623,124.97,0.719,35,Usher
Hard II Love,5,2zGbEkMYPxlQJQ9VKD5crD,Let Me,spotify:track:2zGbEkMYPxlQJQ9VKD5crD,0.147,0.713,0.767,0,0.141,-7.251,0.112,115.008,0.301,36,Usher
Hard II Love,6,454Qxe6MP4AZU4V971sohu,Downtime,spotify:track:454Qxe6MP4AZU4V971sohu,0.803,0.562,0.533,0.000224,0.12,-7.28,0.161,110.385,0.375,36,Usher
Hard II Love,7,107ZmaJvvUr4Vi0C8D53R7,Crash,spotify:track:107ZmaJvvUr4Vi0C8D53R7,0.0765,0.698,0.591,0.00033,0.0919,-7.762,0.0898,103.967,0.244,55,Usher
Hard II Love,8,3d9qL4raQJ9NlV7aCUXhLb,Make U A Believer,spotify:track:3d9qL4raQJ9NlV7aCUXhLb,0.274,0.65,0.582,0,0.0885,-7.219,0.159,132.071,0.297,33,Usher
Hard II Love,9,6zUSi4CwwJx3DCmJ7NtQtU,Mind Of A Man,spotify:track:6zUSi4CwwJx3DCmJ7NtQtU,0.541,0.625,0.53,0,0.277,-13.345,0.14,124.445,0.142,30,Usher
Hard II Love,10,20uTG4R792vLsSlcKCbA3r,FWM,spotify:track:20uTG4R792vLsSlcKCbA3r,0.0145,0.823,0.396,8.83E-05,0.0953,-10.219,0.0877,129.997,0.657,33,Usher
Hard II Love,11,73PUc2G469kE7CVuEiPmNP,Rivals (feat. Future),spotify:track:73PUc2G469kE7CVuEiPmNP,0.221,0.519,0.447,0,0.142,-7.333,0.134,120.086,0.36,54,Usher
Hard II Love,12,0CiRnuzUmOlm2rPxRTD2nY,Tell Me,spotify:track:0CiRnuzUmOlm2rPxRTD2nY,0.417,0.449,0.468,0.00115,0.06,-6.81,0.033,139.913,0.325,46,Usher
Hard II Love,13,7i9K4q131A0fvXw2FFhxLr,Hard II Love,spotify:track:7i9K4q131A0fvXw2FFhxLr,0.844,0.621,0.391,0,0.288,-7.731,0.0369,136.852,0.457,33,Usher
Hard II Love,14,1nuxaVFCgDnqYHGVr4AglT,Stronger,spotify:track:1nuxaVFCgDnqYHGVr4AglT,0.421,0.448,0.612,0,0.189,-7.059,0.141,119.352,0.248,32,Usher
Hard II Love,15,6oexQfFU2Pv99A7KQFSguS,"Champions (from the Motion Picture ""Hands Of Stone"")",spotify:track:6oexQfFU2Pv99A7KQFSguS,0.0114,0.747,0.663,4.73E-06,0.128,-7.07,0.136,101.969,0.722,30,Usher
Looking 4 Myself (Expanded Edition),1,3SuYBr6fF1dxNdnPEG6Nrq,Can't Stop Won't Stop,spotify:track:3SuYBr6fF1dxNdnPEG6Nrq,0.00717,0.603,0.752,6.80E-05,0.544,-6.753,0.094,129.86,0.601,35,Usher
Looking 4 Myself (Expanded Edition),2,12eMQUn2GzfsfsQLH53M19,Scream,spotify:track:12eMQUn2GzfsfsQLH53M19,0.00117,0.616,0.862,0,0.179,-5.18,0.0973,127.992,0.569,72,Usher
Looking 4 Myself (Expanded Edition),3,5pyVqlqThcxI7tPDjHIzPh,Climax,spotify:track:5pyVqlqThcxI7tPDjHIzPh,0.547,0.647,0.478,2.69E-05,0.156,-8.837,0.0782,135.877,0.333,65,Usher
Looking 4 Myself (Expanded Edition),4,49HpSwfC9vUtqXXiVyJytQ,I Care For U,spotify:track:49HpSwfC9vUtqXXiVyJytQ,0.0796,0.596,0.622,2.92E-06,0.269,-5.849,0.0655,123.931,0.406,35,Usher
Looking 4 Myself (Expanded Edition),5,6nOXmmEaUNS2M3FGyqOGbI,Show Me,spotify:track:6nOXmmEaUNS2M3FGyqOGbI,0.0226,0.723,0.664,1.63E-05,0.174,-4.893,0.0617,115.052,0.492,34,Usher
Looking 4 Myself (Expanded Edition),6,4MevEW6tsWrpmzPKaqK0Uw,Lemme See (feat. Rick Ross),spotify:track:4MevEW6tsWrpmzPKaqK0Uw,0.0262,0.656,0.725,0,0.0712,-4.067,0.0596,153.873,0.403,58,Usher
Looking 4 Myself (Expanded Edition),7,65czTBQkqPJwK1JAyND9Rb,Twisted (feat. Pharrell),spotify:track:65czTBQkqPJwK1JAyND9Rb,0.00661,0.921,0.718,0.0011,0.0882,-6.698,0.121,120,0.701,35,Usher
