album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Stay +,1,0I20rLT2MJDhcF96AjbNYo,Stay,spotify:track:0I20rLT2MJDhcF96AjbNYo,0.253,0.69,0.622,0,0.113,-5.025,0.063,102.039,0.543,57,Zedd
Stay +,2,1XlrBhlkPAVRficvsd5qQ4,Get Low,spotify:track:1XlrBhlkPAVRficvsd5qQ4,0.0277,0.728,0.926,4.85E-06,0.0493,-3.546,0.0541,107.981,0.514,38,Zedd
Stay +,3,0pE0WxffKLK2vcJMut5inx,Break Free,spotify:track:0pE0WxffKLK2vcJMut5inx,0.00594,0.687,0.698,5.26E-05,0.195,-5.308,0.0467,129.959,0.265,25,Zedd
Stay +,5,7MzmJaFcVaLVXB4SlUf51O,Candyman,spotify:track:7MzmJaFcVaLVXB4SlUf51O,0.0255,0.586,0.863,0,0.394,-4.137,0.0493,149.964,0.261,26,Zedd
Stay +,6,5gHF8LYlSiBQNIsJiFfYkn,Adrenaline,spotify:track:5gHF8LYlSiBQNIsJiFfYkn,0.0738,0.66,0.987,0.598,0.0489,-2.869,0.0463,127.998,0.424,25,Zedd
Stay +,7,3bfBZ3m5O7oSdJF4wwqE7o,Ignite - 2016 League Of Legends World Championship,spotify:track:3bfBZ3m5O7oSdJF4wwqE7o,0.0732,0.723,0.731,2.08E-05,0.084,-4.436,0.0337,127.968,0.403,28,Zedd
Stay +,8,1hVF3yhGZ75n8vXhGNNmmS,Starving,spotify:track:1hVF3yhGZ75n8vXhGNNmmS,0.378,0.729,0.615,0,0.125,-4.238,0.0647,99.989,0.508,25,Zedd
Stay +,9,7p3W4sRh1oqD0RiTOXKGMt,Stay - Yasutaka Nakata Remix,spotify:track:7p3W4sRh1oqD0RiTOXKGMt,0.0199,0.673,0.795,4.32E-05,0.64,-3.064,0.0467,127.99,0.61,25,Zedd
Stay +,10,1wuWDAz17fIDYtGbD9BqPU,Get Low - KUURO Remix,spotify:track:1wuWDAz17fIDYtGbD9BqPU,0.00219,0.741,0.949,0.00184,0.165,-2.884,0.0462,127.964,0.585,17,Zedd
Stay +,11,5oOxuG7lGTZpfKdc0M1BoK,Let Me Love You - Zedd Remix,spotify:track:5oOxuG7lGTZpfKdc0M1BoK,0.00755,0.715,0.863,0.00515,0.0906,-4.258,0.0534,117.053,0.246,18,Zedd
Stay +,12,38C2ZuVaD8jnvYkPzhiJF9,Zedd Mega Nonstop Mix,spotify:track:38C2ZuVaD8jnvYkPzhiJF9,0.0482,0.528,0.753,1.55E-05,0.301,-4.341,0.0528,128.355,0.218,27,Zedd
True Colors (Perfect Edition),12,5YVZON5q42s3EhB98pXTpL,Stay The Night,spotify:track:5YVZON5q42s3EhB98pXTpL,0.109,0.596,0.738,0,0.0948,-3.109,0.0411,127.961,0.461,31,Zedd
True Colors (Perfect Edition),14,3wTxBsattPtRbap8uLHtng,Clarity - Tiesto Remix,spotify:track:3wTxBsattPtRbap8uLHtng,0.00224,0.625,0.938,0.0028,0.27,-4.174,0.0432,128,0.338,15,Zedd
True Colors (Perfect Edition),15,4AyiFdxousGJC3UTimmQUo,I Want You To Know - Lophiile Remix,spotify:track:4AyiFdxousGJC3UTimmQUo,0.157,0.595,0.895,0.00944,0.294,-5.431,0.0475,149.952,0.707,15,Zedd
True Colors (Perfect Edition),16,1MREkDsZLIRePABuMLLuPR,True Colors - Grey Remix,spotify:track:1MREkDsZLIRePABuMLLuPR,0.011,0.622,0.869,0.0714,0.11,-4.702,0.0414,140.003,0.11,10,Zedd
True Colors (Perfect Edition),17,1s4phXTiQ3ClnDOvZNtA2Z,Addicted To A Memory - Edit Version,spotify:track:1s4phXTiQ3ClnDOvZNtA2Z,0.00259,0.583,0.816,0.028,0.0559,-4.91,0.0372,127.987,0.0977,12,Zedd
True Colors (Perfect Edition),18,6Mrmo0BfstORgxOgkLIZHm,Rude - Zedd Remix,spotify:track:6Mrmo0BfstORgxOgkLIZHm,0.028,0.6,0.833,1.50E-06,0.0728,-3.418,0.041,130.012,0.363,0,Zedd
True Colors,12,7vAHlOAhsDbTz252wjPQSf,I Want You To Know - Marc Benjamin Remix,spotify:track:7vAHlOAhsDbTz252wjPQSf,0.0717,0.694,0.949,0.113,0.111,-2.402,0.0598,127.999,0.35,10,Zedd
True Colors,13,2jZA2BIYAeR5x7BY4BOAyl,I Want You To Know - Fox Stevenson Remix,spotify:track:2jZA2BIYAeR5x7BY4BOAyl,0.027,0.835,0.686,0.0462,0.106,-1.596,0.0524,130.006,0.589,10,Zedd
True Colors,1,0xTGfdrWzJLKRD4U6hxSsg,Addicted To A Memory,spotify:track:0xTGfdrWzJLKRD4U6hxSsg,0.000983,0.66,0.762,0.0242,0.145,-4.939,0.0442,128.008,0.0659,53,Zedd
True Colors,2,1JDIArrcepzWDTAWXdGYmP,I Want You To Know,spotify:track:1JDIArrcepzWDTAWXdGYmP,0.00537,0.58,0.846,6.62E-06,0.145,-2.876,0.0573,129.998,0.366,71,Zedd
True Colors,3,2ISSQPb9LHHiV6ng2NXosL,Beautiful Now,spotify:track:2ISSQPb9LHHiV6ng2NXosL,0.0079,0.628,0.833,1.48E-05,0.074,-4.126,0.0282,128.003,0.56,74,Zedd
True Colors,4,1Bh8jtOXIBIRUUghbrwUTX,Transmission,spotify:track:1Bh8jtOXIBIRUUghbrwUTX,0.105,0.54,0.874,0,0.135,-3.467,0.0551,99.995,0.411,48,Zedd
True Colors,5,0qlAureWHln3vDCsqnkyRE,Done With Love,spotify:track:0qlAureWHln3vDCsqnkyRE,0.06,0.579,0.759,0.000138,0.117,-5.584,0.0386,127.875,0.127,51,Zedd
True Colors,6,2KTsF6TFius01SCYmnIkJG,True Colors,spotify:track:2KTsF6TFius01SCYmnIkJG,0.377,0.622,0.737,2.03E-05,0.0949,-4.946,0.0342,125.952,0.435,44,Zedd
