album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Rott N' Roll Pt. 2: Remixed,1,6djRAvBR9eCbKaWzPR5fBc,The Beast - PhaseOne Remix,spotify:track:6djRAvBR9eCbKaWzPR5fBc,0.000519,0.596,0.968,0.427,0.171,-1.748,0.27,150.147,0.0934,35,Zomboy
Rott N' Roll Pt. 2: Remixed,2,0Zl9A9FGGfFL8n92DUAIzm,The Beast - Oddprophet & Ecraze Remix,spotify:track:0Zl9A9FGGfFL8n92DUAIzm,0.00128,0.511,0.897,0.596,0.15,-2.582,0.0725,75.27,0.0405,22,Zomboy
Rott N' Roll Pt. 2: Remixed,3,4gTVH3mTdA0J3BoxXthpZm,Born To Survive - Wooli & Ray Volpe Remix,spotify:track:4gTVH3mTdA0J3BoxXthpZm,0.000272,0.512,0.803,0.0217,0.874,-5.027,0.0505,150.04,0.174,43,Zomboy
Rott N' Roll Pt. 2: Remixed,4,7Bnu5WjT67LD8ffEk997Pr,Born To Survive - Moore Kismet Remix,spotify:track:7Bnu5WjT67LD8ffEk997Pr,0.0195,0.425,0.939,0.0087,0.348,-1.615,0.509,150.292,0.334,21,Zomboy
Rott N' Roll Pt. 2: Remixed,5,1LERG54aqR06DLil7aW5Vw,Lone Wolf - Oliverse Remix,spotify:track:1LERG54aqR06DLil7aW5Vw,0.0169,0.575,0.963,0.313,0.127,-1.499,0.0615,74.981,0.634,30,Zomboy
Rott N' Roll Pt. 2: Remixed,6,4mHnJ0STzxn6BBFGuzr6Ze,Lone Wolf - Tony Romera Remix,spotify:track:4mHnJ0STzxn6BBFGuzr6Ze,0.00021,0.737,0.931,0.159,0.134,-3.384,0.175,130.025,0.248,22,Zomboy
Rott N' Roll Pt. 2: Remixed,7,6wx0sJtG8DeT8LZltJtabe,Revival - Kompany & Effin Remix,spotify:track:6wx0sJtG8DeT8LZltJtabe,0.0335,0.474,0.683,0.665,0.18,-5.497,0.0888,150.114,0.0589,25,Zomboy
Rott N' Roll Pt. 2: Remixed,8,6oYNEJnwZV7bUmVx4kG7T4,Revival - Gladez Remix,spotify:track:6oYNEJnwZV7bUmVx4kG7T4,0.0184,0.316,0.998,0.0243,0.0778,-0.802,0.429,150.517,0.0974,19,Zomboy
Rott N' Roll Pt. 2: Remixed,9,1xWhRWwbAB1h9n7ZN5mPLQ,End Game - TYNAN Remix,spotify:track:1xWhRWwbAB1h9n7ZN5mPLQ,0.0034,0.362,0.9,0.182,0.606,-2.783,0.0979,150.126,0.182,21,Zomboy
Rott N' Roll Pt. 2: Remixed,10,4aiZSZo1j9SBL4blmysuiF,End Game - TC Remix,spotify:track:4aiZSZo1j9SBL4blmysuiF,0.000142,0.431,0.945,0.511,0.267,-3.61,0.0523,174.037,0.0636,23,Zomboy
Rott N' Roll Pt. 1: Remixed,1,7oELfBiNZxkV9Kh7O8Gf5t,Biterz - SVDDEN DEATH Remix,spotify:track:7oELfBiNZxkV9Kh7O8Gf5t,0.219,0.732,0.827,0.01,0.106,-0.679,0.382,144.946,0.227,28,Zomboy
Rott N' Roll Pt. 1: Remixed,2,79y45bcLQWEMk5e46z0N1i,Biterz - Gent & Jawns Remix,spotify:track:79y45bcLQWEMk5e46z0N1i,0.00166,0.617,0.974,0.895,0.41,-2.965,0.047,150.027,0.455,19,Zomboy
Rott N' Roll Pt. 1: Remixed,3,2tcALlZvEU3KvXUBASV2Pk,Young & Dangerous - Party Thieves & Tre Sera Remix,spotify:track:2tcALlZvEU3KvXUBASV2Pk,0.0266,0.582,0.828,0.0521,0.082,-1.69,0.205,77.53,0.127,39,Zomboy
Rott N' Roll Pt. 1: Remixed,4,4iL7kCCiy2FjGFqxUGmA2K,Young & Dangerous - Gentlemens Club Remix,spotify:track:4iL7kCCiy2FjGFqxUGmA2K,0.00661,0.573,0.784,0.13,0.264,-4.047,0.0421,145.042,0.163,17,Zomboy
Rott N' Roll Pt. 1: Remixed,5,1J5fOQ3h6amE0v7zzC5rQS,Rotten - Doctor P Remix,spotify:track:1J5fOQ3h6amE0v7zzC5rQS,0.0154,0.686,0.995,0.000725,0.335,-0.746,0.103,149.968,0.713,22,Zomboy
Rott N' Roll Pt. 1: Remixed,6,2cWZzcsPUYn3hFzuYVTDvn,Rotten - Trolley Snatcha Remix,spotify:track:2cWZzcsPUYn3hFzuYVTDvn,0.0312,0.604,0.814,5.37E-05,0.102,-4.102,0.088,72.528,0.215,21,Zomboy
Rott N' Roll Pt. 1: Remixed,7,2h740jWkRtSO5MLTZ17k7i,Saints & Sinners - Eliminate Remix,spotify:track:2h740jWkRtSO5MLTZ17k7i,0.0485,0.611,0.73,0.09,0.093,-2.829,0.0587,134.949,0.329,22,Zomboy
