,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Certified Lover Boy,1,2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,spotify:track:2HSmyk2qMN8WQjuGhaQgCk,0.758,0.423,0.667,0.0,0.246,-7.012,0.326,86.743,0.496,81
1,Certified Lover Boy,2,6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,spotify:track:6jy9yJfgCsMHdu2Oz4BGKX,0.112,0.701,0.741,0.0,0.699,-6.157,0.313,140.177,0.588,76
2,Certified Lover Boy,3,37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),spotify:track:37Nqx7iavZpotJSDXZWbJ3,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,0.381,86
3,Certified Lover Boy,4,61S79KIVA4I9FXbnsylEHT,In The Bible (with Lil Durk & Giveon),spotify:track:61S79KIVA4I9FXbnsylEHT,0.614,0.686,0.385,0.0,0.131,-8.35,0.297,143.07,0.147,79
4,Certified Lover Boy,5,4VCbgIdr8ptegWeJpqLVHH,Love All (with JAY-Z),spotify:track:4VCbgIdr8ptegWeJpqLVHH,0.354,0.73,0.576,3.59e-05,0.15,-5.442,0.287,92.131,0.155,77
5,Certified Lover Boy,6,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),spotify:track:40iJIUlhi6renaREYGeIDS,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,0.292,89
6,Certified Lover Boy,7,0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),spotify:track:0k1WUmIRnG3xU6fvvDVfRG,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,0.331,88
7,Certified Lover Boy,8,4s7QLoImIwmPi9L6dq1nVW,TSU,spotify:track:4s7QLoImIwmPi9L6dq1nVW,0.228,0.568,0.56,3.05e-06,0.39,-9.059,0.42,130.019,0.246,78
8,Certified Lover Boy,9,34D6FJysnQioVingDKufuf,N 2 Deep,spotify:track:34D6FJysnQioVingDKufuf,0.0518,0.507,0.429,0.0,0.109,-7.726,0.326,91.0,0.0744,76
9,Certified Lover Boy,10,11pEKMLmavDu8fxOB5QjbQ,Pipe Down,spotify:track:11pEKMLmavDu8fxOB5QjbQ,0.128,0.518,0.69,0.0,0.176,-6.15,0.107,77.837,0.59,75
