,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
14,Future Nostalgia (The Moonlight Edition),15,5NgTqcabeLVulxXysVQram,If It Ain't Me,spotify:track:5NgTqcabeLVulxXysVQram,0.0185,0.808,0.591,7.9e-05,0.0543,-7.325,0.151,114.979,0.558,46
18,Future Nostalgia (The Moonlight Edition),19,4o6EekOI6bppj9clj3rHOq,UN DIA (ONE DAY) (Feat. Tainy),spotify:track:4o6EekOI6bppj9clj3rHOq,0.00677,0.586,0.666,0.0,0.203,-9.321,0.0555,168.174,0.468,31
19,Future Nostalgia (The Moonlight Edition),1,3iYNJX4FTRGlfMQySjlGNr,Future Nostalgia,spotify:track:3iYNJX4FTRGlfMQySjlGNr,0.00618,0.875,0.813,0.0,0.321,-4.502,0.0579,114.993,0.859,69
21,Future Nostalgia (The Moonlight Edition),3,4Ulqu89XempybuL8ApUeqL,Cool,spotify:track:4Ulqu89XempybuL8ApUeqL,0.133,0.469,0.785,1.55e-06,0.0931,-4.015,0.0664,89.719,0.79,69
24,Future Nostalgia (The Moonlight Edition),6,6boViHmG6c8ubzxTvcMoJY,Pretty Please,spotify:track:6boViHmG6c8ubzxTvcMoJY,0.0311,0.906,0.474,5.5e-06,0.286,-6.124,0.194,106.976,0.656,72
28,Future Nostalgia (The Moonlight Edition),10,3pyodt4pb554dMz8fCv7oi,Good In Bed,spotify:track:3pyodt4pb554dMz8fCv7oi,0.138,0.68,0.701,0.000191,0.168,-5.001,0.0917,94.06,0.649,68
29,Future Nostalgia (The Moonlight Edition),11,4szI7zRh7kLApCSqiB6R7b,Boys Will Be Boys,spotify:track:4szI7zRh7kLApCSqiB6R7b,0.408,0.768,0.486,0.0,0.098,-5.954,0.0353,125.021,0.519,67
31,Future Nostalgia (The Moonlight Edition),13,1diS6nkxMQc3wwC4G1j0bh,We're Good,spotify:track:1diS6nkxMQc3wwC4G1j0bh,0.0319,0.722,0.588,0.0,0.183,-5.932,0.0544,134.01,0.59,83
32,Future Nostalgia (The Moonlight Edition),14,1V4uMdCH6aDZire0vVqnXW,Prisoner (feat. Dua Lipa),spotify:track:1V4uMdCH6aDZire0vVqnXW,0.0109,0.769,0.659,0.0,0.0709,-3.899,0.0442,127.992,0.586,72
33,Future Nostalgia (The Moonlight Edition),15,1IdDtg7GhWfHYEWDymq3d2,If It Ain’t Me,spotify:track:1IdDtg7GhWfHYEWDymq3d2,0.0185,0.809,0.623,8.77e-05,0.0538,-6.254,0.145,114.986,0.57,71
34,Future Nostalgia (The Moonlight Edition),16,4FuZofNMHdtsEdrsqwF3xR,That Kind Of Woman,spotify:track:4FuZofNMHdtsEdrsqwF3xR,0.0045,0.64,0.665,0.0,0.22,-4.966,0.0325,113.213,0.42,69
35,Future Nostalgia (The Moonlight Edition),17,69GVTnxGmUlF2ymLPL2CEp,Not My Problem (feat. JID),spotify:track:69GVTnxGmUlF2ymLPL2CEp,0.442,0.695,0.732,0.0,0.428,-3.308,0.317,107.926,0.802,65
37,Future Nostalgia (The Moonlight Edition),19,2GPCE96x9Go6acdDt8ex6p,Un Día (One Day),spotify:track:2GPCE96x9Go6acdDt8ex6p,0.00547,0.572,0.634,0.0,0.129,-10.599,0.0617,168.136,0.432,69
57,Club Future Nostalgia (DJ Mix),1,6I4jM8zkQVhWBlRWM72TZv,Future Nostalgia (Joe Goddard Remix) [Mixed],spotify:track:6I4jM8zkQVhWBlRWM72TZv,0.0301,0.774,0.683,0.0429,0.181,-9.717,0.0824,122.978,0.607,49
