,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
19,These Things Happen Too (Deluxe),20,3iOZJd5652Lx5blnh7Oijd,The Announcement (Sex Drugs & Rock and Roll),spotify:track:3iOZJd5652Lx5blnh7Oijd,0.0297,0.642,0.782,0.0,0.234,-3.386,0.262,79.502,0.351,46
20,These Things Happen Too (Deluxe),21,3lvY6mgvM9AmDWSsXhsDuQ,I Might (feat. Tay Keith),spotify:track:3lvY6mgvM9AmDWSsXhsDuQ,0.00134,0.776,0.794,9.41e-05,0.359,-5.276,0.164,82.484,0.179,44
21,These Things Happen Too (Deluxe),22,193hIaWPYRtzWIcTAMtkKI,At Will (feat. EST Gee),spotify:track:193hIaWPYRtzWIcTAMtkKI,0.0247,0.822,0.536,0.0,0.158,-5.497,0.135,124.941,0.202,55
22,These Things Happen Too (Deluxe),23,2j4eDUG5qfvOxxEbiSXVt3,Still Be Friends (feat. Tory Lanez & Tyga),spotify:track:2j4eDUG5qfvOxxEbiSXVt3,0.00531,0.801,0.759,0.0,0.091,-4.694,0.0494,104.002,0.293,68
23,These Things Happen Too (Deluxe),24,5pNuQiQVP0DX7BlYZItdzW,Provide (feat. Chris Brown & Mark Morrison),spotify:track:5pNuQiQVP0DX7BlYZItdzW,0.0164,0.634,0.799,0.0,0.306,-4.115,0.247,95.046,0.667,54
24,These Things Happen Too (Deluxe),25,27pCYDpUbhSYECpYAid6AS,Moana,spotify:track:27pCYDpUbhSYECpYAid6AS,0.044,0.755,0.502,1.74e-06,0.126,-6.879,0.263,205.908,0.349,59
25,These Things Happen Too (Deluxe),26,40m90E8cUI3fsUczVj0PUs,Hate The Way (feat. blackbear),spotify:track:40m90E8cUI3fsUczVj0PUs,0.0668,0.544,0.866,0.0,0.351,-3.836,0.284,81.571,0.362,58
26,These Things Happen Too (Deluxe),27,0MTgHuhJk5ebYJhc9P1KkL,Scars (feat. Ant Clemons),spotify:track:0MTgHuhJk5ebYJhc9P1KkL,0.00716,0.54,0.584,0.0,0.109,-7.587,0.325,77.532,0.141,40
27,These Things Happen Too (Deluxe),28,1A19tvddiRbR8hil55B06l,Get Right Or Get Left,spotify:track:1A19tvddiRbR8hil55B06l,0.104,0.795,0.647,4.17e-06,0.289,-7.247,0.361,93.1,0.507,39
28,These Things Happen Too (Deluxe),29,4H8E1ju4QvV106osHcTwv6,Life Is War,spotify:track:4H8E1ju4QvV106osHcTwv6,0.0122,0.541,0.84,0.0,0.164,-5.061,0.0871,155.931,0.0676,37
29,These Things Happen Too,1,7nd7WBRh2mq2gZLzsQYgO6,These Things Happen Too,spotify:track:7nd7WBRh2mq2gZLzsQYgO6,0.158,0.572,0.63,0.0,0.151,-7.689,0.349,86.906,0.439,55
30,These Things Happen Too,2,0MrI5860scv6Zhv8eJlLjY,When You're Gone (feat. Lil Wayne),spotify:track:0MrI5860scv6Zhv8eJlLjY,0.0484,0.612,0.872,0.0,0.0862,-4.938,0.197,90.883,0.587,52
31,These Things Happen Too,3,0HnaYLg5xFoG539bCbQEMf,Instructions (feat. YG),spotify:track:0HnaYLg5xFoG539bCbQEMf,0.0111,0.885,0.608,0.0,0.078,-5.372,0.31,140.025,0.256,55
32,These Things Happen Too,4,1kXKHIV7bdjnPRTykhbsRj,Christoph's Interlude,spotify:track:1kXKHIV7bdjnPRTykhbsRj,0.923,0.343,0.19,0.859,0.129,-21.982,0.0853,76.146,0.0792,42
33,These Things Happen Too,5,38EMs44DpiWdDEk246yt8T,Wanna Be Myself,spotify:track:38EMs44DpiWdDEk246yt8T,0.0268,0.77,0.559,0.0,0.0829,-7.895,0.31,152.964,0.19,52
34,These Things Happen Too,6,7vyTbu85iohUtoHcbrVaNW,Everything is Everything (feat. Goody Grace),spotify:track:7vyTbu85iohUtoHcbrVaNW,0.461,0.737,0.643,1.72e-06,0.203,-6.675,0.318,92.955,0.473,49
35,These Things Happen Too,7,67RNSpjKQqeuwUwaeHnAD0,Origami,spotify:track:67RNSpjKQqeuwUwaeHnAD0,0.069,0.809,0.605,0.0,0.0688,-5.871,0.211,124.1,0.564,58
36,These Things Happen Too,8,5X8oSrRZNODNpngjOQu2SY,Solar Eclipse,spotify:track:5X8oSrRZNODNpngjOQu2SY,0.0129,0.768,0.683,0.0,0.0643,-5.752,0.428,86.124,0.335,46
37,These Things Happen Too,9,7iWsS8TedT8qRIGuMoVAC3,"I, Me, Myself",spotify:track:7iWsS8TedT8qRIGuMoVAC3,0.196,0.502,0.636,0.0,0.229,-5.569,0.378,75.634,0.616,47
38,These Things Happen Too,10,0BFgqdglqu7eflMDThlkgs,"Now & Later (feat. E-40, DaBoii & ShooterGang Kony)",spotify:track:0BFgqdglqu7eflMDThlkgs,0.0289,0.856,0.669,0.0,0.106,-5.863,0.319,100.059,0.718,55
