,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
13,"If I Can’t Have Love, I Want Power (Extended)",14,12ZCF1YHZTtygHyl1h0wEe,Nightmare,spotify:track:12ZCF1YHZTtygHyl1h0wEe,0.0187,0.607,0.622,0.0,0.359,-5.075,0.0756,146.105,0.537,55
14,"If I Can’t Have Love, I Want Power (Extended)",15,2JNL5Z3DNCzGT2IkYaZOlh,Nightmare - Reprise,spotify:track:2JNL5Z3DNCzGT2IkYaZOlh,0.00929,0.615,0.642,0.0149,0.0926,-5.773,0.0389,145.991,0.361,55
15,"If I Can’t Have Love, I Want Power (Extended)",16,7h5CR4nRDXUwuTKw66T5Nx,People disappear here,spotify:track:7h5CR4nRDXUwuTKw66T5Nx,0.0322,0.603,0.504,0.0155,0.105,-8.705,0.0332,145.952,0.214,58
48,"If I Can’t Have Love, I Want Power",1,3e2bWR3uFw1utzl37g4z3S,The Tradition,spotify:track:3e2bWR3uFw1utzl37g4z3S,0.78,0.43,0.262,0.0,0.111,-7.605,0.0315,105.822,0.244,61
49,"If I Can’t Have Love, I Want Power",2,1Knd3MtE5sEQMh6txcg0k0,Bells in Santa Fe,spotify:track:1Knd3MtE5sEQMh6txcg0k0,0.613,0.651,0.489,0.00644,0.387,-8.264,0.0315,149.986,0.395,61
50,"If I Can’t Have Love, I Want Power",3,7N1TIml2jRQRgXUrpXgXrk,Easier than Lying,spotify:track:7N1TIml2jRQRgXUrpXgXrk,8.36e-05,0.474,0.869,0.46,0.123,-4.067,0.17,181.992,0.33,61
51,"If I Can’t Have Love, I Want Power",4,5pteD2j5hzE9qeP8BrVT1o,Lilith,spotify:track:5pteD2j5hzE9qeP8BrVT1o,0.0413,0.691,0.772,0.0,0.0654,-7.616,0.26,84.003,0.47,63
52,"If I Can’t Have Love, I Want Power",5,5sTsbKMuBuIZoGHfoFXdwU,Girl is a Gun,spotify:track:5sTsbKMuBuIZoGHfoFXdwU,0.00478,0.639,0.873,1.16e-05,0.125,-4.64,0.0395,150.01,0.704,60
53,"If I Can’t Have Love, I Want Power",6,1JbS3r3gT4pK5qWBEShIJU,You asked for this,spotify:track:1JbS3r3gT4pK5qWBEShIJU,0.0115,0.303,0.812,0.0,0.371,-4.95,0.0557,139.052,0.168,59
54,"If I Can’t Have Love, I Want Power",7,39nc7C7C7iIJtVAlNznst7,Darling,spotify:track:39nc7C7C7iIJtVAlNznst7,0.845,0.538,0.284,0.0,0.211,-9.681,0.0314,86.973,0.581,61
55,"If I Can’t Have Love, I Want Power",8,0O6SiaA3cBp24ZYnPX2GVQ,1121,spotify:track:0O6SiaA3cBp24ZYnPX2GVQ,0.283,0.606,0.293,0.0,0.094,-7.519,0.0294,121.936,0.127,61
56,"If I Can’t Have Love, I Want Power",9,7p58AJeuaFSUHTnPe5NFaf,honey,spotify:track:7p58AJeuaFSUHTnPe5NFaf,0.000499,0.471,0.857,5.44e-05,0.0682,-5.069,0.0614,160.069,0.393,65
57,"If I Can’t Have Love, I Want Power",10,50wqN28Ca3fJGddi95GaSc,Whispers,spotify:track:50wqN28Ca3fJGddi95GaSc,0.558,0.58,0.382,1.19e-06,0.0962,-11.421,0.0799,79.11,0.217,60
58,"If I Can’t Have Love, I Want Power",11,5RhFmJifQe83FpQ6ZFFTZ5,"I am not a woman, I'm a god",spotify:track:5RhFmJifQe83FpQ6ZFFTZ5,0.00397,0.523,0.702,0.0325,0.063,-6.74,0.0462,179.992,0.494,69
59,"If I Can’t Have Love, I Want Power",12,0AMKBZBzdgp0054s9DORsv,The Lighthouse,spotify:track:0AMKBZBzdgp0054s9DORsv,0.137,0.324,0.614,0.000633,0.305,-6.217,0.0338,123.145,0.295,58
60,"If I Can’t Have Love, I Want Power",13,6PkHFPxrvlXXVnJTONwsjc,Ya'aburnee,spotify:track:6PkHFPxrvlXXVnJTONwsjc,0.742,0.717,0.184,1.01e-05,0.0968,-13.578,0.0417,131.938,0.21,59
74,BADLANDS (Live From Webster Hall),1,6MO6DrfGiYWKOQKRi8TyT8,Castle - Live From Webster Hall,spotify:track:6MO6DrfGiYWKOQKRi8TyT8,0.0135,0.476,0.83,0.0,0.716,-7.517,0.055,130.016,0.246,37
75,BADLANDS (Live From Webster Hall),2,6TuwZME8wPwey8E7vmGYrq,Hold Me Down - Live From Webster Hall,spotify:track:6TuwZME8wPwey8E7vmGYrq,0.133,0.248,0.684,3.05e-06,0.668,-6.755,0.0385,73.079,0.24,36
76,BADLANDS (Live From Webster Hall),3,6WjeOpJIcApl0DvMLaCi0K,New Americana - Live From Webster Hall,spotify:track:6WjeOpJIcApl0DvMLaCi0K,0.00106,0.342,0.816,0.0,0.668,-6.097,0.044,87.094,0.163,38
77,BADLANDS (Live From Webster Hall),4,5CTB9RpyTkntYOWeYXHDIu,Drive - Live From Webster Hall,spotify:track:5CTB9RpyTkntYOWeYXHDIu,0.00417,0.273,0.745,0.00448,0.955,-8.312,0.0704,114.055,0.145,35
78,BADLANDS (Live From Webster Hall),5,1uB0SF9wNBOfyeMt7PF8BA,Hurricane - Live From Webster Hall,spotify:track:1uB0SF9wNBOfyeMt7PF8BA,0.00291,0.536,0.71,0.000613,0.62,-7.513,0.0318,119.983,0.249,36
