,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Mercury - Act 1,1,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,0.237,0.728,0.783,0.0,0.434,-4.424,0.266,77.011,0.555,89
1,Mercury - Act 1,2,3yPQ0T0w021ucbCqkKBku6,My Life,spotify:track:3yPQ0T0w021ucbCqkKBku6,0.0828,0.525,0.427,0.0,0.144,-7.282,0.032,129.982,0.305,72
2,Mercury - Act 1,3,1Za3bmODi0tz9pnlZE58ug,Lonely,spotify:track:1Za3bmODi0tz9pnlZE58ug,0.0256,0.714,0.73,0.0,0.177,-5.564,0.0438,97.983,0.873,73
3,Mercury - Act 1,4,0gLFuoDun2yzBp67btvQU3,Wrecked,spotify:track:0gLFuoDun2yzBp67btvQU3,0.149,0.625,0.562,1.67e-05,0.109,-5.828,0.0289,93.998,0.229,76
4,Mercury - Act 1,5,1YsCq5SWvyf9cLkACGsty4,Monday,spotify:track:1YsCq5SWvyf9cLkACGsty4,0.127,0.803,0.649,6.49e-05,0.0894,-5.842,0.219,90.006,0.797,70
5,Mercury - Act 1,6,1K1c1X4eyJi6o8TqriQcIN,#1,spotify:track:1K1c1X4eyJi6o8TqriQcIN,0.0897,0.692,0.695,0.0,0.155,-4.448,0.109,92.98,0.634,69
6,Mercury - Act 1,7,6Qk3FR2CorkugmJyWoyusf,Easy Come Easy Go,spotify:track:6Qk3FR2CorkugmJyWoyusf,0.294,0.673,0.459,0.0,0.0942,-7.274,0.0515,139.817,0.477,69
7,Mercury - Act 1,8,5hkjSdUVJei2UNGJFnamHe,Giants,spotify:track:5hkjSdUVJei2UNGJFnamHe,0.029,0.487,0.603,0.0,0.243,-7.96,0.0666,62.385,0.44,69
8,Mercury - Act 1,9,6lLIDooqwg3xxlbG5P92RP,It's Ok,spotify:track:6lLIDooqwg3xxlbG5P92RP,0.0146,0.502,0.322,0.0,0.0597,-7.59,0.039,185.655,0.168,69
9,Mercury - Act 1,10,1P2d8t9LPbqZ6XqXx3x7l7,Dull Knives,spotify:track:1P2d8t9LPbqZ6XqXx3x7l7,0.00255,0.51,0.616,6.38e-06,0.0523,-6.997,0.0473,110.346,0.32,69
10,Mercury - Act 1,11,1RZUlzNWbvCBeoSkapPgVR,Follow You,spotify:track:1RZUlzNWbvCBeoSkapPgVR,0.00197,0.544,0.732,5.06e-05,0.486,-5.984,0.0524,124.875,0.45,75
11,Mercury - Act 1,12,6vaEBOQ3KdERenZwIKsfue,Cutthroat,spotify:track:6vaEBOQ3KdERenZwIKsfue,0.0833,0.668,0.626,0.0116,0.0782,-5.278,0.315,165.926,0.679,67
12,Mercury - Act 1,13,5w0FV5yWGr7STsm8mgpgDs,No Time For Toxic People,spotify:track:5w0FV5yWGr7STsm8mgpgDs,0.00248,0.584,0.742,1.78e-05,0.0813,-5.201,0.0373,75.986,0.585,68
13,Mercury - Act 1,14,28XVkwY5IaEmQ9gl48cFtc,One Day,spotify:track:28XVkwY5IaEmQ9gl48cFtc,0.668,0.68,0.414,0.0,0.343,-7.955,0.0377,89.945,0.639,69
14,Origins (Deluxe),1,2FY7b99s15jUprqC0M5NCT,Natural,spotify:track:2FY7b99s15jUprqC0M5NCT,0.217,0.704,0.611,0.0,0.0812,-6.112,0.0409,100.0,0.22,85
15,Origins (Deluxe),2,2B1fuWoWaYnCXbjYp1gXg5,Boomerang,spotify:track:2B1fuWoWaYnCXbjYp1gXg5,0.139,0.429,0.559,0.00928,0.121,-7.493,0.152,100.073,0.347,64
16,Origins (Deluxe),3,4uGY9CqDtGtaTTLg1cgsWD,Machine,spotify:track:4uGY9CqDtGtaTTLg1cgsWD,0.0016,0.638,0.679,0.00655,0.121,-5.278,0.0425,81.045,0.596,69
17,Origins (Deluxe),4,6LXMUR2rpxFBDo6nilS3yX,Cool Out,spotify:track:6LXMUR2rpxFBDo6nilS3yX,0.00483,0.636,0.718,6.51e-06,0.292,-4.833,0.0313,143.929,0.437,62
18,Origins (Deluxe),5,2RSHsoi04658QL5xgQVov3,Bad Liar,spotify:track:2RSHsoi04658QL5xgQVov3,0.0722,0.383,0.637,0.0,0.368,-6.993,0.0703,177.913,0.0827,83
19,Origins (Deluxe),6,2nkoWsTZa8LKPNGdjI5uxj,West Coast,spotify:track:2nkoWsTZa8LKPNGdjI5uxj,0.581,0.672,0.715,2.08e-06,0.101,-6.18,0.0268,104.989,0.677,69
20,Origins (Deluxe),7,2bzitsPcImYC6DZWvvLCQi,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",spotify:track:2bzitsPcImYC6DZWvvLCQi,0.000479,0.634,0.662,0.00142,0.111,-7.543,0.0325,90.011,0.244,74
21,Origins (Deluxe),8,3R4Xk37WTagjzODMNEQLvs,Bullet In A Gun,spotify:track:3R4Xk37WTagjzODMNEQLvs,0.16,0.816,0.735,0.000108,0.0665,-5.49,0.0539,130.029,0.476,66
22,Origins (Deluxe),9,4qhDA6s0MkD5XpDqGLHIEY,Digital,spotify:track:4qhDA6s0MkD5XpDqGLHIEY,0.00155,0.49,0.889,2.76e-06,0.162,-5.179,0.17,166.779,0.383,59
23,Origins (Deluxe),10,1uRBbjQ3uNFXCncWyNomHf,Only,spotify:track:1uRBbjQ3uNFXCncWyNomHf,0.015,0.691,0.803,0.0,0.0862,-5.029,0.0355,104.997,0.424,66
24,Origins (Deluxe),11,5Z9SQPYU95S6M1vcbLsDt2,Stuck,spotify:track:5Z9SQPYU95S6M1vcbLsDt2,0.263,0.621,0.478,0.0,0.257,-8.246,0.0351,115.023,0.248,65
25,Origins (Deluxe),12,5d41vXH0zvpwUrHrmqKqDc,Love,spotify:track:5d41vXH0zvpwUrHrmqKqDc,0.0535,0.697,0.507,1.19e-06,0.0469,-6.178,0.04,82.483,0.382,66
26,Origins (Deluxe),13,6Tvzf3VEi16JMhAgOwdt2y,Birds,spotify:track:6Tvzf3VEi16JMhAgOwdt2y,0.0146,0.649,0.517,1.63e-06,0.145,-7.428,0.0297,119.997,0.35,74
27,Origins (Deluxe),14,5Q7zuH8VNu7aLappSusPu6,Burn Out,spotify:track:5Q7zuH8VNu7aLappSusPu6,0.0213,0.588,0.494,7.2e-05,0.0966,-8.831,0.0536,135.004,0.291,65
28,Origins (Deluxe),15,7JAzAyjbJFPznEFdqpa1Si,Real Life,spotify:track:7JAzAyjbJFPznEFdqpa1Si,0.0147,0.262,0.564,0.00659,0.103,-7.99,0.0455,195.489,0.13,65
29,Evolve,1,31VOknKjFrEX47bZXzqcoF,Next To Me,spotify:track:31VOknKjFrEX47bZXzqcoF,0.28,0.301,0.672,3.1e-05,0.0609,-4.497,0.0623,169.497,0.384,74
30,Evolve,2,28heol5hhOGj6KYbJrRteJ,I Don’t Know Why,spotify:track:28heol5hhOGj6KYbJrRteJ,0.0066,0.639,0.641,9.91e-06,0.185,-7.423,0.0609,120.927,0.0725,69
