,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Glory Sound Prep,1,1EAZ0APxPiVuzDb7R5TfVI,Conversations with my Wife,spotify:track:1EAZ0APxPiVuzDb7R5TfVI,0.0222,0.496,0.487,1.85e-05,0.638,-7.003,0.0301,138.187,0.321,57
1,Glory Sound Prep,2,1eftOUoeMO1JkSQQmS6jXF,JT,spotify:track:1eftOUoeMO1JkSQQmS6jXF,0.0168,0.518,0.587,1.19e-06,0.206,-7.937,0.12,98.367,0.631,54
2,Glory Sound Prep,3,2X1Tygc4uVunRgzNkFb1mG,"Let's Begin (feat. Roc Marciano, RZA, B.Keyz & Travis Mendes)",spotify:track:2X1Tygc4uVunRgzNkFb1mG,0.29,0.647,0.749,1.19e-06,0.126,-5.056,0.42,91.902,0.585,48
3,Glory Sound Prep,4,7cK7hDrE7vAesPf8xd5zmb,Stupid Deep,spotify:track:7cK7hDrE7vAesPf8xd5zmb,0.732,0.362,0.377,0.000631,0.127,-9.713,0.0339,137.891,0.294,64
4,Glory Sound Prep,5,359Q4gGdrQIFhRzs7J8gZu,The Internet,spotify:track:359Q4gGdrQIFhRzs7J8gZu,0.106,0.767,0.792,1.02e-05,0.145,-5.053,0.225,119.168,0.699,53
5,Glory Sound Prep,6,4FUDWkguOUVpLRAVn5C20z,Blu,spotify:track:4FUDWkguOUVpLRAVn5C20z,0.29,0.384,0.465,2.22e-05,0.359,-8.554,0.0341,131.604,0.636,64
6,Glory Sound Prep,7,7HKSWfpxHhllSmoLk9AQz8,Adult Swim (feat. Tuamie),spotify:track:7HKSWfpxHhllSmoLk9AQz8,0.244,0.701,0.828,0.0,0.417,-5.606,0.297,89.988,0.651,52
7,Glory Sound Prep,8,7pMS0byKI7V1Mpl0SlWEDq,Couples Retreat,spotify:track:7pMS0byKI7V1Mpl0SlWEDq,0.0118,0.347,0.672,0.000154,0.245,-6.661,0.52,195.225,0.565,48
8,Glory Sound Prep,9,6BbANlpji0u8ZlqyPVMQiM,Cautionary Tales,spotify:track:6BbANlpji0u8ZlqyPVMQiM,0.0122,0.582,0.55,2.77e-05,0.128,-8.474,0.0448,94.087,0.696,51
9,Glory Sound Prep,10,1SefvAcZtoZo22njnX2qy7,Mah's Joint (feat. Quincy Jones),spotify:track:1SefvAcZtoZo22njnX2qy7,0.317,0.271,0.474,0.000489,0.097,-9.718,0.0498,177.907,0.362,48
24,The Human Condition,1,11P6ab6Sa2LDOjhiH0kpX7,He Is The Same,spotify:track:11P6ab6Sa2LDOjhiH0kpX7,0.226,0.685,0.597,0.00177,0.12,-4.828,0.19,90.677,0.371,52
25,The Human Condition,2,5KSNxyuyp5K1kDT6LvX8oZ,80's Films,spotify:track:5KSNxyuyp5K1kDT6LvX8oZ,0.0288,0.507,0.461,0.0,0.0483,-7.761,0.128,136.219,0.665,55
27,The Human Condition,4,3YQXkAqmNFWfUFlL3HgMbS,New York Soul - Pt. ii,spotify:track:3YQXkAqmNFWfUFlL3HgMbS,0.00734,0.516,0.672,1.21e-06,0.155,-4.491,0.238,86.001,0.297,50
28,The Human Condition,5,2UiPa2Dc6w4EyWtDxP07UQ,Fashion,spotify:track:2UiPa2Dc6w4EyWtDxP07UQ,0.334,0.571,0.354,0.0,0.179,-8.529,0.0534,141.502,0.36,49
29,The Human Condition,6,6pTDPaMcN5KSYD8hJ1uWId,Maybe IDK,spotify:track:6pTDPaMcN5KSYD8hJ1uWId,0.0616,0.54,0.54,0.0,0.231,-6.517,0.0539,120.266,0.209,57
30,The Human Condition,7,1zTW7xRtxmprjTUDi6bAHg,Woke The F*ck Up,spotify:track:1zTW7xRtxmprjTUDi6bAHg,0.0406,0.687,0.622,0.0,0.0653,-5.338,0.0987,93.994,0.624,59
31,The Human Condition,8,48LwbDH7u5UMrsY3sjfjhe,Overwhelming,spotify:track:48LwbDH7u5UMrsY3sjfjhe,0.252,0.748,0.622,0.0,0.112,-4.518,0.225,91.77,0.667,63
32,The Human Condition,9,6dVcavGKwvUjk998frTljW,Weight Of The World,spotify:track:6dVcavGKwvUjk998frTljW,0.451,0.365,0.613,0.0,0.0752,-4.847,0.0682,139.659,0.439,51
33,The Human Condition,10,0XA9B3KXLmdgaQ2KcIJa3h,The Good In Me,spotify:track:0XA9B3KXLmdgaQ2KcIJa3h,0.134,0.652,0.53,0.0,0.137,-4.744,0.0497,122.028,0.335,54
34,The Human Condition,11,2JXNOtb0ANe6MzgRYDQG2J,Morning In America,spotify:track:2JXNOtb0ANe6MzgRYDQG2J,0.129,0.735,0.665,0.0,0.0803,-5.933,0.0819,102.018,0.593,56
35,The Human Condition,12,453QwgDIG95NmmLqSxnPsR,iRobot,spotify:track:453QwgDIG95NmmLqSxnPsR,0.229,0.377,0.576,1.07e-05,0.161,-4.951,0.0639,206.235,0.265,55
36,The Human Condition,13,2FK1qmw8XNBqUe5CcgTVnE,Guillotine,spotify:track:2FK1qmw8XNBqUe5CcgTVnE,0.102,0.574,0.803,4.15e-06,0.0861,-3.17,0.186,97.967,0.647,64
37,The Human Condition,14,6ej9jEXBeQI7PTbx68KHfi,Hand Of God - Outro,spotify:track:6ej9jEXBeQI7PTbx68KHfi,0.302,0.538,0.538,0.0,0.121,-6.601,0.164,153.958,0.389,56
