,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Madame X - Music From The Theater Xperience (Live),1,1ZipQfxercPLpiocNlMUpR,"Intro - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:1ZipQfxercPLpiocNlMUpR,0.0322,0.442,0.644,0.0215,0.692,-11.15,0.332,123.346,0.255,39
1,Madame X - Music From The Theater Xperience (Live),2,6cvVWlanWjxLuAE2PMWkvB,"God Control - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:6cvVWlanWjxLuAE2PMWkvB,0.0344,0.673,0.629,0.000757,0.792,-8.634,0.099,124.056,0.108,39
2,Madame X - Music From The Theater Xperience (Live),3,5VM8QhpEeETnREH1PsmzHj,"Dark Ballet - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:5VM8QhpEeETnREH1PsmzHj,0.41,0.405,0.547,2.42e-05,0.386,-8.245,0.0913,168.016,0.35,36
3,Madame X - Music From The Theater Xperience (Live),4,4PIkR4PpzWQhz7Nty5YE3A,"Human Nature - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:4PIkR4PpzWQhz7Nty5YE3A,0.241,0.495,0.613,0.0,0.703,-7.312,0.094,89.337,0.45,38
4,Madame X - Music From The Theater Xperience (Live),5,1D3hOn06tYpENKsbA4mkXQ,"Vogue - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:1D3hOn06tYpENKsbA4mkXQ,0.0145,0.777,0.782,0.0105,0.915,-5.153,0.0336,116.179,0.238,40
5,Madame X - Music From The Theater Xperience (Live),6,29BRyExrIw5OW9p6cn4mAC,"I Don't Search, I Find - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:29BRyExrIw5OW9p6cn4mAC,0.000287,0.661,0.498,0.715,0.723,-9.62,0.0353,122.006,0.369,36
6,Madame X - Music From The Theater Xperience (Live),7,617ZzFNLESNhuBDfE9PAAR,"American Life - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:617ZzFNLESNhuBDfE9PAAR,0.073,0.712,0.75,0.0,0.842,-6.002,0.104,101.985,0.442,37
7,Madame X - Music From The Theater Xperience (Live),8,6SderUEhLBTkh0pDpuv79Q,"Batuka - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:6SderUEhLBTkh0pDpuv79Q,0.00292,0.553,0.868,2.41e-05,0.986,-5.643,0.121,132.004,0.214,34
8,Madame X - Music From The Theater Xperience (Live),9,4lGyUTtz6c8lLKCxxK7yNN,"Fado Pechincha (feat. Gaspar Varela) - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:4lGyUTtz6c8lLKCxxK7yNN,0.75,0.353,0.48,3.44e-06,0.944,-10.97,0.0887,81.275,0.705,37
9,Madame X - Music From The Theater Xperience (Live),10,1IuxvtiEU4ex710DadnADt,"Killers Who Are Partying - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:1IuxvtiEU4ex710DadnADt,0.542,0.386,0.642,0.000193,0.987,-5.979,0.0398,200.048,0.436,34
10,Madame X - Music From The Theater Xperience (Live),11,12JSyIV3KvIyyzhFSeSshn,"Crazy - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:12JSyIV3KvIyyzhFSeSshn,0.287,0.643,0.63,0.0,0.977,-5.09,0.0638,143.992,0.333,37
11,Madame X - Music From The Theater Xperience (Live),12,3sKxwm6htBqlQBYejfB8AQ,"Welcome To My Fado Club - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:3sKxwm6htBqlQBYejfB8AQ,0.23,0.501,0.748,2.75e-06,0.991,-7.504,0.289,142.475,0.431,35
12,Madame X - Music From The Theater Xperience (Live),13,7L7kJe4L8dhtR2vOmue13l,"Medellin - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:7L7kJe4L8dhtR2vOmue13l,0.0686,0.749,0.695,0.0,0.993,-7.156,0.414,91.975,0.412,35
13,Madame X - Music From The Theater Xperience (Live),14,4dGkxyeHEXrtFyu3d3d8c5,"Extreme Occident - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:4dGkxyeHEXrtFyu3d3d8c5,0.201,0.66,0.487,0.0,0.956,-6.61,0.0309,87.985,0.0723,32
14,Madame X - Music From The Theater Xperience (Live),15,1eEkdfewhsze9GKGjd458r,"Breathwork - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:1eEkdfewhsze9GKGjd458r,0.0445,0.586,0.299,0.0193,0.314,-11.797,0.44,77.815,0.188,31
15,Madame X - Music From The Theater Xperience (Live),16,1yfqLE8uWXguvNVvTGuASz,"Frozen - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:1yfqLE8uWXguvNVvTGuASz,0.0301,0.375,0.748,0.0291,0.991,-6.678,0.04,92.029,0.0629,37
16,Madame X - Music From The Theater Xperience (Live),17,7jngeWEzjZQvfC1h1ix9q4,"Come Alive - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:7jngeWEzjZQvfC1h1ix9q4,0.218,0.327,0.761,3.29e-05,0.75,-7.605,0.384,171.004,0.394,33
17,Madame X - Music From The Theater Xperience (Live),18,1ncfuPb23E2gfkjrvhHUEA,"Future - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:1ncfuPb23E2gfkjrvhHUEA,0.224,0.642,0.862,0.00016,0.467,-3.834,0.0927,158.084,0.323,35
18,Madame X - Music From The Theater Xperience (Live),19,31DwuncuHyI9NhXn5tizhk,"Like A Prayer - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:31DwuncuHyI9NhXn5tizhk,0.0685,0.552,0.947,0.0,0.819,-4.202,0.0929,114.497,0.248,35
19,Madame X - Music From The Theater Xperience (Live),20,7oILoQeXOPDvcf8Ln6mUX3,"I Rise - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020",spotify:track:7oILoQeXOPDvcf8Ln6mUX3,0.0333,0.391,0.518,8.16e-06,0.328,-7.423,0.129,154.966,0.223,32
20,True Blue (35th Anniversary Edition),1,14hFngJ7gpBxIiiJ2hXofL,Papa Don't Preach,spotify:track:14hFngJ7gpBxIiiJ2hXofL,0.343,0.833,0.934,7.55e-06,0.0521,-3.243,0.0313,121.879,0.964,36
21,True Blue (35th Anniversary Edition),2,207xjOnbOovZCmVL5YmZUs,Open Your Heart,spotify:track:207xjOnbOovZCmVL5YmZUs,0.049,0.624,0.951,4.73e-06,0.195,-3.819,0.0572,113.915,0.795,37
22,True Blue (35th Anniversary Edition),3,6wWrOSo2ygj3Mq3GUqCzhn,White Heat,spotify:track:6wWrOSo2ygj3Mq3GUqCzhn,0.106,0.706,0.942,0.0,0.158,-3.578,0.078,108.934,0.837,29
23,True Blue (35th Anniversary Edition),4,7j1vEL4ktPrAw74QcJrtq5,Live to Tell,spotify:track:7j1vEL4ktPrAw74QcJrtq5,0.263,0.652,0.521,0.0011,0.107,-6.752,0.0256,109.943,0.235,35
