,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Overexposed,1,423oRmTgCWl8nF9Oac1fvA,One More Night,spotify:track:423oRmTgCWl8nF9Oac1fvA,0.0444,0.718,0.82,0.0,0.0846,-3.453,0.0323,92.998,0.613,51
1,Overexposed,2,1LmN9SSHISbtp9LoaR5ZVJ,Payphone,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,0.0136,0.739,0.756,0.0,0.37,-4.828,0.0394,110.028,0.523,79
2,Overexposed,3,2l8D5dB5pXywjeIeWw16E7,Daylight,spotify:track:2l8D5dB5pXywjeIeWw16E7,0.0022,0.662,0.67,0.0,0.203,-5.504,0.027,119.977,0.352,47
3,Overexposed,4,6tVrmsbI5HVDgOlFSTrQjB,Lucky Strike,spotify:track:6tVrmsbI5HVDgOlFSTrQjB,0.000637,0.674,0.74,0.0,0.111,-4.517,0.0419,143.998,0.431,57
4,Overexposed,5,1GpqVTiLDdIeDeX5PrpPDX,The Man Who Never Lied,spotify:track:1GpqVTiLDdIeDeX5PrpPDX,0.000388,0.627,0.848,0.0,0.0716,-5.989,0.0351,139.954,0.848,38
5,Overexposed,6,0B7uZOwTqMBLhvbD3RIFLa,Love Somebody,spotify:track:0B7uZOwTqMBLhvbD3RIFLa,0.129,0.675,0.79,0.0,0.121,-6.295,0.0369,120.015,0.423,47
6,Overexposed,7,6xoDzK0sJcPDduzCkwi3A3,Ladykiller,spotify:track:6xoDzK0sJcPDduzCkwi3A3,0.00974,0.818,0.607,0.000194,0.154,-6.927,0.0425,115.054,0.784,35
7,Overexposed,8,3GXcpquo4MdMeZdbI9LRDJ,Fortune Teller,spotify:track:3GXcpquo4MdMeZdbI9LRDJ,0.0501,0.668,0.757,0.0,0.151,-6.115,0.0411,119.961,0.41,33
8,Overexposed,9,3wX3zl0LPavrdx7zd2Xn00,Sad,spotify:track:3wX3zl0LPavrdx7zd2Xn00,0.795,0.781,0.259,0.0,0.0993,-9.204,0.0323,111.9,0.331,35
9,Overexposed,10,4CE3qSc6HJg6hpHZXVLaiJ,Tickets,spotify:track:4CE3qSc6HJg6hpHZXVLaiJ,0.0163,0.796,0.836,2.72e-06,0.106,-4.19,0.0322,120.026,0.973,33
10,Overexposed,11,2kDVThEfQx1RPw0uMswT0L,Doin’ Dirt,spotify:track:2kDVThEfQx1RPw0uMswT0L,0.000877,0.684,0.864,0.0,0.0774,-4.05,0.0472,124.95,0.894,34
11,Overexposed,12,2zjVGe3HVBgTtBExRfTyuu,Beautiful Goodbye,spotify:track:2zjVGe3HVBgTtBExRfTyuu,0.002,0.662,0.578,2.45e-06,0.104,-2.637,0.0343,168.04,0.404,38
12,JORDI (Deluxe),1,5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),spotify:track:5zFglKYiknIxks8geR8rcL,0.0377,0.713,0.676,0.0,0.154,-5.483,0.027,99.048,0.721,87
14,JORDI (Deluxe),3,54WpJSyO81dpA40MKJHd0C,Echo (feat. blackbear),spotify:track:54WpJSyO81dpA40MKJHd0C,0.0204,0.759,0.67,0.0,0.0953,-5.309,0.0509,136.027,0.741,67
15,JORDI (Deluxe),4,4lejz024CsCP6S5kPD6Upb,Lovesick,spotify:track:4lejz024CsCP6S5kPD6Upb,0.00248,0.675,0.699,0.000604,0.114,-5.894,0.0296,123.042,0.43,67
16,JORDI (Deluxe),5,03blI4F6MeYd6kJx26VsJ2,Remedy (feat. Stevie Nicks),spotify:track:03blI4F6MeYd6kJx26VsJ2,0.14,0.753,0.633,0.0,0.392,-7.263,0.0594,132.031,0.714,65
17,JORDI (Deluxe),6,1G5rzVAFlgMqG4gaRujcaA,Seasons,spotify:track:1G5rzVAFlgMqG4gaRujcaA,0.509,0.638,0.504,2.18e-05,0.103,-8.335,0.0578,140.204,0.281,63
18,JORDI (Deluxe),7,6PyFYTEo8X3inQ4hQvA8md,One Light (feat. Bantu),spotify:track:6PyFYTEo8X3inQ4hQvA8md,0.106,0.81,0.642,0.0,0.0805,-5.801,0.0712,105.968,0.596,62
19,JORDI (Deluxe),8,7DVassGvnqQRSfVSVPxtpV,Convince Me Otherwise (with H.E.R.),spotify:track:7DVassGvnqQRSfVSVPxtpV,0.079,0.378,0.677,9.38e-05,0.102,-6.998,0.0475,199.656,0.481,62
20,JORDI (Deluxe),9,2ST72jD2KVe7f3fbcGyX1b,Nobody's Love,spotify:track:2ST72jD2KVe7f3fbcGyX1b,0.316,0.485,0.567,0.0,0.0949,-6.456,0.0388,93.676,0.157,73
21,JORDI (Deluxe),10,5kS3Kw2elRTrodnsyQuhvI,Can't Leave You Alone (feat. Juice WRLD),spotify:track:5kS3Kw2elRTrodnsyQuhvI,0.159,0.727,0.53,0.0,0.105,-7.296,0.0703,139.996,0.43,66
22,JORDI (Deluxe),11,4cktbXiXOapiLBMprHFErI,Memories,spotify:track:4cktbXiXOapiLBMprHFErI,0.841,0.775,0.327,0.0,0.0821,-7.241,0.0557,91.05,0.595,89
23,JORDI (Deluxe),12,3p4WMekidOIiyf8SFvfrIC,Memories Remix (feat. Nipsey Hussle & YG),spotify:track:3p4WMekidOIiyf8SFvfrIC,0.855,0.807,0.396,0.0,0.0805,-7.415,0.0545,91.159,0.7,61
24,JORDI (Deluxe),13,6FDKYM0lBf6zqrg8cFokPd,Button (feat. Anuel AA & Tainy),spotify:track:6FDKYM0lBf6zqrg8cFokPd,0.129,0.717,0.657,0.0,0.397,-6.355,0.0714,100.924,0.589,63
25,JORDI (Deluxe),14,4rEe3htSUbJbO8kJePhHBx,Lifestyle (Jason Derulo ft. Adam Levine),spotify:track:4rEe3htSUbJbO8kJePhHBx,0.0219,0.749,0.675,0.0,0.17,-5.128,0.0366,123.055,0.708,61
27,JORDI (Deluxe),2,18XlJEroUwFo0tLZxscgXE,Lost,spotify:track:18XlJEroUwFo0tLZxscgXE,0.223,0.766,0.706,0.00028,0.064,-6.553,0.16,142.989,0.766,81
39,JORDI (Deluxe),14,5KEFCPnSK2xF5qOmZ6lA1g,Lifestyle (Jason Derulo feat. Adam Levine),spotify:track:5KEFCPnSK2xF5qOmZ6lA1g,0.0207,0.752,0.678,0.0,0.133,-5.127,0.0393,122.988,0.63,32
55,Red Pill Blues + (Deluxe),16,5j5VsdmqacSs6XcZIsKkcx,Girls Like You - Cardi B Version,spotify:track:5j5VsdmqacSs6XcZIsKkcx,0.545,0.641,0.53,0.0,0.127,-6.859,0.103,60.082,0.475,1
