,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Something for Thee Hotties,1,5dfTPMTMjMAW1CwxSwzWb5,Tuned In Freestyle,spotify:track:5dfTPMTMjMAW1CwxSwzWb5,0.000108,0.85,0.836,0.000115,0.139,-6.689,0.0789,131.961,0.425,74
1,Something for Thee Hotties,2,0jyOHNhaRUBeFG0U7wNLMp,Megan Monday Freestyle,spotify:track:0jyOHNhaRUBeFG0U7wNLMp,0.00527,0.884,0.615,0.0,0.271,-5.352,0.194,152.052,0.411,66
2,Something for Thee Hotties,3,7v690e0qaj5Vf2i8y8LPVt,Trippy Skit (feat. Juicy J),spotify:track:7v690e0qaj5Vf2i8y8LPVt,0.865,0.601,0.181,0.0,0.351,-19.144,0.822,99.153,0.592,53
3,Something for Thee Hotties,4,5hmQVsjZGozYCBOCHDYoYl,Southside Forever Freestyle,spotify:track:5hmQVsjZGozYCBOCHDYoYl,0.00151,0.94,0.357,8.39e-05,0.356,-6.693,0.151,129.951,0.134,60
4,Something for Thee Hotties,5,3LOyQpKiM8MnE019hWB5uj,Outta Town Freestyle,spotify:track:3LOyQpKiM8MnE019hWB5uj,0.00713,0.689,0.675,0.0279,0.111,-8.303,0.0845,196.033,0.185,59
5,Something for Thee Hotties,6,4HyVMzg0sUQsdOxRvSO8Ka,Megan's Piano,spotify:track:4HyVMzg0sUQsdOxRvSO8Ka,0.00799,0.953,0.621,4.87e-06,0.307,-7.565,0.154,132.063,0.378,81
6,Something for Thee Hotties,7,2pG4r7Froady9EK6W6g88f,VickeeLo and Dino Btw Skit (feat. VickeeLo and Dino Btw),spotify:track:2pG4r7Froady9EK6W6g88f,0.935,0.775,0.532,0.0,0.568,-14.74,0.861,132.156,0.87,51
7,Something for Thee Hotties,8,4V5Dv8IjHNTk2YJzU9vgsW,Eat It,spotify:track:4V5Dv8IjHNTk2YJzU9vgsW,0.0517,0.843,0.671,0.0,0.286,-5.708,0.22,137.932,0.56,72
8,Something for Thee Hotties,9,6xq1EMT320v5qtjoSWZKpf,All Of It,spotify:track:6xq1EMT320v5qtjoSWZKpf,0.00953,0.725,0.873,0.0,0.121,-6.597,0.318,97.421,0.573,55
9,Something for Thee Hotties,10,7F3ugiaOXAjICskrb2yJbo,Warning,spotify:track:7F3ugiaOXAjICskrb2yJbo,0.00248,0.83,0.441,0.0,0.383,-5.564,0.425,186.072,0.366,64
10,Something for Thee Hotties,11,6DoGtGyDgv5mVxeCpP92tX,Kitty Kat,spotify:track:6DoGtGyDgv5mVxeCpP92tX,0.0131,0.983,0.86,0.0,0.0859,-3.583,0.0829,126.039,0.88,69
11,Something for Thee Hotties,12,0WrUd4xRPgNttGEDuYSomC,Tina Snow Interlude,spotify:track:0WrUd4xRPgNttGEDuYSomC,0.0303,0.775,0.632,0.0,0.147,-5.525,0.34,134.96,0.231,54
12,Something for Thee Hotties,13,0gN98UfDCfSaMwfaRpbwCn,God's Favorite,spotify:track:0gN98UfDCfSaMwfaRpbwCn,0.000249,0.766,0.491,0.0,0.112,-6.226,0.377,170.009,0.248,56
13,Something for Thee Hotties,14,289XvqIc23A1vs71Fkxe2p,Let Me See It,spotify:track:289XvqIc23A1vs71Fkxe2p,0.0317,0.864,0.692,0.0,0.461,-5.325,0.384,155.955,0.776,55
14,Something for Thee Hotties,15,2CaqcyuubKt9aOSl9bXqAv,Opposite Day,spotify:track:2CaqcyuubKt9aOSl9bXqAv,9.34e-05,0.816,0.601,0.0,0.0915,-5.124,0.234,149.937,0.722,58
15,Something for Thee Hotties,16,0xuAmZCrXjMooAUmBgUljM,Freakend,spotify:track:0xuAmZCrXjMooAUmBgUljM,0.00156,0.811,0.423,0.0,0.224,-6.317,0.384,160.014,0.348,57
16,Something for Thee Hotties,17,5bnqxdR3sr2tJD34WJOSXW,Bae Goals,spotify:track:5bnqxdR3sr2tJD34WJOSXW,0.0306,0.883,0.702,0.0,0.13,-5.746,0.295,158.037,0.848,55
