,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Gunna,pushin P (feat. Young Thug),3XOalgusokruzA5ZBA2Qcb,93,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,1
1,Ish Kevin,My Year (2022),16TeLUubmneRAhwmRAMbjM,32,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,161808,3
2,DJ Snake,U Are My High,4db4crB87tyZ9ExtEoxgVc,6,0.503,0.783,0,-4.761,0,0.0385,0.0221,0.00223,0.14,0.213,125.122,180480,4
3,Years & Years,King,75flwWxBabCyZbLUo36Nvp,7,0.559,0.837,4,-4.062,0,0.0391,0.0617,0.0,0.393,0.446,119.958,214835,4
4,Dove Cameron,Boyfriend,59CfNbkERJ3NoTXDvoURjj,95,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,153000,3
5,Fabio Bevere,YEAR 2022,7niIWQiDqvFvyNtRJBgjIg,0,0.809,0.548,7,-10.46,1,0.113,0.564,0.844,0.0964,0.104,120.003,308000,4
6,Taylor Swift,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,76,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,230960,4
7,Staylon,New Year 2022,3MyVTR0UPNcxoVU8tzUwPL,17,0.559,0.298,1,-13.735,0,0.0282,0.716,0.942,0.0586,0.187,160.037,165538,4
8,Jack Harlow,Nail Tech,62Yo3FDddWY8ydu6PW2wyz,90,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,206385,4
9,Years & Years,Sweet Talker - Navos Remix,3Yb638hSDOZMdyXkwbRVL7,2,0.744,0.764,5,-5.535,0,0.0331,0.0112,8.22e-05,0.408,0.549,124.977,159913,4
10,Cordae,Today (feat. Gunna),7z3rc7SCgjbAztt1cbXkVj,78,0.841,0.433,0,-7.699,0,0.175,0.0344,2.13e-06,0.121,0.332,115.868,182069,4
11,Ozoi the Maid,Santa's housewife final waltz fight - New Year 2022 ver.,6LkOOiQa2REVL7nfs7lpkp,20,0.383,0.962,6,-4.637,1,0.289,0.000285,0.591,0.0695,0.149,160.028,384052,4
12,Becky G,MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,98,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088,4
13,Years & Years,Sweet Talker - Hot Since 82 Remix,08xjX0v1aHxXUFpudWvgs6,0,0.355,0.953,10,-6.573,1,0.0461,0.00538,0.688,0.0617,0.344,123.982,207126,4
14,Kesha,TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,85,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
15,Ganci Da CignaL,The Year 2022,37Bncab75zBTCvlyxYr5t9,0,0.812,0.259,8,-15.556,1,0.0884,0.00169,0.858,0.173,0.657,118.979,370390,4
16,Em Beihold,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,91,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,169238,4
17,Carlo Rustichelli,"RoGoPaG Twist - From ""Ro.Go.Pa.G."" / Remastered 2022",2yuRiL4D6YuupXs2UiuVCG,23,0.477,0.543,2,-9.754,1,0.04,0.841,8.61e-05,0.0985,0.593,146.401,98400,4
18,The Weeknd,Gasoline,3KyKxJ4P3pVCgaZwaq2rUC,82,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006,212166,4
19,2002,Summer of 300 Years,5hhw7WkW1tJ5hFVEme6Mle,36,0.22,0.111,4,-20.323,1,0.0339,0.951,0.852,0.0995,0.0901,171.957,326760,4
20,Tate McRae,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,92,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,206772,4
21,Carlo Rustichelli,"Pollo ruspante (Twist #2) - From ""Ro.Go.Pa.G."" / Remastered 2022",2MhAeWrUUWfE2rtvwmhb18,28,0.69,0.789,5,-8.286,0,0.0448,0.912,0.0123,0.122,0.936,89.704,75333,4
22,Nelly,Hot In Herre,04KTF78FFg8sOHC1BADqbY,79,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,228240,4
23,Gunna,P power (feat. Drake),0lEjxUUlKqjqXrVlIHFduD,86,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,193347,4
24,Carlo Rustichelli,"Stornello - From ""Mamma Roma"" / Remastered 2022",31bp5xJaYUFFiqpLYlR7Ku,5,0.862,0.718,2,-9.902,1,0.0417,0.0692,0.0879,0.0595,0.981,119.984,100600,4
25,Labrinth,"I'm Tired - From ""Euphoria"" An HBO Original Series",6LtHYDgYHRCHoKK3snfr2w,91,0.375,0.133,0,-10.624,0,0.0352,0.651,0.0,0.0695,0.192,131.721,187944,4
26,Benny The Butcher,Johnny P's Caddy,6AshXllQhobwSXsdpgp41w,79,0.535,0.819,8,-6.792,1,0.455,0.584,0.0,0.16,0.581,150.451,225000,4
27,Carlo Rustichelli,"Ricotta Twist - From ""Ro.Go.Pa.G."" / Remastered 2022",5R30rB85oQckzOkfjvuNhS,8,0.418,0.941,10,-9.664,1,0.0355,0.77,0.807,0.0396,0.964,170.972,155400,4
28,Camila Cabello,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,94,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4
29,Giovanni Fusco,"Grattacieli - From ""Milano nera"" / Remastered 2022",04sd2m183zhVA9zHN4GUq1,7,0.593,0.825,3,-10.667,1,0.0791,0.618,0.904,0.485,0.894,98.086,118800,4
30,The Game,Eazy,6Ab81Bs9fcOwaTYuBsUUpI,84,0.716,0.551,1,-6.987,1,0.47,0.167,0.0,0.197,0.305,82.393,234288,4
31,Giovanni Fusco,"Eclisse Twist - From ""Ro.Go.Pa.G."" / Remastered 2022",5DLXSLmRiVRj7CPunw39ar,7,0.362,0.55,0,-9.256,0,0.032,0.802,0.85,0.0523,0.868,154.019,160300,4
32,lil Shordie Scott,Rocking A Cardigan in Atlanta,0N0h5lXc4HOiLgGb9EZi8m,86,0.803,0.64,1,-4.721,1,0.151,0.583,0.000331,0.437,0.816,140.073,96826,4
33,Carlo Rustichelli,"La traviata (Finale) - From ""Ro.Go.Pa.G."" / Remastered 2022",1WRosx9vI1gSGQDTBHOmP4,6,0.51,0.707,8,-7.712,1,0.0522,0.845,0.909,0.155,0.976,97.576,196500,4
34,Charlie Puth,Light Switch,1BSMpVGWs3v5BZKnAQziAc,92,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,185681,4
35,Giovanni Fusco,"Milano nera - From ""Milano nera"" / Remastered 2022",26llJenlAgD6tbbjZai8WC,5,0.501,0.133,1,-13.739,1,0.0285,0.978,0.89,0.107,0.0479,80.051,236360,4
36,Lauren Spencer-Smith,Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,90,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,175345,4
37,Carlo Rustichelli,"Cha Cha Cha - From ""Mamma Roma"" / Remastered 2022",6vLFPNVNbXzqwLRiZZKQ5I,8,0.766,0.795,10,-8.82,1,0.0323,0.505,6.67e-05,0.149,0.957,122.092,177800,4
38,Megan Thee Stallion,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,90,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,201334,4
39,Carlo Rustichelli,"Dies Irae (Solo Fisarmonica) - From ""Ro.Go.Pa.G."" / Remastered 2022",72lzk0AA1npsFf0HZO2v6H,3,0.306,0.101,4,-9.748,0,0.0386,0.827,0.324,0.275,0.356,115.069,203900,5
40,Fivio Foreign,City of Gods,4huBDGP4I3S0pYI0EaRN1c,87,0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356,256000,4
41,Giovanni Fusco,"Alba a San Siro - From ""Milano nera"" / Remastered 2022",6aXDEbFhlkrQLXzQiRxPHN,3,0.439,0.175,1,-11.678,1,0.0336,0.979,0.889,0.111,0.144,78.014,88200,4
42,Gunna,Banking On Me,7Fege3yv4dvehB3NdRBGwI,85,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,200000,4
43,Mario Nascimbene,"Tema di Aldo - Finale - From ""Morte di un amico"" / Remastered 2022",5CEQP3WZHh5OxOsXY2jD89,4,0.26,0.048,2,-19.854,0,0.0345,0.818,0.0649,0.309,0.158,79.089,42173,1
44,Juice WRLD,Sometimes,3i6sCTU7ENlnHpHvrHUitW,83,0.674,0.58,8,-4.866,1,0.0311,0.0609,0.0,0.159,0.0759,121.987,259672,4
