,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Red (Taylor's Version),1,6lzc0Al0zfZOIFsFvBS1ki,State Of Grace (Taylor's Version),spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,75
1,Red (Taylor's Version),2,4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,81
2,Red (Taylor's Version),3,3S7HNKPakdwNEBFIVTL6dZ,Treacherous (Taylor's Version),spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,74
3,Red (Taylor's Version),4,6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,77
4,Red (Taylor's Version),5,3nsfB1vus2qaloUdcBZvDu,All Too Well (Taylor's Version),spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,80
5,Red (Taylor's Version),6,3yII7UwgLF6K5zW3xad3MP,22 (Taylor's Version),spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,76
6,Red (Taylor's Version),7,2r9CbjYgFhtAmcFv1cSquB,I Almost Do (Taylor's Version),spotify:track:2r9CbjYgFhtAmcFv1cSquB,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,0.248,73
7,Red (Taylor's Version),8,5YqltLsjdqFtvqE7Nrysvs,We Are Never Ever Getting Back Together (Taylor's Version),spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,77
8,Red (Taylor's Version),9,7eQj6r5PIdYKEIZjucBMcq,Stay Stay Stay (Taylor's Version),spotify:track:7eQj6r5PIdYKEIZjucBMcq,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,0.663,73
9,Red (Taylor's Version),10,0y6kdSRCVQhSsHSpWvTUm7,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),spotify:track:0y6kdSRCVQhSsHSpWvTUm7,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,0.155,74
10,Red (Taylor's Version),11,7J4b3LVCIGO4CMBDFLPoP6,Holy Ground (Taylor's Version),spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,72
11,Red (Taylor's Version),12,73qMN9bXy7MSPwwGfH3wQr,Sad Beautiful Tragic (Taylor's Version),spotify:track:73qMN9bXy7MSPwwGfH3wQr,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,0.232,71
12,Red (Taylor's Version),13,4e5ayHsOLJNLTGfjau2mEw,The Lucky One (Taylor's Version),spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,0.538,71
13,Red (Taylor's Version),14,7qEUFOVcxRI19tbT68JcYK,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),spotify:track:7qEUFOVcxRI19tbT68JcYK,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,0.474,75
14,Red (Taylor's Version),15,7A2cNLRT0YJc1yjxHlKihs,Starlight (Taylor's Version),spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,0.605,70
15,Red (Taylor's Version),16,05GsNucq8Bngd9fnd4fRa0,Begin Again (Taylor's Version),spotify:track:05GsNucq8Bngd9fnd4fRa0,0.075,0.519,0.527,0.0,0.132,-7.673,0.0274,78.915,0.267,73
16,Red (Taylor's Version),17,0NRHj8hDwwmSPaA41o379r,The Moment I Knew (Taylor's Version),spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,0.208,71
17,Red (Taylor's Version),18,4pNApnaUWAL2J4KO2eqokq,Come Back...Be Here (Taylor's Version),spotify:track:4pNApnaUWAL2J4KO2eqokq,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,0.399,73
18,Red (Taylor's Version),19,0DMVrlMUn01M0IcpDbwgu7,Girl At Home (Taylor's Version),spotify:track:0DMVrlMUn01M0IcpDbwgu7,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,70
19,Red (Taylor's Version),20,5jAIouBES8LWMiriuNq170,State Of Grace (Acoustic Version) (Taylor's Version),spotify:track:5jAIouBES8LWMiriuNq170,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,69
20,Red (Taylor's Version),21,7nWui6jiMM2m9qFmET1Mtj,Ronan (Taylor's Version),spotify:track:7nWui6jiMM2m9qFmET1Mtj,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,0.38,67
21,Red (Taylor's Version),22,4OmFmE0fzcMG6g0Y8p4eSD,Better Man (Taylor's Version) (From The Vault),spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.214,0.473,0.579,0.0,0.0877,-5.824,0.0384,73.942,0.255,75
22,Red (Taylor's Version),23,01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),spotify:track:01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,101.96,0.446,80
23,Red (Taylor's Version),24,0v4z1tuZvn6LGknom9Qx7d,Babe (Taylor's Version) (From The Vault),spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,0.746,75
24,Red (Taylor's Version),25,3z6XUommYDWPHeFhmhhT6j,Message In A Bottle (Taylor's Version) (From The Vault),spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,0.494,81
25,Red (Taylor's Version),26,4CkgMiMqZ5JzW9iYXSTMTL,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.167,0.391,0.715,0.0,0.183,-4.516,0.0495,149.654,0.473,81
26,Red (Taylor's Version),27,3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (Taylor's Version) (From The Vault),spotify:track:3oGVx9RBmiYGv5ZCecWLkx,0.256,0.611,0.552,0.0,0.134,-5.828,0.031,116.012,0.41,72
27,Red (Taylor's Version),28,4IQkfUsrwXol38VV3U7t7T,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),spotify:track:4IQkfUsrwXol38VV3U7t7T,0.817,0.61,0.488,0.0,0.312,-6.918,0.0293,125.039,0.443,79
28,Red (Taylor's Version),29,6pYNq0ZwpPVazKzsqpf0G8,The Very First Night (Taylor's Version) (From The Vault),spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0.0,0.104,-5.025,0.0281,121.009,0.581,78
29,Red (Taylor's Version),30,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,90
60,Fearless (Taylor's Version),1,77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),spotify:track:77sMIMlNaSURUAXq5coCxE,0.0122,0.569,0.741,0.0,0.333,-4.963,0.0282,100.118,0.43,73
61,Fearless (Taylor's Version),2,2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),spotify:track:2nqio0SfWg6gh2eCtfuMa5,0.116,0.559,0.646,0.0,0.32,-4.61,0.0272,95.466,0.289,70
62,Fearless (Taylor's Version),3,6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),spotify:track:6YvqWjhGD8mB5QXcbcUKtx,0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,0.415,77
63,Fearless (Taylor's Version),4,550erGcdD9n6PnwxrvYqZT,Hey Stephen (Taylor’s Version),spotify:track:550erGcdD9n6PnwxrvYqZT,0.106,0.788,0.571,0.0,0.0934,-6.135,0.0296,115.99,0.797,69
64,Fearless (Taylor's Version),5,5YL553x8sHderRBDlm3NM3,White Horse (Taylor’s Version),spotify:track:5YL553x8sHderRBDlm3NM3,0.369,0.423,0.517,0.0,0.177,-7.377,0.0486,185.262,0.366,69
65,Fearless (Taylor's Version),6,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),spotify:track:1qrpoAMXodY6895hGKoUpA,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,0.474,81
66,Fearless (Taylor's Version),7,7HC7R2D8WjXVcUHJyEGjRs,Breathe (feat. Colbie Caillat) (Taylor’s Version),spotify:track:7HC7R2D8WjXVcUHJyEGjRs,0.156,0.506,0.626,0.0,0.228,-6.066,0.0287,148.035,0.321,67
67,Fearless (Taylor's Version),8,0k0vFacOHNuArLWMiH60p7,Tell Me Why (Taylor’s Version),spotify:track:0k0vFacOHNuArLWMiH60p7,0.0222,0.578,0.909,0.0,0.333,-3.669,0.0628,100.023,0.541,65
68,Fearless (Taylor's Version),9,6iiAfo4wTA2CVC3Uwx9uh8,You’re Not Sorry (Taylor’s Version),spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,0.0538,0.506,0.444,0.0,0.123,-4.99,0.0285,133.873,0.241,67
69,Fearless (Taylor's Version),10,22bPsP2jCgbLUvh82U0Z3M,The Way I Loved You (Taylor’s Version),spotify:track:22bPsP2jCgbLUvh82U0Z3M,0.0033,0.402,0.732,0.0,0.108,-4.665,0.0484,161.032,0.472,79
70,Fearless (Taylor's Version),11,1msEuwSBneBKpVCZQcFTsU,Forever & Always (Taylor’s Version),spotify:track:1msEuwSBneBKpVCZQcFTsU,0.0231,0.598,0.821,0.0,0.143,-4.433,0.0447,128.03,0.673,70
71,Fearless (Taylor's Version),12,6ON9UuIq49xXY9GPmHIYRp,The Best Day (Taylor’s Version),spotify:track:6ON9UuIq49xXY9GPmHIYRp,0.488,0.642,0.576,0.0,0.159,-8.524,0.0282,125.0,0.469,65
72,Fearless (Taylor's Version),13,3ExweHKZF9B752DPQByRVT,Change (Taylor’s Version),spotify:track:3ExweHKZF9B752DPQByRVT,0.000191,0.499,0.815,0.0,0.181,-4.063,0.0341,95.999,0.344,64
73,Fearless (Taylor's Version),14,2m3ObD945KvpE5y9A1eUWm,Jump Then Fall (Taylor’s Version),spotify:track:2m3ObD945KvpE5y9A1eUWm,0.0474,0.572,0.69,0.0,0.0897,-6.201,0.0358,160.111,0.624,65
74,Fearless (Taylor's Version),15,0tQ9vBYpldCuikPsbgOVKA,Untouchable (Taylor’s Version),spotify:track:0tQ9vBYpldCuikPsbgOVKA,0.0181,0.393,0.531,0.0,0.169,-6.112,0.0329,200.391,0.224,65
75,Fearless (Taylor's Version),16,01QdEx6kFr78ZejhQtWR5m,Forever & Always (Piano Version) (Taylor’s Version),spotify:track:01QdEx6kFr78ZejhQtWR5m,0.819,0.546,0.273,0.0,0.137,-9.208,0.0308,118.753,0.271,66
76,Fearless (Taylor's Version),17,1n2wszmJyVkw6FHqyLnQsY,Come In With The Rain (Taylor’s Version),spotify:track:1n2wszmJyVkw6FHqyLnQsY,0.0406,0.476,0.564,0.0,0.102,-5.677,0.0269,143.929,0.167,63
77,Fearless (Taylor's Version),18,51A8eKvvZz9uydvIZ7xRSV,Superstar (Taylor’s Version),spotify:track:51A8eKvvZz9uydvIZ7xRSV,0.157,0.454,0.555,0.0,0.343,-6.69,0.0283,171.862,0.171,62
78,Fearless (Taylor's Version),19,1cSFlSBdpT4F5vb1frQ231,The Other Side Of The Door (Taylor’s Version),spotify:track:1cSFlSBdpT4F5vb1frQ231,0.0279,0.432,0.873,0.0,0.167,-4.367,0.0577,163.936,0.629,68
